Protein_Group	Genes	LCv2_EV_Blast_Tr_vs_LCv2_EV_Blast_logFC	LCv2_EV_Blast_Tr_vs_LCv2_EV_Blast_pval	Removed?	Contaminant?
Q8IWW8	ADHFE1	1.17553903348866	6.790769018807579e-18	No	No
Q8IZJ3	CPAMD8	1.30611291414271	1.18830880592853e-17	No	No
Q8N370	SLC43A2	1.11264221755529	3.06418124856906e-22	No	No
Q8N3J5	PPM1K	1.36753112203215	4.6851932624776104e-17	No	No
Q8N3V7	SYNPO	1.80696565267353	3.55173251589416e-14	No	No
Q8N4C0	C9orf62	1.00177387215488	0.0057263195847019	No	No
Q8N6N6	NATD1	1.47539865905313	2.2043412102814503e-31	No	No
Q8N7X4	MAGEB6	1.43418442877515	8.8404000511578e-09	No	No
Q8NFP4	MDGA1	1.20554295800733	2.37497092162944e-05	No	No
Q8NG66	NEK11	1.35573444081035	6.4888854392656e-10	No	No
Q8TB45	DEPTOR	1.41345901288372	1.62612659070059e-27	No	No
Q8WXK1	ASB15	1.07307133397052	6.05925723832078e-13	No	No
Q92508	PIEZO1	1.15813561436111	1.7905124699991801e-31	No	No
Q92597	NDRG1	1.0228969162814	2.14510829822251e-11	No	No
Q92777	SYN2	1.40214211905642	1.86704803030599e-06	No	No
Q969W9	PMEPA1	1.14624735308485	7.23860508102758e-11	No	No
Q96C11	FGGY	1.03263886552464	6.20221398359248e-16	No	No
Q96DX5	ASB9	1.30447747545746	3.37097531162843e-06	No	No
Q96EG1	ARSG	1.04626487181083	9.018375330383489e-13	No	No
Q96NY7	CLIC6	1.8057656194014	3.38437869470567e-21	No	No
Q96QE2	SLC2A13	1.04178817660136	4.0322851194542805e-09	No	No
Q99574	SERPINI1	2.09013994079437	2.0573306600289297e-43	No	No
Q99990	VGLL1	1.6134432759838	3.44649941690431e-10	No	No
Q9BQR3	PRSS27	1.2811275089704	3.874450631009831e-15	No	No
Q9BT76	UPK3B	1.35197965438753	2.72124255797854e-08	No	No
Q9BW04	SARG	1.38556946174253	9.40436600114874e-10	No	No
Q9BZD2	SLC29A3	1.80232592868676	8.296976209161239e-11	No	No
Q9H0Q0	CYRIA	1.08073786251572	1.96376294339659e-08	No	No
Q9H0R8	GABARAPL1	1.07801962826833	2.3643211847123102e-15	No	No
Q9H3M7	TXNIP	1.19555767312468	3.28770493894359e-12	No	No
Q9H3S4	TPK1	1.19555509033346	2.48558120678904e-07	No	No
Q9H841	NIPAL2	1.37274445999668	5.46410666861979e-09	No	No
Q9HCH5	SYTL2	1.08161416855667	4.6413529283863893e-11	No	No
Q9NW07	ZNF358	1.87177093974146	1.71653493538894e-13	No	No
Q9NX09	DDIT4	1.6962651139994	5.43013114887385e-08	No	No
Q9NX95	SYBU	1.70700638302703	5.38297383851047e-08	No	No
Q9NZQ0	DNAJC27	1.61246990529374	2.2167775300342403e-15	No	No
Q9NZV1	CRIM1	1.06214539552014	5.208823096248e-09	No	No
Q9P0S9	TMEM14C	1.08573947378368	0.0016099107070835	No	No
Q9P232	CNTN3	1.94337032850885	6.851982394182091e-25	No	No
Q9UBN1	CACNG4	1.01526258000559	8.76471922132443e-07	No	No
Q9UDR5	AASS	1.10332354568174	7.91933757732452e-11	No	No
Q9UKI2	CDC42EP3	1.54484626620409	2.51983844050846e-10	No	No
Q9ULK6	RNF150	1.53532790062647	2.6745497970376e-13	No	No
Q9UNA1	ARHGAP26	1.04620213705999	7.37391067640676e-07	No	No
Q9UPQ0	LIMCH1	1.02906561039329	1.33165778291446e-32	No	No
Q9Y2D5	AKAP2	1.02341344693373	2.13813385385308e-10	No	No
Q9Y2J2	EPB41L3	1.0527408726194	1.08814926617809e-05	No	No
Q9Y693	LHFPL6	1.47834222030729	7.28775333454548e-06	No	No
Q9Y6G1	TMEM14A	2.1222381298515	8.12380134994609e-05	No	No
A6NKF1	SAC3D1	-1.10125906219534	4.4669010185176896e-26	No	No
A8MT69	CENPX	-1.49025334529691	6.96088742489885e-20	No	No
H0Y354;Q6L9T8	FAM72C;FAM72D	-1.12115679574817	6.64844253737625e-08	No	No
O00311	CDC7	-1.58917232760156	3.1858031782212497e-22	No	No
