Protein_Group	Genes	LCv2_EV_Blast_Tr_vs_LCv2_EV_Blast_logFC	LCv2_EV_Blast_Tr_vs_LCv2_EV_Blast_pval	Removed?	Contaminant?
Q92547	TOPBP1	-1.07736359935783	9.974842335888779e-42	No	No
Q92565	RAPGEF5	-1.18135822377818	0.0003231707761714	No	No
Q92674	CENPI	-1.27485247769576	6.36525568698809e-25	No	No
Q92686	NRGN	-2.10374573754035	2.9087917055214297e-12	No	No
Q92771	DDX12P	-1.45176449777482	3.3167061334445203e-19	No	No
Q96AP7	ESAM	-1.27706819871941	2.7403783226096e-06	No	No
Q96B01	RAD51AP1	-1.91755672347607	5.47227843898695e-24	No	No
Q96BD8	SKA1	-2.64890272362579	7.940257100439621e-24	No	No
Q96CN5	LRRC45	-1.5707073586189	5.27102685414749e-23	No	No
Q96CX2	KCTD12	-1.22412939860635	4.78344043096377e-07	No	No
Q96E14	RMI2	-1.03898083233031	2.86511999789127e-17	No	No
Q96EX3	DYNC2I2	-1.04261893553863	6.807027183835361e-20	No	No
Q96FC9	DDX11	-1.32144853063516	7.053361893709e-12	No	No
Q96FF9	CDCA5	-3.10572635200236	1.1458803272863e-25	No	No
Q96FL9	GALNT14	-1.69171896604189	4.79128076253204e-07	No	No
Q96GD4	AURKB	-2.98338838393706	6.04618731783551e-27	No	No
Q96GN5	CDCA7L	-2.12778720469146	1.34216802550307e-28	No	No
Q96GX5	MASTL	-1.64521673644276	9.73454389823822e-16	No	No
Q96H22	CENPN	-1.33411514113786	1.37058820498782e-24	No	No
Q96HA7	TONSL	-1.3053548645342	1.85321668964239e-30	No	No
Q96HE9	PRR11	-2.16328825282843	1.18608189441909e-25	No	No
Q96KB5	PBK	-2.86037157115889	2.35220934424443e-27	No	No
Q96L50	LRR1	-1.56197637972602	1.14454645404447e-21	No	No
Q96M11	HYLS1	-1.10857203243833	6.8963979954235e-13	No	No
Q96MW7	TIGD1	-1.23823626166734	1.89209457557997e-08	No	No
Q96NR8	RDH12	-1.01531827592215	9.51752992098207e-07	No	No
Q96Q89	KIF20B	-1.82767025717132	1.90996982897568e-38	No	No
Q96QE3	ATAD5	-1.6370165581519	1.72592189075645e-30	No	No
Q96R06	SPAG5	-2.2356086031035	7.273772172704919e-26	No	No
Q96RG2	PASK	-1.1898211354763	1.5262963424013002e-10	No	No
Q96T88	UHRF1	-2.61722693974668	4.53610844572578e-29	No	No
Q99550	MPHOSPH9	-1.26467165989147	1.56761278875425e-16	No	No
Q99618	CDCA3	-2.97635372923423	7.98211346670209e-30	No	No
Q99640	PKMYT1	-1.88700488910612	1.11224232554382e-25	No	No
Q99661	KIF2C	-2.59846969355107	4.44262975509708e-28	No	No
Q99728	BARD1	-1.51323135374066	4.28261721241313e-27	No	No
Q99741	CDC6	-2.52521739591567	1.75434131927126e-25	No	No
Q99808	SLC29A1	-1.24290723916165	4.27770706449189e-18	No	No
Q9BPX3	NCAPG	-1.95179508133258	5.68557748353564e-37	No	No
Q9BRT9	GINS4	-1.21730887785205	1.9232427932112302e-19	No	No
Q9BRX5	GINS3	-1.35689621629131	1.20825805248263e-21	No	No
Q9BS16	CENPK	-1.22890082739408	3.94376785992162e-22	No	No
Q9BSJ6	PIMREG	-1.83651512190962	8.98997919060902e-20	No	No
Q9BU64	CENPO	-1.38934802456736	4.03983171554128e-22	No	No
Q9BVW5	TIPIN	-1.70719555796454	1.76941278487322e-33	No	No
Q9BW19	KIFC1	-2.88049771940041	1.5019859490988e-30	No	No
Q9BW71	HIRIP3	-1.4307069112005	1.5997840790737898e-36	No	No
Q9BWT6	MND1	-2.69083184424876	4.9430081368345e-25	No	No
Q9BX63	BRIP1	-1.37578436754848	3.88244207051933e-19	No	No
Q9BXL8	CDCA4	-1.01117432922883	3.75004432830864e-06	No	No
Q9BXS6	NUSAP1	-3.10061604371536	8.21396791769596e-23	No	No
Q9BXW9	FANCD2	-1.86195446417575	3.8909991287194597e-28	No	No
Q9BZD4	NUF2	-2.64441847091408	7.502240900392109e-22	No	No
Q9C099	LRRCC1	-1.32824324882463	1.38649393300952e-06	No	No
Q9H0H5	RACGAP1	-2.52925081868299	2.3273133992704102e-35	No	No
Q9H211	CDT1	-1.9243361918806	4.91853203576377e-38	No	No
Q9H228	S1PR5	-1.21348109158503	1.29431250141791e-10	No	No
Q9H2Y7	ZNF106	-1.15433664465438	5.53627872904918e-26	No	No
Q9H3R5	CENPH	-1.26726699758211	8.980319304811109e-28	No	No
Q9H4H8	FAM83D	-2.46927431227322	1.549603337106e-25	No	No
Q9H609	ZNF576	-1.01158117879988	4.76901534234081e-07	No	No
Q9H6L5	RETREG1	-1.08894186781859	8.54081045679764e-08	No	No
Q9H8L6	MMRN2	-1.19528774328359	3.1667020397238203e-09	No	No
Q9H8V3	ECT2	-1.97753461556349	1.00349806410297e-33	No	No
Q9H967	WDR76	-2.92505982300412	1.43495872909144e-28	No	No
Q9H9A7	RMI1	-1.75063111090135	4.0985895435576104e-35	No	No
Q9HAW4	CLSPN	-2.1650646456958	3.46543191153539e-23	No	No
Q9HB96	FANCE	-1.59633838321802	3.53356351303382e-15	No	No
Q9HBM1	SPC25	-3.04124648243214	1.16674211813274e-25	No	No
Q9NPD8	UBE2T	-2.54439429396695	1.95383304382015e-25	No	No
Q9NQR1	KMT5A	-1.1647421712466	1.74136441225456e-19	No	No
Q9NQS7	INCENP	-3.09874572237684	2.53012870286748e-34	No	No
Q9NQV5	PRDM11	-1.26224109155634	1.47368423223912e-24	No	No
Q9NQW6	ANLN	-2.30679827415433	4.86047009511192e-22	No	No
Q9NRZ9	HELLS	-2.56916330940087	3.5739877188949e-28	No	No
Q9NS87	KIF15	-1.95633322858927	6.59736472681872e-28	No	No
Q9NS91	RAD18	-1.79660872118926	1.2764573574750599e-43	No	No
Q9NSP4	CENPM	-1.13661910889398	4.25185932507328e-13	No	No
Q9NTJ3	SMC4	-1.51711027621869	4.03972913219275e-47	No	No
Q9NUC0	SERTAD4	-1.23375675787988	4.9235008929839e-17	No	No
Q9NVI1	FANCI	-2.32189215139832	1.33668127392731e-29	No	No
Q9NVP2	ASF1B	-1.58044167277284	3.19033275393765e-19	No	No
Q9NW38	FANCL	-1.42487089274696	3.69042346437063e-12	No	No
Q9NXG0	CNTLN	-1.39798398577137	1.4458284587068502e-19	No	No
Q9NYP3	DONSON	-2.2132090352746	7.82890163645545e-16	No	No
Q9NYP9	MIS18A	-1.122991415221	3.4027745852994304e-24	No	No
Q9NYZ3	GTSE1	-2.65020917450718	3.35634814486442e-21	No	No
Q9NZJ0	DTL	-1.86579141669433	7.075517078996e-24	No	No
Q9P0K8	FOXJ2	-1.00335760732258	6.32106059715676e-10	No	No
Q9P2W1	PSMC3IP	-3.20116484519502	5.5606790987138696e-33	No	No
Q9UBC3	DNMT3B	-1.21761556029006	6.4845429040537e-12	No	No
Q9UH17	APOBEC3B	-1.77415168692591	2.52455947341906e-28	No	No
Q9UIF7	MUTYH	-1.2989342910822	6.51811731089427e-14	No	No
Q9UIU6	SIX4	-1.13241831292411	3.53288262162203e-07	No	No
Q9UKT4	FBXO5	-1.95544235422933	1.2773366783545201e-24	No	No
Q9ULW0	TPX2	-2.84050251327778	1.18765004312416e-26	No	No
Q9UNS1	TIMELESS	-1.50553157752251	3.92099230787983e-35	No	No
Q9UQ84	EXO1	-1.65095508135242	4.730009572692691e-19	No	No
Q9UQR0	SCML2	-1.14733101665762	6.10595938361101e-38	No	No
Q9Y242	TCF19	-1.17255955906253	1.4219067630237e-09	No	No
Q9Y248	GINS2	-1.25818344409233	2.60482937638439e-21	No	No
Q9Y253	POLH	-1.22109781806545	7.79602367661889e-13	No	No
Q9Y2L6	FRMD4B	-1.13948867102953	1.55252092095096e-07	No	No
Q9Y448	KNSTRN	-2.62393379219894	1.01508119509198e-27	No	No
Q9Y5N6	ORC6	-1.0345425605243	1.7968281699926e-08	No	No
Q9Y5T4	DNAJC15	-1.35929332491887	3.28559358050274e-22	No	No
Q9Y620	RAD54B	-1.5966106839999	1.42397790909802e-23	No	No
Q9Y6A5	TACC3	-2.14731009764239	1.2434105342586701e-23	No	No
