Protein_Group	Genes	T47D_ResC_vs_T47D_logFC	T47D_ResC_vs_T47D_pval	Removed?	Contaminant?
Q14019	COTL1	1.61795542549794	3.3877318391408603e-20	No	No
Q14393	GAS6	1.26753610138971	4.10358208481248e-05	No	No
Q14449	GRB14	1.77448521170043	0.000161351176577	No	No
Q14894	CRYM	3.40166193510075	3.66306055145366e-13	No	No
Q15646	OASL	1.03951396633002	1.07498940519456e-06	No	No
Q16385	SSX2B	2.22327166739108	1.22235941958146e-16	No	No
Q16659	MAPK6	1.32733163204682	0.0004624140136181	No	No
Q2I0M4	LRRC26	1.32817468900768	3.35445636152081e-05	No	No
Q2M3V2	SOWAHA	1.67002900609133	1.18724066058938e-16	No	No
Q2VYF4	LETM2	1.09824544785014	8.53397643770328e-05	No	No
Q4V321	GAGE13	3.13859582195984	2.1728849335300002e-23	No	No
Q504T8	MIDN	1.07783244927517	0.0001286435040429	No	No
Q53H80	AKIRIN2	1.46176940133072	1.23331303913852e-07	No	No
Q58EX7	PLEKHG4	1.89652942748926	4.5191836379922e-08	No	No
Q5T013	HYI	1.57551585815046	2.95787562448279e-08	No	No
Q5VUG0	SFMBT2	1.1917502456376	0.0008848610045626	No	No
Q5VV17	OTUD1	1.01134505829373	0.0032897700004527	No	No
Q6IQ19	CCSAP	1.21599154844193	0.0004980680796489	No	No
Q6PCE3	PGM2L1	1.17312520481228	1.76587270689023e-16	No	No
Q6PGN9	PSRC1	1.01666678068943	0.0015406517668952	No	No
Q6PII5	HAGHL	1.14638506115916	2.6750002098983104e-09	No	No
Q6T4P5	PLPPR3	1.31222594498364	3.62502357131894e-07	No	No
Q6ZRF7	ZNF818P	1.48464391267007	0.0010927675110718	No	No
Q7L266	ASRGL1	2.00464795795049	2.75012915931785e-07	No	No
Q7Z7D3	VTCN1	1.01534610002713	8.67743204540923e-07	No	No
Q86V24	ADIPOR2	1.33014209385926	0.0002267894398203	No	No
Q86VE0	MYPOP	1.1776227769519	0.001601012115944	No	No
Q86X51	EZHIP	1.63794026182836	3.35876229600124e-22	No	No
Q8IU68	TMC8	2.48525839210657	3.22473824925949e-12	No	No
Q8N5U6	RNF10	1.1903567196791	6.819386201827829e-30	No	No
Q8N6N3	C1orf52	1.00399978001771	6.07639860454731e-17	No	No
Q8N8I0	SAMD12	1.24269562601155	0.0002680493339551	No	No
Q8NDZ4	DIPK2A	1.49229514591293	8.840171994673291e-46	No	No
Q8NEG4	FAM83F	1.33404233246826	3.23951482903512e-14	No	No
Q8NFB2	TMEM185A	2.63472956847347	3.40935730914354e-17	No	No
