Protein_Group	Genes	T47D_ResC_vs_T47D_logFC	T47D_ResC_vs_T47D_pval	Removed?	Contaminant?
Q96LW7	CARD19	-1.02854486056678	9.9856462227568e-22	No	No
Q96M32	AK7	-1.61997420633048	1.92832916766241e-08	No	No
Q96MF6	COQ10A	-1.19202948358078	3.16217017156549e-06	No	No
Q96MT1	RNF145	-1.12257320204463	5.84870330762662e-06	No	No
Q96R05	RBP7	-1.60431254878556	8.62950863205047e-21	No	No
Q96RF0	SNX18	-1.03914601777936	2.9265806384774204e-19	No	No
Q99490	AGAP2	-1.44317798993311	0.0003305469431224	No	No
Q99715	COL12A1	-1.12850064711197	0.0001640644228309	No	No
Q99959	PKP2	-1.29270026155647	4.871249377840271e-31	No	No
Q9BQE9	BCL7B	-1.0483730551055	1.20623075912322e-13	No	No
Q9BQG2	NUDT12	-1.22567921328963	9.278676181304999e-38	No	No
Q9BRC7	PLCD4	-1.88830509555223	9.864951612803799e-23	No	No
Q9BSW7	SYT17	-1.59827935799157	9.34478859555322e-06	No	No
Q9BUM1	G6PC3	-1.0257909222075	1.26944765270169e-08	No	No
Q9BXC9	BBS2	-1.09344047938902	2.14310382651549e-13	No	No
Q9BXI9	C1QTNF6	-1.8757596234614	2.75145244654487e-10	No	No
Q9BXM9	FSD1L	-2.85916555667396	1.7763798574492101e-19	No	No
Q9BZG1	RAB34	-1.20303519876602	2.1207424333082e-32	No	No
Q9C0H9	SRCIN1	-1.10797012840693	5.42825832650218e-16	No	No
Q9GZV1	ANKRD2	-2.27242053212453	5.10087392575278e-22	No	No
Q9H3G5	CPVL	-2.88370209532433	2.69024189600042e-48	No	No
Q9H553	ALG2	-1.75754846906016	3.30940106458331e-38	No	No
Q9H6L2	TMEM231	-1.02061791428476	7.84096569006921e-06	No	No
Q9H898	ZMAT4	-1.15262867401192	0.001012556242122	No	No
Q9HBL0	TNS1	-1.80290776665253	5.10335704891347e-15	No	No
Q9HCK4	ROBO2	-1.13063421048155	2.5819126155464602e-14	No	No
Q9NP74	PALMD	-1.46061130794568	3.3896507363318e-09	No	No
Q9NPB6	PARD6A	-1.21203889869408	2.01102181963849e-06	No	No
Q9NQX4	MYO5C	-1.35957005197793	5.91931935077035e-44	No	No
Q9NQX7	ITM2C	-1.59800883201148	9.48107832947176e-10	No	No
Q9NRX4	PHPT1	-1.07402126067884	1.2910043205129e-12	No	No
Q9NSD5	SLC6A13	-2.18617962206387	1.2889667614016501e-10	No	No
Q9NSY2	STARD5	-1.01185211795013	4.37372886708354e-16	No	No
Q9NUB1	ACSS1	-1.16459894900652	1.12433291621709e-22	No	No
Q9NVN8	GNL3L	-1.06316405282178	9.96889036151184e-33	No	No
Q9NVV5	AIG1	-2.12989163694044	6.77339645129071e-07	No	No
Q9NW07	ZNF358	-1.45630403553886	2.79025194548828e-05	No	No
Q9NW38	FANCL	-1.06528748087061	0.0001708334162248	No	No
Q9NXG6	P4HTM	-1.18334186533315	4.32789827749776e-17	No	No
Q9NXL2	ARHGEF38	-1.61747183442238	8.37923554523827e-19	No	No
Q9NXU5	ARL15	-1.19706152894259	3.83253381711294e-16	No	No
Q9NY64	SLC2A8	-1.19335378291103	2.19558973503098e-09	No	No
Q9NYF5	FAM13B	-1.33872007170697	0.0001347421449137	No	No
Q9NZB8	MOCS1	-1.49363890377643	3.38432852222491e-06	No	No
Q9NZC7	WWOX	-1.74546676895233	1.4582605848054601e-32	No	No
Q9NZU0	FLRT3	-1.56741841242099	5.1060465520648e-07	No	No
Q9P107	GMIP	-1.02247339093063	5.03497684297308e-27	No	No
Q9P212	PLCE1	-1.04833561654613	0.0014640681837014	No	No
Q9P2Y4	ZNF219	-1.4481038722321	0.0001289289630114	No	No
Q9UDR5	AASS	-1.03317601762056	2.0711633486148e-05	No	No
Q9UFP1	GASK1A	-1.15569832406623	0.0004299876873961	No	No
Q9UGQ3	SLC2A6	-1.22507633874138	4.9805178063221805e-09	No	No
Q9UHN6	CEMIP2	-1.00851206591372	4.6868942009629e-25	No	No
Q9UJ14	GGT7	-1.6743694688886	9.47120482062985e-24	No	No
Q9UJ37	ST6GALNAC2	-2.09511379768271	3.00595181855763e-17	No	No
Q9UJ78	ZMYM5	-1.54322334327679	7.27044123630335e-06	No	No
Q9UKE5	TNIK	-1.19656216402008	7.00441846411735e-26	No	No
Q9UKK3	PARP4	-1.37050841918419	1.12946060837166e-10	No	No
Q9Y2A9	B3GNT3	-1.40346858165582	6.58445569288328e-05	No	No
Q9Y2J2	EPB41L3	-2.62307092732026	6.88531965211117e-11	No	No
Q9Y2J8	PADI2	-1.42387060339274	6.27142679236855e-12	No	No
Q9Y5R4	HEMK1	-1.09586222685569	0.0053685166842841	No	No
Q9Y617	PSAT1	-2.67238860771488	2.26155573359227e-32	No	No
Q9Y693	LHFPL6	-1.36495255315941	0.0054671334340356	No	No
Q9Y6N8	CDH10	-1.51869198627251	0.000639459644853	No	No
Q9Y6U3	SCIN	-1.56365572210477	8.347680492531411e-09	No	No
Q9Y6X4	FAM169A	-1.8327655628686	1.09281693205133e-23	No	No
