Protein_Group	Genes	TP53_sg_#3_Tr_vs_TP53_sg_#3_logFC	TP53_sg_#3_Tr_vs_TP53_sg_#3_pval	Removed?	Contaminant?
Q0IIM8	TBC1D8B	1.48926231309429	1.72337269919008e-12	No	No
Q12791	KCNMA1	1.43223783713731	3.53766319400266e-16	No	No
Q12983	BNIP3	1.35005421072605	8.292684382051501e-10	No	No
Q13018	PLA2R1	1.29220422467421	0.0013024367803483	No	No
Q13202	DUSP8	1.24350736515354	0.0009166966826847	No	No
Q13216	ERCC8	1.07821510827678	1.80947675005738e-06	No	No
Q13884	SNTB1	1.10881777021447	0.0001925362141804	No	No
Q14764	MVP	1.78349523364129	3.67169436184186e-43	No	No
Q15303	ERBB4	1.0590013968315	5.85687953299292e-12	No	No
Q15746	MYLK	1.72654511755875	1.14196337255068e-09	No	No
Q16842	ST3GAL2	1.18195381655789	0.0014936140604888	No	No
Q49AH0	CDNF	2.39855030814814	2.86273945471979e-08	No	No
Q53FZ2	ACSM3	1.14088972154843	1.2767011425335e-11	No	No
Q53GG5	PDLIM3	1.97075881021534	1.29997946606961e-05	No	No
Q5BN46	C9orf116	1.50102359659123	0.0001451040432442	No	No
Q5D862	FLG2	1.80275028400112	0.0073771065958154	No	No
Q5JS13	RALGPS1	1.00132609279279	4.18850715082185e-05	No	No
Q5SZD1	C6orf141	1.18285144273672	3.12037627239577e-05	No	No
Q5T013	HYI	1.50907590508766	1.09500662982114e-06	No	No
Q5T0T0	MARCHF8	1.15689811085087	0.0047823765033277	No	No
Q5VWT5	FYB2	1.4764669294221	7.94992070192831e-08	No	No
Q68BL7	OLFML2A	1.08750987347661	0.0016378571732921	No	No
Q6GMR7	FAAH2	1.18849427207892	1.0557071315435498e-11	No	No
Q6P5R6	RPL22L1	1.04775108028154	1.82721973468161e-10	No	No
Q6PHW0	IYD	2.02901917121257	1.64343059835398e-06	No	No
Q6UWH4	GASK1B	1.23303422778948	4.25857346942422e-05	No	No
