Protein_Group	Genes	TP53_sg_#3_Tr_vs_TP53_sg_#3_logFC	TP53_sg_#3_Tr_vs_TP53_sg_#3_pval	Removed?	Contaminant?
Q8IZT6	ASPM	-1.03551551871149	1.33824127595768e-12	No	No
Q8N2Z9	CENPS	-1.41721170667178	7.00785291223939e-14	No	No
Q8N3J2	METTL4	-1.55657983788421	1.89383889110078e-07	No	No
Q8N4T4	ARHGEF39	-2.39010057772178	1.30825452302959e-07	No	No
Q8N8I0	SAMD12	-1.17072112908501	0.0018457125963168	No	No
Q8NB91	FANCB	-1.63048210538759	1.6965438721232902e-09	No	No
Q8NBI5	SLC43A3	-1.06511134897201	5.26158898655971e-05	No	No
Q8NBT2	SPC24	-2.14272591676843	5.06633705788949e-09	No	No
Q8NCD3	HJURP	-1.78074669609918	1.6243709254707902e-09	No	No
Q8NEA4	FBXO36	-1.58710537580553	9.47682469054029e-05	No	No
Q8NEM2	SHCBP1	-1.56023240819676	9.49528730253205e-09	No	No
Q8NEV8	EXPH5	-1.12750923681047	2.04827196176909e-13	No	No
Q8NG31	KNL1	-1.54836343153293	2.0278438855419298e-11	No	No
Q8NI77	KIF18A	-1.61257936691548	8.328340010457271e-19	No	No
Q8TCG1	CIP2A	-1.51298289782088	3.65685579272557e-14	No	No
Q8WVK7	SKA2	-1.71229210306588	1.19409782404595e-08	No	No
Q8WVP5	TNFAIP8L1	-1.88865899421562	8.15088774626914e-09	No	No
Q8WWK9	CKAP2	-1.62908228673496	3.47408813620461e-07	No	No
Q8WXX5	DNAJC9	-1.06085257597227	2.54831031196903e-20	No	No
Q92466	DDB2	-1.24081522463963	6.98842597760898e-42	No	No
Q92674	CENPI	-1.09973429121892	7.905766614646119e-11	No	No
Q92686	NRGN	-1.42314207300303	0.001850125946378	No	No
Q92771	DDX12P	-1.43441661056097	2.0935953279286103e-09	No	No
Q92985	IRF7	-1.0189164772189	0.003631712767335	No	No
Q96B01	RAD51AP1	-1.8251747070843	9.467160499724329e-12	No	No
Q96BD8	SKA1	-2.05699472530928	7.519842116133941e-09	No	No
Q96CG3	TIFA	-1.14912812932545	0.0002954935944453	No	No
Q96FC9	DDX11	-1.38719373215404	5.42567009955538e-06	No	No
Q96FF9	CDCA5	-2.00042586154361	1.47371637332613e-07	No	No
Q96GD4	AURKB	-2.03063163354378	1.00641787588226e-08	No	No
Q96GN5	CDCA7L	-1.35569236487573	1.13553011379068e-08	No	No
Q96GX5	MASTL	-1.09261479038901	0.0002400275742086	No	No
Q96H22	CENPN	-1.22046153314819	1.6557541550435497e-11	No	No
Q96HA7	TONSL	-1.02250304230405	1.55464466351654e-12	No	No
Q96HE9	PRR11	-1.69786936668062	6.62148067291841e-10	No	No
Q96HJ3	CCDC34	-1.23877971534203	0.0011488352555601	No	No
Q96JH8	RADIL	-1.07555030083267	0.0017997248057021	No	No
Q96KB5	PBK	-2.16397703481895	2.73447436708771e-10	No	No
Q96L50	LRR1	-1.1862523950102	1.35620558699738e-07	No	No
Q96M11	HYLS1	-1.16538758593955	1.52488529579197e-06	No	No
Q96MW7	TIGD1	-1.38661572028639	0.0001204024701271	No	No
Q96NL6	SCLT1	-1.15216628126862	5.97385869621231e-08	No	No
Q96Q89	KIF20B	-1.52727998431662	4.90722751996e-19	No	No
Q96QE3	ATAD5	-1.20521300973338	1.4327750229316699e-11	No	No
Q96R06	SPAG5	-1.95166200037239	1.4931096290816098e-11	No	No
Q96T88	UHRF1	-1.94606321766756	5.99417790540158e-11	No	No
Q99618	CDCA3	-1.94442766600538	1.53682695248736e-09	No	No
Q99640	PKMYT1	-1.58350489030256	7.41565401991518e-11	No	No
Q99661	KIF2C	-1.69151749970973	1.06712089579401e-08	No	No
Q99728	BARD1	-1.38143586949658	5.02952867991648e-13	No	No
Q99741	CDC6	-1.68601992681187	7.27570244116047e-08	No	No
Q99784	OLFM1	-1.13599605403752	1.66555042402317e-05	No	No
Q9BPX3	NCAPG	-1.6467216468768	3.50310301429249e-18	No	No
Q9BRT9	GINS4	-1.17646241294188	2.9272445879055505e-09	No	No
Q9BRX5	GINS3	-1.41982120844586	1.00138578278671e-11	No	No
Q9BS16	CENPK	-1.12798991536835	4.10855149786703e-10	No	No
Q9BSJ6	PIMREG	-1.38011162623981	1.11199091883047e-06	No	No
Q9BU64	CENPO	-1.05447392556762	8.65485899290238e-08	No	No
Q9BVW5	TIPIN	-1.80765627909732	1.38916788239227e-20	No	No
Q9BVX2	TMEM106C	-1.14595937787703	0.000123979670535	No	No
Q9BW11	MXD3	-1.22481914445935	7.71584737357292e-07	No	No
Q9BW19	KIFC1	-1.8460693982221	1.2476374214573102e-09	No	No
Q9BW71	HIRIP3	-1.28803566941234	2.8969607819551504e-19	No	No
Q9BWT6	MND1	-1.50404041282894	5.2689187961309e-06	No	No
Q9BXS6	NUSAP1	-1.95008414628707	2.99867905440152e-06	No	No
Q9BXW9	FANCD2	-1.77816716727696	1.68369465517298e-14	No	No
Q9BZD4	NUF2	-1.97780133329442	1.62763588373006e-07	No	No
Q9BZJ4	SLC25A39	-1.3172846636289	1.18332241396713e-07	No	No
Q9H0H5	RACGAP1	-1.68066736584613	1.22629863071049e-12	No	No
Q9H211	CDT1	-1.23816874894409	1.29811557482769e-13	No	No
Q9H228	S1PR5	-1.09700791056036	0.0002289309265107	No	No
Q9H3R5	CENPH	-1.29186548059201	1.8122633299303603e-15	No	No
Q9H4H8	FAM83D	-1.56054808794988	2.60590014085622e-07	No	No
Q9H609	ZNF576	-1.31185437830886	9.62764688295957e-05	No	No
Q9H8V3	ECT2	-1.57444995721816	7.99296098097251e-15	No	No
Q9H967	WDR76	-2.08769993978403	4.14298346089669e-10	No	No
Q9H9A7	RMI1	-1.77041522807275	8.09318194063118e-21	No	No
Q9H9K5	ERVMER34-1	-1.22600247510047	0.0095589296041153	No	No
Q9HAW4	CLSPN	-1.23556520547323	1.38667635467333e-05	No	No
Q9HBM1	SPC25	-2.25589681669185	3.55506722956776e-09	No	No
Q9NPD8	UBE2T	-1.96198830977475	1.4653907704232701e-09	No	No
Q9NQS7	INCENP	-1.93835117399696	3.8744723571731794e-11	No	No
Q9NQW6	ANLN	-1.55752231072533	1.35346271599697e-06	No	No
Q9NRJ5	PAPOLB	-1.55031011305121	4.83956292581029e-05	No	No
Q9NRZ9	HELLS	-1.81385306295655	9.14231073628445e-10	No	No
Q9NS87	KIF15	-1.55908133688902	2.4238711813826e-11	No	No
Q9NS91	RAD18	-1.45552383025639	3.43525627145343e-22	No	No
Q9NSG2	C1orf112	-1.03824278418472	4.1328785705597997e-14	No	No
Q9NSP4	CENPM	-1.01543326649651	2.53048464065465e-05	No	No
Q9NTJ3	SMC4	-1.35531658135055	1.71882508795768e-27	No	No
Q9NUC0	SERTAD4	-1.23810581760403	2.36685132857862e-08	No	No
Q9NVI1	FANCI	-1.98231285869991	1.83714026732027e-13	No	No
Q9NVP2	ASF1B	-1.17780730995554	2.20927103006423e-06	No	No
Q9NW38	FANCL	-1.35030387050048	2.45098373602862e-05	No	No
Q9NYK6	EURL	-1.82961607788915	0.0001129398584818	No	No
Q9NYP3	DONSON	-1.84665822388797	5.89546525134645e-06	No	No
Q9NYP9	MIS18A	-1.27917251407742	5.7978296510016804e-15	No	No
Q9NYZ3	GTSE1	-1.59694309434632	2.26254482688445e-05	No	No
Q9NZJ0	DTL	-1.14520832612938	2.05350504624694e-06	No	No
Q9P2W1	PSMC3IP	-2.30395976183386	1.31641881713379e-12	No	No
Q9UBC3	DNMT3B	-1.19832496298348	1.67628241952137e-05	No	No
Q9UH17	APOBEC3B	-1.62474824932948	7.15765265304285e-14	No	No
Q9UIF7	MUTYH	-1.34488654595648	5.88670505410298e-07	No	No
Q9UKT4	FBXO5	-1.39414399151069	3.2220592879555e-08	No	No
Q9ULW0	TPX2	-1.72922632254178	2.29778277929567e-07	No	No
Q9UNS1	TIMELESS	-1.53114715056015	5.78434250198758e-21	No	No
Q9UQ84	EXO1	-1.47587830329452	4.04239734892287e-08	No	No
Q9UQR0	SCML2	-1.04715269986276	1.21145368001868e-20	No	No
Q9Y222	DMTF1	-1.3993994456084	4.9774949060709e-05	No	No
Q9Y248	GINS2	-1.2022832505831	3.43552108020578e-10	No	No
Q9Y253	POLH	-1.37259791011498	3.80013140373554e-07	No	No
Q9Y2D8	SSX2IP	-1.31758731529546	4.17172679035861e-06	No	No
Q9Y448	KNSTRN	-2.10262292021975	2.5521939569258797e-11	No	No
Q9Y592	CEP83	-1.55003511097217	7.90568837351891e-07	No	No
Q9Y5N6	ORC6	-1.09582433082781	0.0002513471413688	No	No
Q9Y5T4	DNAJC15	-1.26449460401485	2.4154396692423403e-10	No	No
Q9Y620	RAD54B	-1.17942533366592	3.79547582024129e-08	No	No
Q9Y6A5	TACC3	-1.52602561412901	9.49995004168527e-08	No	No
