Protein_Group	Genes	T47D_Tr_vs_T47D_logFC	T47D_Tr_vs_T47D_pval	Removed?	Contaminant?
O00526	UPK2	1.07990088215246	0.0006685225012685	No	No
O00534	VWA5A	1.23218311955136	2.9871413652483604e-09	No	No
O00622	CCN1	1.06897904543841	4.11296680909552e-12	No	No
O14957	UQCR11	1.23663533375499	0.0010396106484379	No	No
O15232	MATN3	1.180185770209	7.980006622674639e-18	No	No
O15403	SLC16A6	1.21704256797494	0.0048814244515725	No	No
O15438	ABCC3	1.16808980044198	3.0025800457722e-06	No	No
O43610	SPRY3	1.14088454618253	8.41245974423547e-06	No	No
O60688;Q96QA6	YPEL1;YPEL2	2.07498902301073	3.64549275051037e-16	No	No
O75363	BCAS1	1.33050681956004	2.13940956087145e-41	No	No
O75888	TNFSF13	1.90261963326663	1.69610130424571e-05	No	No
O95255	ABCC6	1.20760198351586	1.7714840924828402e-23	No	No
P01033	TIMP1	1.04844200975672	2.5774709283924e-08	No	No
P07476	IVL	1.10411085725465	7.04772520192524e-20	No	No
P08294	SOD3	1.12330000250801	8.359150197710601e-10	No	No
P0DPH7;P0DPH8	TUBA3C;TUBA3D	1.20752628591073	5.54234830597918e-06	No	No
P11464	PSG1	1.09014371001181	2.55613657972946e-05	No	No
P12273	PIP	1.51258079301492	1.26698646617612e-06	No	No
P14061	HSD17B1	1.71212125007623	3.62916244904087e-07	No	No
P17600	SYN1	1.28696897019988	6.25376769410392e-08	No	No
P20742	PZP	1.02053097401931	0.0009790686171369	No	No
P24385	CCND1	1.27958391707207	2.77233936711296e-28	No	No
P24390	KDELR1	1.1988616525152	0.001374227108923	No	No
P24593	IGFBP5	1.13733941864411	2.16738992212961e-28	No	No
P24864	CCNE1	1.00452165093782	2.0289484334913198e-11	No	No
P42772	CDKN2B	1.18225364775642	1.78111537988463e-10	No	No
P43005	SLC1A1	1.05648152955693	0.0024937589856267	No	No
P54108	CRISP3	1.16283213662059	1.61640963346626e-05	No	No
P54868	HMGCS2	1.32227704503654	3.34252931278425e-08	No	No
P56748	CLDN8	3.03196056631086	5.23654499301424e-07	No	No
P61587	RND3	1.04137609440312	1.25888289318015e-12	No	No
Q00534	CDK6	1.01736636267503	1.76005654630834e-10	No	No
Q00887	PSG9	1.14719463535322	1.23716779674702e-06	No	No
Q05682	CALD1	1.1444172070737	4.562782415088861e-09	No	No
Q06055	ATP5MC2	2.0275106054958	3.60085893199201e-05	No	No
Q13018	PLA2R1	1.16424872596783	5.83230956646216e-05	No	No
Q14449	GRB14	1.16780974724967	0.0014230290521927	No	No
Q14764	MVP	1.15454468086054	1.9727770901207598e-40	No	No
Q3C1V0	MS4A18	1.30339806105368	0.0009439311964008	No	No
Q4VNC1	ATP13A4	1.15357223722045	7.0641672438175205e-09	No	No
Q5D862	FLG2	1.74526013548326	0.0003185089760261	No	No
Q5VWT5	FYB2	1.22382120413904	9.8507088324113e-10	No	No
Q6PHW0	IYD	1.83045513562987	4.12035722665731e-09	No	No
Q6UWH4	GASK1B	1.7597047330947	3.08022377077221e-13	No	No
Q6UXI9	NPNT	1.00996072511003	8.28014916502211e-05	No	No
Q6UXK5	LRRN1	1.05233500896577	0.0003831416792226	No	No
Q6ZS11	RINL	1.18819188734031	0.0001997433259667	No	No
Q7Z7D3	VTCN1	1.29208292078865	5.57705860379384e-13	No	No
Q86TS9	MRPL52	1.01348964036437	0.0035480449820976	No	No
Q86VV4	RANBP3L	1.44367954531744	1.5698261770856798e-11	No	No
Q8IYS4	C16orf71	1.07312299656841	9.62960784618514e-05	No	No
Q8IZJ3	CPAMD8	1.19666111357394	2.82209474222886e-12	No	No
Q8N370	SLC43A2	1.0230049099659	5.65634940376263e-16	No	No
Q8N3V7	SYNPO	1.12333091026754	1.14753376976287e-05	No	No
Q8N6N6	NATD1	1.01428174177681	3.96843279391427e-17	No	No
Q8N957	ANKFN1	1.04847216550821	1.36565825442143e-05	No	No
Q92478	CLEC2B	1.11462607707626	1.96300791769852e-08	No	No
Q92777	SYN2	1.11703306279983	0.0012391638200139	No	No
Q969W9	PMEPA1	1.15321285356801	2.58237926291474e-08	No	No
Q96FL8	SLC47A1	1.31675932600501	9.6303542854716e-11	No	No
Q96MK2	RIPOR3	3.37210123306422	0.0001432347106392	No	No
Q96NY7	CLIC6	1.50149940128271	2.5466244921963097e-13	No	No
Q99489	DDO	1.12607099974827	0.0002338454851577	No	No
Q99574	SERPINI1	1.79583662465667	9.30680995788093e-33	No	No
Q9BQT9	CLSTN3	1.00549179084763	5.44480619132068e-06	No	No
Q9BS92	NIPSNAP3B	1.06359635510955	1.02095253312315e-05	No	No
