Protein_Group	Genes	T47D_Tr_vs_T47D_logFC	T47D_Tr_vs_T47D_pval	Removed?	Contaminant?
Q9BXI9	C1QTNF6	1.06785280448142	1.43006985317348e-06	No	No
Q9BZD2	SLC29A3	1.10578206956647	0.0003277364683162	No	No
Q9GZY6	LAT2	1.07128485697825	3.47445127519215e-06	No	No
Q9H336	CRISPLD1	1.13227414661942	0.0042727660306599	No	No
Q9H3S4	TPK1	1.04273166929138	0.0001315134943616	No	No
Q9NRN5	OLFML3	1.0381130455131	5.80664051633435e-16	No	No
Q9UBS3	DNAJB9	1.08675000765516	7.0377056527442e-10	No	No
Q9UDR5	AASS	1.04360277133469	1.31589059727617e-07	No	No
Q9UJH8	METRN	1.32667835053695	5.6664063680587e-06	No	No
Q9UN76	SLC6A14	1.98001404433808	6.02873153574021e-05	No	No
Q9UPW6	SATB2	1.03994546127366	0.001044487705483	No	No
Q9Y5X0	SNX10	1.02264743963895	0.0008572101458819	No	No
Q9Y6G1	TMEM14A	2.25410342775579	0.000544428694338	No	No
A8MT69	CENPX	-1.16596577737253	2.0536585674042498e-11	No	No
B3KNS4	ERVK3-1	-1.00903200582646	5.527703075069169e-11	No	No
O00458	IFRD1	-1.1681238337009	6.62088201126912e-06	No	No
O00762	UBE2C	-2.05615165061502	1.1469638003880898e-11	No	No
O14578	CIT	-1.43041352179973	9.89215451774526e-19	No	No
O14732	IMPA2	-1.10620526226327	1.11012915969827e-16	No	No
O14757	CHEK1	-1.37850212715342	3.24021966992712e-16	No	No
O14777	NDC80	-2.02055310953953	3.89849290345546e-13	No	No
O14965	AURKA	-1.79908116947071	4.19830367559434e-16	No	No
O15287	FANCG	-1.18788393972218	3.16701702737822e-10	No	No
O15297	PPM1D	-1.10275843744925	8.32442399827816e-07	No	No
O15304	SIVA1	-1.39062325059373	1.56023263238336e-08	No	No
O15350	TP73	-1.34329743724139	4.6813770997380903e-20	No	No
O15360	FANCA	-1.28171244821896	2.5139850960828502e-09	No	No
O15392	BIRC5	-2.52930311898909	4.6222767743939596e-11	No	No
O43379	WDR62	-1.75205727860377	1.09701506085741e-19	No	No
O43463	SUV39H1	-1.39697887723435	1.7804753011917e-19	No	No
O43482	OIP5	-1.08106095364759	1.9367200160227203e-15	No	No
O43502	RAD51C	-1.07150825503968	2.93554224584091e-13	No	No
O43542	XRCC3	-1.0254337199311	4.2438216638297295e-11	No	No
O43663	PRC1	-2.28700129838273	5.63523705287216e-18	No	No
O43683	BUB1	-1.02650718856031	2.41532417549796e-07	No	No
O75330	HMMR	-2.26180804140083	1.4942842438755302e-15	No	No
O75419	CDC45	-2.16657180015822	6.32060632291378e-16	No	No
O75446	SAP30	-1.06149604893701	8.19084405905142e-20	No	No
O75717	WDHD1	-1.06016551681008	1.2604433835898501e-20	No	No
O75764	TCEA3	-1.32110559857667	1.98034960936712e-31	No	No
O75771	RAD51D	-1.27684603442061	0.0005369347071182	No	No
O94761	RECQL4	-1.39017930833242	4.66705675867035e-23	No	No
O95067	CCNB2	-2.33753818704545	1.3299772361887e-17	No	No
O95229	ZWINT	-1.26491351615451	1.28372338751676e-12	No	No
O95235	KIF20A	-2.62042537900071	3.35291851191245e-16	No	No
O95239	KIF4A	-2.22096004106816	3.87686813585667e-22	No	No
O95347	SMC2	-1.06621359850214	2.09263415826162e-28	No	No
O95997	PTTG1	-1.33670820171914	4.10850384669512e-12	No	No
O96020	CCNE2	-1.15494035352019	5.10944686781121e-08	No	No
O96028	NSD2	-1.39362923029423	9.09792546342718e-24	No	No
P00374	DHFR	-2.26259937468163	1.0427964075493499e-11	No	No
P02795	MT2A	-1.22477036960093	1.11220603494176e-07	No	No
P04183	TK1	-2.38295699197922	8.31312388047132e-16	No	No
P04818	TYMS	-2.43557291350124	2.27407238467157e-13	No	No
P06493	CDK1	-1.55506863576121	3.7499372821606098e-22	No	No
P09884	POLA1	-1.03119220266509	4.1172477500572805e-25	No	No
P10244	MYBL2	-1.72848899091523	6.350837644224399e-13	No	No
P11388	TOP2A	-2.14215760738831	2.7572002317217e-17	No	No
P12004	PCNA	-1.06811708782364	1.3597858038205502e-23	No	No
P14635	CCNB1	-2.85879444835944	9.27163833422952e-16	No	No
P16402	H1-3	-1.83182389095336	3.1640156190045397e-26	No	No
P16403	H1-2	-1.26105216961165	4.0571937481568e-26	No	No
P16949	STMN1	-1.18531895577291	2.08733482343021e-25	No	No
P17707	AMD1	-1.04289504984779	5.57868691177133e-05	No	No
P18858	LIG1	-1.10188687992236	2.19934454845433e-18	No	No
P19544	WT1	-1.04015385871423	0.0012659856833058	No	No
P20248	CCNA2	-1.24037256418385	7.59952630263414e-11	No	No
P23527	H2BC17	-1.84510773215299	3.85939373612257e-09	No	No
P26358	DNMT1	-1.08104044022885	6.86911466166889e-29	No	No
P26583	HMGB2	-1.06336246432467	7.00112327188354e-28	No	No
P28749	RBL1	-1.45609586922226	6.42882851850949e-16	No	No
P30307	CDC25C	-1.65441184795065	5.59720552766557e-12	No	No
P30793	GCH1	-1.07050120782628	1.53988811240505e-05	No	No
P30825	SLC7A1	-1.45495757068296	4.46919188679221e-27	No	No
P31350	RRM2	-2.30553813477444	1.22638356017108e-13	No	No
P33316	DUT	-1.69035458884139	5.0213705546692896e-26	No	No
P33552	CKS2	-1.40410358176117	8.33674270832088e-10	No	No
P35638	DDIT3	-3.32456661314632	9.94521634031159e-26	No	No
P36383	GJC1	-1.27751238093972	0.0001310312526878	No	No
P38398	BRCA1	-1.31183936398241	1.63945071418877e-15	No	No
P42166	TMPO	-1.04041681693801	6.32329137671011e-49	No	No
P42575	CASP2	-1.06605525148425	2.05937229335919e-17	No	No
P42695	NCAPD3	-1.31716575927336	7.4386387846054195e-28	No	No
P43007	SLC1A4	-1.02718794936234	5.659520631419591e-25	No	No
P46013	MKI67	-2.47043530896336	7.54852191131239e-17	No	No
P49454	CENPF	-2.18591097645461	1.80371404961856e-21	No	No
P49638	TTPA	-1.18436671606996	0.0001828281152729	No	No
P49642	PRIM1	-1.2836372133877	1.0186157817004e-19	No	No
P49643	PRIM2	-1.09503982272418	1.7380787057537e-18	No	No
P51530	DNA2	-1.48733452028678	2.6330498247554996e-13	No	No
P52732	KIF11	-1.96479304322442	5.1936742678548e-16	No	No
P53350	PLK1	-2.16604469313109	6.93459997784909e-17	No	No
P54132	BLM	-1.57585552293354	7.73943383202547e-24	No	No
P55273	CDKN2D	-1.39058797322507	0.0007746709379866	No	No
P56270	MAZ	-1.02283073504466	1.2341704703705199e-18	No	No
P56282	POLE2	-1.56121591902206	3.87334516131614e-22	No	No
P59796	GPX6	-1.7182360928757	2.84928484260512e-13	No	No
P61024	CKS1B	-1.58707942014857	1.2344369188793601e-15	No	No
P78549	NTHL1	-1.06758647596941	1.2766771125483302e-09	No	No
Q01664	TFAP4	-2.03975140109773	2.72559295787959e-12	No	No
Q02241	KIF23	-1.66006950986199	2.9457405921683e-24	No	No
Q05D32	CTDSPL2	-1.38304967949799	1.25038716771644e-49	No	No
Q06609	RAD51	-1.53443784752529	2.66589580110644e-10	No	No
Q07864	POLE	-1.06543392989112	1.52750590051663e-26	No	No
Q12815	TROAP	-2.22651271664665	2.66850063514726e-13	No	No
Q12834	CDC20	-2.30046657747898	3.58308513787794e-15	No	No
Q13111	CHAF1A	-1.17393860205556	5.50021763201322e-23	No	No
Q13112	CHAF1B	-1.34174260349697	1.1409632505793001e-20	No	No
Q13257	MAD2L1	-1.04704552171676	7.830632814105779e-12	No	No
Q13309	SKP2	-1.27199649615635	3.16659788453237e-10	No	No
Q13352	ITGB3BP	-1.32081230584997	4.24161270124968e-06	No	No
Q13506	NAB1	-1.34790557700537	6.93087068321178e-07	No	No
Q14181	POLA2	-1.07176868812935	2.40128027533823e-19	No	No
Q14493	SLBP	-1.08479826598554	1.72041752132243e-16	No	No
Q14674	ESPL1	-2.22602354162509	1.24372620593714e-14	No	No
Q14691	GINS1	-1.02558542990987	1.47640723467576e-13	No	No
Q14807	KIF22	-2.74837723316751	3.98580424141525e-24	No	No
Q14CB8	ARHGAP19	-1.59939318247813	2.25903210989336e-18	No	No
Q15003	NCAPH	-1.51535403724091	6.43537733467554e-26	No	No
Q15004	PCLAF	-2.73160924903246	1.3721823763547601e-14	No	No
Q15021	NCAPD2	-1.56845743068278	1.87036098417881e-26	No	No
Q15054	POLD3	-1.00424781292234	1.77894796998493e-22	No	No
Q15058	KIF14	-1.452902023291	6.15950596727186e-17	No	No
Q15398	DLGAP5	-1.41053000261331	2.5993951097194897e-12	No	No
Q15468	STIL	-1.13068265045199	1.25243820903946e-08	No	No
Q16667	CDKN3	-1.30666344900881	6.28381181895157e-07	No	No
Q16763	UBE2S	-1.74053498495891	8.69810033388082e-15	No	No
Q495B1	ANKDD1A	-1.45831150065145	4.303532409017321e-09	No	No
Q53EZ4	CEP55	-1.72628551452856	1.20042012310229e-14	No	No
Q53HL2	CDCA8	-2.50545428013653	5.57274538153598e-16	No	No
Q562F6	SGO2	-1.34261117872942	5.5003590920501e-14	No	No
Q56A73	SPIN4	-1.38392679022665	2.80700951691294e-22	No	No
Q56NI9	ESCO2	-2.76071992943279	8.54710650282479e-17	No	No
Q5FBB7	SGO1	-1.62762696631347	2.52459701722743e-17	No	No
Q5JXC2	MIIP	-1.02224666212152	0.0038600767760987	No	No
Q5T686	AVPI1	-1.30989879554569	0.001881733168316	No	No
Q5T6S3	PHF19	-1.33352776077686	8.67451126656229e-13	No	No
Q5UIP0	RIF1	-1.07057121589671	2.45211494865641e-39	No	No
Q69YH5	CDCA2	-1.4681259521387	4.57653003101527e-12	No	No
Q6IBW4	NCAPH2	-1.37239749588954	1.39940547650591e-29	No	No
Q6IE81	JADE1	-1.00685438276442	1.45924776542505e-14	No	No
Q6IPU0	CENPP	-1.13625518682308	6.15589347206925e-08	No	No
Q6NUM6	TYW1B	-1.70022470288056	1.204121217991e-05	No	No
Q6P0N0	MIS18BP1	-1.67262040766209	1.63877326578362e-20	No	No
Q6P4F7	ARHGAP11A	-1.25119612963608	5.12479881882046e-07	No	No
Q6PGN9	PSRC1	-1.431186615536	1.04447533893767e-07	No	No
Q6PL18	ATAD2	-1.33065603886334	4.56646921386251e-28	No	No
Q6SJ93	FAM111B	-2.09884289865315	1.30853898399235e-13	No	No
Q6UVK1	CSPG4	-2.5513979214284	4.8874127264765794e-18	No	No
Q6ZRQ5	MMS22L	-1.23917846805745	1.43469207104326e-20	No	No
Q71F23	CENPU	-1.63544949834481	1.35093997701766e-20	No	No
Q7L266	ASRGL1	-1.0798209927984	0.0002473872880338	No	No
Q7L2Z9	CENPQ	-1.32017249742055	1.8669658673390798e-12	No	No
Q7L590	MCM10	-1.95531919518729	8.23683621875655e-14	No	No
Q86T82	USP37	-1.13878234738915	5.96994941066821e-08	No	No
Q86VI3	IQGAP3	-2.06457141983988	1.39537471884872e-13	No	No
Q86XI2	NCAPG2	-1.47991258213694	3.18218291606779e-27	No	No
Q86XK3	SFR1	-1.01924349930966	2.90134999114728e-07	No	No
Q86Y91	KIF18B	-1.23976768262787	3.00485947703701e-09	No	No
Q86Y97	KMT5C	-1.08442591217726	2.85103925146458e-19	No	No
Q8IX21	SLF2	-1.19252516621798	9.154946341126481e-09	No	No
Q8IX90	SKA3	-1.63054435322554	3.4918881264294203e-10	No	No
Q8IYA6	CKAP2L	-2.3964608532356	9.845129530631679e-12	No	No
Q8IYW5	RNF168	-1.8149710669905	1.3331996800428402e-19	No	No
Q8IZT6	ASPM	-1.00865866359112	1.02138467392535e-18	No	No
Q8N0S6	CENPL	-1.04346889189242	8.5190954705142e-18	No	No
Q8N2Z9	CENPS	-1.23706138041187	5.6266320368461794e-18	No	No
Q8N5V2	NGEF	-1.00003313625234	0.0003218742444826	No	No
Q8NBI5	SLC43A3	-1.69626555639328	5.8678865266072605e-15	No	No
Q8NBT2	SPC24	-2.2818683125526	1.8972250365257903e-15	No	No
Q8NEM2	SHCBP1	-1.58092122001343	4.10669916653106e-14	No	No
Q8NG31	KNL1	-1.44504457149605	2.8268635150943597e-16	No	No
Q8NI77	KIF18A	-1.47984984072258	5.47559584828001e-25	No	No
Q8TCD6	PHOSPHO2	-1.9815387591203	0.000485269103637	No	No
Q8TCG1	CIP2A	-1.37598387534664	3.31297589818334e-19	No	No
Q8TD30	GPT2	-1.3102335007184	4.941932316978541e-25	No	No
Q8WVK7	SKA2	-1.61396927316618	1.00591107319708e-12	No	No
Q8WWK9	CKAP2	-2.26739042611764	1.69236855102484e-17	No	No
Q8WXF7	ATL1	-1.00617794578552	2.1738835199271e-05	No	No
Q92522	H1-10	-1.05239114057934	1.37193119041704e-23	No	No
Q92686	NRGN	-1.75148102001794	2.92430898674766e-07	No	No
Q92771	DDX12P	-1.20213213979258	8.088732138229299e-12	No	No
Q92837	FRAT1	-1.07964334532129	8.20366678712081e-05	No	No
Q96AP7	ESAM	-1.72414833615736	3.39678419262407e-07	No	No
Q96AY2	EME1	-1.02332904289197	7.89626486942352e-11	No	No
Q96B01	RAD51AP1	-1.56556063265735	4.60998868537133e-15	No	No
Q96BD8	SKA1	-1.37520127871146	3.41326702739337e-08	No	No
Q96E14	RMI2	-1.1469393099389	3.2443570692160804e-15	No	No
Q96FF9	CDCA5	-2.78088399846604	3.0449280730276798e-18	No	No
Q96GD4	AURKB	-2.62517680139639	6.377216054245281e-19	No	No
Q96GN5	CDCA7L	-1.29652643168298	5.36806523425465e-13	No	No
Q96GX5	MASTL	-1.21298626243339	4.76002591548369e-08	No	No
Q96H22	CENPN	-1.05435741297684	6.687006098315441e-15	No	No
Q96HA7	TONSL	-1.10468465302074	5.8788810833055505e-21	No	No
Q96HE9	PRR11	-1.79363667881969	1.23367335467099e-16	No	No
Q96KB5	PBK	-2.45237869319606	1.0818593679692899e-18	No	No
Q96Q89	KIF20B	-1.28373450772716	4.70432527857345e-23	No	No
Q96QE3	ATAD5	-1.28204659786937	3.1676709767311203e-19	No	No
Q96R06	SPAG5	-1.85727958289004	7.6828704857743e-17	No	No
Q96T88	UHRF1	-2.16981195653218	2.3864747502766703e-19	No	No
Q99607	ELF4	-1.51348563126716	7.06377527955329e-07	No	No
Q99618	CDCA3	-2.04352015328548	5.5323087642931e-16	No	No
Q99640	PKMYT1	-1.83389305990013	4.6646350068779997e-20	No	No
Q99661	KIF2C	-1.85365956250035	1.7374152953640802e-15	No	No
Q99728	BARD1	-1.29166485137268	2.1927657165167497e-18	No	No
Q99741	CDC6	-1.26157771868845	1.67473657677685e-08	No	No
Q9BPX3	NCAPG	-1.66398150854647	9.77548773608409e-27	No	No
Q9BRT9	GINS4	-1.0247351299928	3.0062441051705e-12	No	No
Q9BRX5	GINS3	-1.20689495975534	7.28053905717594e-15	No	No
Q9BS16	CENPK	-1.10436531324083	1.9184142847522803e-15	No	No
Q9BT49	THAP7	-1.41233298704173	4.98281700185551e-10	No	No
Q9BTL4	IER2	-1.19773551292502	0.000127901391479	No	No
Q9BVW5	TIPIN	-1.37940370504077	2.2273986422127897e-22	No	No
Q9BW19	KIFC1	-2.50028084314843	1.2533024594587601e-21	No	No
Q9BWF2	TRAIP	-1.0766704081393	1.66955375928666e-06	No	No
Q9BWT6	MND1	-1.3455639057368	2.60695363660798e-08	No	No
Q9BX63	BRIP1	-1.14752380465733	6.9631292798434095e-12	No	No
Q9BXS6	NUSAP1	-2.76600667612142	7.59816470357574e-16	No	No
Q9BXW9	FANCD2	-1.64264055462229	5.69765439117442e-20	No	No
Q9BZD4	NUF2	-2.20686213102075	7.241140214173599e-14	No	No
Q9H0H5	RACGAP1	-1.84149924905022	1.96346600132338e-21	No	No
Q9H211	CDT1	-1.33991298854106	1.6435101177056899e-22	No	No
Q9H3R5	CENPH	-1.00906808365539	1.87180420455676e-17	No	No
Q9H4H8	FAM83D	-1.66060583533029	1.02849772800998e-12	No	No
Q9H8V3	ECT2	-1.56170544869533	4.92609263633237e-22	No	No
Q9H967	WDR76	-2.56000704474946	3.7490036614857504e-20	No	No
Q9H9A7	RMI1	-1.20000237942974	7.487675780402561e-20	No	No
Q9HAW4	CLSPN	-1.50711915470657	9.01667214464018e-12	No	No
Q9HB96	FANCE	-1.32632082748256	4.11976683150834e-09	No	No
Q9HBM1	SPC25	-2.35296521203564	2.74614872006833e-15	No	No
Q9NPD8	UBE2T	-1.99827968547058	2.0830905373487604e-15	No	No
Q9NQS7	INCENP	-2.27232062724525	8.941096275239591e-21	No	No
Q9NQW6	ANLN	-1.97502441952116	1.81233596482755e-14	No	No
Q9NRZ9	HELLS	-2.12280505565932	1.4907677064030799e-18	No	No
Q9NS87	KIF15	-1.5747708317191	8.72540148670121e-18	No	No
Q9NS91	RAD18	-1.35293335827767	3.04348953900585e-29	No	No
Q9NTJ3	SMC4	-1.23376893556833	1.42788631607494e-34	No	No
Q9NVI1	FANCI	-1.8620344395366	4.837911491317651e-19	No	No
Q9NVP2	ASF1B	-1.15539135619121	5.15928243797379e-10	No	No
Q9NW38	FANCL	-1.2066616086467	2.28541573793274e-07	No	No
Q9NXG0	CNTLN	-1.32122005888808	2.55083668543398e-14	No	No
Q9NYZ3	GTSE1	-2.05313073615021	3.751522124450699e-12	No	No
Q9NZJ0	DTL	-1.32414982240558	1.59366767203209e-12	No	No
Q9P2W1	PSMC3IP	-2.15112789306332	8.05019402811103e-18	No	No
Q9UH17	APOBEC3B	-1.53754007955698	1.00047016517467e-19	No	No
Q9UKT4	FBXO5	-1.37075864658286	8.28557856452115e-13	No	No
Q9ULW0	TPX2	-2.58338862510422	2.09679138023309e-19	No	No
Q9ULX9	MAFF	-1.27615465902099	0.000863324228052	No	No
Q9UNS1	TIMELESS	-1.19235685830447	2.8340918351256604e-23	No	No
Q9Y253	POLH	-1.01370520973856	1.37008277662485e-07	No	No
Q9Y448	KNSTRN	-2.14524447860069	5.7549508778465596e-18	No	No
Q9Y620	RAD54B	-1.20435974119547	2.42949022523744e-13	No	No
Q9Y6A5	TACC3	-1.85315501127999	7.524145999708759e-16	No	No
