Protein_Group	Genes	NF1_sg_vs_LCv2_EV_Blast_logFC	NF1_sg_vs_LCv2_EV_Blast_pval	Removed?	Contaminant?
A0A0J9YWL9	TEX13C	2.44384667455139	1.19814308625364e-15	No	No
A6NCS6	C2orf72	1.87533536456682	8.828336716939059e-28	No	No
A6NP11	ZNF716	1.19541736995801	0.0001635239245961	No	No
O00590	ACKR2	3.15284466323959	1.56553423160927e-14	No	No
O14957	UQCR11	1.27600244785901	0.0037119204497609	No	No
O15229	KMO	2.20594151756892	2.83150878705281e-28	No	No
O15347	HMGB3	1.10831509701331	2.9326496905124197e-26	No	No
O15393	TMPRSS2	2.04210387014803	2.0101248480921698e-28	No	No
O15431	SLC31A1	1.09230953488802	5.51928515083263e-05	No	No
O43295	SRGAP3	1.21913647071107	4.67089031303217e-25	No	No
O43610	SPRY3	1.65729669734664	8.94903149113856e-08	No	No
O60356	NUPR1	1.05541482590263	0.0001948276209908	No	No
O60443	GSDME	1.16459471585121	1.2010226954327698e-11	No	No
O75155	CAND2	1.52261086432405	2.10508331764082e-20	No	No
O75326	SEMA7A	1.08775396189126	0.0042386223580731	No	No
O75582	RPS6KA5	1.17072903380693	3.16442270940053e-12	No	No
O94921	CDK14	1.28194973244553	0.0007629384264966	No	No
O95154	AKR7A3	1.12373353550571	1.76960595981837e-10	No	No
O95180	CACNA1H	1.25977821751856	0.0012737387135263	No	No
O95274	LYPD3	1.48284930381401	1.7393730293880297e-11	No	No
O95340	PAPSS2	2.27467193504011	4.53671706672708e-18	No	No
O95406	CNIH1	1.33811610815142	0.0016265690012908	No	No
O95848	NUDT14	1.04302273138658	8.32549565666898e-05	No	No
O96006	ZBED1	1.11444238552321	4.91042624564248e-09	No	No
P00918	CA2	1.62749151665166	5.8600733409417e-06	No	No
P01876	IGHA1	2.21458215482496	0.0006209277005537	No	No
P02461	COL3A1	4.98703472646523	1.57867614891727e-76	No	No
P02649	APOE	1.03096747078679	4.8158031955019695e-11	No	No
P02753	RBP4	1.57284015609038	5.93962591211227e-17	No	No
P02792	FTL	2.6873291532929	8.59079147539267e-13	No	No
P02794	FTH1	1.40415292976389	7.85714158308339e-27	No	No
P05090	APOD	1.64914147991138	6.86277869077031e-28	No	No
P06731	CEACAM5	2.59461898915754	1.01944007461085e-15	No	No
P07195	LDHB	2.28677074053178	3.6270374517008397e-12	No	No
P07476	IVL	1.50781899950985	1.9804814821287302e-23	No	No
P08247	SYP	1.66709061260052	2.45536139675743e-14	No	No
P08294	SOD3	1.11264186990575	9.37389984191946e-08	No	No
P09668	CTSH	1.41464460002005	1.31960002717248e-38	No	No
P11464	PSG1	1.68123331588168	9.80210899659128e-08	No	No
P12429	ANXA3	1.32443837768674	1.07220890672075e-13	No	No
P14061	HSD17B1	6.67962257904747	2.6808472453281497e-30	No	No
P15391	CD19	1.76645832573793	0.0001073330159563	No	No
P15408	FOSL2	1.28420946498878	7.26334316043981e-08	No	No
P15559	NQO1	1.38468332340866	7.15274872827334e-42	No	No
P17026	ZNF22	1.07036715853044	5.3657603162819605e-09	No	No
P20749	BCL3	1.15663688385797	2.1475789563195297e-18	No	No
P21397	MAOA	1.97917639920881	4.1912850912721e-05	No	No
P21695	GPD1	1.4978717139898	1.2492420779172801e-25	No	No
P21731	TBXA2R	1.78366270405686	3.79704141988483e-05	No	No
P21741	MDK	1.57295942509166	1.44826853425179e-10	No	No
P22415	USF1	1.74734267130244	5.08112100518072e-05	No	No
P22532	SPRR2D	2.04933129423296	0.0089517719358025	No	No
P24468	NR2F2	1.08820861178318	5.65701339210623e-21	No	No
P25311	AZGP1	2.24958697823766	6.282265347678469e-11	No	No
P25815	S100P	1.43208287160497	1.30722818680923e-10	No	No
P25942	CD40	1.03191866091123	2.69990508845011e-08	No	No
P27338	MAOB	2.11030486946622	1.3385671000072e-16	No	No
P29728	OAS2	1.26113176017895	2.7120150331829098e-11	No	No
P29966	MARCKS	2.8451214508654	3.00912125863602e-08	No	No
P30047	GCHFR	1.00508819778937	2.42213525244215e-06	No	No
P30988	CALCR	2.40521021356414	4.22851253049693e-21	No	No
P31513	FMO3	1.96765483058185	1.50918222420445e-08	No	No
P33897	ABCD1	1.00309678349391	2.33662279206302e-28	No	No
P35869	AHR	1.05965940747554	4.0953142252594503e-19	No	No
P40199	CEACAM6	1.3422802392733	6.01749668766199e-05	No	No
P42330	AKR1C3	2.51711509801432	4.8454171273176496e-11	No	No
P43355	MAGEA1	1.51908950029945	6.61138194352349e-13	No	No
P47712	PLA2G4A	1.31104901899127	4.28820746066465e-10	No	No
P47895	ALDH1A3	3.44852899539572	5.33797920781458e-21	No	No
P48436	SOX9	1.98654896966625	5.16292999035941e-16	No	No
P48594	SERPINB4	1.79066068614026	5.1180366810649e-24	No	No
P49326	FMO5	1.51325482291301	5.33721638531058e-21	No	No
P49662	CASP4	1.30753252336153	1.66509760447748e-14	No	No
P49902	NT5C2	1.30146343005116	1.64483224033867e-41	No	No
P51606	RENBP	5.64818836877835	6.73687924213705e-30	No	No
P51608	MECP2	1.06230822872881	2.15082572188359e-48	No	No
P51809	VAMP7	1.0230911364051	6.182544791138011e-31	No	No
P52803	EFNA5	1.66826010803211	3.35419264264369e-08	No	No
P54868	HMGCS2	1.21140543515123	8.13413471637758e-06	No	No
P55809	OXCT1	1.02010865084965	0.0012655216576363	No	No
P56277	CMC4	1.19550590815735	0.0010601753058196	No	No
P61968	LMO4	1.02237078686007	7.0637636826903e-09	No	No
P63261	ACTG1	1.39785913027011	5.25849565320791e-06	No	No
P78380	OLR1	2.5865744753539	1.48558789836773e-10	No	No
Q00013	MPP1	1.4186130803557	8.871868000454241e-19	No	No
Q00887	PSG9	1.42996178811834	3.3796520379841e-07	No	No
Q00978	IRF9	1.25272944915163	0.0003412852716773	No	No
Q01196	RUNX1	1.21612190534272	1.55526480506919e-27	No	No
Q01629	IFITM2	1.15932164927447	0.0064700995530143	No	No
Q01650	SLC7A5	1.35334719786228	7.2351249122978e-07	No	No
Q02318	CYP27A1	1.87731750061065	1.49467646392671e-08	No	No
Q02383	SEMG2	2.73115243462684	6.04114947708496e-27	No	No
Q04828	AKR1C1	2.42308117735036	7.44061476253819e-18	No	No
Q08AF3	SLFN5	1.03521473240627	5.55678395647979e-27	No	No
Q0D2K0	NIPAL4	1.47155600007531	6.438465303847491e-10	No	No
Q0IIM8	TBC1D8B	1.09573800173029	1.2490134239256e-10	No	No
