Protein_Group	Genes	NF1_sg_vs_LCv2_EV_Blast_logFC	NF1_sg_vs_LCv2_EV_Blast_pval	Removed?	Contaminant?
Q12794	HYAL1	1.70090219550152	0.0016638747712522	No	No
Q13115	DUSP4	1.05700722417484	0.0029592161447915	No	No
Q13202	DUSP8	1.00391156358596	0.0012520829596354	No	No
Q13393	PLD1	1.02238261698029	4.75754414297075e-24	No	No
Q13753	LAMC2	1.18850134950897	3.72339058371423e-08	No	No
Q14956	GPNMB	2.2206420135308	2.05774549803239e-21	No	No
Q15041	ARL6IP1	1.48989317346197	1.52664058684561e-06	No	No
Q15392	DHCR24	1.15144458006096	1.64161300833932e-27	No	No
Q15738	NSDHL	1.0179960056797	1.31403386123691e-26	No	No
Q16270	IGFBP7	3.16327918888924	7.2782312431019e-11	No	No
Q16678	CYP1B1	1.21651142611004	0.0005275187176768	No	No
Q3SY77	UGT3A2	1.78673456910082	7.747911866959401e-10	No	No
Q4VNC1	ATP13A4	1.09630709338803	1.27146168907051e-06	No	No
Q53GG5	PDLIM3	1.11140227397683	0.0022515176858686	No	No
Q5K651	SAMD9	1.00068252532555	2.99221366304065e-06	No	No
Q5SXH7	PLEKHS1	3.87721608470898	3.1142881845303e-28	No	No
Q5SZD4	GLYATL3	2.49524574625469	0.0001851973767392	No	No
Q5T013	HYI	1.23381077749689	1.53998080452713e-06	No	No
Q5T2W1	PDZK1	1.38785382937118	5.11718247596897e-25	No	No
Q5VT25	CDC42BPA	1.06426311181682	7.46897630941688e-20	No	No
Q687X5	STEAP4	3.66570106379525	2.74381936573693e-16	No	No
Q6PGQ7	BORA	1.36267551604142	0.0011131695322476	No	No
Q6ZS11	RINL	1.47065188860406	9.63014781072368e-05	No	No
Q6ZSY5	PPP1R3F	1.07048315208724	0.0014031148613595	No	No
Q7Z3B1	NEGR1	4.47766657086986	1.03983382891063e-80	No	No
Q7Z3Q1	SLC46A3	1.2554463551487	1.30659549661581e-08	No	No
Q86TG7	PEG10	1.64579913573064	7.800185384797381e-09	No	No
Q86X51	EZHIP	1.45443982496575	3.5027592342345104e-21	No	No
Q86YQ8	CPNE8	1.07041463723613	2.65651741334703e-10	No	No
Q8IXK2	GALNT12	1.0460433049324	1.16284762198224e-05	No	No
Q8N1Q1	CA13	1.37821953562834	5.302830578846111e-09	No	No
Q8N398	VWA5B2	1.11321956254143	1.4977442057588201e-10	No	No
Q8NFP4	MDGA1	1.03139920333681	0.0091813577890135	No	No
Q8NFT2	STEAP2	1.40132650096252	2.4877711114634e-17	No	No
Q8TCU6	PREX1	1.42232508056289	2.40466134008996e-19	No	No
Q8TDD5	MCOLN3	1.05058587214481	0.0087919809159849	No	No
Q8WW38	ZFPM2	2.50132659942425	4.59756300419245e-15	No	No
Q92614	MYO18A	1.05740510739738	2.52194029405601e-48	No	No
Q92963	RIT1	1.56804575328049	6.80081486453468e-08	No	No
Q969W9	PMEPA1	1.12404023484002	2.02192336633546e-06	No	No
Q96AZ6	ISG20	1.16215486319287	0.0004428606077524	No	No
Q96GY0	ZC2HC1A	2.45505584949848	1.51702571565639e-34	No	No
Q96NY7	CLIC6	2.40644925639567	1.9283216947245402e-19	No	No
Q96QP1	ALPK1	1.48147048964457	1.02086546896184e-09	No	No
Q99500	S1PR3	1.06200937027383	4.54576923423112e-05	No	No
Q99574	SERPINI1	1.76824675232608	7.67086667282059e-28	No	No
Q99576	TSC22D3	1.32856711107034	8.07713208209258e-07	No	No
Q99608	NDN	3.43405376338665	1.26253903289758e-09	No	No
Q99624	SLC38A3	1.02146910989171	0.0059114288461528	No	No
Q99715	COL12A1	2.01074276872224	5.110509375252079e-11	No	No
Q9BQE6	LBHD1	1.13292960170658	4.12084613713006e-05	No	No
Q9BW04	SARG	1.59402793825204	3.62036389817423e-07	No	No
Q9BWH2	FUNDC2	1.62055294395349	8.94529806667262e-37	No	No
Q9BXD5	NPL	1.2872164080854	0.0003733670606691	No	No
Q9BZD2	SLC29A3	1.7981081408727	1.54231023075866e-06	No	No
Q9BZM5	ULBP2	1.19905836135386	1.84229638152644e-13	No	No
Q9BZQ4	NMNAT2	1.51025770032758	0.0002351824929977	No	No
Q9C004	SPRY4	2.80821033449588	3.93152667504099e-13	No	No
Q9GZY6	LAT2	1.76093922575464	8.068821386931581e-10	No	No
Q9H1C3	GLT8D2	1.51604173171302	1.11484077635296e-07	No	No
Q9H2E6	SEMA6A	1.52507462315482	6.47144018457182e-10	No	No
Q9H4G4	GLIPR2	1.02305844087351	4.69406078568823e-05	No	No
Q9HB63	NTN4	2.13782240019738	3.45128852913331e-11	No	No
Q9HCM1	RESF1	1.51107427497611	0.0072714483060629	No	No
Q9HD64	XAGE1B	1.19504739265469	1.20739417893412e-07	No	No
Q9NPB6	PARD6A	1.59675152268801	2.0684576215392002e-10	No	No
Q9NS00	C1GALT1	1.06150706083715	1.66194157966486e-16	No	No
Q9NW07	ZNF358	1.41127388023698	1.30471057351646e-05	No	No
Q9NX09	DDIT4	1.87010036835209	1.5621601713673e-05	No	No
Q9NX95	SYBU	1.26923069496649	0.0026301678295627	No	No
Q9P212	PLCE1	2.06382844075314	7.47256633997722e-10	No	No
Q9P299	COPZ2	1.51380696218839	2.8454880813851e-15	No	No
Q9UDR5	AASS	1.13677007047934	7.53777400252175e-07	No	No
Q9UDT6	CLIP2	1.09433669119235	4.37499752808807e-09	No	No
Q9UHE8	STEAP1	3.06349353141499	4.93185340432141e-15	No	No
Q9UHQ7	TCEAL9	1.50339602628861	3.89893122028194e-05	No	No
Q9UII4	HERC5	2.05196372121838	2.21971087722886e-08	No	No
Q9UJC5	SH3BGRL2	2.0549182379113	5.0741731718855704e-15	No	No
Q9UKB3	DNAJC12	1.86100121278342	2.87172432950311e-05	No	No
Q9UKI2	CDC42EP3	3.12835726889598	4.71950298960481e-16	No	No
Q9ULK6	RNF150	1.36773549997681	5.93445386427238e-07	No	No
Q9ULL4	PLXNB3	1.01923266929375	1.9588804053157403e-15	No	No
Q9UN76	SLC6A14	5.99755627569438	1.90433006525296e-17	No	No
Q9Y2G3	ATP11B	1.07410540406525	1.64661991492786e-10	No	No
Q9Y4H4	GPSM3	1.19779823241334	0.0026500755795102	No	No
Q9Y693	LHFPL6	1.80954122333659	0.0001048581556515	No	No
Q9Y6N8	CDH10	1.67345656119411	6.30711369160362e-05	No	No
A0A140G945;P02489	CRYAA2;CRYAA	-1.76039889131426	0.0001029064380518	No	No
A0A1B0GWB2	PRRT1B	-1.46835424440035	2.0440608278806e-08	No	No
A1L020	MEX3A	-1.4115717968651	1.56616250497978e-26	No	No
A1L170	C1orf226	-1.32280519789486	4.35008503193362e-17	No	No
A4D1S0	KLRG2	-4.11941641424851	1.3989523505693e-69	No	No
A6NMX2	EIF4E1B	-1.15178377940713	9.11897251630267e-08	No	No
B1AK53	ESPN	-1.21825428086076	1.1101707235129e-27	No	No
B3EWG3;B3EWG5;B3EWG6	FAM25A;FAM25C;FAM25G	-1.52847285931859	6.62155182875835e-12	No	No
O00391	QSOX1	-1.12540745221316	5.09822663720172e-28	No	No
O14613	CDC42EP2	-1.07313370648251	0.0039999573444349	No	No
O14684	PTGES	-2.47389462190043	2.86239073757255e-33	No	No
O14904	WNT9A	-1.11850310222906	5.936278735309e-07	No	No
O15440	ABCC5	-1.12203264286809	4.3591691295995e-34	No	No
O60503	ADCY9	-1.39986791286853	3.91156321605775e-35	No	No
O60663	LMX1B	-1.23534109870508	1.65856065909689e-05	No	No
O60704	TPST2	-1.29524188584295	5.958639104416539e-18	No	No
O60879	DIAPH2	-1.90713114920928	1.8117263179621e-06	No	No
O75052	NOS1AP	-1.19989489913173	1.46110167123585e-23	No	No
O75452	RDH16	-3.04272667534493	9.989160646175719e-30	No	No
O76070	SNCG	-1.53328649092407	2.78532431804274e-41	No	No
O94929	ABLIM3	-1.03318749531276	0.0080243337435296	No	No
O94953	KDM4B	-1.09526253442266	1.3382760458018298e-42	No	No
O94955	RHOBTB3	-2.22407221583309	1.17037943480353e-18	No	No
O95069	KCNK2	-1.82285390303266	1.01755402810569e-39	No	No
O95259	KCNH1	-1.64703913039145	1.0750490361726e-08	No	No
O95279	KCNK5	-2.23838141491666	1.2731633666684398e-11	No	No
O95425	SVIL	-1.68982788442231	9.940952768578819e-28	No	No
O95817	BAG3	-1.33381836739245	2.9566514641370798e-33	No	No
P00966	ASS1	-3.30950385011133	3.30587803496504e-64	No	No
P01033	TIMP1	-1.53250112989052	3.4784158277644e-11	No	No
P02511	CRYAB	-1.32336188436687	2.05664538753981e-14	No	No
P02751	FN1	-1.06017755098785	9.16115114325438e-05	No	No
P02786	TFRC	-1.10317133969166	7.01717363276154e-19	No	No
P05091	ALDH2	-4.1992865655885	9.09916998999188e-66	No	No
P06276	BCHE	-1.87480756501116	9.04196106672522e-05	No	No
P06870	KLK1	-1.20086790909857	0.0001348898068877	No	No
P07996	THBS1	-1.06687433729998	7.633474810734291e-35	No	No
P08842	STS	-2.5918873862709	4.08343588557476e-34	No	No
P08913	ADRA2A	-1.36024188439582	1.89381996575782e-05	No	No
P0DMM9;P0DMN0	SULT1A3;SULT1A4	-1.08545823636813	5.40369305994682e-06	No	No
P10275	AR	-1.80238573683248	3.02823095570277e-32	No	No
P10636	MAPT	-3.80204268218592	2.56169425410203e-38	No	No
P10912	GHR	-1.33423891814584	2.03302862406619e-05	No	No
P15514	AREG	-3.2469673902051	1.59693154781482e-25	No	No
P15882	CHN1	-1.24723964979165	0.0036903486619129	No	No
P16070	CD44	-1.09279088530915	2.70863510629672e-16	No	No
P17302	GJA1	-7.19619950117807	2.33354088075573e-58	No	No
P17600	SYN1	-2.79741216354646	1.0899496076932201e-17	No	No
P17661	DES	-1.00582449395354	2.2237951335762e-06	No	No
P18065	IGFBP2	-1.51789940405531	5.17794570787169e-28	No	No
P19544	WT1	-3.67592446689211	8.95419978116612e-16	No	No
P21359	NF1	-4.24954074277511	2.09289835423463e-48	No	No
P23378	GLDC	-1.80893106531705	2.5227810827077697e-13	No	No
P23458	JAK1	-1.15932193625467	7.54036458801411e-32	No	No
P27144	AK4	-1.26072236350177	2.37922808618555e-38	No	No
P27544	CERS1	-1.42008305367892	2.5607509616582098e-11	No	No
P29400	COL4A5	-1.07324014980581	8.06409437951976e-06	No	No
P29762	CRABP1	-2.76762764543044	9.47396416747638e-13	No	No
P30837	ALDH1B1	-1.51500856901811	3.5688690657703796e-42	No	No
P32004	L1CAM	-2.1210751911759	2.87985953029875e-33	No	No
P34741	SDC2	-1.52416465769177	1.589057168242e-33	No	No
P35568	IRS1	-1.45921737639766	7.01621069729477e-07	No	No
P40189	IL6ST	-1.12630338475483	9.72060585652068e-35	No	No
P41212	ETV6	-1.11625125176296	7.687380873753131e-09	No	No
P42785	PRCP	-1.31660538136839	1.92664592569537e-40	No	No
P47974	ZFP36L2	-1.16601930152601	2.51332738396244e-14	No	No
P48061	CXCL12	-1.92367958700322	2.8108248767154e-17	No	No
P48066	SLC6A11	-1.10589070455948	0.0013561193938345	No	No
P48200	IREB2	-1.62738366524039	1.3114642031236201e-35	No	No
P48539	PCP4	-1.91165550540359	2.38166944261746e-08	No	No
P49006	MARCKSL1	-2.01551445242435	8.91941094993052e-46	No	No
P49703	ARL4D	-1.94300429532595	2.15674034447396e-08	No	No
P49789	FHIT	-1.01254339842836	1.032502774933e-15	No	No
P50148	GNAQ	-1.08385787789869	1.41423628108811e-09	No	No
P50440	GATM	-1.70526357753264	6.8033645342741e-26	No	No
P52566	ARHGDIB	-1.03711669497279	5.1466393821068e-12	No	No
P52741	ZNF134	-1.61226469741784	2.47594537651703e-07	No	No
P52789	HK2	-1.03729585319663	4.0717442926042e-23	No	No
P52799	EFNB2	-1.3196709565102	7.30054051880178e-06	No	No
P52823	STC1	-1.35117883484091	7.31554315718643e-05	No	No
P53634	CTSC	-1.28709534822431	5.951744950582911e-23	No	No
P53985	SLC16A1	-4.23145230237134	3.72458206720694e-46	No	No
P54108	CRISP3	-1.32478895769778	2.73461786855441e-05	No	No
P57087	JAM2	-1.16569998895304	0.0001740257387844	No	No
P57729	RAB38	-1.87741110598197	1.2601655276723799e-22	No	No
P63096	GNAI1	-3.85668281824668	1.6189956667507902e-25	No	No
P78357	CNTNAP1	-1.38043894762609	5.06870080652942e-15	No	No
P78410	BTN3A2	-1.49176735364306	8.4007856253843e-08	No	No
Q00973	B4GALNT1	-2.04115090794082	5.21103935830584e-06	No	No
Q01826	SATB1	-2.47974748579335	4.33564032562901e-32	No	No
Q01974	ROR2	-1.03895420851776	2.6577215039845596e-40	No	No
Q07654	TFF3	-1.20078199842458	3.77639347457746e-09	No	No
Q12805	EFEMP1	-1.44792363316723	8.34552782813865e-23	No	No
Q13003	GRIK3	-4.92440941061931	4.50807869733475e-47	No	No
Q13009	TIAM1	-1.30889891589351	1.86084441401715e-08	No	No
Q13069	GAGE5	-1.02379307648609	7.19014196812603e-05	No	No
Q13576	IQGAP2	-2.43323783979314	3.8034755445061894e-11	No	No
Q13636	RAB31	-2.19270052468883	1.46910721759665e-25	No	No
Q13641	TPBG	-1.11751076623639	5.387641040820931e-32	No	No
Q13671	RIN1	-1.10264081156535	2.24289801587736e-13	No	No
Q13740	ALCAM	-1.25469535464272	1.68562327211345e-07	No	No
Q13884	SNTB1	-1.42281287359049	4.76959609344307e-08	No	No
Q13950	RUNX2	-1.4500414666342	1.10593631997082e-15	No	No
Q14168	MPP2	-2.04208169827553	1.74935541209676e-19	No	No
Q15052	ARHGEF6	-1.15022646726461	8.26719353102589e-17	No	No
Q15735	INPP5J	-1.29755901181704	3.56034530171023e-28	No	No
Q15847	ADIRF	-1.46049678602215	5.02088090299631e-08	No	No
Q16143	SNCB	-1.54196989070558	5.40668058435667e-08	No	No
Q18PE1	DOK7	-1.56364574807053	1.17026316149708e-07	No	No
Q29980	MICB	-1.045830966209	6.36540067040322e-24	No	No
Q2M3V2	SOWAHA	-2.01436647965311	1.6888519793547e-22	No	No
Q2NL68	PROSER3	-1.00115034278268	1.06969132534895e-06	No	No
Q3MIP1	ITPRIPL2	-1.27571042624884	9.53459502864022e-16	No	No
Q4V321	GAGE13	-1.27218087446186	2.39828342835588e-08	No	No
Q52LW3	ARHGAP29	-1.60958237820965	8.33650149423746e-37	No	No
Q53H80	AKIRIN2	-1.07289450066014	1.5594124277907e-05	No	No
Q53R41	FASTKD1	-1.00262755937308	1.10032572450368e-09	No	No
Q58DX5	NAALADL2	-1.83360096210673	1.38404914985462e-24	No	No
Q5JSP0	FGD3	-1.29188186966334	2.22110128396821e-07	No	No
Q5SRE7	PHYHD1	-1.61924898667697	6.67920572183258e-07	No	No
Q5SZK8	FREM2	-1.08740002361723	9.88079452520209e-05	No	No
Q5T481	RBM20	-2.44294021383033	1.00165806253849e-19	No	No
Q5T6C5	ATXN7L2	-1.2595967407486	0.0021109807692328	No	No
Q5T848	GPR158	-1.39280387891438	5.37146661221169e-06	No	No
Q5VWT5	FYB2	-1.4414721489097	9.18324375444348e-10	No	No
Q5VX52	SPATA1	-3.4409086550799	2.12334013357098e-23	No	No
Q68D85	NCR3LG1	-1.36772213178913	4.26432023319057e-18	No	No
Q6DKJ4	NXN	-1.25663314283487	4.95284380632439e-33	No	No
Q6P4A8	PLBD1	-1.65786114612371	1.60690282794824e-18	No	No
Q6QHC5	DEGS2	-2.2581256330851	1.6097166974594499e-34	No	No
Q6UWB1	IL27RA	-1.01040465325376	0.0013953577576241	No	No
Q6UWI4	SHISA2	-1.96309148266751	2.19742654956584e-16	No	No
Q6UX71	PLXDC2	-2.53260371885155	2.85614392095753e-30	No	No
Q6UXI9	NPNT	-2.00223522659362	7.43356202416885e-10	No	No
Q6ZNA1	ZNF836	-1.01342579248397	0.0093931184388126	No	No
Q6ZNL6	FGD5	-2.0629288318713	8.88811753549693e-07	No	No
Q6ZUT6	CCDC9B	-1.22591203850551	2.30513699413929e-07	No	No
Q6ZW31	SYDE1	-1.85905832578178	3.87327338859352e-05	No	No
Q76EJ3	SLC35D2	-1.0989009629392	0.0003866471237473	No	No
Q7L0X0	TRIL	-1.27013058655935	1.91073152225749e-21	No	No
Q7L5L3	GDPD3	-1.29054522709427	9.452564624556109e-22	No	No
Q7Z7D3	VTCN1	-1.08630571659095	2.82081647037084e-08	No	No
Q86SQ0	PHLDB2	-1.31670879470628	8.80040035148329e-15	No	No
Q86UK0	ABCA12	-2.62989003961129	6.42875842113234e-24	No	No
Q86UN2	RTN4RL1	-1.25246695053779	1.98651551438783e-07	No	No
Q86UX6	STK32C	-1.2452029875439	1.44348882370318e-10	No	No
Q86VV4	RANBP3L	-1.10407878439781	2.08026564741061e-06	No	No
Q86VW0	SESTD1	-1.20250816299139	0.0002449529909423	No	No
Q86VZ5	SGMS1	-1.07105622163484	9.83458668501407e-16	No	No
Q86WK9	PAQR7	-1.17590433462705	0.0040579453707279	No	No
Q86WV6	STING1	-2.43698147423011	4.0055664903218696e-12	No	No
Q86YD5	LDLRAD3	-1.31754754779771	1.51537732182377e-07	No	No
Q8IVL6	P3H3	-1.63943957913443	3.1182128000756603e-09	No	No
Q8IWY4	SCUBE1	-2.09577915719417	3.6656500368788e-08	No	No
Q8N720	ZNF655	-1.51583012648304	0.0085799017869753	No	No
Q8NCW0	KREMEN2	-1.69973131889876	1.67124817435227e-13	No	No
Q8NFW9	MYRIP	-2.40991011689112	1.14998209430412e-10	No	No
Q8NHA6	OR2W6P	-1.25979123665012	0.0003186014011269	No	No
Q8NHQ8	RASSF8	-1.04766352444134	0.001821807081278	No	No
Q8TAD7	OCC1	-1.78143664769913	3.05105589433875e-17	No	No
Q8TE85	GRHL3	-1.11085314883835	0.0078669949687272	No	No
Q8WU20	FRS2	-1.04295345777517	9.99072344206535e-16	No	No
Q8WWX9	SELENOM	-1.51201599576304	1.8158780110525099e-12	No	No
Q8WXE9	STON2	-1.41994187069002	3.0497182353025e-06	No	No
Q8WXK3	ASB13	-1.29574810358965	4.07923990033157e-06	No	No
Q92478	CLEC2B	-2.96438287007525	2.56309492008305e-23	No	No
Q92565	RAPGEF5	-1.47397311282536	0.0016420236936803	No	No
Q92870	APBB2	-2.24491822805011	2.8246257554882e-50	No	No
Q96AH8	RAB7B	-1.66201909100951	7.1177405993623e-08	No	No
Q96AY3	FKBP10	-1.57649495320467	3.10342944330633e-51	No	No
Q96D70	R3HDM4	-1.21790357902114	1.90562770596321e-05	No	No
Q96FL8	SLC47A1	-2.14519008164006	2.42003959030805e-16	No	No
Q96FZ5	CMTM7	-2.20481267900041	1.93608829385701e-06	No	No
Q96G01	BICD1	-1.09352331295334	4.2308198107987494e-12	No	No
Q96GV9	MACIR	-1.42525674611987	3.37907762068527e-13	No	No
Q96J66	ABCC11	-1.32792179803374	2.0728493925619e-09	No	No
Q96PD5	PGLYRP2	-2.25475443416162	3.61094606535802e-14	No	No
Q96PN7	TRERF1	-1.7689292195567	5.99058814849999e-19	No	No
Q96S53	TESK2	-1.44596893379923	8.42573201472301e-28	No	No
Q99424	ACOX2	-1.17066123640052	1.82926758658598e-06	No	No
Q9BQT9	CLSTN3	-1.00313595282143	8.56849081214105e-05	No	No
Q9BX46	RBM24	-2.20804550380569	3.9603516380559704e-14	No	No
Q9BX66	SORBS1	-1.02512653135615	4.904290350949681e-09	No	No
Q9BY76	ANGPTL4	-1.11623366117085	0.0008620349085137	No	No
Q9BY84	DUSP16	-1.87884708561368	4.52226240571004e-14	No	No
Q9BYG5	PARD6B	-1.48852878211984	2.0645493888049197e-40	No	No
Q9BZF3	OSBPL6	-1.06322053697359	7.00496204522009e-07	No	No
Q9BZI1	IRX2	-1.38220361985823	4.68158375528102e-10	No	No
Q9C0D0	PHACTR1	-2.59379874773684	2.21328328810627e-51	No	No
Q9H0Z9	RBM38	-1.07615984489881	2.8850368043022198e-22	No	No
Q9H329	EPB41L4B	-1.20420310998685	3.2641194824734e-17	No	No
Q9H3G5	CPVL	-2.81178691203028	6.43344566496388e-50	No	No
Q9H6L5	RETREG1	-1.57942084410987	7.04350403520272e-08	No	No
Q9H898	ZMAT4	-2.21033662216421	5.73951242337679e-10	No	No
Q9H9H5	MAP6D1	-1.31988245548013	2.52720417378142e-12	No	No
Q9H9K5	ERVMER34-1	-1.31545662520734	0.0009637126568592	No	No
Q9H9R9	DBNDD1	-1.05530854720845	4.81011944958099e-05	No	No
Q9H9Z2	LIN28A	-1.31018343723288	4.0330975622815104e-21	No	No
Q9HAN9	NMNAT1	-1.27723947118937	1.3846762146471701e-14	No	No
Q9HBL0	TNS1	-2.51562514383582	5.14570826230894e-24	No	No
Q9HCK4	ROBO2	-3.76988913235483	2.77217656421128e-48	No	No
Q9HD67	MYO10	-1.12467688992647	4.98488703807349e-13	No	No
Q9NP50	SINHCAF	-1.1292552216093	6.96662491967036e-05	No	No
Q9NP59	SLC40A1	-2.36413545407013	2.74607632897044e-40	No	No
Q9NQ36	SCUBE2	-2.03688003467424	2.08730434089298e-28	No	No
Q9NR34	MAN1C1	-1.16863167584737	8.227290358414121e-09	No	No
Q9NU02	ANKEF1	-1.1268648545738	0.0040102687094012	No	No
Q9NUD5	ZCCHC3	-1.03498186400505	1.6768505959141102e-17	No	No
Q9NUU6	OTULINL	-1.36941466660436	9.42943622275337e-15	No	No
Q9NVF9	ETNK2	-1.03540504869419	9.266497395773181e-09	No	No
