term,fdr,Odds Ratio,Combined Score,Genes,description
Frs2-mediated Activation,0.7644542,8.546753,17.76014,BRAF,Frs2-mediated Activation
Heme Biosynthesis,0.7644542,8.546753,17.76014,UROS,Heme Biosynthesis
Ubiquinol Biosynthesis,0.7644542,8.546753,17.76014,COQ8A,Ubiquinol Biosynthesis
RHOD GTPase Cycle,0.7644542,3.248698,6.48255,VRK2;ARHGAP35,RHOD GTPase Cycle
O2 CO2 Exchange in Erythrocytes,0.7644542,7.477273,14.71756,CA1,O2 CO2 Exchange in Erythrocytes
Erythrocytes Take up Carbon Dioxide and Release Oxygen,0.7644542,7.477273,14.71756,CA1,Erythrocytes Take up Carbon Dioxide and Release Oxygen
Interleukin-35 Signalling,0.7644542,7.477273,14.71756,IL27RA,Interleukin-35 Signalling
RHOB GTPase Cycle,0.7644542,3.162723,6.181573,AKAP13;ARHGAP35,RHOB GTPase Cycle
FCERI Mediated MAPK Activation,0.7644542,2.380117,4.635145,IGLV3-22;IGHE;IGHV3-9,FCERI Mediated MAPK Activation
FCERI Mediated Ca+2 Mobilization,0.7644542,2.348846,4.511312,IGLV3-22;IGHE;IGHV3-9,FCERI Mediated Ca+2 Mobilization
Interleukin-12 Family Signaling,0.7644542,3.00367,5.636113,CA1;IL27RA,Interleukin-12 Family Signaling
"PTK6 Regulates RHO GTPases, RAS GTPase and MAP Kinases",0.7644542,6.645455,12.43374,ARHGAP35,"PTK6 Regulates RHO GTPases, RAS GTPase and MAP Kinases"
Prolonged ERK Activation Events,0.7644542,6.645455,12.43374,BRAF,Prolonged ERK Activation Events
Recognition of DNA Damage by PCNA-containing Replication Complex,0.7644542,6.645455,12.43374,CUL4B,Recognition of DNA Damage by PCNA-containing Replication Complex
Dual Incision in GG-NER,0.7644542,6.645455,12.43374,CUL4B,Dual Incision in GG-NER
Retrograde Transport at the Trans-Golgi-Network,0.7644542,2.929962,5.388517,VTI1A;STX10,Retrograde Transport at the Trans-Golgi-Network
Post-translational Protein Phosphorylation,0.7644542,2.231481,4.05696,IGFBP1;SPP2;SCG3,Post-translational Protein Phosphorylation
Aberrant Regulation of Mitotic Exit in Cancer Due to RB1 Defects,0.7644542,5.98,10.66683,CDC27,Aberrant Regulation of Mitotic Exit in Cancer Due to RB1 Defects
Conversion From APC C Cdc20 to APC C Cdh1 in Late Anaphase,0.7644542,5.98,10.66683,CDC27,Conversion From APC C Cdc20 to APC C Cdh1 in Late Anaphase
Interleukin-27 Signaling,0.7644542,5.98,10.66683,IL27RA,Interleukin-27 Signaling
The NLRP3 Inflammasome,0.7644542,5.98,10.66683,TXNIP,The NLRP3 Inflammasome
KSRP (KHSRP) Binds and Destabilizes mRNA,0.7644542,5.98,10.66683,EXOSC8,KSRP (KHSRP) Binds and Destabilizes mRNA
APC-Cdc20 Mediated Degradation of Nek2A,0.7644542,5.435537,9.26631,CDC27,APC-Cdc20 Mediated Degradation of Nek2A
APC C Cdc20 Mediated Degradation of Cyclin B,0.7644542,5.435537,9.26631,CDC27,APC C Cdc20 Mediated Degradation of Cyclin B
tRNA Modification in the Nucleus and Cytosol,0.7644542,5.435537,9.26631,URM1,tRNA Modification in the Nucleus and Cytosol
Butyrate Response Factor 1 (BRF1) Binds and Destabilizes mRNA,0.7644542,5.435537,9.26631,EXOSC8,Butyrate Response Factor 1 (BRF1) Binds and Destabilizes mRNA
Phosphorylation of the APC C,0.7644542,5.435537,9.26631,CDC27,Phosphorylation of the APC C
Spry Regulation of FGF Signaling,0.7644542,5.435537,9.26631,BRAF,Spry Regulation of FGF Signaling
Synthesis of PIPs at the Golgi Membrane,0.7644542,5.435537,9.26631,PI4K2B,Synthesis of PIPs at the Golgi Membrane
Inactivation of APC C via Direct Inhibition of the APC C Complex,0.7644542,5.435537,9.26631,CDC27,Inactivation of APC C via Direct Inhibition of the APC C Complex
Inflammasomes,0.7644542,5.435537,9.26631,TXNIP,Inflammasomes
Inhib of Proteolytic Activity of APC C Required for Onset of Anaphase by Mitotic Spindle Checkpoint,0.7644542,5.435537,9.26631,CDC27,Inhib of Proteolytic Activity of APC C Required for Onset of Anaphase by Mitotic Spindle Checkpoint
Interleukin-37 Signaling,0.7644542,5.435537,9.26631,PTPN2,Interleukin-37 Signaling
"Tristetraprolin (TTP, ZFP36) Binds and Destabilizes mRNA",0.7644542,5.435537,9.26631,EXOSC8,"Tristetraprolin (TTP, ZFP36) Binds and Destabilizes mRNA"
Biological Oxidations,0.7644542,2.07567,3.480305,ADH4;ADH1B;EPHX1,Biological Oxidations
Interferon Gamma Signaling,0.7644542,2.609493,4.352725,GBP2;PTPN2,Interferon Gamma Signaling
RHOC GTPase Cycle,0.7644542,2.553582,4.179183,AKAP13;ARHGAP35,RHOC GTPase Cycle
Interleukin-4 and Interleukin-13 Signaling,0.7644542,2.553582,4.179183,LAMA5;IGHE,Interleukin-4 and Interleukin-13 Signaling
Negative Regulation of FGFR1 Signaling,0.7644542,4.981818,8.133935,BRAF,Negative Regulation of FGFR1 Signaling
Negative Regulation of FGFR2 Signaling,0.7644542,4.981818,8.133935,BRAF,Negative Regulation of FGFR2 Signaling
Negative Regulation of FGFR3 Signaling,0.7644542,4.981818,8.133935,BRAF,Negative Regulation of FGFR3 Signaling
Negative Regulation of FGFR4 Signaling,0.7644542,4.981818,8.133935,BRAF,Negative Regulation of FGFR4 Signaling
Negative Regulation of MET Activity,0.7644542,4.981818,8.133935,PTPN2,Negative Regulation of MET Activity
Metabolism of Cofactors,0.7644542,4.981818,8.133935,COQ8A,Metabolism of Cofactors
Unfolded Protein Response (UPR),0.7644542,2.5,4.014984,IGFBP1;EXOSC8,Unfolded Protein Response (UPR)
Notch-HLH Transcription Pathway,0.7644542,4.597902,7.203058,HDAC7,Notch-HLH Transcription Pathway
Regulation of KIT Signaling,0.7644542,4.597902,7.203058,SH2B3,Regulation of KIT Signaling
"FOXO-mediated Transcription of Oxidative Stress, Metabolic and Neuronal Genes",0.7644542,4.597902,7.203058,IGFBP1,"FOXO-mediated Transcription of Oxidative Stress, Metabolic and Neuronal Genes"
Synthesis of PIPs at the Early Endosome Membrane,0.7644542,4.597902,7.203058,PI4K2B,Synthesis of PIPs at the Early Endosome Membrane
Binding and Uptake of Ligands by Scavenger Receptors,0.7644542,1.939964,3.004288,IGLV3-22;IGHV3-9;FTL,Binding and Uptake of Ligands by Scavenger Receptors
Glycolysis,0.7644542,2.399266,3.712047,ALDOB;ENO3,Glycolysis
Regulation of IGF Transport and Uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),0.7644542,1.919031,2.933142,IGFBP1;SPP2;SCG3,Regulation of IGF Transport and Uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
Aberrant Regulation of Mitotic Cell Cycle Due to RB1 Defects,0.7644542,4.268831,6.42699,CDC27,Aberrant Regulation of Mitotic Cell Cycle Due to RB1 Defects
NOTCH1 Intracellular Domain Regulates Transcription,0.7644542,4.268831,6.42699,HDAC7,NOTCH1 Intracellular Domain Regulates Transcription
CD28 Dependent PI3K Akt Signaling,0.7644542,4.268831,6.42699,MTOR,CD28 Dependent PI3K Akt Signaling
Diseases of Mitotic Cell Cycle,0.7644542,4.268831,6.42699,CDC27,Diseases of Mitotic Cell Cycle
Formation of Incision Complex in GG-NER,0.7644542,4.268831,6.42699,CUL4B,Formation of Incision Complex in GG-NER
Triglyceride Catabolism,0.7644542,4.268831,6.42699,PLIN1,Triglyceride Catabolism
