,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
0,GO:0046836,glycolipid transport,GO:0046836,0.03666092,352.65,1893.015,PLTP,Glycolipid Transport (GO:0046836)
1,GO:0005513,detection of calcium ion,GO:0005513,0.03666092,352.65,1893.015,STIM1,Detection of Calcium Ion (GO:0005513)
2,GO:0034505,tooth mineralization,GO:0034505,0.03666092,352.65,1893.015,STIM1,Tooth Mineralization (GO:0034505)
3,GO:1903566,positive regulation of protein localization to cilium,GO:1903566,0.03666092,235.0667,1194.373,EFCAB7,Positive Regulation of Protein Localization to Cilium (GO:1903566)
4,GO:1901341,positive regulation of store-operated calcium channel activity,GO:1901341,0.03666092,705.4,4072.085,STIM1,Positive Regulation of Store-Operated Calcium Channel Activity (GO:1901341)
5,GO:0006000,fructose metabolic process,GO:0006000,0.03666092,352.65,1893.015,SORD,Fructose Metabolic Process (GO:0006000)
6,GO:0044725,epigenetic programming in the zygotic pronuclei,GO:0044725,0.03666092,235.0667,1194.373,SUV39H1,Epigenetic Programming in the Zygotic Pronuclei (GO:0044725)
7,GO:0051349,positive regulation of lyase activity,GO:0051349,0.03666092,inf,inf,STIM1,Positive Regulation of Lyase Activity (GO:0051349)
8,GO:1904031,positive regulation of cyclin-dependent protein kinase activity,GO:1904031,0.03666092,235.0667,1194.373,MAPRE3,Positive Regulation of Cyclin-Dependent Protein Kinase Activity (GO:1904031)
9,GO:0045765,regulation of angiogenesis,GO:0045765,0.03666092,20.40643,103.7198,RNASEH1;STIM1,Regulation of Angiogenesis (GO:0045765)
10,GO:0034375,high-density lipoprotein particle remodeling,GO:0034375,0.04177992,100.6857,442.0784,PLTP,High-Density Lipoprotein Particle Remodeling (GO:0034375)
11,GO:0042886,amide transport,GO:0042886,0.04177992,100.6857,442.0784,PLTP,Amide Transport (GO:0042886)
12,GO:0010793,regulation of mRNA export from nucleus,GO:0010793,0.04177992,117.4833,531.4359,IWS1,Regulation of mRNA Export From Nucleus (GO:0010793)
13,GO:0035372,protein localization to microtubule,GO:0035372,0.04177992,100.6857,442.0784,MAPRE3,Protein Localization to Microtubule (GO:0035372)
14,GO:0006941,striated muscle contraction,GO:0006941,0.04177992,100.6857,442.0784,GAA,Striated Muscle Contraction (GO:0006941)
15,GO:0051125,regulation of actin nucleation,GO:0051125,0.04893658,78.28889,326.3822,RNASEH1,Regulation of Actin Nucleation (GO:0051125)
16,GO:0032376,positive regulation of cholesterol transport,GO:0032376,0.04893658,70.45,287.0374,PLTP,Positive Regulation of Cholesterol Transport (GO:0032376)
17,GO:0046831,regulation of RNA export from nucleus,GO:0046831,0.0538148,58.69167,229.4082,IWS1,Regulation of RNA Export From Nucleus (GO:0046831)
18,GO:0015748,organophosphate ester transport,GO:0015748,0.05421687,54.16923,207.7553,PLTP,Organophosphate Ester Transport (GO:0015748)
19,GO:1903311,regulation of mRNA metabolic process,GO:1903311,0.05421687,54.16923,207.7553,IWS1,Regulation of mRNA Metabolic Process (GO:1903311)
20,GO:0080171,lytic vacuole organization,GO:0080171,0.05567915,50.29286,189.4539,GAA,Lytic Vacuole Organization (GO:0080171)
21,GO:0032271,regulation of protein polymerization,GO:0032271,0.06381613,39.09444,138.1383,MAPRE3,Regulation of Protein Polymerization (GO:0032271)
22,GO:0031110,regulation of microtubule polymerization or depolymerization,GO:0031110,0.06473006,37.03158,128.9759,MAPRE3,Regulation of Microtubule Polymerization or Depolymerization (GO:0031110)
23,GO:0042149,cellular response to glucose starvation,GO:0042149,0.0728249,29.29583,95.59956,SUV39H1,Cellular Response to Glucose Starvation (GO:0042149)
24,GO:0043489,RNA stabilization,GO:0043489,0.0728249,30.57391,100.9968,RNASEH1,RNA Stabilization (GO:0043489)
25,GO:0006368,transcription elongation by RNA polymerase II,GO:0006368,0.07645867,26.02963,82.0463,IWS1,Transcription Elongation by RNA Polymerase II (GO:0006368)
26,GO:0036294,cellular response to decreased oxygen levels,GO:0036294,0.07743249,23.41667,71.47627,SUV39H1,Cellular Response to Decreased Oxygen Levels (GO:0036294)
27,GO:0055074,calcium ion homeostasis,GO:0055074,0.07743249,25.09643,78.24185,STIM1,Calcium Ion Homeostasis (GO:0055074)
28,GO:0045787,positive regulation of cell cycle,GO:0045787,0.08008738,21.94687,65.64873,MAPRE3,Positive Regulation of Cell Cycle (GO:0045787)
29,GO:0006893,Golgi to plasma membrane transport,GO:0006893,0.08821463,17.5375,48.75121,VPS35L,Golgi to Plasma Membrane Transport (GO:0006893)
30,GO:0016070,RNA metabolic process,GO:0016070,0.09644229,14.29796,36.99892,RNASEH1,RNA Metabolic Process (GO:0016070)
31,GO:0006260,DNA replication,GO:0006260,0.1083728,12.06379,29.2971,RNASEH1,DNA Replication (GO:0006260)
32,GO:0006629,lipid metabolic process,GO:0006629,0.1410953,8.503659,17.89197,PLTP,Lipid Metabolic Process (GO:0006629)
33,GO:0010629,negative regulation of gene expression,GO:0010629,0.2858057,3.593717,4.819163,RNASEH1,Negative Regulation of Gene Expression (GO:0010629)
