term,fdr,Odds Ratio,Combined Score,Genes,description
rRNA Modification in the Mitochondrion,0.4717046,113.4483,794.075,TFB1M;MRM3,rRNA Modification in the Mitochondrion
Circadian Clock,0.6248021,11.41913,64.30417,RBM4;CARM1;CSNK1D,Circadian Clock
NRAGE Signals Death Through JNK,0.6248021,8.557826,42.10742,TRIO;ARHGEF3;SOS2,NRAGE Signals Death Through JNK
G0 and Early G1,0.6248021,18.89368,91.13701,CDK2;DYRK1A,G0 and Early G1
Lysine Catabolism,0.6248021,16.19212,74.22275,PHYKPL;AASS,Lysine Catabolism
"Cell Death Signalling via NRAGE, NRIF and NADE",0.6248021,6.10528,24.97491,TRIO;ARHGEF3;SOS2,"Cell Death Signalling via NRAGE, NRIF and NADE"
G2 Phase,0.6248021,inf,inf,CDK2,G2 Phase
Toxicity of Botulinum Toxin Type A (botA),0.6248021,inf,inf,SV2A,Toxicity of Botulinum Toxin Type A (botA)
Toxicity of Botulinum Toxin Type E (botE),0.6248021,inf,inf,SV2A,Toxicity of Botulinum Toxin Type E (botE)
Lysosphingolipid and LPA Receptors,0.6248021,inf,inf,LPAR5,Lysosphingolipid and LPA Receptors
Carboxyterminal Post-Translational Modifications of Tubulin,0.6248021,9.438218,35.05253,PGS1;TUBA4B,Carboxyterminal Post-Translational Modifications of Tubulin
Miscellaneous Transport and Binding Events,0.6248021,8.710875,31.20422,LRRC8C;ADD2,Miscellaneous Transport and Binding Events
Macroautophagy,0.6248021,2.98903,10.25443,RPTOR;ATG101;FUNDC1;ATG13;TUBA4B,Macroautophagy
G Alpha (12 13) Signalling Events,0.6248021,4.613866,15.76484,TRIO;ARHGEF3;SOS2,G Alpha (12 13) Signalling Events
Acyl Chain Remodeling of DAG and TAG,0.6248021,56.23932,188.6638,DGAT1,Acyl Chain Remodeling of DAG and TAG
PTK6 Regulates Cell Cycle,0.6248021,56.23932,188.6638,CDK2,PTK6 Regulates Cell Cycle
PTK6 Promotes HIF1A Stabilization,0.6248021,56.23932,188.6638,EGFR,PTK6 Promotes HIF1A Stabilization
EGFR Interacts With Phospholipase C-gamma,0.6248021,56.23932,188.6638,EGFR,EGFR Interacts With Phospholipase C-gamma
ERBB2 Activates PTK6 Signaling,0.6248021,56.23932,188.6638,EGFR,ERBB2 Activates PTK6 Signaling
Signaling by Overexpressed Wild-Type EGFR in Cancer,0.6248021,56.23932,188.6638,EGFR,Signaling by Overexpressed Wild-Type EGFR in Cancer
Inhibition of Signaling by Overexpressed EGFR,0.6248021,56.23932,188.6638,EGFR,Inhibition of Signaling by Overexpressed EGFR
Toxicity of Botulinum Toxin Type D (botD),0.6248021,56.23932,188.6638,SV2A,Toxicity of Botulinum Toxin Type D (botD)
Toxicity of Botulinum Toxin Type F (botF),0.6248021,56.23932,188.6638,SV2A,Toxicity of Botulinum Toxin Type F (botF)
rRNA Processing in the Mitochondrion,0.6248021,7.547126,25.25506,TFB1M;MRM3,rRNA Processing in the Mitochondrion
Triglyceride Metabolism,0.6248021,7.074353,22.92023,LIPE;DGAT1,Triglyceride Metabolism
