Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO_Biological_Process_2023__Response To Molecule Of Bacterial Origin (GO:0002237),0.6554616301758627,1.748695028331981,0.004201680672268907,0.4394379247622852,0.977,9/35,4.34%,PALM3;S100A14;TNFAIP3;TLR4;S100A8;S100A7;S100A9;NOCT;LGALS9
prerank,GO_Biological_Process_2023__Negative Regulation Of Fatty Acid Metabolic Process (GO:0045922),0.8043535344971653,1.7472476105479833,0.004366812227074236,0.42181661369203344,0.978,2/13,1.12%,APOC3;TRIB3
prerank,GO_Biological_Process_2023__Positive Regulation Of miRNA Metabolic Process (GO:2000630),0.6422855565040637,1.743556852540051,0.004166666666666667,0.4161174851306236,0.979,9/36,5.96%,EGR1;GATA3;KLF5;HIF1A;FOS;FOSL1;FOXA1;MYC;SMAD3
prerank,GO_Biological_Process_2023__Positive Regulation Of Cell Communication (GO:0010647),0.7670363368255666,1.7397143681428677,0.012552301255230125,0.4120869242014097,0.982,8/15,13.91%,GATA3;CLSTN3;ANK3;GRIK2;SYT1;GATA6;WLS;HOMER1
prerank,GO_Biological_Process_2023__Transcription By RNA Polymerase I (GO:0006360),-0.8093564860671201,-1.739176175637125,0.0,0.8895535318247235,0.939,1/13,0.08%,NKX2-1
prerank,GO_Biological_Process_2023__Positive Regulation Of DNA Replication (GO:0045740),-0.775668643653777,-1.737632171242804,0.006024096385542169,0.730323890219248,0.941,3/14,4.12%,EGF;GLI2;DNA2
prerank,GO_Biological_Process_2023__Fc Receptor Signaling Pathway (GO:0038093),0.7573666510607557,1.733132296247096,0.006329113924050633,0.4231802020845726,0.989,2/15,2.03%,VAV3;KIT
prerank,GO_Biological_Process_2023__Negative Regulation Of Chemotaxis (GO:0050922),-0.7413660494931591,-1.7272414255762347,0.00945179584120983,0.7012742470634068,0.963,8/18,6.88%,SEMA6B;ROBO1;SEMA3B;NRG1;THBS1;SEMA4C;SEMA3C;SEMA4D
prerank,GO_Biological_Process_2023__Regulation Of miRNA Transcription (GO:1902893),0.6359562298289906,1.7265966172729197,0.006437768240343348,0.4340227125458828,0.993,10/41,5.96%,EGR1;GATA3;KLF5;HIF1A;FOS;FOSL1;NFATC3;FOXA1;MYC;SMAD3
prerank,GO_Biological_Process_2023__Response To Estrogen (GO:0043627),0.7049237642293273,1.715373287698985,0.017167381974248927,0.4686449113752067,0.998,3/21,1.33%,GATA3;KRT19;ARID5A
prerank,GO_Biological_Process_2023__Positive Regulation Of Small Molecule Metabolic Process (GO:0062013),0.6906096108919852,1.7113318597970522,0.00881057268722467,0.46876975256556447,0.999,7/22,3.34%,ADM;PRKCE;APOE;HIF1A;IRS2;STARD4;PMAIP1
prerank,GO_Biological_Process_2023__cAMP-mediated Signaling (GO:0019933),0.796836863608996,1.7090559491889514,0.02268041237113402,0.46070597770147276,0.999,2/11,0.13%,KSR1;ADGRG6
prerank,GO_Biological_Process_2023__Cyclic-Nucleotide-Mediated Signaling (GO:0019935),0.7492199106142532,1.7076382590291517,0.018108651911468814,0.447963006402307,0.999,3/15,1.06%,KSR1;ADGRG6;APOE
prerank,GO_Biological_Process_2023__Sodium Ion Transport (GO:0006814),0.7132400560330182,1.7061282951332715,0.018329938900203666,0.4378923076553574,0.999,10/19,14.36%,SGK1;SLC9B2;KCNK1;SLC6A6;ATP1B3;TPCN2;SLC9A8;ATP1B1;SLC6A9;SLC5A6
prerank,GO_Biological_Process_2023__Positive Regulation Of Mitotic Nuclear Division (GO:0045840),-0.727269229149403,-1.704169047251655,0.009208103130755065,0.8228983849909033,0.993,4/18,12.44%,EGF;LRP5;UBE2C;DLGAP5
prerank,GO_Biological_Process_2023__Regulation Of Stress Fiber Assembly (GO:0051492),-0.5673519625389735,-1.7012528586637523,0.003656307129798903,0.7453700779913205,0.993,28/57,23.41%,PPM1E;ASAP3;CGNL1;SERPINF2;LPAR1;TGFB3;APOA1;CARMIL1;STMN1;PPM1F;TESK1;SLC9A1;ALMS1;FERMT2;LIMK1;PFN1;PFN2;PAK1;NF2;LIMCH1;SORBS3;WASF2;RHPN2;F11R;PIK3R1;PAK2;ROCK2;SFRP1
prerank,GO_Biological_Process_2023__snRNA Metabolic Process (GO:0016073),0.6958766620186482,1.7006965131403957,0.0,0.44661605582794844,0.999,1/21,0.12%,USPL1
prerank,GO_Biological_Process_2023__Positive Regulation Of Rho Protein Signal Transduction (GO:0035025),-0.767461087913328,-1.691767171104076,0.005964214711729622,0.7495924098453671,0.997,6/13,8.45%,ROBO1;COL3A1;LPAR1;APOA1;ADGRG1;ARHGEF3
prerank,GO_Biological_Process_2023__Myoblast Fusion (GO:0007520),-0.8159760100273015,-1.690952553168758,0.00625,0.6810657996506477,0.998,5/10,8.57%,DOCK2;KCNH1;ADAMTS15;PTGFRN;JAM2
prerank,GO_Biological_Process_2023__Intermediate Filament Organization (GO:0045109),0.6395715076843631,1.6891610436615712,0.01,0.48597920619811114,0.999,15/29,13.54%,KRT6A;KRT19;KRT6B;KRT14;KRT13;KRT16;KRT78;KRT5;KRT75;KRT73;DNAJB6;EPPK1;KRT15;DSP;KRT80
prerank,GO_Biological_Process_2023__Fc-epsilon Receptor Signaling Pathway (GO:0038095),0.744587186995475,1.6881926478805072,0.008385744234800839,0.47420019060081936,0.999,1/14,0.02%,VAV3
prerank,GO_Biological_Process_2023__Intracellular Sterol Transport (GO:0032366),0.7640243592818876,1.6873043016948213,0.01646090534979424,0.46298083684458147,0.999,5/12,8.05%,GRAMD1C;STARD4;GRAMD1B;SERAC1;NPC1
prerank,GO_Biological_Process_2023__Positive Regulation Of Muscle Cell Differentiation (GO:0051149),-0.8184803564387007,-1.6846652569182394,0.011560693641618497,0.6707399452445774,1.0,3/10,3.67%,NRG1;MAPK11;MAPK12
prerank,GO_Biological_Process_2023__Phospholipid Translocation (GO:0045332),0.6949502939168377,1.6775522670019147,0.012244897959183673,0.4960781876513031,1.0,7/21,9.39%,ATP10D;ATP8B1;PLSCR4;ABCB1;ABCB4;ATP11B;TMEM30A
prerank,GO_Biological_Process_2023__Regulation Of Cell Size (GO:0008361),0.7233396642842954,1.6775291582047545,0.010869565217391304,0.4807167479530951,1.0,1/16,0.02%,VAV3
prerank,GO_Biological_Process_2023__Positive Regulation Of B Cell Activation (GO:0050871),0.6805379971524365,1.6721148693843713,0.012371134020618556,0.49120549791843326,1.0,6/23,8.23%,VAV3;NFATC2;IRS2;TNFSF4;MEF2C;MMP14
prerank,MSigDB_Hallmark_2020__IL-2/STAT5 Signaling,0.5176852427554856,1.668407699741373,0.004347826086956522,0.4948731012923054,1.0,41/113,15.32%,TIAM1;MAFF;DHRS3;LIF;NFIL3;NT5E;SLC39A8;NRP1;SPRY4;SLC2A3;CSF1;BHLHE40;SPRED2;LRIG1;TNFRSF21;ADAM19;SPP1;TRAF1;ABCB1;LRRC8C;P2RX4;MYC;PHLDA1;IFNGR1;HK2;NDRG1;PLEC;SWAP70;FAM126B;ANXA4;POU2F1;NCS1;TGM2;NCOA3;ENO3;WLS;GABARAPL1;COL6A1;CDC6;AHNAK;XBP1
prerank,GO_Biological_Process_2023__Lipopolysaccharide-Mediated Signaling Pathway (GO:0031663),0.7933878087977977,1.6681634517141468,0.010330578512396695,0.4819585873820147,1.0,3/11,2.27%,PRKCE;TLR4;CCL2
prerank,GO_Biological_Process_2023__Cytokine-Mediated Signaling Pathway (GO:0019221),0.5249697068489924,1.6642699424817555,0.0,0.4849272740874646,1.0,19/89,6.61%,EGR1;SOCS5;IL7R;IL11;IRAK2;OSMR;KIT;CCL2;CCL26;IL27RA;UGCG;TRAF1;IL31RA;IL6ST;FOXC1;IL13RA2;MFAP3;JAK1;LIFR
prerank,GO_Biological_Process_2023__Regulation Of Endothelial Cell Apoptotic Process (GO:2000351),0.6510179619553161,1.6637525114736356,0.019230769230769232,0.4736808555704207,1.0,8/25,7.24%,GATA3;ANGPT1;IL11;TNFAIP3;KDR;CCL2;ICAM1;NFE2L2
prerank,GO_Biological_Process_2023__Positive Regulation Of Mitochondrial Translation (GO:0070131),0.7313243637282903,1.6634207197365796,0.011086474501108648,0.4624920241361449,1.0,1/14,0.37%,NGRN
prerank,GO_Biological_Process_2023__Regulation Of Establishment Of Protein Localization To Telomere (GO:0070203),-0.8067707138311531,-1.662940146965793,0.007827788649706457,0.7965153673190339,1.0,7/10,13.86%,CCT6A;CCT8;CCT3;CCT5;TCP1;CCT4;CCT7
prerank,GO_Biological_Process_2023__Acylglycerol Catabolic Process (GO:0046464),0.7382629841566151,1.6584343944135957,0.023454157782515993,0.4744375654724944,1.0,4/14,1.80%,APOC3;MGLL;APOA2;ABHD2
prerank,GO_Biological_Process_2023__Positive Regulation Of Blood Coagulation (GO:0030194),-0.716883271217256,-1.6582086292279676,0.005714285714285714,0.7759149067548756,1.0,7/18,4.03%,NRG1;CNTN1;EMILIN2;SERPINF2;PLG;VTN;THBS1
prerank,GO_Biological_Process_2023__Negative Regulation Of Endothelial Cell Apoptotic Process (GO:2000352),0.7044193237653071,1.656549083252867,0.023109243697478993,0.4713470543543613,1.0,6/17,7.24%,GATA3;IL11;TNFAIP3;KDR;ICAM1;NFE2L2
prerank,GO_Biological_Process_2023__Negative Regulation Of Fatty Acid Biosynthetic Process (GO:0045717),0.7614583977296814,1.6546369894894655,0.021739130434782608,0.4680221191302773,1.0,2/12,1.12%,APOC3;TRIB3
prerank,GO_Biological_Process_2023__Hematopoietic Progenitor Cell Differentiation (GO:0002244),0.7618886771489024,1.6515430005525085,0.006147540983606557,0.470683665678626,1.0,4/13,6.90%,FST;KIT;FSTL3;MLF1
prerank,GO_Biological_Process_2023__Cellular Response To Cytokine Stimulus (GO:0071345),0.4931566111863261,1.6437141670674906,0.002079002079002079,0.4934210142924985,1.0,27/136,7.97%,EGR1;GATA3;SOCS5;HIF1A;IL7R;OSMR;TLR4;KIT;NKX3-1;CCL2;CCL26;IRF1;ADAMTS12;IL27RA;TNFRSF21;IL31RA;IL6ST;LGALS9;SBNO2;FOXC1;IL13RA2;WNT5A;JAK1;LIFR;NFE2L2;NFAT5;SH2B3
prerank,GO_Biological_Process_2023__Glycosaminoglycan Biosynthetic Process (GO:0006024),0.6011600167909993,1.6429661108561981,0.00881057268722467,0.4851551588000225,1.0,11/38,9.35%,CEMIP;ANGPT1;CHSY3;PXYLP1;HAS3;CHST11;CHST2;DSEL;CSGALNACT2;HS3ST3A1;ST3GAL1
prerank,GO_Biological_Process_2023__Monoatomic Cation Transport (GO:0006812),0.7653777863146226,1.6417158331908992,0.012396694214876033,0.4797634065009039,1.0,8/12,15.50%,ATP10D;NDFIP2;NDFIP1;PANX1;SLC41A1;ATP1B1;SLC39A1;ANO6
prerank,GO_Biological_Process_2023__Negative Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway (GO:0010804),-0.7884764540292539,-1.6355115844590369,0.013944223107569721,0.9325426397449306,1.0,5/10,15.86%,CARD8;APOA1;GAS6;XIAP;GSTP1
prerank,GO_Biological_Process_2023__Positive Regulation Of Ras Protein Signal Transduction (GO:0046579),-0.6625986877058004,-1.6347427513974133,0.015748031496062992,0.8767763884750865,1.0,10/22,15.94%,ROBO1;COL3A1;LPAR1;APOA1;ADGRG1;ARHGEF3;PIK3CB;ARRB1;NOTCH1;MAPRE2
prerank,GO_Biological_Process_2023__Intraciliary Anterograde Transport (GO:0035720),-0.7232497401583116,-1.6325787339195426,0.015779092702169626,0.840372544707371,1.0,13/16,22.29%,TTC30A;TTC26;IFT57;IFT80;IFT88;HSPB11;IFT27;IFT22;IFT81;CLUAP1;IFT46;TRAF3IP1;IFT172
prerank,GO_Biological_Process_2023__Regulation Of Brown Fat Cell Differentiation (GO:0090335),0.7671029707243278,1.6278037490490356,0.028169014084507043,0.5330429018370828,1.0,3/12,5.52%,METRNL;PTGS2;TFE3
prerank,GO_Biological_Process_2023__Rho Protein Signal Transduction (GO:0007266),-0.6076635649323718,-1.6251728680431807,0.007561436672967864,0.855368842010989,1.0,21/34,26.75%,RHOJ;NTN1;COL1A2;CELSR1;ARHGEF3;PHACTR4;RHOB;ARHGDIB;TAX1BP3;ARHGDIA;RACGAP1;ARHGEF11;LIMK1;RIPOR1;SHTN1;RTKN;CFL1;ROCK2;ARHGEF1;EPS8L2;ROCK1
prerank,GO_Biological_Process_2023__Negative Regulation Of Centrosome Duplication (GO:0010826),-0.7932082026842602,-1.617908134519271,0.01107011070110701,0.8751119330195782,1.0,1/10,0.07%,MDM1
prerank,GO_Biological_Process_2023__Glycolipid Biosynthetic Process (GO:0009247),0.6525906907030412,1.6176115280755239,0.019693654266958426,0.5706148351757574,1.0,4/23,8.75%,B3GNT5;B4GALT6;PIGA;PIGP
prerank,GO_Biological_Process_2023__Protein Localization To Cell Junction (GO:1902414),-0.7037294833514495,-1.6133405641955456,0.03076923076923077,0.8681500775384895,1.0,5/16,6.37%,NLGN2;CGNL1;NECTIN1;HEG1;NLGN1
prerank,GO_Biological_Process_2023__Chemokine-Mediated Signaling Pathway (GO:0070098),0.7760607855340879,1.611462348700268,0.010615711252653927,0.5884317983915108,1.0,5/10,9.75%,CCL2;CCL26;FOXC1;SH2B3;CIB1
