term,fdr,Odds Ratio,Combined Score,Genes,description
Regulation of Complement Cascade,1.724902e-23,21.27452,1225.075,C1QB;C1QA;CPB2;CFH;IGHV3-23;CFI;IGHV4-39;IGLV3-1;IGHV1-69;CFP;C8B;C2;IGHG4;IGHG1;IGHG2;C6;IGLV3-27;C7;IGLV3-21;IGHV3-53;IGHV3-11;IGHV3-13;IGKV1D-16;IGLV5-37;CFHR2;IGLV2-23;CFB;IGKV2-30;IGLV3-19;C1QC,Regulation of Complement Cascade
Complement Cascade,1.724902e-23,19.70122,1132.674,C1QB;FCN2;C1QA;CPB2;CFH;IGHV3-23;CFI;IGHV4-39;IGLV3-1;IGHV1-69;CFP;C8B;C2;IGHG4;IGHG1;IGHG2;C6;IGLV3-27;C7;IGLV3-21;IGHV3-53;IGHV3-11;IGHV3-13;IGKV1D-16;IGLV5-37;CFHR2;IGLV2-23;CFB;IGKV2-30;IGLV3-19;C1QC,Complement Cascade
Initial Triggering of Complement,1.017192e-18,20.4875,944.521,C1QB;FCN2;C1QA;IGHV3-53;IGHV3-11;IGHV3-23;IGHV3-13;IGHV4-39;IGLV3-1;IGHV1-69;IGKV1D-16;CFP;C2;IGHG4;IGLV5-37;IGHG1;IGHG2;IGLV3-27;IGLV3-21;IGLV2-23;CFB;IGKV2-30;IGLV3-19;C1QC,Initial Triggering of Complement
Creation of C4 and C2 Activators,6.614054e-16,18.83499,740.9179,C1QB;FCN2;C1QA;IGHV3-53;IGHV3-11;IGHV3-23;IGHV3-13;IGHV4-39;IGLV3-1;IGHV1-69;IGKV1D-16;IGHG4;IGLV5-37;IGHG1;IGHG2;IGLV3-27;IGLV3-21;IGLV2-23;IGKV2-30;IGLV3-19;C1QC,Creation of C4 and C2 Activators
Classical Antibody-Mediated Complement Activation,8.2277e-16,20.47912,796.5528,C1QB;C1QA;IGHV3-53;IGHV3-11;IGHV3-23;IGHV3-13;IGHV4-39;IGLV3-1;IGHV1-69;IGKV1D-16;IGHG4;IGLV5-37;IGHG1;IGHG2;IGLV3-27;IGLV3-21;IGLV2-23;IGKV2-30;IGLV3-19;C1QC,Classical Antibody-Mediated Complement Activation
Innate Immune System,2.153119e-14,4.626008,163.9871,SERPINA3;PIGR;FCN2;ORM1;SERPINA1;PGLYRP2;CRISP3;IGHV3-23;HP;HBB;IGHV4-39;C8B;IGHG4;IGHG1;FCGR3B;IGHG2;GM2A;SIRPA;AHSG;OSCAR;IGLV5-37;CEACAM1;CHI3L1;CFB;IGLV3-19;IGKV2-30;C1QB;C1QA;CPB2;CFH;CFI;IGLV3-1;PRCP;IGHV1-69;A1BG;CFP;LILRA3;C2;CST3;IGLV3-27;C6;C7;IGLV3-21;AGA;APOB;SIGLEC14;IGHV3-53;IGHV3-11;FUCA2;IGHV3-13;IGKV1D-16;LRG1;CFHR2;CD209;IGLV2-23;C1QC,Innate Immune System
Scavenging of Heme From Plasma,3.836841e-13,16.72735,542.2085,CD163;IGHV3-53;IGHV3-11;IGHV3-23;HP;IGHV3-13;HBB;IGHV4-39;IGLV3-1;IGHV1-69;IGKV1D-16;IGLV5-37;HPX;IGLV3-27;IGLV3-21;IGLV2-23;IGKV2-30;IGLV3-19,Scavenging of Heme From Plasma
FCGR Activation,1.177408e-11,14.53399,419.4092,IGHV3-53;IGHV3-11;IGHV3-23;IGHV3-13;IGHV4-39;IGLV3-1;IGHV1-69;IGKV1D-16;IGHG4;IGLV5-37;IGHG1;IGHG2;IGLV3-27;IGLV3-21;IGLV2-23;IGKV2-30;IGLV3-19,FCGR Activation
Binding and Uptake of Ligands by Scavenger Receptors,1.201841e-11,11.73348,336.9714,CD163;IGHV3-53;IGHV3-11;IGHV3-23;HP;IGHV3-13;HBB;IGHV4-39;IGLV3-1;IGHV1-69;IGKV1D-16;HPX;IGLV5-37;IGLV3-27;IGLV3-21;IGLV2-23;APOB;IGKV2-30;IGLV3-19,Binding and Uptake of Ligands by Scavenger Receptors
Role of Phospholipids in Phagocytosis,3.086707e-11,13.31256,368.361,IGHV3-53;IGHV3-11;IGHV3-23;IGHV3-13;IGHV4-39;IGLV3-1;IGHV1-69;IGKV1D-16;IGHG4;IGLV5-37;IGHG1;IGHG2;IGLV3-27;IGLV3-21;IGLV2-23;IGKV2-30;IGLV3-19,Role of Phospholipids in Phagocytosis
CD22 Mediated BCR Regulation,3.606227e-11,19.59037,537.1547,IGHV3-53;IGHV3-11;IGHV3-23;IGHV3-13;IGHV4-39;IGLV3-1;IGHV1-69;IGKV1D-16;IGLV3-27;IGLV3-21;IGLV2-23;IGHD;IGKV2-30;IGLV3-19,CD22 Mediated BCR Regulation
Hemostasis,8.438934e-11,4.618008,122.2946,SERPINA3;ITIH4;ORM1;SERPINA1;SERPINC1;IGHV3-23;HBB;PLG;IGLV3-1;IGHV4-39;PRCP;IGHV1-69;HBD;A1BG;SERPINA4;CLEC3B;IGLV3-27;IGLV3-21;SIRPA;A2M;APOB;IGHV3-53;HBG2;AHSG;HBG1;F12;IGHV3-11;F11;IGHV3-13;IGKV1D-16;MERTK;IGLV5-37;CEACAM1;JAML;IGLV2-23;KLKB1;IGLV3-19;IGKV2-30,Hemostasis
FCGR3A-mediated IL10 Synthesis,1.076691e-10,11.90883,311.5164,IGHV3-53;IGHV3-11;IGHV3-23;IGHV3-13;IGHV4-39;IGLV3-1;IGHV1-69;IGKV1D-16;IGHG4;IGLV5-37;IGHG1;IGHG2;IGLV3-27;IGLV3-21;IGLV2-23;IGKV2-30;IGLV3-19,FCGR3A-mediated IL10 Synthesis
Immunoregulatory Interactions Between a Lymphoid and a non-Lymphoid Cell,5.821868e-10,8.823385,215.2607,IGHV3-53;IGHV3-11;IGHV3-23;IGHV3-13;IGLV3-1;IGHV4-39;IGKV1D-16;IGHV1-69;PVR;LILRA3;ICAM1;OSCAR;IGLV5-37;IGLV3-27;JAML;IGLV3-21;IGLV2-23;IGLV3-19;IGKV2-30,Immunoregulatory Interactions Between a Lymphoid and a non-Lymphoid Cell
Immune System,6.157657e-10,3.208543,77.87629,SERPINA3;PIGR;FCN2;ORM1;SERPINA1;PGLYRP2;CRISP3;IGHV3-23;HP;HBB;IGHV4-39;C8B;PVR;ICAM1;IGHG4;CA1;IGHG1;FCGR3B;IGHG2;GM2A;MRC1;SIRPA;AHSG;IL1R2;OSCAR;IGLV5-37;CEACAM1;JAML;IGHD;CHI3L1;CFB;IGLV3-19;IGKV2-30;C1QB;C1QA;CPB2;CFH;CFI;IGLV3-1;PRCP;IGHV1-69;A1BG;CFP;LILRA3;C2;CST3;IGLV3-27;C6;C7;IGLV3-21;AGA;APOB;SIGLEC14;IGHV3-53;IGHV3-11;FUCA2;IGHV3-13;IGKV1D-16;LRG1;CFHR2;CD209;IGLV2-23;C1QC,Immune System
Anti-inflammatory Response Favouring Leishmania Parasite Infection,8.143637e-10,9.214218,219.9143,CD163;IGHV3-53;IGHV3-11;IGHV3-23;IGHV3-13;IGLV3-1;IGHV4-39;IGKV1D-16;IGHV1-69;IGLV5-37;IGHG4;IGHG1;IGLV3-27;IGHG2;IGLV3-21;IGLV2-23;IGLV3-19;IGKV2-30,Anti-inflammatory Response Favouring Leishmania Parasite Infection
Leishmania Parasite Growth and Survival,8.143637e-10,9.214218,219.9143,CD163;IGHV3-53;IGHV3-11;IGHV3-23;IGHV3-13;IGLV3-1;IGHV4-39;IGKV1D-16;IGHV1-69;IGLV5-37;IGHG4;IGHG1;IGLV3-27;IGHG2;IGLV3-21;IGLV2-23;IGLV3-19;IGKV2-30,Leishmania Parasite Growth and Survival
Antigen Activates B Cell Receptor (BCR) Leading to Generation of Second Messengers,2.749191e-09,12.64108,285.6003,IGHV3-53;IGHV3-11;IGHV3-23;IGHV3-13;IGHV4-39;IGLV3-1;IGHV1-69;IGKV1D-16;IGLV3-27;IGLV3-21;IGLV2-23;IGHD;IGKV2-30;IGLV3-19,Antigen Activates B Cell Receptor (BCR) Leading to Generation of Second Messengers
Role of LAT2 NTAL LAB on Calcium Mobilization,9.120912e-09,11.29999,241.1383,IGHV3-53;IGHV3-11;IGHV3-23;IGHV3-13;IGHV4-39;IGLV3-1;IGHV1-69;IGKV1D-16;IGLV5-37;IGLV3-27;IGLV3-21;IGLV2-23;IGKV2-30;IGLV3-19,Role of LAT2 NTAL LAB on Calcium Mobilization
FCGR3A-mediated Phagocytosis,1.175361e-08,8.10278,169.6682,IGHV3-53;IGHV3-11;IGHV3-23;IGHV3-13;IGHV4-39;IGLV3-1;IGHV1-69;IGKV1D-16;IGHG4;IGLV5-37;IGHG1;IGHG2;IGLV3-27;IGLV3-21;IGLV2-23;IGKV2-30;IGLV3-19,FCGR3A-mediated Phagocytosis
Parasite Infection,1.175361e-08,8.10278,169.6682,IGHV3-53;IGHV3-11;IGHV3-23;IGHV3-13;IGHV4-39;IGLV3-1;IGHV1-69;IGKV1D-16;IGHG4;IGLV5-37;IGHG1;IGHG2;IGLV3-27;IGLV3-21;IGLV2-23;IGKV2-30;IGLV3-19,Parasite Infection
Leishmania Phagocytosis,1.175361e-08,8.10278,169.6682,IGHV3-53;IGHV3-11;IGHV3-23;IGHV3-13;IGHV4-39;IGLV3-1;IGHV1-69;IGKV1D-16;IGHG4;IGLV5-37;IGHG1;IGHG2;IGLV3-27;IGLV3-21;IGLV2-23;IGKV2-30;IGLV3-19,Leishmania Phagocytosis
Regulation of Actin Dynamics for Phagocytic Cup Formation,1.291438e-08,8.01969,166.8165,IGHV3-53;IGHV3-11;IGHV3-23;IGHV3-13;IGHV4-39;IGLV3-1;IGHV1-69;IGKV1D-16;IGHG4;IGLV5-37;IGHG1;IGHG2;IGLV3-27;IGLV3-21;IGLV2-23;IGKV2-30;IGLV3-19,Regulation of Actin Dynamics for Phagocytic Cup Formation
Cell Surface Interactions at the Vascular Wall,2.415702e-08,6.632407,133.5241,IGHV3-53;IGHV3-11;IGHV3-23;IGHV3-13;IGLV3-1;IGHV4-39;IGKV1D-16;IGHV1-69;MERTK;IGLV5-37;CEACAM1;IGLV3-27;JAML;IGLV3-21;IGLV2-23;SIRPA;APOB;IGLV3-19;IGKV2-30,Cell Surface Interactions at the Vascular Wall
FCERI Mediated MAPK Activation,3.054869e-08,9.896999,196.5199,IGHV3-53;IGHV3-11;IGHV3-23;IGHV3-13;IGHV4-39;IGLV3-1;IGHV1-69;IGKV1D-16;IGLV5-37;IGLV3-27;IGLV3-21;IGLV2-23;IGKV2-30;IGLV3-19,FCERI Mediated MAPK Activation
FCERI Mediated Ca+2 Mobilization,3.49018e-08,9.745541,191.8319,IGHV3-53;IGHV3-11;IGHV3-23;IGHV3-13;IGHV4-39;IGLV3-1;IGHV1-69;IGKV1D-16;IGLV5-37;IGLV3-27;IGLV3-21;IGLV2-23;IGKV2-30;IGLV3-19,FCERI Mediated Ca+2 Mobilization
Fcgamma Receptor (FCGR) Dependent Phagocytosis,9.464252e-08,6.826337,127.3027,IGHV3-53;IGHV3-11;IGHV3-23;IGHV3-13;IGLV3-1;IGHV4-39;IGKV1D-16;IGHV1-69;IGLV5-37;IGHG4;IGHG1;IGLV3-27;IGHG2;IGLV3-21;IGLV2-23;IGLV3-19;IGKV2-30,Fcgamma Receptor (FCGR) Dependent Phagocytosis
Parasitic Infection Pathways,6.304641e-07,5.525163,92.165,CD163;IGHV3-53;IGHV3-11;IGHV3-23;IGHV3-13;IGLV3-1;IGHV4-39;IGKV1D-16;IGHV1-69;IGLV5-37;IGHG4;IGHG1;IGLV3-27;IGHG2;IGLV3-21;IGLV2-23;IGLV3-19;IGKV2-30,Parasitic Infection Pathways
Leishmania Infection,6.304641e-07,5.525163,92.165,CD163;IGHV3-53;IGHV3-11;IGHV3-23;IGHV3-13;IGLV3-1;IGHV4-39;IGKV1D-16;IGHV1-69;IGLV5-37;IGHG4;IGHG1;IGLV3-27;IGHG2;IGLV3-21;IGLV2-23;IGLV3-19;IGKV2-30,Leishmania Infection
Potential Therapeutics for SARS,6.76824e-07,7.369202,122.1526,IGHV3-53;IGHV3-11;IGHV3-23;IGHV3-13;IGLV3-1;IGHV4-39;IGKV1D-16;IGHV1-69;IGLV3-27;IGLV3-21;IGLV2-23;IGHD;IGLV3-19;IGKV2-30,Potential Therapeutics for SARS
FCERI Mediated NF-kB Activation,2.198775e-06,6.599254,101.398,IGHV3-53;IGHV3-11;IGHV3-23;IGHV3-13;IGHV4-39;IGLV3-1;IGHV1-69;IGKV1D-16;IGLV5-37;IGLV3-27;IGLV3-21;IGLV2-23;IGKV2-30;IGLV3-19,FCERI Mediated NF-kB Activation
Signaling by the B Cell Receptor (BCR),5.667539e-06,6.03051,86.75769,IGHV3-53;IGHV3-11;IGHV3-23;IGHV3-13;IGLV3-1;IGHV4-39;IGKV1D-16;IGHV1-69;IGLV3-27;IGLV3-21;IGLV2-23;IGHD;IGLV3-19;IGKV2-30,Signaling by the B Cell Receptor (BCR)
Fc Epsilon Receptor (FCERI) Signaling,5.888523e-05,4.823125,57.94914,IGHV3-53;IGHV3-11;IGHV3-23;IGHV3-13;IGLV3-1;IGHV4-39;IGKV1D-16;IGHV1-69;IGLV5-37;IGLV3-27;IGLV3-21;IGLV2-23;IGLV3-19;IGKV2-30,Fc Epsilon Receptor (FCERI) Signaling
