Protein_Group	Genes	WT_vs_Chr18TERRA_KO_logFC	WT_vs_Chr18TERRA_KO_pval	Removed?	Contaminant?
A0A067XG46;Q8CDM3	Rpgr	1.71448143601426	0.0011308257833981	No	No
A0A0A6YWM3	Ip6k2	1.85336098607525	0.0098989652196875	No	No
A0A0A6YXD3	Ndufs2	1.72729081445347	0.0080176598555532	No	No
A0A0G2JES6;A0A0G2JFP1	Rilpl1	2.32926675765101	0.0032142523828045	No	No
A0A3B2WB30	Rrp36	6.45536936697882	0.0032239300934244	No	No
A2ANL9	Tenm1	2.52136155684294	0.0026602113279265	No	No
A2AV72;A2ANT6	Mup6	8.18812097638596	2.45844886276528e-10	No	No
B2KF54	Ilrun	1.92533737329352	0.0007701669269833	No	No
D3Z1K4	Zfp276	7.75581178695417	0.0065847519583378	No	No
E9PXF9	Sin3a	2.00435970082152	0.0065479749158689	No	No
E9Q2H1	Ubr5	5.42131552456825	9.258641252531331e-14	No	No
E9Q2S7	Zfp266	4.48793764529819	0.0016583902479406	No	No
F7AX23	Stxbp4	1.621644241459	0.0013745284687833	No	No
Q3TWH3	Pnrc1	4.69277704698602	0.0037745949925554	No	No
Q5SUW3	Grb10	3.58411417455262	0.0026780371068584	No	No
Q8VGB9	Or1f19	2.3449080888706	6.85252064440931e-05	No	No
Z4YMS1;Q5SUT8;Q5SUT9;Q5SUU0	Rhbdd3	10.695564430166	9.41846317799144e-15	No	No
A0A0R4J172	Dennd4b	-2.59758262388138	0.0080845878678143	No	No
A0A494B9J0	Ankrd2	-2.59442767207602	0.0075799886613807	No	No
A0A5H1ZRN0	Cep350	-4.83356375091815	0.0002716891870118	No	No
A0A8Q0KEJ4	Cibar1	-3.64875020181631	0.0078954651548746	No	No
A2AP78	Hmgb3	-2.4859063000995	0.0066070928461513	No	No
B2FDH2;B2FDH3;H3BK27;H3BLL9	Pbx3	-9.52844589475181	6.71295335093833e-14	No	No
D3YYG2	Skil	-3.09359424987162	0.0005448921027973	No	No
D3Z482	Ankrd26	-5.861742894031	0.0059958518885294	No	No
F6T1Y2	Arhgap44	-5.7479825896731	0.000922602276846	No	No
F6YR29	Nisch	-3.47798971788157	1.22268220760323e-07	No	No
G3UZB0;F6V0H0	Pagr1a;Pagr1b	-2.31356525092337	0.002618424485528	No	No
G5E8U9;Q91VL0	Bnip2	-1.81656355028697	0.0032041252289247	No	No
Q6PCQ6	Efcab14	-3.20308914438532	8.17477314235757e-05	No	No
Q6PGK3	2700097O09Rik	-1.89385739939359	0.0086855786005256	No	No
Q9D2H3	Gas2l1	-2.88549245627051	0.0033728662654824	No	No
