Protein_Group	Genes	T47D_B_Non Treated_vs_T47D _Non Treated_logFC	T47D_B_Non Treated_vs_T47D _Non Treated_pval	Removed?	Contaminant?
Q8WXU2	DNAAF4	-1.40531741470893	0.0040018274609517	No	No
Q92478	CLEC2B	-3.06153251717462	8.81374664188936e-07	No	No
Q92484	SMPDL3A	-1.22252074781677	9.72995030305276e-15	No	No
Q92561	PHYHIP	-1.12082547957367	8.1481896982676e-06	No	No
Q92633	LPAR1	-1.2483616494021	0.0011116396115954	No	No
Q92791	P3H4	-1.11273448551366	7.53258986161516e-24	No	No
Q92854	SEMA4D	-1.2212679910595	3.52763491835984e-07	No	No
Q969Q4	ARL11	-1.19789863540973	2.37320106468021e-06	No	No
Q96A19	CCDC102A	-1.40600734027251	7.2423266757978e-16	No	No
Q96AP7	ESAM	-1.2479607074908	0.0098963276775608	No	No
Q96AY3	FKBP10	-2.3022988986278	3.82697500770488e-45	No	No
Q96BI1	SLC22A18	-1.73646068442776	7.159689042867591e-25	No	No
Q96BY6	DOCK10	-1.08770992400204	7.72296209227887e-06	No	No
Q96C74	ROPN1L	-1.50961046110626	0.0001345757851115	No	No
Q96CM8	ACSF2	-1.17258167710811	1.7617393501078397e-30	No	No
Q96CX6	LRRC58	-1.3570296218227	1.59466715434637e-05	No	No
Q96DB2	HDAC11	-1.11959226092672	1.93915593575883e-23	No	No
Q96DR4	STARD4	-1.10107133538037	0.0048749795071029	No	No
Q96EN8	MOCOS	-1.78893561671838	6.689024005958489e-12	No	No
Q96EN9	REX1BD	-1.6599820449232	0.0011841542709663	No	No
Q96FE7	PIK3IP1	-1.21557193577647	0.005958524972916	No	No
Q96FL8	SLC47A1	-3.51055123551638	2.24489604211615e-17	No	No
Q96FM1	PGAP3	-1.39775352501314	0.0002617101228057	No	No
Q96FN4	CPNE2	-1.80325151458982	8.71009784814649e-14	No	No
Q96HM7	PCED1B	-1.26759472586033	1.78475117958898e-05	No	No
Q96J66	ABCC11	-1.51100773332871	4.56292060777319e-33	No	No
Q96M32	AK7	-2.12926419769647	2.04426068253599e-07	No	No
Q96MT1	RNF145	-1.18468456566525	7.85839895614533e-07	No	No
Q96PX9	PLEKHG4B	-1.0954129465604	9.59743160201021e-16	No	No
Q96R05	RBP7	-2.26579855166938	5.436314645796991e-23	No	No
Q96RL7	VPS13A	-1.22072044566539	1.61430321443741e-33	No	No
Q99424	ACOX2	-1.59630798514484	2.45988923608106e-13	No	No
Q99959	PKP2	-1.00195445739334	1.13911928661868e-29	No	No
Q9BRC7	PLCD4	-1.03513046350999	7.969463934580061e-09	No	No
Q9BTE0	NAT9	-1.12284793985193	8.15519126266469e-06	No	No
Q9BTM9	URM1	-1.00417226075458	7.5085969835955e-13	No	No
Q9BVG8	KIFC3	-1.15897004820541	9.038454419436849e-12	No	No
Q9BX73	TM2D2	-1.32803787905512	0.0001197600917196	No	No
Q9BXC9	BBS2	-1.19493703857051	1.89523877564907e-13	No	No
Q9BXI9	C1QTNF6	-2.72367346858205	5.33059437256239e-18	No	No
Q9BXM9	FSD1L	-1.69952105054581	2.48033992378689e-10	No	No
Q9BYJ1	ALOXE3	-1.0408325973573	3.66925422692641e-06	No	No
Q9BYL1	SAMD10	-1.49227352519169	1.31840549937511e-05	No	No
Q9BZF2	OSBPL7	-1.32371778141412	1.33498024165869e-05	No	No
Q9BZG1	RAB34	-1.28207544743841	3.97264930817118e-26	No	No
Q9C0H9	SRCIN1	-1.43273774802859	1.2263932736696901e-31	No	No
Q9GZV1	ANKRD2	-1.08151937108371	1.13223566188823e-12	No	No
Q9H0H3	KLHL25	-1.24342206887871	4.2460408463794505e-20	No	No
Q9H0R3	TMEM222	-1.1190495914208	1.46641506586182e-16	No	No
Q9H3G5	CPVL	-1.64094398761549	3.69032591145815e-22	No	No
Q9H553	ALG2	-2.02882732022204	1.02414393307356e-30	No	No
Q9HB65	ELL3	-1.0577563943013	5.686825587643691e-15	No	No
Q9HBG6	IFT122	-1.41580466188036	7.92111384619508e-34	No	No
Q9HCK4	ROBO2	-1.26458399494061	2.14173454836788e-23	No	No
Q9NP74	PALMD	-1.07576897117218	4.92048427536954e-09	No	No
Q9NPB6	PARD6A	-1.27380451347349	3.25521821730783e-08	No	No
Q9NPF2	CHST11	-1.02916287283884	0.0001259725067512	No	No
Q9NQX4	MYO5C	-1.73397504243631	1.44205066703556e-42	No	No
Q9NQX7	ITM2C	-2.13855308512588	4.23728466662831e-17	No	No
Q9NR82	KCNQ5	-1.35731893215031	0.0076589531147959	No	No
Q9NRX4	PHPT1	-1.63710229367574	1.5766958225844001e-21	No	No
Q9NUB1	ACSS1	-1.30110534081042	2.7812245300315703e-35	No	No
Q9NVC3	SLC38A7	-1.06361307021536	1.38739732151622e-12	No	No
Q9NVN8	GNL3L	-1.18980851285717	1.04951097703413e-29	No	No
Q9NWW6	NMRK1	-1.18052969871294	5.80021635172913e-13	No	No
Q9NXG0	CNTLN	-1.04628791663511	6.08921357999597e-06	No	No
Q9NXG6	P4HTM	-1.3859268438738	1.4594639489651001e-21	No	No
Q9NZU0	FLRT3	-1.07181179988759	0.0002138178140852	No	No
Q9P107	GMIP	-1.64098243922023	3.1829058069538e-28	No	No
Q9UDY2	TJP2	-1.14234688190835	3.19013641116957e-38	No	No
Q9UFB7	ZBTB47	-1.06311704907566	0.000152621699216	No	No
Q9UFF9	CNOT8	-1.00489569399296	1.0338430726393701e-15	No	No
Q9UGQ3	SLC2A6	-1.13634817798484	4.50653847191798e-11	No	No
Q9UIY3	RWDD2A	-1.39485550979478	0.0003781623469555	No	No
Q9UJ37	ST6GALNAC2	-1.28442394860219	5.54528738714548e-05	No	No
Q9UJ83	HACL1	-1.00647553357702	2.3310555436732197e-22	No	No
Q9UJX0	OSGIN1	-1.13885496018504	0.0002594503922581	No	No
Q9UKE5	TNIK	-1.68448610974973	1.7101326342878701e-25	No	No
Q9ULM0	PLEKHH1	-1.08736175784967	3.66580162229449e-07	No	No
Q9ULX9	MAFF	-1.23797091898657	0.0090947184678613	No	No
Q9UNT1	RABL2B	-1.49265316808139	8.35546082676546e-12	No	No
Q9Y2B5	VPS9D1	-1.10836030088759	4.07361896506503e-08	No	No
Q9Y2E5	MAN2B2	-1.076042324721	1.7767983047955802e-20	No	No
Q9Y2J2	EPB41L3	-1.95091364717729	6.628978783393739e-12	No	No
Q9Y2Y0	ARL2BP	-1.49162036181168	1.13971426272083e-23	No	No
Q9Y6N8	CDH10	-1.71240743345623	1.74990845329509e-06	No	No
Q9Y6U3	SCIN	-1.09216905054508	3.6190029308667897e-22	No	No
Q9Y6X4	FAM169A	-1.16536845649742	3.92209358697413e-25	No	No
