Protein_Group	Genes	T47D_B_Non Treated_vs_T47D _Non Treated_logFC	T47D_B_Non Treated_vs_T47D _Non Treated_pval	Removed?	Contaminant?
P54289	CACNA2D1	1.81543435785294	4.81517316911199e-31	No	No
P54803	GALC	1.09378423201501	2.8014067409849896e-30	No	No
P54868	HMGCS2	5.03046154977189	1.1645777400726602e-47	No	No
P55809	OXCT1	3.22672824136774	5.2881613660613e-19	No	No
P55851	UCP2	1.012018790679	5.48504101579087e-07	No	No
P62324	BTG1	1.35512297096012	8.87049320749853e-11	No	No
P68366	TUBA4A	1.11029549375272	3.4028982335685604e-14	No	No
P69905	HBA2	1.04426580167835	0.00243117106479	No	No
P78337	PITX1	1.72659483853329	2.67001398300597e-16	No	No
P78395	PRAME	1.25316163066033	2.54255147740562e-19	No	No
P80365	HSD11B2	1.51028502367065	3.67482638024287e-15	No	No
Q00534	CDK6	2.12290389644212	1.88998382175885e-19	No	No
Q00978	IRF9	1.64978321839044	1.36274428709946e-13	No	No
Q00G26	PLIN5	1.13514510800229	2.22323692717934e-06	No	No
Q01628	IFITM3	1.6012713504757	1.03318705839745e-09	No	No
Q03167	TGFBR3	2.02726389016579	1.75080895923e-08	No	No
Q12791	KCNMA1	1.70758537615644	1.9024430160256202e-15	No	No
Q13066	GAGE2C	2.84835630536798	3.6659165987495404e-20	No	No
Q13069;Q13070	GAGE5;GAGE6	3.82403109094357	7.223423486629931e-20	No	No
Q13275	SEMA3F	1.02232173009306	3.1574143888609004e-20	No	No
Q13325	IFIT5	1.13405369064381	1.399924078263e-18	No	No
Q13576	IQGAP2	1.33096625924715	1.2802506061248801e-09	No	No
Q14019	COTL1	1.15152060538951	2.84613797134895e-23	No	No
Q14449	GRB14	1.71467572025817	0.0006465976949933	No	No
Q14764	MVP	1.01080348427064	1.1857710163561299e-28	No	No
Q14765	STAT4	1.4480170084879	9.396961151002579e-11	No	No
Q14894	CRYM	3.97639048485485	2.04006002406593e-14	No	No
Q15111	PLCL1	1.35347989680984	4.19936179915031e-05	No	No
Q15646	OASL	2.22572772182523	6.77308202798299e-23	No	No
Q16143	SNCB	1.05893051688887	0.0003079928831263	No	No
Q16385	SSX2B	2.31925175031545	9.61940369535342e-07	No	No
Q460N5	PARP14	1.11227008613515	3.0046600217462503e-31	No	No
Q58EX7	PLEKHG4	2.28848703468366	4.23083255578561e-13	No	No
Q5EBM0	CMPK2	2.58289123176811	2.16350894216439e-09	No	No
Q5HY92	FIGN	1.19922170177623	0.0001325696287357	No	No
Q5K651	SAMD9	2.41072637920986	2.81126896527331e-21	No	No
Q5SXH7	PLEKHS1	1.87009104827471	9.28101545794956e-06	No	No
Q5T013	HYI	1.67819958101145	5.68056419984396e-10	No	No
Q5T9A4	ATAD3B	1.22768942899383	5.47838881066247e-07	No	No
Q5VUG0	SFMBT2	1.07768831173765	1.2319794268066e-05	No	No
Q5VWT5	FYB2	1.14075207931206	0.0002277396944579	No	No
Q687X5	STEAP4	3.02334009442672	5.6443112980168495e-11	No	No
Q6NVV7	CDPF1	1.03861158788018	2.02606588653199e-06	No	No
