Protein_Group	Genes	PTEN_sg_1.1_3_Non Treated_vs_EV_Blast__Non Treated_set2_logFC	PTEN_sg_1.1_3_Non Treated_vs_EV_Blast__Non Treated_set2_pval	Removed?	Contaminant?
A0A0G2JMH6;P01903	HLA-DRA	1.16328832861853	0.0001053862781674	No	No
A0A0J9YWL9	TEX13C	2.55496791285377	2.0090374261421e-11	No	No
A1Z1Q3	MACROD2	1.52999554402343	0.0015121496200642	No	No
A4D161	FAM221A	1.24412649851037	4.47742075904008e-05	No	No
A8MWY0	ELAPOR2	1.47348956763521	1.07500350903663e-10	No	No
O00458	IFRD1	1.18007328059052	0.0003223468375592	No	No
O00746	NME4	1.09211627592003	3.52126667300038e-17	No	No
O14879	IFIT3	2.16957560654782	9.520969279608369e-11	No	No
O14967	CLGN	2.47002018571098	1.5373537937642902e-25	No	No
O15151	MDM4	1.16490906290933	9.4034261100638e-06	No	No
O15347	HMGB3	1.27811138022028	2.09285274636531e-21	No	No
O15481	MAGEB4	3.29184382384523	2.4007741105194404e-31	No	No
O43556	SGCE	1.05166779028179	5.91342699546293e-06	No	No
O43610	SPRY3	1.41538518864682	0.0001188611106734	No	No
O76087;P0CL80;P0CL81;P0CL82	GAGE7;GAGE12F;GAGE12G;GAGE12I	1.14404741277471	5.08066612662629e-15	No	No
O95154	AKR7A3	1.09704445252601	1.74084218023068e-20	No	No
O95528	SLC2A10	1.08888620871788	9.12015165345584e-06	No	No
O95751	LDOC1	1.89468702213811	3.75507212280021e-05	No	No
O95786	DDX58	1.03594170199065	7.52332338955821e-27	No	No
P00973	OAS1	1.26675847428341	0.0001233323397742	No	No
P01859	IGHG2	2.69310710611669	1.8550172108606e-05	No	No
P04216	THY1	1.77579207509296	4.84427458866582e-11	No	No
P05161	ISG15	2.50708080784885	9.03084806985241e-29	No	No
P07195	LDHB	3.18941925716508	3.30735670391813e-16	No	No
P09913	IFIT2	2.46073729777354	1.0550995163024902e-09	No	No
P09914	IFIT1	2.18095025856069	3.07749921596726e-19	No	No
P0DTW1	GAGE1	3.55459192993199	1.63140319554347e-07	No	No
P10589	NR2F1	1.44083211311354	0.0003980574726546	No	No
P13688	CEACAM1	2.24838321840617	5.61927859298851e-09	No	No
P14061	HSD17B1	1.04780713861611	2.14171825384224e-05	No	No
P17026	ZNF22	1.01016851070918	9.94785529839609e-08	No	No
P20591	MX1	3.71911298677156	4.5861703950774e-30	No	No
P21741	MDK	1.69359676258734	1.74305745701121e-08	No	No
P24298	GPT	1.02954068594837	0.0008822346660482	No	No
P25311	AZGP1	1.54126475547305	9.73848631164956e-29	No	No
P25815	S100P	1.82887782681124	7.82229414835558e-20	No	No
P29728	OAS2	2.76242462038229	3.2666011655357605e-15	No	No
P31146	CORO1A	1.11018355852806	2.18481840811671e-08	No	No
P33897	ABCD1	1.03182488341304	2.04323943524554e-21	No	No
P33908	MAN1A1	1.27345091092946	1.46140851626072e-27	No	No
P34741	SDC2	1.23437648844402	1.83521637151701e-25	No	No
P40305	IFI27	1.36837310373175	0.009431746297168	No	No
P42330	AKR1C3	1.42052412031215	6.51662368603269e-10	No	No
P43355	MAGEA1	3.48708339592206	2.03005511739671e-16	No	No
P43357	MAGEA3	3.63562671044778	2.7310368099793596e-30	No	No
P43360	MAGEA6	2.19061845562611	4.1592471259049296e-11	No	No
P43365	MAGEA12	5.6551685386048	3.2388296938093e-34	No	No
P46821	MAP1B	1.7263486344036	2.00218614702532e-16	No	No
P48066	SLC6A11	1.54625968253162	0.0036699186925809	No	No
P51617	IRAK1	1.22081133911083	6.91511164628561e-21	No	No
P52895	AKR1C2	1.15086777322746	0.0004328469813136	No	No
P54289	CACNA2D1	1.21161095727871	1.1971810530667401e-23	No	No
P55771	PAX9	1.35986205831074	0.0001349391757719	No	No
P55851	UCP2	1.38076663984021	3.81442444611237e-10	No	No
