Protein_Group	Genes	cMyc_OE_5_Non Treated_vs_T47D _Non Treated_logFC	cMyc_OE_5_Non Treated_vs_T47D _Non Treated_pval	Removed?	Contaminant?
Q96S99	PLEKHF1	1.71599834770225	1.89286916613853e-11	No	No
Q96SI1	KCTD15	1.03672344400584	2.4122706314945198e-18	No	No
Q9BQR3	PRSS27	1.46157829513292	4.08050096225402e-07	No	No
Q9BWC9	CCDC106	1.09075852234447	1.01291562947662e-08	No	No
Q9BZI1	IRX2	1.2124665980703	6.59028012720004e-11	No	No
Q9C010	PKIB	1.08119577100327	1.30764603208514e-05	No	No
Q9H246	C1orf21	1.78210077592909	0.0003010911372495	No	No
Q9H3S4	TPK1	1.42435288531897	0.0014389379679648	No	No
Q9H568	ACTL8	4.86797020367212	6.46015347036231e-26	No	No
Q9H5V7	IKZF5	1.20324545010301	0.0004093402609428	No	No
Q9H6R3	ACSS3	1.32717946862599	1.17907242361259e-34	No	No
Q9H9K5	ERVMER34-1	1.78491805067348	2.5070240319983e-06	No	No
Q9HCY8	S100A14	1.28014813429681	0.0042472842988305	No	No
Q9HD67	MYO10	1.75205326253038	1.8644919494905403e-15	No	No
Q9NPB8	GPCPD1	1.29918333326539	1.1463929952421901e-17	No	No
Q9NPF2	CHST11	1.28194099536707	4.27146408420902e-06	No	No
Q9NZJ9	NUDT4	1.94562216928873	2.46959842047867e-38	No	No
Q9UH36	SRRD	1.00758971833898	0.0050053987832339	No	No
Q9UKW6	ELF5	1.07752303397406	2.13451788425671e-05	No	No
Q9UN76	SLC6A14	4.48490090915846	3.13248603361385e-12	No	No
Q9UPW6	SATB2	1.05654939992698	0.0044051327814129	No	No
Q9Y2D0	CA5B	1.4804861857941	6.79374107378728e-26	No	No
Q9Y2D5	AKAP2	1.13437994426757	1.1510583963863e-09	No	No
Q9Y2J8	PADI2	1.26782133033372	3.95363754435833e-06	No	No
Q9Y3A0	COQ4	1.49062486229558	1.3139636234480101e-14	No	No
Q9Y5L2	HILPDA	1.23712047707962	1.96677976977836e-05	No	No
A6ND36	FAM83G	-1.09620230771408	2.7024265743812804e-09	No	No
A6NDB9	PALM3	-1.39961726086582	3.0279575233802895e-11	No	No
A6NEE1	PLEKHD1	-2.17580555221176	6.491589710467e-18	No	No
A6NMX2	EIF4E1B	-1.6427244158442	8.10244433020732e-12	No	No
A8MSI8	LYRM9	-1.01227637494535	2.9434469734171e-05	No	No
B2RUZ4	SMIM1	-1.39221401804147	3.93806730165153e-17	No	No
O00391	QSOX1	-1.71692288981077	2.2800322510826498e-33	No	No
O00469	PLOD2	-1.17551967065631	3.95406941242843e-34	No	No
O00560	SDCBP	-1.7386619637347	3.73586664676179e-32	No	No
O00562	PITPNM1	-1.89654062424564	4.79946207509882e-21	No	No
O14531	DPYSL4	-1.48151327907357	2.8508388134962704e-19	No	No
O14798	TNFRSF10C	-1.00405954926314	0.0014902013186025	No	No
O14972	VPS26C	-1.30811435250827	4.15233923902315e-23	No	No
O14975	SLC27A2	-1.39204049235517	1.46683934503041e-07	No	No
O15037	KHNYN	-1.1640091773798	5.64053414772876e-10	No	No
O15050	TRANK1	-1.20265170341095	0.0038814781984254	No	No
O15162	PLSCR1	-1.44111926032379	6.948336579252611e-17	No	No
