Protein_Group	Genes	cMyc_OE_5_Non Treated_vs_T47D _Non Treated_logFC	cMyc_OE_5_Non Treated_vs_T47D _Non Treated_pval	Removed?	Contaminant?
Q8WV28	BLNK	-1.2569561873155	6.13312748602751e-23	No	No
Q8WW38	ZFPM2	-1.17768612943968	0.0002170413816852	No	No
Q8WWA1	TMEM40	-1.56114931996769	1.22158217764755e-23	No	No
Q8WWW0	RASSF5	-2.02836452874406	1.02094989170126e-10	No	No
Q8WWY8	LIPH	-1.31393915804061	1.0850730468979701e-09	No	No
Q8WWZ3	EDARADD	-2.20418534254439	1.64494027883953e-13	No	No
Q92478	CLEC2B	-5.15745349010141	1.75522495166201e-12	No	No
Q92537	SUSD6	-1.2864622486157	1.29637733412796e-06	No	No
Q92619	ARHGAP45	-2.01137071735152	4.02348847937977e-27	No	No
Q92686	NRGN	-1.16791770442468	0.0008063946436872	No	No
Q92828	CORO2A	-1.5121248059499	2.56886361404069e-17	No	No
Q92854	SEMA4D	-1.16422181580557	9.14544752351939e-07	No	No
Q93099	HGD	-1.12136829738872	0.0024228390595802	No	No
Q969X0	RILPL2	-1.28182205939815	1.2629691195281399e-11	No	No
Q96A58	RERG	-1.41002727689642	1.84061302113105e-14	No	No
Q96AH8	RAB7B	-1.51262561004711	0.0003630049881844	No	No
Q96AP7	ESAM	-2.09754324629356	4.31165455592088e-05	No	No
Q96AZ6	ISG20	-1.53769155287249	3.3790454476057e-07	No	No
Q96BR1	SGK3	-1.06921199735542	4.656643901982e-21	No	No
Q96BY6	DOCK10	-1.48790086412445	1.34971575959798e-08	No	No
Q96C11	FGGY	-1.34114739061312	6.197693268058539e-11	No	No
Q96C24	SYTL4	-1.3192175795411	2.91203822827781e-27	No	No
Q96C74	ROPN1L	-1.45371414066115	0.00021883200909	No	No
Q96CX2	KCTD12	-1.06708441185845	0.0006154670520509	No	No
Q96CX6	LRRC58	-1.1695560793223	0.0001390133884711	No	No
Q96DX5	ASB9	-1.44813345652453	0.0017169991865633	No	No
Q96EG1	ARSG	-1.17337718992218	1.79483505629618e-08	No	No
Q96F07	CYFIP2	-2.36619468659297	5.73719303959447e-45	No	No
Q96FE7	PIK3IP1	-2.3392097963308	1.39075664770166e-06	No	No
Q96FL8	SLC47A1	-1.729827133236	3.93863051243794e-08	No	No
Q96FV0	LRRC46	-1.12914673261684	1.35481988690987e-08	No	No
Q96FZ5	CMTM7	-3.20258689391818	9.29811516419232e-05	No	No
Q96GY0	ZC2HC1A	-3.46951828824425	4.37931125894703e-32	No	No
Q96J66	ABCC11	-1.13811467503116	9.077922230526869e-28	No	No
Q96J84	KIRREL1	-1.81145385147112	1.33552907508494e-24	No	No
Q96JK9	MAML3	-1.71003749806186	0.0015567283054221	No	No
Q96JQ2	CLMN	-1.8797780678907	2.4328352212009e-42	No	No
Q96M32	AK7	-2.01261939200066	6.45111435654941e-07	No	No
Q96MT1	RNF145	-1.26184830267574	2.18944320028665e-07	No	No
Q96NY7	CLIC6	-2.56950944484502	3.74643134340417e-23	No	No
Q96QE2	SLC2A13	-1.31592855814057	6.93239458880077e-06	No	No
Q96QP1	ALPK1	-1.0780727878553	0.0001516737708703	No	No
Q96R05	RBP7	-2.66223686632981	7.25687429786723e-26	No	No
Q99489	DDO	-1.17790718810982	6.34798670477389e-06	No	No
Q99574	SERPINI1	-1.03825954010181	3.15604451346644e-14	No	No
Q99675	CGRRF1	-1.02653890710197	0.0007469167431009	No	No
Q99685	MGLL	-1.32883339940304	1.62271801383298e-18	No	No
Q99708	RBBP8	-1.46355802218825	3.02524062826934e-21	No	No
Q99715	COL12A1	-1.50592793038966	1.30535343337051e-34	No	No
Q99966	CITED1	-1.30902747954632	0.00766779821604	No	No
Q9BPU9	B9D2	-3.07166319346581	1.1729107739849e-10	No	No
Q9BQT9	CLSTN3	-1.39038424859923	3.12766293020708e-05	No	No
Q9BR39	JPH2	-3.39141952570527	2.34498876736603e-38	No	No
Q9BRK3	MXRA8	-3.15189951332177	8.105423792136471e-31	No	No
Q9BSK0	MARVELD1	-1.82581027014512	8.483421745828e-09	No	No
Q9BTY2	FUCA2	-1.11949568495374	1.60458779811237e-27	No	No
Q9BWM7	SFXN3	-1.50222333681973	4.2646596902293205e-35	No	No
Q9BX66	SORBS1	-1.37121678744091	1.74238334126952e-17	No	No
Q9BXC9	BBS2	-1.21421264418519	1.13127747619675e-13	No	No
Q9BY67	CADM1	-1.0742397723416	1.7484196526709101e-25	No	No
Q9BZD6	PRRG4	-1.1646430126962	1.44434789185655e-05	No	No
Q9BZF2	OSBPL7	-1.31038929565632	1.57161151690697e-05	No	No
Q9BZM5	ULBP2	-1.07064165335741	5.125347226892141e-09	No	No
Q9C004	SPRY4	-2.17264862786071	3.6678761702709395e-12	No	No
Q9C026	TRIM9	-1.02477897206297	5.17341495528702e-07	No	No
Q9GZN4	PRSS22	-1.01292186036422	0.0029446838380413	No	No
Q9GZR5	ELOVL4	-1.54647074988954	1.62863288996275e-10	No	No
Q9GZV5	WWTR1	-1.31197123213178	2.77693363462719e-12	No	No
Q9GZY6	LAT2	-1.91143328756542	1.0370907473860001e-11	No	No
Q9H1C3	GLT8D2	-1.45112678493106	1.26947880350228e-06	No	No
Q9H211	CDT1	-1.05125668961705	1.94650531708921e-13	No	No
Q9H3G5	CPVL	-2.97134997129359	5.1731560548349496e-33	No	No
Q9H4F1	ST6GALNAC4	-1.6144103215958	8.06613851746819e-07	No	No
Q9H4G4	GLIPR2	-1.29866875661874	2.18077825023754e-12	No	No
Q9H6L2	TMEM231	-2.44489808181305	1.0505119750713701e-20	No	No
Q9H6X2	ANTXR1	-1.28500291536089	0.0004088445830477	No	No
Q9H898	ZMAT4	-1.26693082128695	0.0005759516522689	No	No
Q9H8J5	MANSC1	-1.33356482601045	0.0006744818144368	No	No
Q9H902	REEP1	-1.65459470568202	0.0003453192812343	No	No
Q9H9H5	MAP6D1	-1.39726841048854	4.77069727308514e-26	No	No
Q9HB19	PLEKHA2	-2.74571925361623	6.756628085439e-20	No	No
Q9HBK9	AS3MT	-1.23793631825667	7.610105204495541e-31	No	No
Q9HBL7	PLGRKT	-1.08153233209416	1.0569459887731899e-22	No	No
Q9HC58	SLC24A3	-1.40404962511487	0.0003218577492672	No	No
Q9HCD6	TANC2	-1.26913950978849	1.537981115547e-29	No	No
Q9HCH5	SYTL2	-1.28459483879929	1.98393966439691e-09	No	No
Q9HCS5	EPB41L4A	-1.37358956016302	4.495165974023e-18	No	No
Q9NPB6	PARD6A	-1.1191934373825	5.21900064213594e-07	No	No
Q9NQ36	SCUBE2	-1.6165460949171	7.80338834581521e-19	No	No
Q9NQ84	GPRC5C	-1.02100207321858	1.11057661724864e-20	No	No
Q9NQX5	NPDC1	-1.07605711869212	6.032827773103091e-14	No	No
Q9NQX7	ITM2C	-3.24172056318117	4.154188740465e-24	No	No
Q9NR34	MAN1C1	-1.28092033221131	0.0010969024808898	No	No
Q9NRN5	OLFML3	-1.00475926461598	1.2444308339075901e-23	No	No
Q9NRZ5	AGPAT4	-1.09262066392854	2.86310994047496e-08	No	No
Q9NS15	LTBP3	-1.00471451694098	5.3153289670698706e-15	No	No
Q9NSD4	ZNF275	-1.34875992008765	0.0036642020788549	No	No
Q9NVN8	GNL3L	-1.0603571977449	1.41923176516762e-27	No	No
Q9NXR5	ANKRD10	-1.780145650378	0.0002270341287648	No	No
Q9NXU5	ARL15	-1.21612394936643	3.13386767207682e-17	No	No
Q9NYT0	PLEK2	-1.41787345436383	2.48983765982037e-06	No	No
Q9NZR1	TMOD2	-1.24696910705065	1.4214055447149802e-15	No	No
Q9P291	ARMCX1	-1.76254799341141	2.7929543475652804e-15	No	No
Q9P299	COPZ2	-3.51658728079632	7.61457095064329e-26	No	No
Q9P2F8	SIPA1L2	-2.33308217927426	1.96454983044316e-14	No	No
Q9P2P1	NYNRIN	-1.09674732412086	6.31825164987656e-05	No	No
Q9UBP9	GULP1	-1.07354276556787	8.00349402462167e-10	No	No
Q9UBX1	CTSF	-1.00881800043268	6.32881043888256e-17	No	No
Q9UDR5	AASS	-1.94979853754633	2.7900508032844303e-10	No	No
Q9UEY8	ADD3	-2.00979232634684	6.94721622587835e-38	No	No
Q9UGT4	SUSD2	-1.56316396367413	2.96539998988305e-19	No	No
Q9UHE8	STEAP1	-1.175203859308	4.33441943394264e-07	No	No
Q9UHF1	EGFL7	-1.17079886047989	0.0003219189825797	No	No
Q9UHI5	SLC7A8	-1.00192294964588	9.26484999804972e-08	No	No
Q9UHL4	DPP7	-1.16385114513603	2.8601763075163696e-30	No	No
Q9UHN6	CEMIP2	-1.40700003811364	1.02666059316701e-29	No	No
Q9UII4	HERC5	-1.22643117512581	1.57874721793916e-06	No	No
Q9UJX0	OSGIN1	-1.0346322511474	0.0007839944016815	No	No
Q9UJY1	HSPB8	-1.03803645684239	2.56502579065037e-13	No	No
Q9UKB3	DNAJC12	-1.33567944657465	7.48776931957486e-05	No	No
Q9UKE5	TNIK	-1.14087949747695	9.18932371924748e-19	No	No
Q9UKK3	PARP4	-1.07047951092331	3.50996104592792e-08	No	No
Q9UKL6	PCTP	-1.19601083782004	6.049815190760991e-25	No	No
Q9ULI3	HEG1	-1.01352843214332	3.29049297110593e-14	No	No
Q9ULW8	PADI3	-2.47164455888073	2.59521804228289e-41	No	No
Q9UMS5	PHTF1	-1.89798666538108	6.88476508350577e-05	No	No
Q9UN66	PCDHB8	-1.39234317244248	1.61070102151094e-26	No	No
Q9UN72	PCDHA7	-1.76798866494059	3.16363759986744e-14	No	No
Q9UN81	L1RE1	-1.02781813913391	6.80212657042418e-31	No	No
Q9UNN8	PROCR	-2.2827183747486	1.07994174947713e-23	No	No
Q9UPI3	FLVCR2	-1.05455316001582	0.0055996802939924	No	No
Q9UPM9	B9D1	-1.0707224815181	5.10691959772794e-06	No	No
Q9UQV4	LAMP3	-1.62085614788833	8.242196696674839e-11	No	No
Q9Y2J2	EPB41L3	-1.47185421282714	1.28290422484279e-08	No	No
Q9Y2Y9	KLF13	-1.48622195444745	0.0004921538165803	No	No
Q9Y342	PLLP	-1.09207693616386	8.27673227749821e-05	No	No
Q9Y394	DHRS7	-1.03129507920907	4.17685887291218e-24	No	No
Q9Y5E3	PCDHB6	-1.5013923901449	6.19729359084276e-06	No	No
Q9Y5E7	PCDHB2	-1.2708230580824	4.29738657223439e-17	No	No
Q9Y5F0	PCDHB13	-1.71985219733095	1.2755119983804399e-18	No	No
Q9Y5G3	PCDHGB1	-1.20154010155873	7.75145178302893e-09	No	No
Q9Y5G7	PCDHGA6	-1.6953311683008	1.10765987725719e-06	No	No
Q9Y5H0	PCDHGA3	-1.53604316082391	4.4383616322557705e-20	No	No
Q9Y5H3	PCDHGA10	-1.23711021490341	2.08689556193065e-12	No	No
Q9Y5H4	PCDHGA1	-1.90732486883639	6.6522105763905e-09	No	No
Q9Y5I3	PCDHA1	-1.04099695897391	0.0037434185901451	No	No
Q9Y5U5	TNFRSF18	-1.0753886769831	0.0024281185097216	No	No
Q9Y617	PSAT1	-2.69243895224992	3.7757157483634303e-31	No	No
Q9Y646	CPQ	-1.60889453359596	1.67581468117487e-27	No	No
Q9Y6B2	EID1	-1.07688285751772	0.0033093263002774	No	No
Q9Y6N8	CDH10	-1.45830582738939	2.67587996133636e-05	No	No
