Protein_Group	Genes	NF1_sg_1.1_2_Non Treated_vs_EV_Blast  _Non Treated_logFC	NF1_sg_1.1_2_Non Treated_vs_EV_Blast  _Non Treated_pval	Removed?	Contaminant?
Q12794	HYAL1	3.16751443510591	4.25672042468161e-08	No	No
Q13115	DUSP4	1.03835911041571	8.75766158722213e-06	No	No
Q13393	PLD1	1.03571445192014	1.3313721040586001e-24	No	No
Q13753	LAMC2	2.18203252373948	1.40345791017047e-13	No	No
Q14956	GPNMB	2.58023734807615	6.522062392389809e-16	No	No
Q15041	ARL6IP1	1.47192347107066	3.25873970204682e-14	No	No
Q15392	DHCR24	1.11097337305572	1.4736715793674e-30	No	No
Q15738	NSDHL	1.08590450575588	6.45133576487988e-26	No	No
Q16270	IGFBP7	2.79298577576943	4.926319283047739e-13	No	No
Q16678	CYP1B1	1.55292781824046	8.42041509899403e-16	No	No
Q3SY77	UGT3A2	2.12651660063858	5.62894793206139e-06	No	No
Q53GG5	PDLIM3	1.63754571210376	1.47171131142312e-05	No	No
Q5SXH7	PLEKHS1	3.17516150560971	6.530584023765229e-11	No	No
Q5SY68	S100A7L2	2.55016979765299	0.0074821724494249	No	No
Q5SZD4	GLYATL3	5.12070966003123	6.6961039615181606e-21	No	No
Q5T013	HYI	1.16431558945867	2.09625015482291e-06	No	No
Q5T2W1	PDZK1	1.68630084839297	1.25621127773425e-32	No	No
Q687X5	STEAP4	2.1627500204393	2.18608884695548e-07	No	No
Q6UWH6	TEX261	3.07672167095279	5.35385090744307e-06	No	No
Q6UWP8	SBSN	1.90165227191801	2.00804365574568e-05	No	No
Q6ZS11	RINL	3.77822242783356	1.45877065244248e-10	No	No
Q6ZSY5	PPP1R3F	1.13762096098448	0.0001984033543186	No	No
Q7Z3B1	NEGR1	2.73098311922899	4.75899239977772e-48	No	No
Q7Z3G6	PRICKLE2	1.53671205845134	4.31596171352388e-07	No	No
Q7Z3Q1	SLC46A3	1.52436433727162	3.29714480229303e-10	No	No
Q86TG7	PEG10	1.84179207116685	5.809875030275411e-31	No	No
Q86YQ8	CPNE8	1.21795038399309	9.430189984378451e-09	No	No
Q8IVU3	HERC6	1.36439485694469	0.0006431909412332	No	No
Q8IXK2	GALNT12	1.55588749751525	0.0039372723138177	No	No
Q8IY82	DRC7	1.13046370052646	4.15740542477959e-05	No	No
Q8IYM2	SLFN12	1.04289006034103	0.0012714012491633	No	No
Q8N165	PDIK1L	1.00121629270481	0.0016854299198664	No	No
