Protein_Group	Genes	TP53_sg_1.2_3_250nM Palbo_vs_TP53_sg_1.2_3_Non Treated_logFC	TP53_sg_1.2_3_250nM Palbo_vs_TP53_sg_1.2_3_Non Treated_pval	Removed?	Contaminant?
Q96NL6	SCLT1	-1.09174115153499	3.14260314910771e-06	No	No
Q96Q89	KIF20B	-1.58318999757923	4.64990124559559e-32	No	No
Q96QB1	DLC1	-1.79672428221518	3.58276013978046e-11	No	No
Q96QE3	ATAD5	-1.25190488873946	3.6418072463823997e-19	No	No
Q96R06	SPAG5	-2.00714806561422	5.75939005901208e-35	No	No
Q96T88	UHRF1	-2.07759011293563	1.31757906713161e-37	No	No
Q99618	CDCA3	-1.89827481225517	7.66011758698022e-16	No	No
Q99640	PKMYT1	-1.53618859347919	1.57983707275048e-24	No	No
Q99661	KIF2C	-1.70707144133323	1.8564309140409802e-23	No	No
Q99728	BARD1	-1.360639377931	8.81863561841439e-20	No	No
Q99741	CDC6	-1.72465010676418	1.7518263544964998e-12	No	No
Q99784	OLFM1	-1.23651422464101	1.21815937568788e-08	No	No
Q9BPX3	NCAPG	-1.74320333692981	9.685165539162179e-42	No	No
Q9BQ87	TBL1Y	-1.3291987390688	0.0030678387270792	No	No
Q9BRT9	GINS4	-1.21033529691967	2.96192290754085e-24	No	No
Q9BRX5	GINS3	-1.49437881191393	4.05858097881873e-27	No	No
Q9BS16	CENPK	-1.11073349179089	2.06403040586431e-10	No	No
Q9BSJ6	PIMREG	-1.46011594483395	0.0027528488000689	No	No
Q9BVW5	TIPIN	-1.63587466247818	6.06003692692949e-18	No	No
Q9BVX2	TMEM106C	-1.37118437428761	3.35000759527136e-09	No	No
Q9BW19	KIFC1	-1.98426286773069	1.95832543833634e-32	No	No
Q9BW71	HIRIP3	-1.39747910519444	1.51198638028301e-27	No	No
Q9BWT6	MND1	-1.388150253578	0.0001410989163993	No	No
Q9BXS6	NUSAP1	-2.04335329875955	3.3771470842667097e-28	No	No
Q9BXW9	FANCD2	-1.79186081888324	6.12184525267461e-34	No	No
Q9BZD4	NUF2	-2.09570382315967	8.59238339481641e-28	No	No
Q9C099	LRRCC1	-1.11072644845237	8.06354274720226e-05	No	No
Q9H0H5	RACGAP1	-1.80243360226382	6.94332894475461e-34	No	No
Q9H211	CDT1	-1.20710949976098	1.94228283487541e-15	No	No
Q9H3R5	CENPH	-1.17577966021432	2.4286945864005104e-19	No	No
Q9H4H8	FAM83D	-1.55702131611171	1.37449450348497e-22	No	No
Q9H609	ZNF576	-1.2985408536229	2.38021400872564e-05	No	No
Q9H706	GAREM1	-1.22768384183752	0.0001316034560747	No	No
Q9H8V3	ECT2	-1.65882369728225	2.25592156623297e-36	No	No
Q9H967	WDR76	-2.17013473870762	9.017695502834889e-30	No	No
Q9H9A7	RMI1	-1.65055446693579	7.08304039621845e-17	No	No
Q9HAW4	CLSPN	-1.28164698356619	1.97120298709192e-13	No	No
Q9HB15	KCNK12	-3.52229232321753	2.27218921884648e-10	No	No
Q9HBM1	SPC25	-2.43123268139078	1.17043411583242e-26	No	No
Q9NP50	SINHCAF	-1.11265377585621	4.96752126534085e-05	No	No
Q9NPD8	UBE2T	-2.09215194074066	6.54706539240589e-30	No	No
Q9NQS7	INCENP	-2.03685619875104	2.59762658288108e-29	No	No
Q9NQW6	ANLN	-1.66140208686676	4.2596324988066603e-35	No	No
Q9NRZ9	HELLS	-1.98904208339377	1.52377802559633e-32	No	No
Q9NS87	KIF15	-1.65383499615311	8.677081827240759e-36	No	No
Q9NS91	RAD18	-1.53932383242922	5.71243066143547e-29	No	No
Q9NSG2	C1orf112	-1.06513152562347	5.59213542274927e-18	No	No
Q9NSP4	CENPM	-1.09729905987328	1.58546334612091e-06	No	No
Q9NTJ3	SMC4	-1.40361058604904	3.25730436433774e-44	No	No
Q9NUC0	SERTAD4	-1.2042610700536	9.30065983147459e-08	No	No
Q9NVI1	FANCI	-2.07134757770397	1.92286836332151e-41	No	No
Q9NVP2	ASF1B	-1.1783181810388	1.07716934664792e-11	No	No
Q9NXG0	CNTLN	-1.56522889042207	1.0300653670317902e-09	No	No
Q9NXL9	MCM9	-1.05106834072902	0.0018821177666718	No	No
Q9NYP3	DONSON	-1.62180242659916	1.40087395447867e-05	No	No
Q9NYP9	MIS18A	-1.44443249946891	2.40048271669491e-18	No	No
Q9NYZ3	GTSE1	-1.66322527930943	5.6413834328857e-14	No	No
Q9NZJ0	DTL	-1.2693184988029	3.4857955308958503e-19	No	No
Q9P2W1	PSMC3IP	-2.44205523521812	1.39463167523467e-13	No	No
Q9UBC3	DNMT3B	-1.28553661131895	2.07535026398928e-05	No	No
Q9UGN5	PARP2	-1.02177231573675	5.25633867980368e-21	No	No
Q9UH17	APOBEC3B	-1.68950739785916	1.5124681991121198e-28	No	No
Q9UIF7	MUTYH	-1.38665502992984	2.2434784807433e-13	No	No
Q9UKT4	FBXO5	-1.52410699830321	5.85970454689559e-10	No	No
Q9ULW0	TPX2	-1.88304210258239	2.52605565460839e-35	No	No
Q9UNS1	TIMELESS	-1.55308782804137	1.00399530667486e-36	No	No
Q9UPY5	SLC7A11	-1.71800617550299	0.0003674922978282	No	No
Q9UQ84	EXO1	-1.66825678740241	6.17645531104142e-11	No	No
Q9UQR0	SCML2	-1.07105773374596	6.227182241683419e-22	No	No
Q9Y248	GINS2	-1.26891691292564	5.05027144610394e-27	No	No
Q9Y253	POLH	-1.08498153466411	7.49961948593651e-06	No	No
Q9Y330	ZBTB12	-1.01515816920293	0.0044810374316181	No	No
Q9Y448	KNSTRN	-2.0396532190406	1.3903155501552101e-24	No	No
Q9Y5N6	ORC6	-1.21209510268094	2.15344090948873e-07	No	No
Q9Y5T4	DNAJC15	-1.35249180739116	3.33685118830124e-13	No	No
Q9Y620	RAD54B	-1.31324178213677	1.68028898037302e-17	No	No
Q9Y6A5	TACC3	-1.65387071276302	2.56347863866223e-28	No	No
