Protein_Group	Genes	TP53_sg_1.2_3_250nM Palbo_vs_TP53_sg_1.2_3_Non Treated_logFC	TP53_sg_1.2_3_250nM Palbo_vs_TP53_sg_1.2_3_Non Treated_pval	Removed?	Contaminant?
Q6P2I3	FAHD2B	1.91186230043332	0.0002204240227926	No	No
Q6T310	RASL11A	2.36413484370187	1.49749861269704e-14	No	No
Q6UWH4	GASK1B	1.26018405721304	0.0016842509559203	No	No
Q6UXI9	NPNT	1.32258290609	2.58319070509713e-06	No	No
Q71U36	TUBA1A	1.6926829623489	1.92110385675983e-06	No	No
Q76KP1	B4GALNT4	1.01824578549114	5.16752483186896e-06	No	No
Q7L311	ARMCX2	1.39370354120443	4.75929617342085e-19	No	No
Q7Z404	TMC4	1.08792526918065	6.207907706080649e-22	No	No
Q86V24	ADIPOR2	1.23198689993034	0.0001870677513212	No	No
Q86VD7	SLC25A42	1.03737378370605	2.1315889991893902e-10	No	No
Q86WU2	LDHD	1.08136406768192	1.66697837326129e-25	No	No
Q86WV1	SKAP1	1.83878528397702	0.006117001450117	No	No
Q86Y38	XYLT1	1.08850558773729	0.0009236580118175	No	No
Q86YB7	ECHDC2	1.05728974742314	0.0081631535799635	No	No
Q86YJ6	THNSL2	1.21332036105701	1.83399337089793e-10	No	No
Q8IVI9	NOSTRIN	1.42998436277125	2.05636567369506e-06	No	No
Q8IWU6	SULF1	1.21442081568273	0.0091382702713738	No	No
Q8IWW8	ADHFE1	1.59471948529608	4.46849535289892e-14	No	No
Q8IXH6	TP53INP2	3.47948271240159	2.61999409090113e-05	No	No
Q8IY63	AMOTL1	1.78384401642212	2.09198462733128e-07	No	No
Q8IZJ3	CPAMD8	1.20940568925633	5.5716383159078206e-15	No	No
Q8N370	SLC43A2	1.39749924554092	1.82466606683916e-08	No	No
Q8N3V7	SYNPO	2.12548474838938	1.9997274428208e-06	No	No
Q8N5J2	MINDY1	1.37508708587503	2.4550769918422496e-30	No	No
Q8N6I4	TMEM251	1.00313048961602	0.000443870038981	No	No
Q8N6N6	NATD1	1.54006141953848	3.61760211230308e-13	No	No
Q8N957	ANKFN1	1.24271134308643	0.0067839271868197	No	No
Q8NBV8	SYT8	1.16195409464627	0.0027308184664113	No	No
Q8NF99	ZNF397	1.22951730011459	0.0004586264353413	No	No
Q8NG08	HELB	1.70454770412347	1.69348610871947e-06	No	No
Q8NG66	NEK11	1.32770854521416	0.0005796529092909	No	No
Q8TB45	DEPTOR	1.68856945991326	2.1758404478064197e-30	No	No
Q8TE58	ADAMTS15	1.05504799096033	5.11718227970541e-10	No	No
Q8WVV4	POF1B	1.30951755553154	1.27780172970276e-12	No	No
Q8WWZ7	ABCA5	1.05258782578633	4.39596712507154e-06	No	No
Q92508	PIEZO1	1.0193741782972	3.0356213687693703e-25	No	No
Q92597	NDRG1	1.53551283093036	1.52717499003807e-21	No	No
Q95460	MR1	1.22493435747114	1.74002842072159e-07	No	No
Q96AD5	PNPLA2	1.00446703347372	1.6999602821426e-26	No	No
Q96AZ6	ISG20	1.54796071867612	2.94691839621417e-07	No	No
Q96DX5	ASB9	2.06189218445405	2.09893601098815e-05	No	No
Q96FL8	SLC47A1	1.45155772913868	1.4996641872621e-06	No	No
Q96J66	ABCC11	1.03243984112205	5.45785742015216e-26	No	No
Q96NY7	CLIC6	1.80417178258616	3.13358821110907e-17	No	No
Q96QP1	ALPK1	1.66306779568225	8.23795847540639e-08	No	No
Q99489	DDO	1.37110189115787	3.68087096580807e-07	No	No
Q99574	SERPINI1	2.31182083959609	1.28843646426065e-27	No	No
Q99758	ABCA3	1.17086790866095	5.044180398670031e-31	No	No
Q99828	CIB1	1.02065353965609	3.37223777103383e-18	No	No
Q9BQR3	PRSS27	1.75069575055704	7.31188427839409e-09	No	No
Q9BQT9	CLSTN3	1.53235851978214	6.52591508751526e-06	No	No
Q9BZD2	SLC29A3	2.05538905215423	4.98193561728395e-09	No	No
Q9H4D0	CLSTN2	1.17468188090961	0.0057448146859469	No	No
Q9H4F8	SMOC1	1.18330733704715	0.0022556635081915	No	No
Q9H841	NIPAL2	1.36973192708865	2.35790056660514e-05	No	No
Q9HAH1	ZNF556	1.04157306825356	6.44503529825863e-12	No	No
Q9NP74	PALMD	1.26555733155711	6.706062969323309e-11	No	No
Q9NQ40	SLC52A3	1.00512395330176	0.0029657054747393	No	No
Q9NQX7	ITM2C	1.0016730090243	1.75750929815293e-07	No	No
Q9NR34	MAN1C1	3.33575811510873	8.85696202136082e-12	No	No
Q9NRN5	OLFML3	1.08500989626579	5.324307669747211e-25	No	No
Q9NRZ5	AGPAT4	1.90274993087768	3.0906335123711704e-15	No	No
Q9NX95	SYBU	1.2624700462835	0.0002792873520829	No	No
Q9P2H5	USP35	1.26788354258085	4.48724604862131e-08	No	No
Q9UDR5	AASS	1.13337127095481	2.65634039959076e-05	No	No
Q9UHW9	SLC12A6	2.02848747070401	1.00154760823815e-14	No	No
Q9UKK3	PARP4	1.07331112011333	3.30447405057888e-08	No	No
Q9ULD0	OGDHL	1.08945779766788	1.93381194361823e-19	No	No
Q9ULL4	PLXNB3	1.08507467978834	3.7005526523049296e-22	No	No
Q9ULM0	PLEKHH1	1.26432686879747	1.31524628952395e-08	No	No
Q9UN72	PCDHA7	1.19956333867063	2.7103031308652604e-09	No	No
Q9UPT6	MAPK8IP3	1.01462890242797	2.11648363203982e-15	No	No
Q9Y234	LIPT1	1.10574322177392	0.0001309304013023	No	No
Q9Y2J2	EPB41L3	1.41605512561891	3.16196864370885e-08	No	No
Q9Y572	RIPK3	1.9753726462281	0.000907528736807	No	No
Q9Y5L2	HILPDA	1.17553942902289	4.28235290242667e-05	No	No
Q9Y5Q0	FADS3	1.26130437392451	3.57300946469578e-05	No	No
A0A087X1C1;P0CG34;P0CG35	TMSB15B;TMSB15A;TMSB15B	-1.12224359378204	5.35745459990823e-06	No	No
A0A1B0GWB2	PRRT1B	-1.56901377643366	2.4672851936402e-11	No	No
A8MPP1	DDX11L8	-2.05979255347457	1.43451053688454e-19	No	No
A8MT69	CENPX	-1.28171479694364	3.66330140342982e-13	No	No
B3KNS4	ERVK3-1	-1.12087098687087	1.47269774696537e-08	No	No
O00311	CDC7	-1.46507514547895	1.60036500074909e-10	No	No
O00458	IFRD1	-1.59660095055178	3.67936308601585e-06	No	No
O00762	UBE2C	-1.81727138692911	5.1580120123477596e-26	No	No
O14578	CIT	-1.6092237530489	9.87762026011455e-37	No	No
O14732	IMPA2	-1.14383169279458	2.47742179987745e-16	No	No
O14757	CHEK1	-1.43565521142269	2.8686273385834597e-26	No	No
O14777	NDC80	-2.02616637579045	1.24006190804472e-31	No	No
O14965	AURKA	-1.51794270076376	7.85014663789154e-27	No	No
O15287	FANCG	-1.55630370003781	4.2228962024638997e-13	No	No
O15304	SIVA1	-1.31781247334985	3.85261408871473e-08	No	No
O15350	TP73	-2.11056722062997	2.32674262479088e-19	No	No
O15360	FANCA	-1.15940004249946	4.34905437702931e-06	No	No
O15392	BIRC5	-2.10288739376112	6.217484216676639e-11	No	No
O43379	WDR62	-1.79856667045718	2.8082779426059804e-20	No	No
O43463	SUV39H1	-1.72927488250985	2.41116074515582e-16	No	No
O43482	OIP5	-1.53938905864817	1.42309803116329e-19	No	No
O43502	RAD51C	-1.40684206914859	1.9451582735358699e-16	No	No
O43663	PRC1	-1.89229347574545	2.0192634988549198e-28	No	No
O43683	BUB1	-1.36116022327002	1.42613540801652e-18	No	No
O60566	BUB1B	-1.15050705460226	2.36613923527669e-26	No	No
