Protein_Group	Genes	T47D_C_Non Treated_vs_T47D _Non Treated_logFC	T47D_C_Non Treated_vs_T47D _Non Treated_pval	Removed?	Contaminant?
Q14894	CRYM	3.41958674725867	2.5262295683259098e-12	No	No
Q16385	SSX2B	2.48074259278984	2.49118718908026e-07	No	No
Q16763	UBE2S	1.16410961770166	4.56193349935321e-16	No	No
Q2I0M4	LRRC26	1.04171968488561	0.0006379673097818	No	No
Q2M3V2	SOWAHA	1.33474356661651	9.5751008499886e-24	No	No
Q53H80	AKIRIN2	1.57991379319308	1.97803376238004e-05	No	No
Q53RE8	ANKRD39	1.02980970745651	0.0039330802633439	No	No
Q562F6	SGO2	1.01087673212439	1.30171410196296e-05	No	No
Q58EX7	PLEKHG4	2.03886008052802	1.4304549415888199e-11	No	No
Q5HY92	FIGN	1.08464355736657	0.0004589198868164	No	No
Q5SXH7	PLEKHS1	1.07955042782882	0.00603019114857	No	No
Q5T013	HYI	1.66946702342512	6.52132686171424e-10	No	No
Q5VUG0	SFMBT2	1.0073339480671	3.54433525816599e-05	No	No
Q687X5	STEAP4	2.8647115294335	2.5184110762713203e-10	No	No
Q69YH5	CDCA2	1.01161442938499	3.70313271303744e-08	No	No
Q6IQ19	CCSAP	1.23394247094953	0.0099939174212859	No	No
Q6NVV7	CDPF1	1.01896761405905	2.87268305100564e-06	No	No
Q6PII5	HAGHL	1.00666596499336	8.29773366078957e-06	No	No
Q6QHC5	DEGS2	1.09407579110815	2.51754435949921e-13	No	No
Q6ZN08	ZNF66	1.44036708253043	9.11646855998869e-06	No	No
Q7L266	ASRGL1	1.42055805821389	7.12684643493632e-05	No	No
Q7Z3G6	PRICKLE2	1.21524613325126	2.76128254305389e-05	No	No
Q7Z7D3	VTCN1	1.61207266368737	2.8070103430929104e-25	No	No
Q86SK9	SCD5	1.59024396189098	0.0057731773615922	No	No
Q86V24	ADIPOR2	1.53319543843621	7.32899343232485e-06	No	No
Q86W10	CYP4Z1	1.01768435212367	0.0002373564661971	No	No
