Protein_Group	Genes	T47D_C_Non Treated_vs_T47D _Non Treated_logFC	T47D_C_Non Treated_vs_T47D _Non Treated_pval	Removed?	Contaminant?
Q9BXM9	FSD1L	-2.15557465147127	2.15138012259158e-13	No	No
Q9BZG1	RAB34	-1.15589630062269	2.89426847886253e-24	No	No
Q9C0H9	SRCIN1	-1.27071924540962	2.1624153158458398e-29	No	No
Q9GZV1	ANKRD2	-1.66944438798498	3.1519102296066604e-19	No	No
Q9H3G5	CPVL	-2.91347136426092	1.21980431018799e-32	No	No
Q9H553	ALG2	-1.57135945436466	5.31521085523918e-26	No	No
Q9H6L2	TMEM231	-1.22164727338842	1.71017305375812e-10	No	No
Q9H6X2	ANTXR1	-1.35675411953489	0.0002114210112213	No	No
Q9H898	ZMAT4	-1.98669701198751	5.86103077850735e-07	No	No
Q9HB15	KCNK12	-1.50495043740372	0.0011808789087315	No	No
Q9HB63	NTN4	-1.18849163738444	0.0087139597470486	No	No
Q9HBL0	TNS1	-1.54281636751652	6.4486185361514795e-12	No	No
Q9HCK4	ROBO2	-1.56847514863602	2.85918439901992e-27	No	No
Q9NP74	PALMD	-1.77387948732508	1.58852698142068e-15	No	No
Q9NQX4	MYO5C	-1.38329122668009	3.44244571842106e-38	No	No
Q9NQX7	ITM2C	-1.56578122056296	1.52330494763543e-12	No	No
Q9NRX4	PHPT1	-1.17277538963497	4.33118705148933e-16	No	No
Q9NSY2	STARD5	-1.04789789723609	1.67786036978599e-16	No	No
Q9NUB1	ACSS1	-1.02648957853465	8.63415065855968e-31	No	No
Q9NW97	TMEM51	-1.18843731396296	0.0001092591250043	No	No
Q9NWW6	NMRK1	-1.10475530697515	4.46828293136615e-12	No	No
Q9NXG6	P4HTM	-1.07605896562943	2.25344994426648e-17	No	No
Q9NXL2	ARHGEF38	-1.32901993424435	1.54838904607949e-07	No	No
Q9NXU5	ARL15	-1.00602748186844	2.32721462881001e-14	No	No
Q9NZC7	WWOX	-1.55657727579162	2.4671855962563e-22	No	No
Q9P107	GMIP	-1.03754973521177	4.2067858981184505e-20	No	No
Q9P2N7	KLHL13	-1.14641987538246	0.0086639600661141	No	No
Q9P2Y4	ZNF219	-1.29691117251492	1.93625625278724e-06	No	No
Q9UDR5	AASS	-1.04190336394804	9.03661128666965e-05	No	No
Q9UHN6	CEMIP2	-1.03024623743438	4.9445547854505e-24	No	No
Q9UJ14	GGT7	-1.4638486038578	2.50305338713071e-24	No	No
Q9UJ37	ST6GALNAC2	-1.8695882931097	5.88095865473576e-08	No	No
Q9UKB3	DNAJC12	-1.29968554357558	0.000109031657549	No	No
Q9UKE5	TNIK	-1.3513202639264	1.32016256480349e-21	No	No
Q9ULX9	MAFF	-1.29888582623488	0.0063913833192466	No	No
Q9UPY5	SLC7A11	-1.86909532474071	0.0001275653576967	No	No
Q9Y2A9	B3GNT3	-1.17412805368046	0.0040949458329458	No	No
Q9Y2J2	EPB41L3	-2.99069851650357	3.62629206022434e-18	No	No
Q9Y2Y0	ARL2BP	-1.07766264005374	3.7371912798972494e-18	No	No
Q9Y5H4	PCDHGA1	-1.10782344768261	0.0001540745419853	No	No
Q9Y617	PSAT1	-3.1244655523631	5.788300049420819e-34	No	No
Q9Y651	SOX21	-1.40296734091726	0.0001170237252723	No	No
Q9Y6N8	CDH10	-1.04470787043192	0.0016497560052352	No	No
Q9Y6U3	SCIN	-1.03029003551853	3.65308956117503e-21	No	No
Q9Y6X4	FAM169A	-1.53941310079944	3.0414132109862696e-30	No	No
