Protein_Group	Genes	PTEN_sg_1.1_6_Non Treated_vs_EV_Blast  _Non Treated_logFC	PTEN_sg_1.1_6_Non Treated_vs_EV_Blast  _Non Treated_pval	Removed?	Contaminant?
A1IGU5	ARHGEF37	-1.16325193652315	5.41544501792342e-22	No	No
A1L170	C1orf226	-1.7480756222905	2.21092292316709e-23	No	No
A1X283	SH3PXD2B	-1.39950192059533	2.9626767141950397e-18	No	No
A6NDB9	PALM3	-1.58387397416095	7.3676288871594e-13	No	No
A6NMX2	EIF4E1B	-2.12815118204098	1.93981644361858e-15	No	No
B3EWG3;B3EWG5;B3EWG6	FAM25A;FAM25C;FAM25G	-2.18516617340511	9.05080762468782e-16	No	No
O00151	PDLIM1	-1.01220436642856	1.52080218911956e-27	No	No
O00391	QSOX1	-1.05761971605597	2.06596184196601e-24	No	No
O00418	EEF2K	-1.09830091670818	3.4987737268289597e-26	No	No
O00423	EML1	-1.23631733286259	3.34447908625167e-23	No	No
O00515	LAD1	-1.22456528373526	5.3198144190352e-31	No	No
O00526	UPK2	-1.43234197204531	5.07707966236364e-05	No	No
O00562	PITPNM1	-1.77973634994917	5.69386279109782e-20	No	No
O00592	PODXL	-1.3024832381719	1.90714360141263e-17	No	No
O14495	PLPP3	-1.27458301050032	1.09038638031511e-08	No	No
O14531	DPYSL4	-1.90347412777814	1.45591182028382e-23	No	No
O14639	ABLIM1	-1.0719189190151	8.40967877862801e-28	No	No
O14684	PTGES	-1.66136254045363	3.13293175177542e-19	No	No
O14798	TNFRSF10C	-1.21950634029032	0.0001648301208719	No	No
O14975	SLC27A2	-1.04266311251854	2.86396392043698e-05	No	No
O15327	INPP4B	-1.01839791980049	1.17504587643101e-26	No	No
O15481	MAGEB4	-1.21236955471202	2.93862756102042e-14	No	No
O43272	PRODH	-1.57062941289512	6.89941411200848e-40	No	No
O43593	HR	-1.33277553816311	5.89190493171992e-07	No	No
O43731	KDELR3	-1.25849221660312	2.63224854409068e-14	No	No
O43795	MYO1B	-1.99832612339739	7.3028048582074496e-40	No	No
O60488	ACSL4	-1.14305980494615	2.14345368045763e-05	No	No
O60663	LMX1B	-1.56792539047494	6.31369991196842e-08	No	No
O75052	NOS1AP	-1.81675978316903	7.41734079720097e-29	No	No
O75081	CBFA2T3	-1.41128754328851	1.04129168876749e-10	No	No
O75363	BCAS1	-3.35858046238288	2.93265236332887e-38	No	No
O75373	ZNF737	-1.43289646642968	0.0043859226107913	No	No
O75452	RDH16	-2.51745187004967	4.2454894106712103e-23	No	No
O75462	CRLF1	-1.88316845394117	9.80210883142064e-07	No	No
O75781	PALM	-2.4626233780078	1.1015936153474e-23	No	No
O75952	CABYR	-1.26370169631008	0.0032986923584931	No	No
O76054	SEC14L2	-1.15243699785631	7.02317658319449e-24	No	No
O76070	SNCG	-1.91254836297671	2.63971308062415e-33	No	No
O94818	NOL4	-1.25706254638446	8.833414440089269e-11	No	No
O94919	ENDOD1	-1.13228639462866	1.02261964406208e-28	No	No
O94955	RHOBTB3	-1.27595185055409	1.11218816376509e-07	No	No
O95294	RASAL1	-1.49882541524308	2.42203215211794e-08	No	No
O95502	NPTXR	-1.47593710500198	8.07074254077204e-08	No	No
O95528	SLC2A10	-2.12589446668753	1.00418096502783e-12	No	No
O95817	BAG3	-1.26534394672895	1.3987403008342299e-27	No	No
O95864	FADS2	-2.03673036989026	1.01566120098416e-18	No	No
O95994	AGR2	-1.31828380625687	5.85257659380993e-32	No	No
P00367	GLUD1	-1.10550198677813	2.18044036372939e-34	No	No
P01033	TIMP1	-2.14859254689519	4.4090379349809e-12	No	No
P01911	HLA-DRB1	-1.2953392328028	1.13204814476435e-11	No	No
P01920	HLA-DQB1	-2.39307850135149	2.82817337121997e-10	No	No
P02511	CRYAB	-2.62894529409147	1.44189811462342e-30	No	No
P04083	ANXA1	-3.16503790270754	1.42387037234359e-34	No	No
P05091	ALDH2	-1.46040579259292	5.68450557200996e-27	No	No
P05161	ISG15	-1.06059901022716	2.8776362615174e-14	No	No
P05362	ICAM1	-1.23500030721994	1.5563968789112701e-09	No	No
P05981	HPN	-1.83501925900792	2.49952897403802e-13	No	No
P06276	BCHE	-2.05490423063118	1.23261871417171e-06	No	No
