Protein_Group	Genes	T47D_C_250nM Palbo_vs_T47D_C_Non Treated_logFC	T47D_C_250nM Palbo_vs_T47D_C_Non Treated_pval	Removed?	Contaminant?
A6NGC4	TLCD2	1.02407544144734	1.94577812658019e-07	No	No
A6NMD0	IFITM10	1.546807849024	2.34255907177598e-06	No	No
A8MUP2	CSKMT	2.49484084967129	2.5122919753529e-05	No	No
B3EWG3;B3EWG5;B3EWG6	FAM25A;FAM25C;FAM25G	1.41667640105362	5.90109590320124e-10	No	No
O14775	GNB5	1.58541334553037	0.0001711688793442	No	No
O15050	TRANK1	1.39836614015418	0.0009404294759717	No	No
O15232	MATN3	1.25766516494501	5.6307087718842295e-11	No	No
O95255	ABCC6	1.64066692627895	1.14532609755622e-16	No	No
P02763	ORM1	1.08066216263176	0.0070204535276977	No	No
P05981	HPN	1.04900539933989	5.4377961837282e-07	No	No
P08294	SOD3	1.03283288055099	3.5619697718854896e-18	No	No
P12273	PIP	1.12931944433431	6.38492116798738e-15	No	No
P17735	TAT	1.40843499861997	5.991217019694181e-14	No	No
P24298	GPT	1.31772926578736	3.89598968990639e-05	No	No
P24385	CCND1	1.31242833234172	1.4014992839444099e-28	No	No
P24593	IGFBP5	1.00329451555747	7.33892247948185e-20	No	No
P28067	HLA-DMA	1.24216232546394	0.0001397343039467	No	No
P29400	COL4A5	1.3607228172528	5.95185304700578e-08	No	No
P30550	GRPR	1.52707064087574	0.0026726559650344	No	No
P40199	CEACAM6	1.20722119011354	0.0001265002206586	No	No
P40305	IFI27	1.48495934293807	0.0051164051633189	No	No
P41247	PNPLA4	1.31171685249719	9.529227522542631e-14	No	No
P45844	ABCG1	1.2936619096331	0.0001072384419822	No	No
P52895	AKR1C2	1.1252608602564	0.0005596334828647	No	No
P54108	CRISP3	1.32634339797337	2.91835434081983e-06	No	No
P54868	HMGCS2	1.05234960671725	1.4424485112970098e-18	No	No
P61587	RND3	1.07897470693408	2.10432029363561e-10	No	No
Q13751	LAMB3	1.59623614489393	1.7260280285007e-05	No	No
Q14393	GAS6	1.01377969946653	3.12002830050228e-07	No	No
Q14994	NR1I3	1.11304279300809	0.0010176840406878	No	No
Q2KHR2	RFX7	1.12383914363732	0.0042506579323177	No	No
Q5SRE7	PHYHD1	1.30632184910072	1.53992551175918e-06	No	No
Q5T749	KPRP	1.68832280444197	6.75645374928325e-05	No	No
Q5VWT5	FYB2	1.30335692283135	3.66993390506204e-05	No	No
Q5VX52	SPATA1	1.25626328972551	0.0003503622325207	No	No
Q6NVU6	UFSP1	1.90397615958633	0.0001493085726526	No	No
Q71U36	TUBA1A	1.17760916560731	0.0004318342390749	No	No
Q7Z7D3	VTCN1	1.01875052153085	1.8716957049801902e-17	No	No
Q86YB7	ECHDC2	1.18331295151724	0.00335144822859	No	No
Q8IVI9	NOSTRIN	1.17188653055682	5.39769412867525e-05	No	No
Q8IWW8	ADHFE1	1.00383051100993	2.14974136946863e-08	No	No
Q8N114	SHISA5	1.07852367172728	1.22211017151097e-05	No	No
Q8N609	TRAM1L1	1.52591996925359	0.0015836469136832	No	No
Q8NCC5	SLC37A3	1.09607433806251	0.0028960298620855	No	No
Q8NEK5	ZNF548	1.38612210798911	0.0003248777180882	No	No
Q8WWY8	LIPH	1.37324543166279	3.37449566155333e-10	No	No
Q95460	MR1	1.24861588509926	1.15502952182991e-07	No	No
Q96DX5	ASB9	1.52657304564393	0.001013862204891	No	No
Q96FL8	SLC47A1	1.45180237436806	1.4949113645648e-06	No	No
Q96QA5	GSDMA	2.0378557308149	0.0014911399956092	No	No
