Protein_Group	Genes	T47D_C_250nM Palbo_vs_T47D_C_Non Treated_logFC	T47D_C_250nM Palbo_vs_T47D_C_Non Treated_pval	Removed?	Contaminant?
Q96QE2	SLC2A13	1.63663852750788	1.01671672242799e-07	No	No
Q99489	DDO	1.066266124065	3.16261688275166e-05	No	No
Q99574	SERPINI1	1.17895646924612	4.08974017112242e-16	No	No
Q99990	VGLL1	2.88451542927463	3.63381623172017e-08	No	No
Q9BW04	SARG	1.03446791664235	8.79846985496558e-05	No	No
Q9H1C3	GLT8D2	1.19646674829393	3.37685328605315e-05	No	No
Q9H568	ACTL8	1.11881891410945	7.24550884300826e-06	No	No
Q9HB15	KCNK12	1.43469149689163	0.0018872014078759	No	No
Q9HB63	NTN4	1.3036946437847	0.0042840581079309	No	No
Q9HC58	SLC24A3	1.01694083542177	0.0071030700272521	No	No
Q9NRN5	OLFML3	1.62497122327209	1.82612435101757e-32	No	No
Q9NSE2	CISH	1.90938412298899	0.0064031816155446	No	No
Q9NYN1	RASL12	1.0846103378547	0.0040412372587837	No	No
Q9P0S9	TMEM14C	1.3210744478354	0.0041754487098515	No	No
Q9P2N7	KLHL13	1.63446134903392	0.0003033762940321	No	No
Q9UKB3	DNAJC12	1.40292954959222	3.67807507469952e-05	No	No
Q9Y342	PLLP	1.03962829896513	0.0001602636506468	No	No
A0AVK6	E2F8	-1.05538866012909	0.001397175937685	No	No
O00458	IFRD1	-1.35965585068398	4.92548807228221e-05	No	No
O15304	SIVA1	-1.21718935073055	2.18196113972929e-07	No	No
O15392	BIRC5	-1.16669364517676	2.36076794230512e-05	No	No
O60637	TSPAN3	-1.17407790982976	0.0019989349136508	No	No
O95997	PTTG1	-1.05790665749108	7.46391930587253e-07	No	No
P02795	MT2A	-1.42214525124655	0.0005235216917196	No	No
P04183	TK1	-1.05405086382808	4.54920026958128e-17	No	No
P04818	TYMS	-1.18375902896278	1.41423590588556e-09	No	No
P08913	ADRA2A	-2.17844242283652	5.92501684069692e-06	No	No
P16402	H1-3	-1.02036914088991	2.51761974816411e-17	No	No
P30047	GCHFR	-1.1050742132175	4.8734994130258894e-11	No	No
P31350	RRM2	-1.04852143071804	3.98191183395881e-24	No	No
P40426	PBX3	-1.1386016574033	0.0031965559944828	No	No
P51959	CCNG1	-1.0934449376591	0.0038909976219965	No	No
P59796	GPX6	-1.24862873496785	2.38660515376823e-05	No	No
Q01664	TFAP4	-1.44964727357015	3.2244250020907e-05	No	No
Q12815	TROAP	-1.07416242530622	1.55457593135433e-07	No	No
Q14807	KIF22	-1.14994980242169	8.57751115351564e-21	No	No
Q15004	PCLAF	-1.07840179265668	2.81226596534569e-10	No	No
Q15468	STIL	-1.05097236234726	1.9011407964278203e-09	No	No
Q5JTY5;Q5RIA9	CBWD3;CBWD5	-1.42851334583262	0.0085487724716147	No	No
Q6PI25	CNIH2	-1.13647572948013	0.0009988732113856	No	No
Q6PL18	ATAD2	-1.00662130041567	7.49579658105653e-26	No	No
Q7RTV5	PRXL2C	-1.54453724859607	7.96517734784656e-05	No	No
Q86Y91	KIF18B	-1.11263455782226	1.70705428350555e-07	No	No
Q8IXK2	GALNT12	-1.82864681342537	0.0008547492377549	No	No
Q8IYW5	RNF168	-1.22734382710411	2.06395012370241e-14	No	No
Q8NCU8	MTLN	-1.53999580587908	0.0024025257947323	No	No
Q96CX2	KCTD12	-1.18664102247161	0.0001725523574963	No	No
Q96DA2	RAB39B	-1.35288921575868	7.4228925342703e-06	No	No
Q96FF9	CDCA5	-1.09874880237039	4.2013034597705494e-12	No	No
Q96GM1	PLPPR2	-2.29549529450549	7.55853448013874e-07	No	No
Q96M32	AK7	-1.05902795469192	0.0039150761547699	No	No
Q96N19	GPR137	-1.48769301771769	0.0086212394382092	No	No
Q9BQI6	SLF1	-1.06554839148195	0.0021002131029621	No	No
Q9BXS6	NUSAP1	-1.04385568703429	1.25247821544006e-16	No	No
Q9H967	WDR76	-1.2346766676186	9.85250075011026e-20	No	No
Q9NPD8	UBE2T	-1.0127565109782	3.13099412517654e-17	No	No
Q9NQS7	INCENP	-1.06249634576458	6.57577839701195e-18	No	No
Q9UKT4	FBXO5	-1.06294567994944	1.9449231323882e-06	No	No
Q9Y5U5	TNFRSF18	-1.18499244088469	0.000940325814567	No	No
