Protein_Group	Genes	PTEN_sg_1.1_3_250nM Palbo_vs_PTEN_sg_1.1_3_Non Treated_logFC	PTEN_sg_1.1_3_250nM Palbo_vs_PTEN_sg_1.1_3_Non Treated_pval	Removed?	Contaminant?
Q07654	TFF3	1.03678912410635	2.34724339433829e-09	No	No
Q12794	HYAL1	2.13313148130027	6.00555820223625e-05	No	No
Q12841	FSTL1	1.05146068961519	2.22116159651372e-11	No	No
Q13018	PLA2R1	1.24325907720454	0.000285275745856	No	No
Q13751	LAMB3	1.09039246663391	0.0019867486910167	No	No
Q13753	LAMC2	1.76841472371538	8.030659064937769e-11	No	No
Q14315	FLNC	1.50000891088235	0.0001139661430897	No	No
Q14393	GAS6	1.52253957184257	1.1660799013615599e-11	No	No
Q14749	GNMT	1.01885846326955	8.793397944373361e-14	No	No
Q14764	MVP	1.47997592674139	7.589601278154249e-36	No	No
Q15067	ACOX1	1.02710187827261	5.4204775679219e-32	No	No
Q15111	PLCL1	1.88833983021702	9.83378677967897e-08	No	No
Q15646	OASL	1.06881899287355	1.4323315049202098e-11	No	No
Q15847	ADIRF	1.1931480526952	0.0003836640672254	No	No
Q16270	IGFBP7	1.74196436159564	1.39560241658031e-07	No	No
Q16549	PCSK7	1.07096596012184	0.0001571355172311	No	No
Q16762	TST	1.01898634485221	4.02256083426811e-24	No	No
Q1RMZ1	BMT2	1.29622969626009	0.0083233437131707	No	No
Q30154	HLA-DRB5	1.15146534363442	9.81177914944171e-05	No	No
Q5EG05	CARD16	1.62552085154652	1.02703153893551e-10	No	No
Q5JYT7	KIAA1755	3.48464358003239	0.0039056777416686	No	No
Q5MY95	ENTPD8	1.14884758803556	0.0005903933135908	No	No
Q5SZD1	C6orf141	1.35269148681921	8.36853518321363e-05	No	No
Q5T2N8	ATAD3C	1.38468538059995	6.83142180451027e-05	No	No
Q5U4P2	ASPHD1	1.26928614792318	6.97541949495256e-07	No	No
Q5VWT5	FYB2	1.64655336311351	6.40885426450578e-07	No	No
Q60I27	ALS2CL	1.35065037998999	1.1766784732767802e-09	No	No
Q629K1	TRIQK	1.23957709359131	6.77302333572494e-06	No	No
Q641Q3	METRNL	2.06623626407262	5.53626477365486e-12	No	No
Q6AZY7	SCARA3	1.10259952181005	0.004328191534215	No	No
Q6P5R6	RPL22L1	1.23956378604729	4.827408858980709e-11	No	No
Q6UWH4	GASK1B	1.86844983601433	1.05947620547649e-05	No	No
Q6UWH6	TEX261	2.14099221395041	0.0008140626156706	No	No
Q6UX71	PLXDC2	1.20379549866246	6.22052271869424e-11	No	No
Q6UXK5	LRRN1	1.04223267167495	0.0003839125630667	No	No
Q6X9E4	FBXW12	2.31571833210104	3.69727464712235e-06	No	No
Q6ZP29	SLC66A1	1.19367158170656	0.0046534313173778	No	No
Q6ZUX7	LHFPL2	1.62866430733259	0.0006610549054947	No	No
Q6ZVM7	TOM1L2	1.21440046506281	2.94882076033032e-31	No	No
Q6ZW31	SYDE1	1.07811401796861	0.0042456496337101	No	No
Q76KP1	B4GALNT4	1.14492449896329	5.81470237519911e-07	No	No
Q7Z3G6	PRICKLE2	1.6130345371304	1.57828193135397e-07	No	No
Q7Z7D3	VTCN1	1.05248795225378	5.64866129757736e-18	No	No
Q7Z7M9	GALNT5	1.27943549398258	4.74092156395503e-06	No	No
Q86SK9	SCD5	2.17563689877804	0.0002582343023866	No	No
Q86UR1	NOXA1	1.30570302541818	7.58988475602702e-06	No	No
Q86VE0	MYPOP	2.06578838602494	0.0021834919034729	No	No
Q86VV4	RANBP3L	1.64954025698933	6.56332985674184e-07	No	No
Q86W11	ZSCAN30	1.12153389145644	0.0067931383468222	No	No
Q8IV20	LACC1	1.57564592474365	0.0077352629620626	No	No
Q8IVI9	NOSTRIN	1.33626763202041	6.85122971678246e-06	No	No
Q8IW36	ZNF695	1.33870726573433	0.0002612776910874	No	No
Q8IZJ3	CPAMD8	1.45722056972522	7.448516472576479e-18	No	No
Q8N3V7	SYNPO	1.0576123242557	0.0094621747851944	No	No
Q8N4U5	TCP11L2	1.30847328114824	0.0005982399830765	No	No
Q8N6N6	NATD1	1.72767424744827	8.35961892642378e-15	No	No
Q8NCC5	SLC37A3	1.1147617413322	0.0024899559225782	No	No
Q8NEY4	ATP6V1C2	1.20952830601222	5.38446921496584e-05	No	No
Q8NFJ5	GPRC5A	1.02799053059066	6.1057235847465e-18	No	No
Q8NI51	CTCFL	1.38324118123487	0.000912796031584	No	No
Q8TB45	DEPTOR	1.51556450949608	2.22526571892736e-28	No	No
Q8TCB0	IFI44	1.26548374246815	0.0019658095516474	No	No
Q8TCX5	RHPN1	1.1920630099267	4.9585304540520203e-17	No	No
Q8WU39	MZB1	1.0555193320085	6.856297304583729e-11	No	No
Q8WWA1	TMEM40	1.60577533254098	3.8660545036331e-24	No	No
Q8WWB7	GLMP	1.03528002310164	0.0016683224439693	No	No
Q8WWY8	LIPH	1.19520062247421	1.15025365355954e-08	No	No
Q92508	PIEZO1	1.41861775090328	2.45267431227612e-31	No	No
Q92817	EVPL	1.07066274293784	1.15122943264021e-38	No	No
Q969W9	PMEPA1	2.11637069140284	1.21223013538712e-08	No	No
Q96GJ1	TRMT2B	1.03484665746699	0.0004539878279093	No	No
Q96J66	ABCC11	1.15798076128499	4.35925262543231e-28	No	No
Q96JX3	SERAC1	1.0074184806151	4.4321487133363197e-11	No	No
Q96NY7	CLIC6	1.74334062373955	1.08026424145581e-16	No	No
Q99489	DDO	1.38307227562828	3.08039215521314e-07	No	No
Q99574	SERPINI1	1.2090961961776	1.6715182165782002e-16	No	No
Q9BQR3	PRSS27	1.13923743242238	3.29799307094882e-05	No	No
