Protein_Group	Genes	T47D _250nM Palbo_vs_T47D _Non Treated_logFC	T47D _250nM Palbo_vs_T47D _Non Treated_pval	Removed?	Contaminant?
Q9UJ42	GPR160	1.35342947776672	0.0039606858128403	No	No
Q9UJP4	KLHL21	1.07967206915516	0.0012486801721257	No	No
Q9UKB3	DNAJC12	1.11663001290712	0.0006932949563519	No	No
Q9UM21	MGAT4A	1.19900510918906	0.000180337982881	No	No
Q9UPW6	SATB2	1.10731046003182	0.0029579965119949	No	No
Q9Y2G0	EFR3B	1.17659207515221	0.000136765390004	No	No
Q9Y4H4	GPSM3	1.28419036686881	0.0039421221351576	No	No
Q9Y5I1	PCDHA11	1.1305022386631	0.0003807686760905	No	No
Q9Y6B2	EID1	1.02859208558916	0.0048495581458811	No	No
A6NNF4	ZNF726	-1.26184817814372	0.0004878987723991	No	No
A8MYB1	TMCO5B	-2.2951381282641	0.0032997364923463	No	No
B3KNS4	ERVK3-1	-1.06870777955415	4.43013424283424e-08	No	No
O00458	IFRD1	-1.9352005736669	8.06127951817873e-08	No	No
O15297	PPM1D	-1.13450085202898	8.3662059935796e-05	No	No
O15392	BIRC5	-1.14311979618923	3.22678760707689e-05	No	No
O15527	OGG1	-1.03493502663973	4.89261863218622e-08	No	No
O43167	ZBTB24	-1.34123134986247	9.38271916314736e-09	No	No
O43248	HOXC11	-1.03237553182679	0.000146269698196	No	No
O43379	WDR62	-1.06559374535101	2.5457137055072e-12	No	No
O43805	SSNA1	-1.02171595869942	1.9523182858881598e-11	No	No
O60281	ZNF292	-1.08040582250503	6.665087146296141e-09	No	No
O60356	NUPR1	-1.57258826854393	9.49383710132725e-05	No	No
O75419	CDC45	-1.08827232248634	1.7709758483976602e-15	No	No
O94761	RECQL4	-1.11907356837205	5.92057707942182e-23	No	No
O95067	CCNB2	-1.05042998547466	1.41245664920319e-10	No	No
O95239	KIF4A	-1.09871881079479	1.2908048793479e-28	No	No
O95997	PTTG1	-1.47894076009777	3.01151870280664e-10	No	No
P00374	DHFR	-1.07513651249613	4.74237442904872e-22	No	No
P02795	MT2A	-1.96763341541601	5.15655281506593e-06	No	No
P04183	TK1	-1.0022125924521	2.76803119042635e-16	No	No
P04818	TYMS	-1.40292363977687	1.3046077337854199e-11	No	No
P08913	ADRA2A	-1.31028841079099	0.0034839864834816	No	No
P10412	H1-4	-1.15962478235298	9.51231124161555e-10	No	No
P14635	CCNB1	-1.29201702661966	7.9179568979913e-16	No	No
P16401	H1-5	-1.12625626131085	1.69168064691584e-19	No	No
P16402	H1-3	-1.38018018167	2.34326865696439e-22	No	No
P16403	H1-2	-1.50687935537486	3.87467629028002e-13	No	No
P16949	STMN1	-1.03331088506412	1.78344828214327e-18	No	No
P17676	CEBPB	-1.3562765363994	5.964772105299951e-23	No	No
P20248	CCNA2	-1.42821019981853	5.33456143260516e-07	No	No
P20265	POU3F2	-1.19687285848701	0.0083127690741689	No	No
P26583	HMGB2	-1.05779793056769	6.41943620981456e-23	No	No
P26992	CNTFR	-1.13168636338624	0.003747738238768	No	No
P30825	SLC7A1	-1.3739957285898	2.17177014212907e-22	No	No
P33316	DUT	-1.35106026394597	2.24306408774007e-31	No	No
P35638	DDIT3	-3.11361226947559	5.48837139697398e-20	No	No
P49454	CENPF	-1.00118865774	4.07206721393976e-22	No	No
P49638	TTPA	-1.15160320537257	0.0002237488589553	No	No
P50219	MNX1	-1.03638305896988	9.88090633204428e-08	No	No
P54764	EPHA4	-1.41222429918886	9.26391042752014e-17	No	No
P56282	POLE2	-1.01472230929971	4.37701774799579e-14	No	No
P59796	GPX6	-1.55435785993309	4.89176645678296e-07	No	No
P61024	CKS1B	-1.11529419553553	7.20201216639158e-11	No	No
P61812	TGFB2	-2.27804972081824	0.0001335695372964	No	No
P61925	PKIA	-3.37895549651917	0.0012321051558866	No	No
P78549	NTHL1	-1.143268079957	5.29344571060304e-12	No	No
Q01664	TFAP4	-2.19267428652889	1.03398937324226e-08	No	No
Q05D32	CTDSPL2	-1.2458304507186	4.433619365973159e-28	No	No
Q12815	TROAP	-1.04620675773261	2.70561672330552e-07	No	No
Q13487	SNAPC2	-1.11890429632397	0.0035737268993153	No	No
Q14807	KIF22	-1.75807847270382	2.36634807388018e-28	No	No
Q14CB8	ARHGAP19	-1.38460158324322	1.33657405417457e-10	No	No
Q15003	NCAPH	-1.08050480440088	3.48602901531628e-31	No	No
Q15021	NCAPD2	-1.1702645246802	4.72237693086291e-38	No	No
Q15583	TGIF1	-1.02501088285038	0.0022785845011538	No	No
Q15742	NAB2	-1.0642628216229	2.86889460217657e-22	No	No
Q16533	SNAPC1	-1.02591812720933	5.80654175270517e-07	No	No
Q16600	ZNF239	-1.05780291731533	2.89838828833101e-07	No	No
Q53HL2	CDCA8	-1.11392502039741	4.15150760701374e-12	No	No
Q56A73	SPIN4	-1.13696907551338	3.0998249095379295e-11	No	No
Q56NI9	ESCO2	-1.13403669069697	3.30332200323135e-11	No	No
Q5FBB7	SGO1	-1.48719062784543	6.201739978004069e-12	No	No
Q5RL73	RBM48	-1.07911622797886	0.0067438664924227	No	No
Q6PH81	C16orf87	-1.22572096611995	3.34518629710013e-05	No	No
Q6PI25	CNIH2	-1.24043997607284	0.000378575762172	No	No
Q6UVK1	CSPG4	-1.55346849324365	2.73756047292824e-06	No	No
Q6YHK3	CD109	-1.0756921431188	7.33565908798458e-06	No	No
Q7RTY0	SLC16A13	-1.10458862843389	0.0002972050127837	No	No
Q7Z7K6	CENPV	-1.21015242166563	1.49682195426823e-05	No	No
Q86XK3	SFR1	-1.14552179992907	3.00531573335877e-05	No	No
Q86Y91	KIF18B	-1.17029648449872	5.68286151791548e-08	No	No
Q8IVU3	HERC6	-1.36604383500394	0.0006346670103502	No	No
Q8IX05	CD302	-1.05001394968107	0.0054210289534214	No	No
Q8IYA6	CKAP2L	-1.1973032622685	1.38245257334064e-08	No	No
Q8IYW5	RNF168	-1.08933632513416	9.65600341682356e-13	No	No
Q8NBI5	SLC43A3	-1.05753767001587	4.61224611685707e-05	No	No
Q8NBT2	SPC24	-1.24684019048088	4.91091001453271e-20	No	No
Q8NCD3	HJURP	-1.24432574914907	8.33250307530942e-07	No	No
Q8NI77	KIF18A	-1.06101950863381	2.6921729149768597e-11	No	No
Q8TAA5	GRPEL2	-1.1385070207862	1.40777578697042e-20	No	No
Q8TCN5	ZNF507	-1.02766015913908	0.0007392083138218	No	No
Q8TD30	GPT2	-1.197917045698	1.2846348684615402e-25	No	No
Q8TF71	SLC16A10	-1.16585369394868	0.0003523821096268	No	No
Q8WUB2	FAM216A	-2.22857067572732	0.0006917980143293	No	No
Q92522	H1-10	-1.11959907488789	1.91519151499794e-17	No	No
Q92837	FRAT1	-2.32695076497221	2.2793166173955e-06	No	No
Q93096	PTP4A1	-1.21511280258767	9.689617109121669e-12	No	No
Q96AP7	ESAM	-1.80396489678815	0.000322493000295	No	No
Q96CX2	KCTD12	-1.28603663634868	5.77460550779328e-05	No	No
Q96FF9	CDCA5	-1.42725603834223	8.24894708806947e-16	No	No
Q96GD4	AURKB	-1.31160219791693	5.19347866123037e-20	No	No
Q96K80	ZC3H10	-1.13407878270841	6.438579192663681e-10	No	No
Q96KB5	PBK	-1.34872260561381	5.16422719945155e-24	No	No
Q96QB1	DLC1	-1.40990137907151	1.97646831879885e-08	No	No
Q96RU7	TRIB3	-2.70377648288158	9.02997825698746e-12	No	No
Q96T88	UHRF1	-1.05448882792782	6.5412109383839205e-25	No	No
Q99618	CDCA3	-1.33687030808578	5.3474268668478295e-11	No	No
Q9BPX3	NCAPG	-1.20897125815516	1.0951509110049e-34	No	No
Q9BU64	CENPO	-1.02142669581847	4.66128537333327e-08	No	No
Q9BW19	KIFC1	-1.33560869214739	4.08058391977313e-25	No	No
Q9BWT6	MND1	-1.59787618224271	1.8432089208454e-05	No	No
Q9BZM6	ULBP1	-2.11467770406078	8.80395313578747e-06	No	No
Q9H7J1	PPP1R3E	-1.09144954206897	0.005386966165745	No	No
Q9H967	WDR76	-1.27179110465799	3.1450639540079104e-20	No	No
Q9HB96	FANCE	-1.2199815576125	6.66800613377115e-06	No	No
Q9HBM1	SPC25	-1.27828638125891	8.799819819228601e-16	No	No
Q9NP50	SINHCAF	-1.3175287701997	3.20167922891251e-06	No	No
Q9NPA3	MID1IP1	-1.1489373797584	1.2696160600474701e-14	No	No
Q9NQS7	INCENP	-1.34661044633769	7.3011907052627695e-22	No	No
Q9NS87	KIF15	-1.01841338766443	1.0778954998734e-26	No	No
Q9NXG0	CNTLN	-1.38987853573582	1.93890509004955e-08	No	No
Q9P2W1	PSMC3IP	-1.45940559557894	1.49300363946212e-07	No	No
Q9UJU2	LEF1	-1.52242679792051	9.62672014545666e-08	No	No
Q9ULW0	TPX2	-1.2062577752043	5.68209778826087e-27	No	No
Q9UPY5	SLC7A11	-1.75177885994501	0.0002909640768294	No	No
Q9UQV4	LAMP3	-1.21869818384386	1.00548088960504e-07	No	No
Q9Y448	KNSTRN	-1.09672472191682	2.06817817987525e-14	No	No
Q9Y617	PSAT1	-1.09118162920626	1.63692065861567e-15	No	No
Q9Y6N8	CDH10	-1.63012378450766	4.27389217792043e-06	No	No
