Protein_Group	Genes	NF1_sg_1.1_2_250nM Palbo_vs_NF1_sg_1.1_2_Non Treated_logFC	NF1_sg_1.1_2_250nM Palbo_vs_NF1_sg_1.1_2_Non Treated_pval	Removed?	Contaminant?
Q6UXK5	LRRN1	1.14718892949125	0.0001146988490071	No	No
Q6X9E4	FBXW12	1.40205838507416	0.0025969340927494	No	No
Q6ZUT6	CCDC9B	1.29432460960177	7.32941042808674e-07	No	No
Q70EL1	USP54	1.09645834742794	2.14573147100393e-31	No	No
Q71U36	TUBA1A	1.53721876029542	1.04040371555701e-05	No	No
Q7L311	ARMCX2	1.07548015857898	5.428542139121651e-15	No	No
Q7Z3B1	NEGR1	1.2171759297165	1.98696423586386e-32	No	No
Q7Z3G6	PRICKLE2	1.20964938411558	2.9628668480767e-05	No	No
Q7Z404	TMC4	1.13901688321526	9.89161766181703e-23	No	No
Q7Z465	BNIPL	1.0897207346822	1.65125725551371e-23	No	No
Q7Z7D3	VTCN1	1.45082566204698	2.11712499932297e-23	No	No
Q7Z7M9	GALNT5	1.34700205652319	1.87437112948152e-06	No	No
Q86UK0	ABCA12	1.23131557007818	5.28015029117291e-16	No	No
Q86VV4	RANBP3L	2.51666449377316	2.16346833721156e-11	No	No
Q86XI6	PPP1R3B	1.5881411241746	0.0074457908462992	No	No
Q86YD5	LDLRAD3	1.5790801244997	0.0015964645572129	No	No
Q8IV31	TMEM139	1.04417361933445	1.07799017082627e-06	No	No
Q8IWP9	CCDC28A	1.29642896833094	1.15483371418601e-06	No	No
Q8IYK8	REM2	1.35423426387806	0.0003336683064402	No	No
Q8IZJ3	CPAMD8	1.45141261785442	8.63003496982898e-18	No	No
Q8N1Y9		1.71238155898909	7.55738203713516e-06	No	No
Q8N283	ANKRD35	1.54259954761302	0.0071051049358346	No	No
Q8N3V7	SYNPO	1.37732229189679	0.0009672602309917	No	No
Q8N443	RIBC1	1.01184920053509	0.0001317810379431	No	No
Q8N4U5	TCP11L2	1.14461815387615	0.0023178429793945	No	No
Q8N6N6	NATD1	1.22854206643932	2.80943823079385e-10	No	No
Q8N8I0	SAMD12	1.30608596883838	0.0035961548887474	No	No
Q8NBV8	SYT8	1.21726443091219	0.0017778914363784	No	No
Q8NFT2	STEAP2	1.4380963959147	3.7573801159849704e-21	No	No
Q8NG66	NEK11	1.2267333969026	0.0013374270799627	No	No
Q8TB45	DEPTOR	1.20914779205361	2.8120064233547702e-24	No	No
