Protein_Group	Genes	NF1_sg_1.1_2_Non Treated_vs_EV_Blast__Non Treated_set2_logFC	NF1_sg_1.1_2_Non Treated_vs_EV_Blast__Non Treated_set2_pval	Removed?	Contaminant?
Q00887	PSG9	1.42806753329793	1.31254396720985e-06	No	No
Q00978	IRF9	1.65564873213736	1.21506309903875e-13	No	No
Q01196	RUNX1	1.29945188374065	1.3484775065148898e-26	No	No
Q02318	CYP27A1	1.44664669234555	1.99389854191245e-05	No	No
Q04756	HGFAC	1.90576450694045	3.21307921153942e-19	No	No
Q08462	ADCY2	1.93708718810581	0.0008435645774343	No	No
Q0IIM8	TBC1D8B	1.39901256407804	1.34166643094249e-12	No	No
Q12794	HYAL1	2.31188604564811	1.78536224073008e-05	No	No
Q13018	PLA2R1	1.05530791440128	0.0016937288086122	No	No
Q13115	DUSP4	1.94998682104639	3.07584611308841e-12	No	No
Q13325	IFIT5	1.02474954926032	5.83758034102129e-17	No	No
Q13496	MTM1	1.0702399596022	7.91096503201839e-22	No	No
Q13751	LAMB3	1.46420280107022	6.33440879793425e-05	No	No
Q13753	LAMC2	2.06717702992266	7.81672999495595e-13	No	No
Q14320	FAM50A	1.00632915451739	1.10686977878815e-27	No	No
Q14938	NFIX	1.05013306585096	6.88868921628345e-16	No	No
Q14956	GPNMB	2.00017279023509	2.77848149452114e-12	No	No
Q15392	DHCR24	1.02118609697105	5.484183376091e-29	No	No
Q16270	IGFBP7	2.78853638762159	5.18012954538481e-13	No	No
Q16875	PFKFB3	1.22455108859179	8.08138573521883e-34	No	No
Q3SY77	UGT3A2	1.86498426885017	4.5673131617949e-05	No	No
Q53GG5	PDLIM3	1.31798399073398	0.0003094888097149	No	No
Q5D862	FLG2	1.48347873320005	0.0088466792641765	No	No
Q5EG05	CARD16	1.0911854282094	1.19555842730398e-06	No	No
Q5SXH7	PLEKHS1	3.4860435313424	4.27412103570381e-12	No	No
Q5SZD4	GLYATL3	2.53914530764275	1.53814033622276e-10	No	No
Q5T013	HYI	1.15543268232616	2.41287248056335e-06	No	No
Q5T2W1	PDZK1	1.10664859020962	7.628534755040661e-25	No	No
Q5T7M9	DIPK1A	1.06127323546138	0.0077891704940879	No	No
Q687X5	STEAP4	1.54745225108443	7.37819660690355e-05	No	No
Q6PCE3	PGM2L1	1.20442955650033	1.1192236524021001e-10	No	No
Q6UWP8	SBSN	1.46457110865775	0.000644994272256	No	No
