Protein_Group	Genes	NF1_sg_1.1_2_Non Treated_vs_EV_Blast__Non Treated_set2_logFC	NF1_sg_1.1_2_Non Treated_vs_EV_Blast__Non Treated_set2_pval	Removed?	Contaminant?
Q9HCL3	ZFP14	-1.80797610066275	0.0064543518851372	No	No
Q9HCY8	S100A14	-1.16954788746083	0.0085162948828791	No	No
Q9HD67	MYO10	-1.38756394933491	3.6269093136441697e-12	No	No
Q9NP50	SINHCAF	-1.00135339208274	0.0002077066193013	No	No
Q9NP59	SLC40A1	-2.29754453634956	2.37380669745156e-25	No	No
Q9NQ36	SCUBE2	-1.91346807715728	1.14094033225149e-21	No	No
Q9NR34	MAN1C1	-1.17761528519656	0.0024698671890632	No	No
Q9NRZ5	AGPAT4	-1.02792347387193	1.11852765313027e-07	No	No
Q9NUB1	ACSS1	-1.23869065046218	2.41317755362626e-34	No	No
Q9NW97	TMEM51	-1.13666142745415	0.0001958518535169	No	No
Q9NY57	STK32B	-2.91275325804123	2.17616210480716e-32	No	No
Q9NYY3	PLK2	-1.17774638279459	4.10954625612601e-05	No	No
Q9NZU0	FLRT3	-1.16389518991112	7.13208066418871e-05	No	No
Q9P273	TENM3	-3.50596170272042	1.42920506113826e-52	No	No
Q9P291	ARMCX1	-2.03676435264839	1.6469198634132402e-17	No	No
Q9P2F8	SIPA1L2	-1.66920795254821	4.7240447909383e-10	No	No
Q9UFP1	GASK1A	-1.54106878320845	8.91078576916487e-07	No	No
Q9UHI5	SLC7A8	-1.41999628883698	1.1902074670304699e-11	No	No
Q9UJY1	HSPB8	-2.42720400359117	2.48170374521192e-27	No	No
Q9UPQ7	PDZRN3	-2.22540439992534	3.7769265034522304e-20	No	No
Q9UQC2	GAB2	-1.46609592757689	1.24635850477252e-22	No	No
Q9Y2A9	B3GNT3	-1.25393221108213	0.0023069880968189	No	No
Q9Y2J2	EPB41L3	-2.63928038846975	3.37631919662816e-16	No	No
Q9Y342	PLLP	-3.28209243710935	6.40294870051579e-17	No	No
Q9Y3L5	RAP2C	-2.14321808179341	1.3507749645324901e-24	No	No
Q9Y4D7	PLXND1	-1.84402924455145	3.48138122946449e-19	No	No
Q9Y5E4	PCDHB5	-1.2288281511903	1.27425424168328e-16	No	No
Q9Y5T4	DNAJC15	-1.01389637444775	1.3582249676617801e-09	No	No
Q9Y617	PSAT1	-1.95749862411714	2.8238610041021903e-25	No	No
Q9Y625	GPC6	-1.86420438871353	1.38969174473377e-31	No	No
Q9Y6H1	CHCHD2	-1.04133148646691	6.49734885686288e-14	No	No
Q9Y6M1	IGF2BP2	-1.57091886038184	2.4736229898899497e-34	No	No
Q9Y6N7	ROBO1	-1.31658820905254	2.40048926646864e-37	No	No
Q9Y6U3	SCIN	-2.64905614951151	1.28400563245945e-38	No	No
