Protein_Group	Genes	TP53_sg_1.2_3_Non Treated_vs_EV_Blast  _Non Treated_logFC	TP53_sg_1.2_3_Non Treated_vs_EV_Blast  _Non Treated_pval	Removed?	Contaminant?
A0A1B0GUS4	UBE2L5	1.72567480259467	0.0002966824183243	No	No
A2A2Y4	FRMD3	2.10517314772035	7.802841938999e-07	No	No
A4D1S0	KLRG2	2.56742363221201	7.3962439778255e-41	No	No
A6NMX2	EIF4E1B	1.19218554680542	3.70018301219989e-08	No	No
O00622	CCN1	1.37841190885559	1.0229765659192199e-16	No	No
O14613	CDC42EP2	1.51523351183264	9.59730069188741e-06	No	No
O14682	ENC1	2.02728151052909	5.85230361965905e-07	No	No
O14957	UQCR11	1.22372220292194	0.0027802026741338	No	No
O15197	EPHB6	1.20657568173102	1.34595584268259e-06	No	No
O15438	ABCC3	1.09450959973771	7.14760768466203e-09	No	No
O43157	PLXNB1	1.11253257377158	1.13070486363947e-25	No	No
O43761	SYNGR3	1.72714372482891	7.94050700145544e-16	No	No
O60437	PPL	1.19607548696287	8.01408761482893e-38	No	No
O60504	SORBS3	1.0325104324637	2.0138512387857998e-23	No	No
O75369	FLNB	1.01233819847801	2.90074621968465e-44	No	No
O75452	RDH16	1.48454186322101	1.55701825591023e-14	No	No
O76070	SNCG	1.3101161533877	2.90935210530103e-26	No	No
O94921	CDK14	1.14187978763749	0.001156754782138	No	No
O94955	RHOBTB3	1.06262477210244	4.04694852906402e-06	No	No
O95164	UBL3	1.27719128717292	1.1363661236737701e-24	No	No
O95361	TRIM16	2.25324901788226	1.13053138401992e-15	No	No
O95817	BAG3	1.16906040045378	3.8941649287195e-26	No	No
P00966	ASS1	1.50306599729615	8.50059844598135e-40	No	No
P02511	CRYAB	2.79625019794671	9.99919729850565e-32	No	No
P04216	THY1	4.17443884264857	2.72333213743566e-24	No	No
P04798	CYP1A1	1.3484170992905	0.0006606478589355	No	No
P05090	APOD	1.14056540647275	6.54674679402719e-21	No	No
P05091	ALDH2	1.11179085890524	4.1577218407845098e-22	No	No
P05109	S100A8	1.56903807707134	0.008757212155516	No	No
P05362	ICAM1	2.06501517599031	1.95517677189053e-16	No	No
P08842	STS	1.51221375465037	3.29984557263677e-12	No	No
P08913	ADRA2A	3.2343115590279	1.20326825359196e-09	No	No
P09493	TPM1	1.33556100503133	1.08587813198721e-26	No	No
P11137	MAP2	1.2386845931132	1.22688411613277e-26	No	No
P11498	PC	1.06427314525004	1.4132339455371599e-34	No	No
P12429	ANXA3	1.15148145834229	2.25527925154919e-19	No	No
P14061	HSD17B1	2.66612528387595	9.08873041740871e-16	No	No
P15104	GLUL	1.64292561858719	1.01892937847056e-32	No	No
P15907	ST6GAL1	1.17603693569059	1.7898068578113897e-11	No	No
P17655	CAPN2	1.20169567800911	3.68747021446679e-26	No	No
P21291	CSRP1	1.16094713208729	2.75858412966222e-24	No	No
P21333	FLNA	1.03632727862815	5.36418034561297e-40	No	No
P22676	CALB2	2.7005558560653	2.87434489888705e-07	No	No
P23378	GLDC	1.80085823680178	5.8558354201668095e-36	No	No
P24298	GPT	1.91598988288185	3.49787507106796e-08	No	No
P26447	S100A4	2.20876160401965	1.2278888684761101e-23	No	No
P29034	S100A2	1.57450476245734	0.0003142688764335	No	No
P30874	SSTR2	2.69049725302581	4.02875219795365e-08	No	No
P32004	L1CAM	1.63732936491241	2.0763013669359498e-33	No	No
P32455	GBP1	2.49025476774817	1.2037252318954798e-11	No	No
P32456	GBP2	1.22160043231385	4.43551290727604e-08	No	No
P42330	AKR1C3	1.01819963224693	1.25413427629859e-06	No	No
P42892	ECE1	1.34430360936078	1.53817704278566e-34	No	No
P43155	CRAT	1.32545722991486	4.67679705473743e-35	No	No
P43308	SSR2	1.64347570348247	0.006520250354582	No	No
P48061	CXCL12	1.11244068429874	8.66522378499145e-07	No	No
P49703	ARL4D	1.2755922474541	6.44311595558164e-06	No	No
P50226	SULT1A2	1.44861093816909	1.7367912034353602e-15	No	No
P51788	CLCN2	1.07933317803845	3.1341390466421402e-21	No	No
P52799	EFNB2	1.06028917172316	0.0016138472376424	No	No
P52803	EFNA5	1.20152818274174	2.47909728796628e-06	No	No
P55040	GEM	1.00234401196073	0.0078441309521787	No	No
P68366	TUBA4A	1.00692340893083	7.88602503335341e-13	No	No
P68431	H3C12	2.60217418017296	1.60692847925748e-05	No	No
P80365	HSD11B2	2.80849541265811	1.68532734204129e-25	No	No
Q00587	CDC42EP1	1.22549213409757	2.85646187166264e-23	No	No
Q01650	SLC7A5	1.0344074741332	2.24907751126279e-22	No	No
Q03112	MECOM	1.00777421364582	1.29526926375635e-05	No	No
Q03167	TGFBR3	3.5086047906834	1.84592485463152e-15	No	No
Q08462	ADCY2	1.61261114999553	0.0046632456236117	No	No
Q08722	CD47	1.01154536175151	2.3333409894272102e-20	No	No
Q08AI8	MAB21L4	2.41589058190475	0.0033345965426171	No	No
Q12841	FSTL1	1.18305496861723	6.30564101113696e-13	No	No
Q13003	GRIK3	1.66254858657667	0.0001670804374262	No	No
Q13275	SEMA3F	1.05921166040213	7.94408913652803e-21	No	No
Q13636	RAB31	1.83555503118669	1.0878329494715799e-13	No	No
Q14393	GAS6	1.24774747876607	2.6979671848094504e-09	No	No
Q14469	HES1	1.29714622918044	7.89064735651865e-09	No	No
Q14511	NEDD9	1.77135836159209	0.0011970553537095	No	No
Q14721	KCNB1	1.6669780376309	3.03341546307684e-06	No	No
Q15583	TGIF1	1.02718977191391	0.0022345141910385	No	No
Q16719	KYNU	1.66939353684485	5.5793122975424996e-37	No	No
Q16842	ST3GAL2	1.32166323303435	7.92379399543778e-08	No	No
Q2M3V2	SOWAHA	1.34532546128041	6.93853391975943e-24	No	No
Q52LW3	ARHGAP29	1.03414430011423	5.34939172208734e-23	No	No
Q5SRE7	PHYHD1	1.30074130272348	1.66868762890191e-06	No	No
Q5T2W1	PDZK1	1.96520673668742	1.53368871919498e-35	No	No
Q5T5P2	KIAA1217	1.0693199378438	4.91071766255704e-35	No	No
Q5VT97	SYDE2	1.83144860854339	2.37295745927919e-12	No	No
Q5VUD6	DIPK1B	2.11677956170678	2.24850534698236e-06	No	No
Q5VX52	SPATA1	2.23056387898781	1.54458962177741e-08	No	No
Q60I27	ALS2CL	1.21747855667991	1.53710142952087e-08	No	No
Q658P3	STEAP3	1.87944576051449	4.92108878132735e-30	No	No
Q6MZZ7	CAPN13	2.49232019365333	6.49400079277916e-06	No	No
Q6NZY7	CDC42EP5	1.49974948002092	1.76417943781611e-05	No	No
Q6QHC5	DEGS2	1.05404684114012	8.167127202182599e-13	No	No
Q6U841	SLC4A10	1.24177268922811	1.32993797205331e-08	No	No
Q6UWH6	TEX261	2.4968969819547	0.0001295522716553	No	No
Q6UXI9	NPNT	1.22220170303138	1.01835648208825e-05	No	No
Q6ZUT6	CCDC9B	1.8506372593484	1.58904673584645e-10	No	No
Q7KYR7	BTN2A1	1.04856454094987	3.03179167227377e-07	No	No
Q7Z591	AKNA	1.79777647609427	4.95587357033475e-06	No	No
Q7Z7D3	VTCN1	3.3165324478802	7.785709651696501e-39	No	No
Q7Z7K6	CENPV	2.43962604530343	9.48537994879464e-13	No	No
Q86UP2	KTN1	1.07021786820952	7.08753643948792e-39	No	No
Q86VR8	FJX1	1.36932757654177	2.7012666504524603e-14	No	No
Q86W10	CYP4Z1	1.98450603941394	6.66935053934466e-10	No	No
Q86YD5	LDLRAD3	1.50055199560316	0.0025724891679283	No	No
Q86YQ8	CPNE8	1.1451676781083	3.98063946459298e-08	No	No
Q8IV01	SYT12	2.33819566418588	2.8919198278017803e-09	No	No
Q8IWU6	SULF1	1.31624270578149	0.0049859124328179	No	No
Q8IXL6	FAM20C	1.0717101234359	1.59244143053925e-05	No	No
Q8N1W2	ZNF710	1.00447340290346	0.0054760139243003	No	No
Q8N8J6	ZNF615	1.19573078016676	0.0082800713270162	No	No
Q8NFX7	STXBP6	2.301091800657	1.42136888671076e-07	No	No
Q8TD30	GPT2	1.00428268536342	1.73197603373255e-22	No	No
Q8TE58	ADAMTS15	2.49337248201525	7.14409738256688e-23	No	No
Q8WU39	MZB1	1.04774381009678	8.439562191362669e-11	No	No
Q8WUP2	FBLIM1	1.78903652700044	1.8160161710625098e-22	No	No
Q8WXX7	AUTS2	1.24491180221997	1.7011703715228102e-17	No	No
Q92569	PIK3R3	1.22521635338945	2.29389896062956e-13	No	No
Q92597	NDRG1	1.76572247701294	5.52784009082511e-24	No	No
Q92870	APBB2	1.2779489588982	1.56139111180468e-25	No	No
Q96AD5	PNPLA2	1.09735323031151	4.0749516653065e-28	No	No
Q96JA1	LRIG1	1.53300817081149	6.66448487835028e-27	No	No
Q96L08	SUSD3	2.50506456183217	1.4568593820895401e-09	No	No
Q96P15	SERPINB11	1.01284740810598	0.0043263299017519	No	No
Q96S99	PLEKHF1	1.17993682236524	2.25653431465858e-07	No	No
Q99676	ZNF184	1.19472688040528	0.001514342654342	No	No
Q99708	RBBP8	1.5439721708591	3.6257313548389297e-22	No	No
Q99758	ABCA3	1.06822158049548	2.61151432750861e-29	No	No
Q9BUP0	EFHD1	1.2442670940036	5.8822286125908295e-30	No	No
Q9BXM9	FSD1L	1.51203773934081	5.12411470338331e-09	No	No
Q9C002	NMES1	2.41980527023601	7.454466085740671e-23	No	No
Q9GZV5	WWTR1	1.05349140475932	1.33738528015087e-09	No	No
Q9H568	ACTL8	1.7516176855216	4.05520852267541e-10	No	No
Q9H6L5	RETREG1	1.06891718795764	1.62578708000151e-06	No	No
Q9H898	ZMAT4	2.33514042128408	1.7661839804342e-08	No	No
Q9H8L6	MMRN2	2.27393230219138	9.19178072319985e-14	No	No
Q9H9K5	ERVMER34-1	1.3920226727515	0.0001247388485365	No	No
Q9HA82	CERS4	1.00327705679564	1.37918213054479e-06	No	No
Q9HBL0	TNS1	1.72024913813959	2.21946209242413e-13	No	No
Q9HCY8	S100A14	2.92985122737033	1.4068020108136e-08	No	No
Q9NX95	SYBU	1.77048475716624	1.53673625885869e-06	No	No
Q9NYP7	ELOVL5	1.64139244535708	1.9225972106799102e-17	No	No
Q9NZV1	CRIM1	1.02297068625577	4.1576477996354403e-14	No	No
Q9P0V3	SH3BP4	1.0496756579352	1.59568993357237e-24	No	No
Q9P212	PLCE1	3.37771283187233	1.32095127933667e-28	No	No
Q9UBR2	CTSZ	1.20350373955117	4.63810914981997e-23	No	No
Q9UFP1	GASK1A	1.16578334174655	8.95486005228569e-05	No	No
Q9UJY1	HSPB8	1.18554116288908	3.1439567643219805e-15	No	No
Q9UKV0	HDAC9	1.3338684947373	4.54555781929267e-06	No	No
Q9ULD9	ZNF608	1.68183501364474	1.21685614735387e-13	No	No
Q9ULW5	RAB26	1.24175427068987	1.16260704370322e-07	No	No
Q9ULW8	PADI3	1.25337058473607	2.19737823683805e-28	No	No
Q9UPQ0	LIMCH1	2.18231255432257	4.90150074750761e-35	No	No
Q9Y2E6	DTX4	1.38292286127811	0.0070730990901741	No	No
Q9Y3L5	RAP2C	1.44219267258918	7.5438946468076e-18	No	No
Q9Y5U5	TNFRSF18	1.23439992869947	0.0006048164065826	No	No
Q9Y6M7	SLC4A7	1.11922506125868	2.3013877715267697e-28	No	No
Q9Y6U3	SCIN	2.31763419977142	4.7853228734946005e-36	No	No
A0A087WUL8	NBPF19	-1.03626196833854	1.3734556406989798e-12	No	No
A1A4S6	ARHGAP10	-1.99168922440348	2.7132530708103397e-16	No	No
A4D126	CRPPA	-1.41498500585642	4.0512686157368e-09	No	No
A4D161	FAM221A	-1.31877092443943	1.8412196386082e-05	No	No
A6NDB9	PALM3	-2.11556786912008	4.07203782945483e-17	No	No
A8MWY0	ELAPOR2	-1.48476156436114	8.689845577337e-11	No	No
O00423	EML1	-1.73399393566845	2.45598622917803e-29	No	No
O00526	UPK2	-2.13920720192905	2.86063372308741e-08	No	No
O00560	SDCBP	-1.52358296304641	1.1210172412257199e-29	No	No
O14683	TP53I11	-1.23678571361054	4.44939104235119e-27	No	No
O14717	TRDMT1	-1.12143386172474	0.0003496063447811	No	No
O14798	TNFRSF10C	-3.30201425199457	1.44752422654321e-14	No	No
O14975	SLC27A2	-1.90525791053805	6.01972991247097e-11	No	No
O15232	MATN3	-1.54206645678865	1.14535079460769e-13	No	No
O15440	ABCC5	-2.18444356196687	1.47130256379672e-33	No	No
O15481	MAGEB4	-4.20851794892852	5.1648672561985897e-36	No	No
O15484	CAPN5	-1.79644706482377	1.38946818014754e-21	No	No
O60268	KIAA0513	-1.21914107927878	2.7719539111129098e-22	No	No
O60443	GSDME	-2.41476392315608	3.61346199062763e-22	No	No
O60488	ACSL4	-1.22903291140505	6.54343643047672e-06	No	No
O75462	CRLF1	-1.94615711583629	5.13122817100254e-07	No	No
O75487	GPC4	-1.2333855721396	3.27353955898144e-13	No	No
O76039	CDKL5	-1.46896790005923	0.0001506552980923	No	No
O76074	PDE5A	-1.06613980406934	3.03849345121083e-07	No	No
O95154	AKR7A3	-2.83630456818718	5.91450513540276e-38	No	No
O95294	RASAL1	-2.51701536222901	8.32056144164621e-15	No	No
O95340	PAPSS2	-3.05931038912911	5.22371960124092e-44	No	No
O95528	SLC2A10	-2.17791183307534	4.70974308206782e-13	No	No
O95816	BAG2	-1.11717856412505	5.78267527807919e-13	No	No
O95848	NUDT14	-1.47002311110065	0.0003845382311858	No	No
O95994	AGR2	-1.31024942540283	7.63179006798227e-32	No	No
P00813	ADA	-1.29658072987898	1.49758313413432e-20	No	No
P00973	OAS1	-1.114297454025	0.0005914573449479	No	No
P01033	TIMP1	-1.16444426604787	7.95674223654906e-06	No	No
P01920	HLA-DQB1	-4.45761404152187	3.39440774891753e-19	No	No
P02649	APOE	-1.47983095320055	3.5467855316757802e-37	No	No
P02751	FN1	-1.1670267588579	5.01961452153517e-05	No	No
P04233	CD74	-2.19968216386458	6.2394876346337e-15	No	No
P04637	TP53	-5.07233231019136	1.4727696491737002e-48	No	No
P06276	BCHE	-3.21629349692544	2.6425858660369896e-11	No	No
P06737	PYGL	-1.02384097215031	1.5190157748522399e-30	No	No
P07948	LYN	-2.3904471607772	4.37919547341794e-29	No	No
P08648	ITGA5	-2.13981834718704	1.59493270982774e-30	No	No
P09668	CTSH	-2.71939629192239	8.584744444801789e-40	No	No
P09913	IFIT2	-1.05117024375723	0.002074244609383	No	No
P09914	IFIT1	-1.25406880368654	3.8905270922301195e-11	No	No
P0DPF2	NBPF20	-1.5113271406568	1.84914214338237e-05	No	No
P11532	DMD	-1.31825185548732	1.48789151428014e-06	No	No
P12109	COL6A1	-1.94245311654107	1.38909225307227e-09	No	No
P12273	PIP	-2.58987934614187	4.845020354522e-29	No	No
P13688	CEACAM1	-1.78697836472383	8.74908058677492e-07	No	No
P15391	CD19	-1.21037832619139	0.0036763422392368	No	No
P15514	AREG	-2.3892401321793	2.65086590537683e-07	No	No
P16070	CD44	-1.52701650762281	2.55790990643102e-14	No	No
P16219	ACADS	-1.87235238726327	2.7719786208274904e-25	No	No
P16885	PLCG2	-2.16510863161814	1.5760285656596899e-30	No	No
P17252	PRKCA	-1.24666509294528	6.148694756021911e-09	No	No
P17600	SYN1	-1.2282957651374	1.4300298663604702e-15	No	No
P20337	RAB3B	-1.63331905331715	4.02849479988501e-05	No	No
P20591	MX1	-1.42881149418555	6.94397084081268e-14	No	No
P21695	GPD1	-1.74260269124505	2.2304073287500802e-23	No	No
P21741	MDK	-3.78269997706749	1.67149582734871e-19	No	No
P22492	H1-6	-1.48345502487081	2.31426336140275e-06	No	No
P22570	FDXR	-1.15540525724933	1.2626121334920099e-36	No	No
P22674	CCNO	-1.36692631489088	0.0070805558894456	No	No
P24588	AKAP5	-1.09818578478345	0.0038417563192915	No	No
P25815	S100P	-2.36540303530614	2.79216660815228e-24	No	No
P25942	CD40	-2.57011633231021	1.68202802639327e-17	No	No
P28067	HLA-DMA	-1.63249680056013	1.86481601527282e-06	No	No
P28289	TMOD1	-1.99887254757541	1.3591892304182802e-20	No	No
P29728	OAS2	-1.57811445307109	3.34408027802657e-08	No	No
P30533	LRPAP1	-1.02038798210516	2.9520726844950397e-30	No	No
P31323	PRKAR2B	-1.13545492389454	1.09305949255265e-13	No	No
P35080	PFN2	-1.74974562539757	4.83784495325173e-24	No	No
P35568	IRS1	-1.40490174627993	5.94582381116435e-21	No	No
