Protein_Group	Genes	T47D_A_250nM Palbo_vs_T47D_A_Non Treated_logFC	T47D_A_250nM Palbo_vs_T47D_A_Non Treated_pval	Removed?	Contaminant?
A8MTW9		1.31682433650565	0.0012116957300528	No	No
A8MWL7;Q9NUH8	TMEM14DP;TMEM14B	2.59033460996719	0.0001074379086449	No	No
B3EWG3;B3EWG5;B3EWG6	FAM25A;FAM25C;FAM25G	1.12438695085046	1.48538247093952e-07	No	No
O00526	UPK2	1.3269853992653	0.0001458148024545	No	No
O00534	VWA5A	1.0708431221191	3.28510470461024e-06	No	No
O43240	KLK10	1.32335156206218	0.0085773985946502	No	No
O95848	NUDT14	1.6347522679724	0.0001000150353041	No	No
P01135	TGFA	2.95096686873622	2.71603789069099e-08	No	No
P04155	TFF1	1.20867042787669	7.94029771390361e-05	No	No
P07476	IVL	1.03084631723098	2.7703036031539602e-21	No	No
P09603	CSF1	1.07245295866036	0.0065863665824835	No	No
P12273	PIP	1.08876751327966	2.18339385126587e-14	No	No
P18564	ITGB6	1.07615008862976	3.33769058036373e-05	No	No
P24385	CCND1	1.41483581937937	5.6298890848591796e-30	No	No
P36959	GMPR	1.1054025104221	6.41845835517681e-05	No	No
P42229	STAT5A	1.20584592554252	0.0095894792412588	No	No
P48594	SERPINB4	4.69730069198191	2.60944097371566e-06	No	No
P52895	AKR1C2	1.41556051984184	2.69291041332125e-05	No	No
P54868	HMGCS2	1.00769261908779	7.239017964762e-18	No	No
P55822	SH3BGR	1.27714418501911	0.0001907663529397	No	No
P61647	ST8SIA6	1.04123479848682	8.07770854799449e-06	No	No
P68106	FKBP1B	1.26406333553727	0.0009252572246424	No	No
P81605	DCD	1.26044556466235	0.0035403196924223	No	No
Q01469	FABP5	3.20834918890356	0.0013993386962032	No	No
Q05682	CALD1	1.00655118610538	1.0526056537258001e-20	No	No
Q14031	COL4A6	1.05284594040369	0.0008128443462333	No	No
Q14393	GAS6	1.00325411639284	3.86254567182258e-07	No	No
Q16549	PCSK7	1.22190188729598	2.40831098805094e-05	No	No
Q1RMZ1	BMT2	1.52695653334137	0.0021735606606186	No	No
Q30154	HLA-DRB5	1.04350659230908	0.000344965444789	No	No
Q53RT3	ASPRV1	5.63341287640123	1.4982146794293e-11	No	No
Q5D862	FLG2	2.30691270960611	0.0001033640641426	No	No
Q5H9U9	DDX60L	2.11619499210241	0.0004571162384362	No	No
Q5TDP6	LGSN	1.09337054069502	0.0001285527099863	No	No
Q6NT76	HMBOX1	2.00292888757843	1.29159442588972e-08	No	No
Q6UWH4	GASK1B	1.09529334613459	0.0056949789152845	No	No
Q71U36	TUBA1A	1.77938924569476	7.40364351548113e-07	No	No
Q7Z402	TMC7	1.31796079635019	0.0008813388182216	No	No
Q86UF1	TSPAN33	1.211085020336	0.0050778010073458	No	No
Q8IVS8	GLYCTK	1.01584327457113	0.0060196589635493	No	No
Q8IWU6	SULF1	1.83602291360573	0.0001597037607281	No	No
Q8IYM2	SLFN12	1.03184849815109	0.001413722322737	No	No
Q8N8E3	CEP112	1.63279708401284	5.24837579738297e-05	No	No
Q8TE96	DQX1	1.07261320275117	0.0074097127814792	No	No
Q92963	RIT1	1.05066087962914	9.01645478490266e-05	No	No
Q96EF0	MTMR8	1.38532422808922	0.0023318181709038	No	No
Q96FL8	SLC47A1	1.48549048828087	9.64909063760138e-07	No	No
Q96GM1	PLPPR2	2.15985157388616	2.39678929013689e-06	No	No
Q96JK9	MAML3	1.71914117295042	0.0014778983715233	No	No
Q96QA5	GSDMA	2.2919101752688	0.000424121868769	No	No
Q9BXI9	C1QTNF6	1.0078407173465	5.49890068802924e-06	No	No
Q9C035	TRIM5	1.00456670253312	3.29906292737725e-16	No	No
Q9H1C3	GLT8D2	1.35671460064283	4.34934377315915e-06	No	No
Q9H4M3	FBXO44	1.42840180877273	0.0008445135965308	No	No
Q9NRN5	OLFML3	1.32339610689804	1.27028045309821e-28	No	No
Q9NZT1	CALML5	3.05781867266352	0.0008567754223443	No	No
Q9Y5H7	PCDHA5	1.74120533407424	0.0059907255812426	No	No
O00458	IFRD1	-1.60946298203123	3.18774489226357e-06	No	No
O15392	BIRC5	-1.00598459852801	0.00019079341814	No	No
O95445	APOM	-1.05132125567581	0.0007228626036705	No	No
P00326	ADH1C	-2.53029572415869	0.0018215891621624	No	No
P02795	MT2A	-1.30465323397913	0.0013120535696248	No	No
P03971	AMH	-1.01006746110995	0.0028695822378271	No	No
P17676	CEBPB	-1.12465118048186	9.580111037032131e-20	No	No
P35638	DDIT3	-1.80843341392643	7.80378402913323e-12	No	No
P36269	GGT5	-1.06613434882952	0.0008520766551149	No	No
P36383	GJC1	-1.26482357984659	0.0086928232590197	No	No
P48067	SLC6A9	-1.11080118476863	1.13899157465114e-07	No	No
P59796	GPX6	-1.66578788983154	1.15516675250207e-07	No	No
Q01664	TFAP4	-1.0676350581172	0.0014189471128418	No	No
Q14807	KIF22	-1.07641490014515	1.1087798305094802e-19	No	No
Q16842	ST3GAL2	-1.0539927882277	6.56449375830082e-06	No	No
Q5FBB7	SGO1	-1.17705239016107	3.7888152549254e-09	No	No
Q8N3J9	ZNF664	-1.53327782182526	0.0050687619306661	No	No
Q8TF50	ZNF526	-1.13992196932406	0.0012347613441198	No	No
Q96FF9	CDCA5	-1.11714640993376	2.53915696937933e-12	No	No
Q96L08	SUSD3	-1.00169888922736	0.0041384085013804	No	No
Q96RU7	TRIB3	-1.12077190600933	0.0004818351557027	No	No
Q9H246	C1orf21	-1.30540531411634	0.0062559949455039	No	No
