Protein_Group	Genes	PTEN_sg_1.1_6_250nM Palbo_vs_PTEN_sg_1.1_6_Non Treated_logFC	PTEN_sg_1.1_6_250nM Palbo_vs_PTEN_sg_1.1_6_Non Treated_pval	Removed?	Contaminant?
A0A087WTH1	TMEM265	1.0189655949981	3.35382143212609e-05	No	No
A0A087WUL8	NBPF19	1.31691139771096	4.92509530362337e-16	No	No
A1A5D9	BICDL2	1.66558783815033	4.7510188187938e-24	No	No
A2A2Y4	FRMD3	1.40548062693188	0.0004022673672835	No	No
A6NC05	C5orf63	1.89813998644449	8.0811486416588e-06	No	No
A6NMD0	IFITM10	2.3832525720676	1.09347043389542e-10	No	No
O00534	VWA5A	1.4859294949939	2.8680760376191703e-09	No	No
O00622	CCN1	1.2334067181143	4.99060460808698e-15	No	No
O00716	E2F3	1.34996221711489	1.59011610853277e-16	No	No
O14807	MRAS	1.02181730028878	9.56279322260408e-11	No	No
O15050	TRANK1	1.5908651370226	0.0002129369107168	No	No
O15393	TMPRSS2	1.54432327244491	2.83345305751884e-15	No	No
O15484	CAPN5	1.38369288396491	2.88140000274819e-17	No	No
O43609	SPRY1	1.28397552561335	0.0008177622080351	No	No
O43610	SPRY3	1.01497715820331	0.0041453728185558	No	No
O43795	MYO1B	1.18967906927257	5.6395148860377696e-30	No	No
O60238	BNIP3L	1.11277909012009	3.2012673292367198e-18	No	No
O60243	HS6ST1	1.22819483887791	0.0001337203624335	No	No
O60268	KIAA0513	1.12504943515073	6.66623230618591e-21	No	No
O60299	LZTS3	1.02029971748954	0.0001322253217664	No	No
O60443	GSDME	1.39849218155431	1.62166370696169e-13	No	No
O60478	GPR137B	1.0105423810437	1.96434951926189e-10	No	No
O60890	OPHN1	1.02904723466964	2.7162084776319602e-14	No	No
O75128	COBL	1.0415054719042	4.68900061027994e-31	No	No
O75154	RAB11FIP3	1.04460345388832	0.0004059715237801	No	No
O75363	BCAS1	2.73484612299479	2.55388248669715e-34	No	No
O76074	PDE5A	1.0023950809131	1.03774281495029e-06	No	No
O95255	ABCC6	1.85949833194299	1.15588429942501e-18	No	No
O95490	ADGRL2	1.07667942767645	1.94115197739093e-07	No	No
O95671	ASMTL	1.16717536674684	8.985859421678949e-26	No	No
O95833	CLIC3	1.10681977221287	1.6785194000536e-24	No	No
P00747	PLG	1.63330859432185	0.0001591894698408	No	No
P01135	TGFA	1.41014668217162	0.0024991084136889	No	No
P01920	HLA-DQB1	1.89285211154202	8.83261683983493e-08	No	No
P04083	ANXA1	1.32243798968489	7.7708834768309e-19	No	No
P05981	HPN	1.52748585672813	6.27510792754425e-11	No	No
