Protein_Group	Genes	TP53_sg_1.2_3_Non Treated_vs_EV_Blast__Non Treated_set2_logFC	TP53_sg_1.2_3_Non Treated_vs_EV_Blast__Non Treated_set2_pval	Removed?	Contaminant?
Q5VUD6	DIPK1B	1.77127044391801	4.27369401375538e-05	No	No
Q5VX52	SPATA1	1.22415432660918	0.0004741298415489	No	No
Q60I27	ALS2CL	1.23480732788412	1.09868034435925e-08	No	No
Q658P3	STEAP3	1.60017943068004	4.63256912043718e-27	No	No
Q6IBS0	TWF2	1.04617316240477	6.02181558081877e-28	No	No
Q6MZZ7	CAPN13	3.05875363092409	1.24825488129821e-07	No	No
Q6NZY7	CDC42EP5	1.32795279151491	0.0001054523304213	No	No
Q6U841	SLC4A10	1.35630925191492	1.5019969912986802e-09	No	No
Q6ZT07	TBC1D9	1.04257157987593	1.36130538566156e-05	No	No
Q6ZUT6	CCDC9B	1.36165945855066	2.6320215265135e-07	No	No
Q7Z4K8	TRIM46	1.29818326877026	3.55228305861264e-05	No	No
Q7Z591	AKNA	1.46312780231673	0.0001175586559216	No	No
Q7Z7D3	VTCN1	2.92616113083869	2.00663528016265e-36	No	No
Q7Z7K6	CENPV	2.13792622146064	4.8452322087461193e-11	No	No
Q86W10	CYP4Z1	1.07497629604752	0.0001169582604673	No	No
Q86XI6	PPP1R3B	1.71525421964364	0.004072022268944	No	No
Q86YD5	LDLRAD3	1.37810136258012	0.00527995479197	No	No
Q86YQ8	CPNE8	1.11967360631221	6.59617828934636e-08	No	No
Q8IV01	SYT12	1.77594861954852	1.25153238113174e-06	No	No
Q8IV32	CCDC71	1.05371684454215	6.14252323197168e-11	No	No
Q8IXV7	KLHDC8B	1.01529684948452	9.58235591022927e-06	No	No
Q8N5S9	CAMKK1	1.01275562545824	4.06376916119215e-07	No	No
Q8N755	SLC66A3	1.03298569105904	5.43756285157084e-05	No	No
Q8TE58	ADAMTS15	2.22161813259953	7.01910480717827e-21	No	No
Q8WUP2	FBLIM1	2.10030919891102	2.6107978289110604e-25	No	No
Q8WX94	NLRP7	2.09063351476728	4.27400230076235e-05	No	No
Q8WXX7	AUTS2	1.11013242397441	1.01964196956763e-15	No	No
Q8WYQ3	CHCHD10	1.36858158639829	2.37228127742583e-05	No	No
Q92569	PIK3R3	1.29722480794818	3.5822609000050704e-14	No	No
Q92597	NDRG1	1.71787991896935	1.69310312223065e-23	No	No
Q92870	APBB2	1.13658923292532	1.9282678155494102e-23	No	No
Q96AD5	PNPLA2	1.34407982163195	6.69783288911468e-32	No	No
Q96JA1	LRIG1	1.42395744406337	1.4571624626677602e-25	No	No
Q96L08	SUSD3	2.30304084507966	1.17150976938859e-08	No	No
Q96MP8	KCTD7	1.01325872020426	0.0003711026492382	No	No
Q99541	PLIN2	1.09645779837783	9.954381470136331e-25	No	No
Q9BUP0	EFHD1	1.41001307265882	2.6355474546766303e-32	No	No
Q9BUX1	CHAC1	2.69195475654339	0.0046231830124249	No	No
Q9BW04	SARG	1.37151368287716	8.20747394938743e-07	No	No
Q9BXM9	FSD1L	1.10410520621772	3.93685076996248e-06	No	No
Q9BZI1	IRX2	1.22132634453022	5.3637541865521795e-11	No	No
Q9C002	NMES1	1.38126920048597	7.24259382553574e-14	No	No
Q9GZV5	WWTR1	1.27332572220531	6.83636528410868e-12	No	No
Q9H4F8	SMOC1	1.64557373538227	4.65529328317702e-05	No	No
Q9H4M3	FBXO44	1.66872581313058	0.0001325350427112	No	No
Q9H568	ACTL8	1.39557898543098	1.00931336826821e-07	No	No
Q9H5J4	ELOVL6	1.2455336494744	0.006093652941335	No	No
Q9H7D0	DOCK5	1.17320191352566	6.64562784114287e-34	No	No
Q9H7J1	PPP1R3E	1.36551222502085	0.0006602850501969	No	No
Q9H857	NT5DC2	1.13610115455806	4.6431367489557e-34	No	No
