Protein_Group	Genes	TP53_sg_1.2_3_Non Treated_vs_EV_Blast__Non Treated_set2_logFC	TP53_sg_1.2_3_Non Treated_vs_EV_Blast__Non Treated_set2_pval	Removed?	Contaminant?
Q96DN0	ERP27	-1.51668409191377	0.0001639891001577	No	No
Q96FL8	SLC47A1	-1.25933685509135	1.76072833771648e-05	No	No
Q96FS4	SIPA1	-1.64844635272203	1.42795054837489e-24	No	No
Q96IK0	TMEM101	-1.37069389476812	3.50267107706893e-06	No	No
Q96ME7	ZNF512	-1.33567252442376	8.20310377441152e-26	No	No
Q96NY7	CLIC6	-1.6149251938742	1.6004153214646101e-15	No	No
Q96PM9	ZNF385A	-1.09186660741678	1.90282704222846e-25	No	No
Q96QE2	SLC2A13	-3.1712170131464	5.42740166590455e-16	No	No
Q96QP1	ALPK1	-1.89076144813479	4.09700819522849e-09	No	No
Q96R05	RBP7	-1.87183106964809	1.01251581114469e-19	No	No
Q99574	SERPINI1	-1.63728982913254	1.81174138156377e-21	No	No
Q99715	COL12A1	-1.43218671130959	1.17940693710888e-33	No	No
Q99856	ARID3A	-1.71984328858749	5.83402630860373e-23	No	No
Q99959	PKP2	-1.60382689062558	1.29287830238264e-38	No	No
Q99985	SEMA3C	-1.05972153049522	3.5244027403608896e-27	No	No
Q9BQE4	SELENOS	-1.02458494000102	2.0524871686265003e-20	No	No
Q9BQT8	SLC25A21	-1.59574742758579	2.9677605693225e-22	No	No
Q9BRK3	MXRA8	-2.65153350379557	1.31429612225592e-27	No	No
Q9BSE5	AGMAT	-1.13553406924412	2.1508307750127303e-09	No	No
Q9BSK0	MARVELD1	-1.31122892680879	7.51297548938527e-06	No	No
Q9BXC0	HCAR1	-1.05867473963701	1.21371249766365e-05	No	No
Q9BXD5	NPL	-2.12452884729468	7.33104023648992e-06	No	No
Q9BXI9	C1QTNF6	-1.09248020224172	1.2712220601106e-06	No	No
Q9BY67	CADM1	-2.58743567682031	4.11767351981986e-42	No	No
Q9BYK8	HELZ2	-1.00128117227185	1.6692182138645302e-23	No	No
Q9BZD2	SLC29A3	-1.75507386730802	1.84952451180435e-07	No	No
Q9BZM5	ULBP2	-2.04175120350899	9.316795045254669e-18	No	No
Q9C0K1	SLC39A8	-1.93770508900119	0.0009000093637287	No	No
Q9H2X8	IFI27L2	-1.39697892917063	1.67895003999347e-08	No	No
Q9H3G5	CPVL	-4.44915549290753	9.16903204684132e-41	No	No
Q9H4G4	GLIPR2	-2.62792086444424	1.69974012818667e-23	No	No
Q9H841	NIPAL2	-1.08125896057956	0.0005494437763326	No	No
Q9H902	REEP1	-3.41180038038489	3.41962432389328e-10	No	No
Q9HA38	ZMAT3	-1.18097919462615	0.0001876138556801	No	No
Q9HCH5	SYTL2	-1.15575815564383	2.58289023656945e-08	No	No
Q9NP74	PALMD	-1.47981141591221	6.33562596429017e-13	No	No
Q9NQX7	ITM2C	-1.15687579465745	6.6027589645928306e-09	No	No
Q9NR34	MAN1C1	-3.63466099975126	6.45712888972432e-13	No	No
Q9NS37	CREBZF	-1.36440815133327	5.60453571684504e-05	No	No
Q9NW97	TMEM51	-1.61835023906633	6.629983522411e-07	No	No
Q9NYA1	SPHK1	-1.06383736781057	2.22546216185876e-06	No	No
Q9NYT0	PLEK2	-1.64885169114992	1.23869029962275e-07	No	No
Q9P291	ARMCX1	-2.36680201075321	5.81373563958024e-20	No	No
Q9UEY8	ADD3	-1.91303603343022	6.18446236230035e-37	No	No
Q9UHW9	SLC12A6	-2.40595828441431	2.5033631467171302e-17	No	No
Q9UII4	HERC5	-1.23816217858209	1.31906595448756e-06	No	No
Q9UJ14	GGT7	-1.16454589092639	2.3457883951662302e-20	No	No
Q9UJC5	SH3BGRL2	-1.95076807014747	4.22911271469718e-11	No	No
Q9UKF7	PITPNC1	-1.11857999498313	7.23413760967189e-18	No	No
Q9UL12	SARDH	-1.08902860915367	7.23641631673427e-08	No	No
Q9ULG6	CCPG1	-1.12361009697523	7.85664524007619e-19	No	No
Q9UN66	PCDHB8	-1.28282326860812	4.87757769212232e-25	No	No
Q9UN72	PCDHA7	-1.39113801165251	5.108081222203069e-11	No	No
Q9UNN8	PROCR	-4.79044865653422	1.66431826612501e-37	No	No
Q9UPI3	FLVCR2	-1.18307124989692	0.0020956297057921	No	No
Q9UQV4	LAMP3	-1.1787761028931	2.04976175317277e-07	No	No
Q9Y2A9	B3GNT3	-1.22800313798968	0.0027856136014198	No	No
Q9Y2C2	UST	-1.87948474660596	1.62796736668084e-14	No	No
Q9Y2J2	EPB41L3	-1.59444073541361	1.7838288997942402e-09	No	No
Q9Y2P4	SLC27A6	-1.03033611323615	0.0011079781019372	No	No
Q9Y2Q0	ATP8A1	-1.07391750897764	6.26340218542451e-13	No	No
Q9Y3E1	HDGFL3	-2.42680196965425	1.52186320858738e-31	No	No
Q9Y572	RIPK3	-1.50050863291035	0.0097815219037939	No	No
Q9Y5E3	PCDHB6	-1.98792800435818	2.14313311472917e-08	No	No
Q9Y5E7	PCDHB2	-1.11475346633946	4.3259348094571805e-15	No	No
Q9Y5F0	PCDHB13	-1.96545181786879	7.6195918001595e-21	No	No
Q9Y5G6	PCDHGA7	-1.77044555512978	2.07870013280983e-08	No	No
Q9Y5H0	PCDHGA3	-1.10588097842782	6.968014380847341e-15	No	No
Q9Y5H3	PCDHGA10	-1.19201530582625	6.416330874963609e-12	No	No
Q9Y5H4	PCDHGA1	-1.54519125037005	6.88617903505567e-07	No	No
Q9Y617	PSAT1	-5.82109747892889	5.38066496427706e-46	No	No
Q9Y693	LHFPL6	-1.28160489339617	2.83595564888033e-06	No	No
