Protein_Group	Genes	cMyc_OE_5_Non Treated_vs_EV_Blast  _Non Treated_logFC	cMyc_OE_5_Non Treated_vs_EV_Blast  _Non Treated_pval	Removed?	Contaminant?
Q86V24	ADIPOR2	1.47030823102046	1.46494572954812e-05	No	No
Q8IW92	GLB1L2	1.06884322557592	8.80413707354172e-16	No	No
Q8N465	D2HGDH	1.01128129442705	2.87574979805077e-14	No	No
Q8N8J6	ZNF615	1.55117460128086	0.0008265995080855	No	No
Q8NEC7	GSTCD	1.08982583154608	3.62093613689368e-20	No	No
Q8NEK5	ZNF548	1.65460618307518	2.93552290472208e-05	No	No
Q8NEY4	ATP6V1C2	1.29791027118614	1.85312440761015e-05	No	No
Q8TC76	FAM110B	1.28448452046983	0.0006026032661377	No	No
Q8TD30	GPT2	2.1431584563645	1.6550274811603798e-36	No	No
Q8TE58	ADAMTS15	1.58196648271603	2.00518824375489e-15	No	No
Q8WU39	MZB1	1.12308605798247	1.14612342364635e-11	No	No
Q92963	RIT1	1.11768912462803	3.71446381314116e-05	No	No
Q93096	PTP4A1	1.26989574205733	2.57653342338372e-12	No	No
Q96AD5	PNPLA2	1.46120235572049	1.75661424961591e-33	No	No
Q96AV8	E2F7	2.07967393492461	0.0066663318684324	No	No
Q96D70	R3HDM4	1.07802012649566	2.24261904208593e-05	No	No
Q96EK9	KTI12	1.04101746744215	3.19137195479202e-17	No	No
Q96KS0	EGLN2	1.28874243837295	3.52061098180574e-07	No	No
Q96L08	SUSD3	1.17323666337828	0.0009443752628225	No	No
Q96RU7	TRIB3	3.37993214797002	7.44814038483114e-15	No	No
Q96S53	TESK2	1.36653077711916	5.02311474652446e-16	No	No
Q99541	PLIN2	1.28481707121158	1.32532338658576e-27	No	No
Q9BVM4	GGACT	1.1427949256496	4.4576422639261905e-09	No	No
Q9BZI1	IRX2	1.10907651951841	7.47801424628199e-10	No	No
Q9BZM6	ULBP1	1.48512874113547	0.001005070730624	No	No
Q9H246	C1orf21	1.85947146624865	0.0001771868635452	No	No
Q9H3S4	TPK1	1.42279095928613	0.0014545843973532	No	No
Q9H568	ACTL8	4.9865808424374	2.36335523238653e-26	No	No
Q9H5J4	ELOVL6	2.47166542300762	8.14748292167436e-07	No	No
Q9H6R3	ACSS3	1.31426124433508	1.8116666777760598e-34	No	No
Q9HCY8	S100A14	1.82873269165017	8.91569822464793e-05	No	No
Q9HD67	MYO10	1.56788665719925	7.77673391055947e-14	No	No
Q9NPA3	MID1IP1	1.62639627608397	4.2405237101148e-20	No	No
Q9NPB8	GPCPD1	1.2281677203764	8.833897267315551e-17	No	No
Q9NPF2	CHST11	1.10064274926848	4.94451735476382e-05	No	No
Q9NUK0	MBNL3	2.47694415842875	5.48421985047483e-07	No	No
Q9NX09	DDIT4	2.20373594031854	2.30486100706384e-08	No	No
Q9NZJ9	NUDT4	1.68168270812713	1.5636764564054998e-35	No	No
Q9UN76	SLC6A14	6.01349088959724	1.91568959840905e-16	No	No
Q9UPW6	SATB2	1.01488449731803	0.0060636169889455	No	No
Q9UPY5	SLC7A11	3.78616507048134	6.309474353166429e-11	No	No
Q9Y2D0	CA5B	1.60941232883528	2.04440288793715e-27	No	No
Q9Y2J8	PADI2	1.00623940996769	0.0001383440591121	No	No
Q9Y3M9	ZNF337	2.16868958684452	5.72556583690121e-13	No	No
Q9Y4B5	MTCL1	1.10667078028344	0.0013982967033724	No	No
Q9Y5L2	HILPDA	1.18148203465243	3.97456598180865e-05	No	No
Q9Y6N8	CDH10	1.21528059920697	0.0003217354110499	No	No
A0A087WUL8	NBPF19	-1.25784328319615	2.4313147504136404e-15	No	No
A0A1B0GWB2	PRRT1B	-1.12699802655084	1.08199377796013e-07	No	No
A6NCQ9	RNF222	-1.83812543341622	0.0006659972770477	No	No
A6NDB9	PALM3	-1.58041937528762	7.88802606892368e-13	No	No
A6NEE1	PLEKHD1	-1.78856932704217	6.797603629145791e-15	No	No
B0YJ81	HACD1	-1.16643082401002	1.17199061457405e-05	No	No
O00391	QSOX1	-1.28262996071289	6.56082051329473e-28	No	No
O00469	PLOD2	-1.51628139661294	5.14846220692222e-39	No	No
O00488	ZNF593	-1.12127213285997	2.3209165611613e-22	No	No
O00526	UPK2	-2.10912659167012	3.95353645451746e-08	No	No
O00560	SDCBP	-1.64964797844392	3.6493675462041204e-31	No	No
O00562	PITPNM1	-1.44883312577876	1.20488898084224e-16	No	No
O00635	TRIM38	-1.03259726422949	4.66869305314651e-05	No	No
O14645	DNALI1	-1.03254758151454	4.96813202323321e-21	No	No
O14798	TNFRSF10C	-1.78730454859426	2.81398334367855e-07	No	No
O14832	PHYH	-1.02191478323063	5.99734560082757e-20	No	No
O14972	VPS26C	-1.2378712607304	3.81461235648812e-22	No	No
O14975	SLC27A2	-1.68447121415083	1.6642192995235802e-09	No	No
O15232	MATN3	-3.01688511484028	1.4748535589350801e-24	No	No
O15393	TMPRSS2	-1.02881146799026	6.87325170248973e-10	No	No
O15427	SLC16A3	-1.66954162725033	6.669614449963e-26	No	No
O15440	ABCC5	-1.17643464053892	3.18983357943657e-22	No	No
O15460	P4HA2	-1.85188462560004	8.41009989089396e-43	No	No
O15481	MAGEB4	-3.64349915258158	2.90314410293225e-33	No	No
O15484	CAPN5	-1.23453175944262	1.6535215305365e-15	No	No
