Protein_Group	Genes	cMyc_OE_5_Non Treated_vs_EV_Blast  _Non Treated_logFC	cMyc_OE_5_Non Treated_vs_EV_Blast  _Non Treated_pval	Removed?	Contaminant?
Q8N490	PNKD	-1.02429936076672	1.90152038508619e-14	No	No
Q8N4W6	DNAJC22	-1.0380033272665	4.83362579199503e-07	No	No
Q8N8U2	CDYL2	-1.20938712131475	5.34557775844975e-06	No	No
Q8NBI5	SLC43A3	-1.22528503221697	4.3082086850015e-06	No	No
Q8NCS4	TMEM35B	-1.1923386499644	9.26169596510854e-10	No	No
Q8ND90	PNMA1	-1.17896091724186	4.9689116509696004e-26	No	No
Q8NEV8	EXPH5	-1.01156156521081	2.2390597890657802e-21	No	No
Q8NFR3	SPTSSB	-1.16363503546905	1.43063094197482e-05	No	No
Q8NFW9	MYRIP	-1.15805861719775	0.0004312708234501	No	No
Q8TD06	AGR3	-1.27270511972384	6.101558615178051e-25	No	No
Q8TF71	SLC16A10	-1.03938896674691	0.0012414453581086	No	No
Q8WUM9	SLC20A1	-1.4833035966146	1.01636442992762e-23	No	No
Q8WUP2	FBLIM1	-1.04371218387798	7.327679960750231e-14	No	No
Q8WV24	PHLDA1	-1.15892543603562	0.0016806008641106	No	No
Q8WV28	BLNK	-1.52498110491276	2.15563037482482e-26	No	No
Q8WWA1	TMEM40	-1.46724928807969	1.49981181040229e-22	No	No
Q8WWW0	RASSF5	-1.83255570885923	1.54767791731887e-09	No	No
Q8WWY8	LIPH	-1.66405155268496	1.29432885913445e-12	No	No
Q8WWZ3	EDARADD	-2.27383380085538	5.99111975101086e-14	No	No
Q92478	CLEC2B	-4.13184679513248	9.61989111646751e-10	No	No
Q92619	ARHGAP45	-1.32866488156578	7.84703535721457e-20	No	No
Q92729	PTPRU	-1.09843675539696	0.0003648592448476	No	No
Q92828	CORO2A	-1.57872222868943	5.2766913884554094e-18	No	No
Q93052	LPP	-1.01843916331783	3.00215474120544e-27	No	No
Q969X0	RILPL2	-1.06403632991409	2.08879620334234e-09	No	No
Q96AP7	ESAM	-2.35515633105011	6.85412398866219e-06	No	No
Q96BY9	SARAF	-1.1130842851564	3.22518352777018e-10	No	No
Q96C24	SYTL4	-1.15152186074047	8.463467061671821e-25	No	No
Q96CX6	LRRC58	-3.39277358749704	8.75626390529646e-16	No	No
Q96EG1	ARSG	-1.5492076813845	1.1353421014909899e-11	No	No
Q96F07	CYFIP2	-2.97475542870646	1.90481932417324e-49	No	No
Q96FE7	PIK3IP1	-1.55590036540599	0.0005917422327678	No	No
Q96FL8	SLC47A1	-1.46736033553171	1.22146377842413e-06	No	No
Q96FZ5	CMTM7	-2.71924757895089	0.0006940390986933	No	No
Q96GN5	CDCA7L	-1.45610829264585	2.10569852598816e-10	No	No
Q96GT9	XAGE2	-2.1962796212266	0.0002007365063119	No	No
Q96GY0	ZC2HC1A	-2.81257899685239	3.6373479683692397e-28	No	No
Q96J84	KIRREL1	-1.31504351119477	4.36969354908378e-19	No	No
Q96JQ2	CLMN	-1.59412867866889	3.8215519796742e-39	No	No
Q96ME7	ZNF512	-1.08276196227976	4.31638860470919e-22	No	No
Q96MT1	RNF145	-1.75611838878232	6.41499711946566e-11	No	No
Q96NY7	CLIC6	-1.7699580351945	6.26629743996952e-17	No	No
Q96P15	SERPINB11	-1.87533501372861	1.34948464646464e-06	No	No
Q96PD2	DCBLD2	-1.06116081209685	3.47970789064384e-14	No	No
Q96PX9	PLEKHG4B	-1.4055262322296	1.0204852176266999e-19	No	No
Q96R05	RBP7	-1.87762688521136	8.99202505200831e-20	No	No
Q99489	DDO	-1.1339196316929	1.20073732831058e-05	No	No
Q99650	OSMR	-1.1818486016971	6.71818981777017e-10	No	No
Q99715	COL12A1	-2.26778221045425	1.6570613752199e-42	No	No
Q99741	CDC6	-1.8401415872821	2.29417771658793e-13	No	No
Q99959	PKP2	-1.1672038295867	1.54892270125368e-32	No	No
Q99990	VGLL1	-2.01718490370579	3.11060169409534e-05	No	No
Q9BPU9	B9D2	-2.77709608024861	1.72716633782447e-09	No	No
Q9BQT9	CLSTN3	-1.717208610087	8.11296730983472e-07	No	No
Q9BR39	JPH2	-3.10666177469946	1.14355164389405e-36	No	No
Q9BRK3	MXRA8	-3.34396074871005	6.256284063674999e-32	No	No
Q9BSK0	MARVELD1	-1.67532326251552	6.23946702031836e-08	No	No
Q9BVX2	TMEM106C	-1.53078458300432	1.86993724675336e-10	No	No
Q9BWM7	SFXN3	-1.25972187651189	9.37317603476188e-32	No	No
Q9BX63	BRIP1	-1.14205359304447	2.57915605250767e-08	No	No
Q9BY78	RNF26	-1.14539023247298	4.2494028583455295e-11	No	No
Q9BY84	DUSP16	-1.00850463175365	2.47379773937486e-05	No	No
Q9BYX2	TBC1D2	-1.25034757615587	1.51995766307876e-23	No	No
Q9BZD2	SLC29A3	-1.28954128400353	4.49723220411005e-05	No	No
Q9BZD6	PRRG4	-1.23128144704818	5.70480442722147e-06	No	No
Q9BZF2	OSBPL7	-1.5365869186898	9.42717192790444e-07	No	No
Q9BZM5	ULBP2	-1.05494760331006	7.354303936130491e-09	No	No
Q9C026	TRIM9	-1.04206756887767	3.68949182231689e-07	No	No
Q9GZR5	ELOVL4	-1.58629309117147	8.03536204718049e-11	No	No
Q9GZV1	ANKRD2	-1.31114616547019	2.0467503990324e-15	No	No
Q9GZV5	WWTR1	-1.51947884617459	2.58579169212562e-14	No	No
Q9GZX9	TWSG1	-1.19383723075006	2.0564404710216502e-10	No	No
Q9H1C3	GLT8D2	-1.50089741776465	6.6019040839885e-07	No	No
Q9H211	CDT1	-1.58421457738859	9.35719303611028e-20	No	No
Q9H3G5	CPVL	-3.46916870321946	5.7665454768864895e-36	No	No
Q9H4F1	ST6GALNAC4	-1.54267229732535	1.91666087692612e-06	No	No
Q9H4F8	SMOC1	-1.16052596534922	0.0026903689477545	No	No
Q9H4G4	GLIPR2	-1.23542848634756	9.79416725449098e-12	No	No
Q9H6X2	ANTXR1	-1.73030333534515	5.68594044895536e-06	No	No
Q9H765	ASB8	-1.10557649268631	3.35885262454788e-13	No	No
Q9H8J5	MANSC1	-1.42138532545936	0.0003243060475068	No	No
Q9H902	REEP1	-2.36759210520776	1.46477121832131e-06	No	No
Q9H9H5	MAP6D1	-1.8904334804774	1.21048694785637e-31	No	No
Q9HB19	PLEKHA2	-3.11730107286206	4.6633524666865e-22	No	No
Q9HC58	SLC24A3	-1.14542411483956	0.0026846903267219	No	No
Q9HCS4	TCF7L1	-1.45826961787223	8.56869358370507e-16	No	No
Q9HCS5	EPB41L4A	-1.57784087777796	2.32443476746471e-20	No	No
Q9NP84	TNFRSF12A	-1.39989790655278	7.74791421704747e-07	No	No
Q9NPB0	SAYSD1	-1.15181609939945	1.3689895477817998e-13	No	No
Q9NPB6	PARD6A	-2.27672358537087	1.5291446250091502e-15	No	No
Q9NQ36	SCUBE2	-2.25647225578785	1.45534350988782e-24	No	No
Q9NQ84	GPRC5C	-1.05428973150064	3.1571517037874003e-21	No	No
Q9NQX7	ITM2C	-3.04083728453761	5.59592256344564e-23	No	No
Q9NRZ9	HELLS	-1.01252902169645	2.4209800403888102e-20	No	No
Q9NS15	LTBP3	-1.15224168274471	4.30809379558789e-17	No	No
Q9NVN8	GNL3L	-1.34972182965853	4.5248848744531403e-32	No	No
Q9NXU5	ARL15	-1.02348417897241	1.30963070504488e-14	No	No
Q9NYN1	RASL12	-1.02505805408255	0.0063389144360518	No	No
Q9NZR1	TMOD2	-1.22682176151393	2.4949155312337504e-15	No	No
Q9NZU0	FLRT3	-1.39039855576838	4.29074176642029e-06	No	No
Q9NZV1	CRIM1	-1.11516937861707	2.2666696442595202e-15	No	No
Q9P291	ARMCX1	-1.7881956599885	1.6974580560736402e-15	No	No
Q9P299	COPZ2	-3.32332988399465	7.93037387361587e-25	No	No
Q9P2P1	NYNRIN	-1.19670549123605	1.69700415630136e-05	No	No
Q9UBP9	GULP1	-1.0522711260476	1.34694286389039e-09	No	No
Q9UBR2	CTSZ	-1.0486013638055	1.1080112521651201e-20	No	No
Q9UDR5	AASS	-1.80986447995501	1.9748925398271e-09	No	No
Q9UEY8	ADD3	-1.72667047460899	5.691258835927981e-35	No	No
Q9UHI5	SLC7A8	-1.26790131184534	2.9246436559076903e-10	No	No
Q9UHL4	DPP7	-1.03955463106317	3.5815951938212497e-28	No	No
Q9UHN6	CEMIP2	-1.40273853905724	1.1693358727489099e-29	No	No
Q9UIK4	DAPK2	-1.28020052602308	3.995546599611041e-09	No	No
Q9UJP4	KLHL21	-1.01299573704656	0.0023046533307872	No	No
Q9UJX0	OSGIN1	-1.0206828419149	0.0009058846225183	No	No
Q9UKK3	PARP4	-1.53984255325449	2.0641245108087897e-12	No	No
Q9UKL6	PCTP	-1.09232044528099	2.47640176419914e-23	No	No
Q9ULG6	CCPG1	-1.0627120508914	6.2912880950139006e-18	No	No
Q9ULI3	HEG1	-1.17340548675231	2.15317607929773e-16	No	No
Q9ULM0	PLEKHH1	-1.27033932158366	1.17480924191076e-08	No	No
Q9ULW8	PADI3	-2.28300776613671	8.97669781482816e-40	No	No
Q9UMS5	PHTF1	-2.10559143710339	1.43357240199797e-05	No	No
Q9UMW8	USP18	-1.01739824344701	0.0007416481538715	No	No
Q9UN66	PCDHB8	-1.58281781767792	7.09745353164084e-29	No	No
Q9UN72	PCDHA7	-1.78509194544592	2.2983784644258e-14	No	No
Q9UNN8	PROCR	-2.04709417324448	8.6517279854207e-22	No	No
Q9UQV4	LAMP3	-2.03600051554824	8.104751033957371e-14	No	No
Q9Y255	PRELID1	-1.1082946302806	2.2460761669421502e-15	No	No
Q9Y2E6	DTX4	-1.40608858644854	0.0062383751798517	No	No
Q9Y2G0	EFR3B	-1.06687620560964	0.0004579844692395	No	No
Q9Y2Y9	KLF13	-1.08823983134064	0.0085504479604348	No	No
Q9Y467	SALL2	-1.04125877212297	3.9386358325939396e-12	No	No
Q9Y5E3	PCDHB6	-1.1455139404288	0.0003149415726497	No	No
Q9Y5E7	PCDHB2	-1.34329548258683	5.6419829768297296e-18	No	No
Q9Y5F0	PCDHB13	-1.96931512522836	7.05581188921524e-21	No	No
Q9Y5G3	PCDHGB1	-1.32861818419779	6.05886882299393e-10	No	No
Q9Y5G7	PCDHGA6	-1.39870055892388	3.00230439910286e-05	No	No
Q9Y5H0	PCDHGA3	-1.47289913748471	2.22242361887415e-19	No	No
Q9Y5H3	PCDHGA10	-1.37171935764842	7.965006414551099e-14	No	No
Q9Y5H4	PCDHGA1	-1.77315612283934	3.71108631918842e-08	No	No
Q9Y5Q0	FADS3	-1.10300197383176	0.0002250959204371	No	No
Q9Y617	PSAT1	-1.57598348740209	1.84797290789946e-21	No	No
Q9Y646	CPQ	-1.14405844342816	1.97555971548677e-21	No	No
Q9Y693	LHFPL6	-1.14368921678043	1.94546168500458e-05	No	No
Q9Y6B2	EID1	-1.57032475833911	4.36383540317733e-05	No	No
Q9Y6U3	SCIN	-1.0067874289018	9.02917992286917e-21	No	No
