Protein_Group	Genes	T47D_A_Non Treated_vs_T47D _Non Treated_logFC	T47D_A_Non Treated_vs_T47D _Non Treated_pval	Removed?	Contaminant?
Q9HBG6	IFT122	-1.13459905464305	1.17287489377144e-29	No	No
Q9NP74	PALMD	-1.40062254894817	3.45349318145441e-12	No	No
Q9NQX4	MYO5C	-1.57024578168387	1.21738758925414e-40	No	No
Q9NQX7	ITM2C	-1.31375359669975	2.48509203169427e-10	No	No
Q9NRX4	PHPT1	-1.39935027515364	6.82841652737364e-19	No	No
Q9NSY2	STARD5	-1.04626119510275	1.77394927153203e-16	No	No
Q9NUB1	ACSS1	-1.03910582750546	5.093723657511671e-31	No	No
Q9NVC3	SLC38A7	-1.17779063349681	5.3870348984616905e-14	No	No
Q9NW97	TMEM51	-1.0551137699334	0.0004810825509868	No	No
Q9NWW6	NMRK1	-1.53359839933216	8.42991581381262e-17	No	No
Q9NXG6	P4HTM	-1.01589283988012	1.79275071384694e-16	No	No
Q9NXL2	ARHGEF38	-1.06058455778167	1.09088303127107e-05	No	No
Q9NZC7	WWOX	-1.07621538084055	2.92417541240074e-16	No	No
Q9P107	GMIP	-1.40043206091794	2.4753002028378903e-25	No	No
Q9UFP1	GASK1A	-1.14463429932574	0.0001148707693612	No	No
Q9UIG8	SLCO3A1	-1.09342410680687	0.009638968446797	No	No
Q9UJ14	GGT7	-1.30421652410684	2.6967962066674197e-22	No	No
Q9UJ37	ST6GALNAC2	-1.25514753802316	7.69131733746743e-05	No	No
Q9UJX0	OSGIN1	-1.24199348599702	8.34709926644935e-05	No	No
Q9UKB3	DNAJC12	-1.06247111092381	0.0011710902179705	No	No
Q9UKE5	TNIK	-1.1378677716958	1.01504103477724e-18	No	No
Q9UNT1	RABL2B	-1.25269171982258	1.1008928606746601e-09	No	No
Q9UPQ0	LIMCH1	-1.01030086559371	5.90603399481265e-21	No	No
Q9Y2J2	EPB41L3	-2.15222262015571	3.2110449308021997e-13	No	No
Q9Y2Y0	ARL2BP	-1.49883352590072	9.36373752242091e-24	No	No
Q9Y617	PSAT1	-1.01754317933914	1.76303443500381e-14	No	No
Q9Y651	SOX21	-1.09408823720053	0.0019555593515109	No	No
Q9Y6N8	CDH10	-1.49588693371366	1.79917764271654e-05	No	No
Q9Y6U3	SCIN	-1.23118296927305	2.8326222988894502e-24	No	No
Q9Y6X4	FAM169A	-1.09566662202921	4.95796222513751e-24	No	No
