Protein_Group	Genes	T47D_A_Non Treated_vs_T47D _Non Treated_logFC	T47D_A_Non Treated_vs_T47D _Non Treated_pval	Removed?	Contaminant?
Q03923	ZNF85	1.06347556168318	6.76308463089582e-06	No	No
Q03938	ZNF90	1.17251482364284	6.51500470067185e-05	No	No
Q12791	KCNMA1	1.35988790374537	3.11907894623429e-12	No	No
Q13066	GAGE2C	2.6189565603762	9.04422242016607e-19	No	No
Q13069;Q13070	GAGE5;GAGE6	3.35083326959393	1.04340291211071e-17	No	No
Q14449	GRB14	1.5050421369845	0.0023958882568185	No	No
Q14765	STAT4	1.07698607488016	1.4062012160739e-07	No	No
Q14894	CRYM	3.1207864139319	3.7717266007292294e-11	No	No
Q14938	NFIX	1.03880993020754	1.0059236285000202e-15	No	No
Q15111	PLCL1	1.46205585375878	1.26752972922627e-05	No	No
Q15646	OASL	2.08705349045227	8.89094197838218e-22	No	No
Q16385	SSX2B	3.79225753985015	4.98093368520796e-12	No	No
Q2I0M4	LRRC26	1.11470964362685	0.0002908848938629	No	No
Q2VYF4	LETM2	1.03847968205155	0.0003416789571684	No	No
Q460N5	PARP14	1.06902509955553	1.66598989412439e-30	No	No
Q53H80	AKIRIN2	1.06424907661689	0.0024477261259168	No	No
Q58EX7	PLEKHG4	1.86782691939705	1.7225123405272002e-10	No	No
Q5EBM0	CMPK2	2.24924706813922	5.85352705382502e-08	No	No
Q5HY92	FIGN	1.3043310719382	4.08403545221965e-05	No	No
Q5K651	SAMD9	1.78064289497123	2.46425281599749e-16	No	No
Q5SXH7	PLEKHS1	1.86718459904937	9.52465856131759e-06	No	No
Q5T013	HYI	1.57903221843353	2.7420147425744203e-09	No	No
Q5VUG0	SFMBT2	1.11271343979862	7.23261031395754e-06	No	No
Q687X5	STEAP4	2.78335534081054	5.46006523037206e-10	No	No
Q6IQ19	CCSAP	1.2946403522891	0.0070752946206755	No	No
Q6NVV7	CDPF1	1.05594518901786	1.48758434399182e-06	No	No
Q6PCE3	PGM2L1	1.29048427996086	1.56201485202081e-11	No	No
Q6QHC5	DEGS2	1.00829792496505	3.2004591609584098e-12	No	No
Q6UWI4	SHISA2	1.20773127896781	4.69827618183485e-08	No	No
Q6UXM1	LRIG3	1.24819796379493	5.21232878434675e-10	No	No
Q6ZN08	ZNF66	1.6962444216395	4.4859337829855e-07	No	No
Q7L266	ASRGL1	1.32023369605426	0.0001902178568469	No	No
Q7Z7D3	VTCN1	1.62264899561804	2.14044586727693e-25	No	No
Q86V24	ADIPOR2	1.41297837442752	2.73686574175535e-05	No	No
Q86W10	CYP4Z1	1.38351508214869	2.14401652714114e-06	No	No
Q86X51	EZHIP	2.13693286076787	1.26681092784245e-14	No	No
Q8IXQ6	PARP9	1.43716393599942	1.7039339701909302e-31	No	No
Q8IY21	DDX60	1.84282188452217	3.55995298152337e-18	No	No
Q8N5U6	RNF10	1.06061183802518	2.4484088349532902e-20	No	No
Q8NDZ4	DIPK2A	1.79110905390488	3.26904602940324e-38	No	No
Q8NEG4	FAM83F	1.58914293232132	4.74490404046226e-16	No	No
Q8NEK5	ZNF548	1.18771447548346	0.0017154093260576	No	No
Q8NFT2	STEAP2	1.69575936272085	5.03316069389388e-24	No	No
Q8NFX7	STXBP6	3.6201054696796	9.1709768151328e-13	No	No
Q8TCZ2	CD99L2	1.77997761713686	3.81943165426338e-20	No	No
Q8TDB6	DTX3L	1.35588126441876	4.6406111721438494e-30	No	No
Q8WVX3	C4orf3	1.01831198333127	1.10286186669929e-06	No	No
Q92478	CLEC2B	1.89650058307076	0.0009861354487216	No	No
Q92597	NDRG1	1.34017606585313	3.00518862353993e-19	No	No
Q92985	IRF7	1.43828309835111	1.05355540499115e-05	No	No
Q93084	ATP2A3	1.15216641566253	4.51685456223636e-30	No	No
Q96CS4	ZNF689	1.08887072697172	9.52782606047215e-07	No	No
Q96CX6	LRRC58	1.27289757075791	4.26531933468777e-05	No	No
Q96DN0	ERP27	1.12131288374742	0.0039412240205923	No	No
Q96EM0	L3HYPDH	1.03783746533331	1.3691700450901402e-09	No	No
Q96FS4	SIPA1	1.4288892656242	4.680586132640449e-22	No	No
Q96GY0	ZC2HC1A	4.08424908745099	3.48462659595965e-35	No	No
Q96NY7	CLIC6	1.58852435023884	2.8253020289852504e-15	No	No
Q96P15	SERPINB11	1.00242310491619	0.0047070009624013	No	No
Q96PM9	ZNF385A	1.09316949828448	1.8109308785751201e-25	No	No
Q99489	DDO	1.2836328691024	1.34629147821582e-06	No	No
Q99608	NDN	4.57277102944242	2.0478073094320402e-19	No	No
Q9BW04	SARG	1.06323791034898	5.9847354179313e-05	No	No
Q9BX66	SORBS1	2.0395484350037	3.32006846209129e-24	No	No
Q9BY50	SEC11C	1.38509028927773	1.6565420299502401e-21	No	No
Q9BYK8	HELZ2	1.02500262387573	6.43098582561499e-24	No	No
Q9BZJ4	SLC25A39	1.09715775804696	7.32492701719022e-09	No	No
Q9C091	GREB1L	1.00006295252928	0.0008086934644654	No	No
Q9C0K1	SLC39A8	1.89773233819934	0.0011177097941137	No	No
Q9H246	C1orf21	1.29543901525199	0.0066315601021133	No	No
Q9H3M7	TXNIP	1.2183942410295	1.64406434956906e-10	No	No
Q9H4D0	CLSTN2	1.36190562265401	0.0015810400156983	No	No
Q9H568	ACTL8	2.22732232009397	3.54478032688626e-13	No	No
Q9H5V7	IKZF5	1.15948538649297	0.0006239299751185	No	No
Q9H7S9	ZNF703	1.52830954725226	6.07944636034133e-19	No	No
Q9H9K5	ERVMER34-1	1.81707297579628	1.80400946465584e-06	No	No
Q9NNZ3	DNAJC4	1.02466946714643	2.57275096280598e-06	No	No
Q9NQ36	SCUBE2	1.98126827804552	2.8518362018571e-22	No	No
Q9NRN5	OLFML3	3.47949338977661	3.58478751230514e-47	No	No
Q9NRZ5	AGPAT4	1.84242790992165	9.249559698895041e-15	No	No
Q9NXC2	GFOD1	1.23267989377121	1.31872781270405e-08	No	No
Q9NYP9	MIS18A	1.03312885127082	2.74206332143e-13	No	No
Q9P291	ARMCX1	2.02140143834819	2.17176994407985e-17	No	No
Q9UHE8	STEAP1	3.12582345224736	5.803795100508141e-20	No	No
Q9UII4	HERC5	2.1773078276845	8.90121110001954e-13	No	No
Q9UMW8	USP18	2.15377058390805	1.01141846012569e-09	No	No
Q9UQ84	EXO1	1.15719696320886	4.39834443134979e-07	No	No
Q9UQV4	LAMP3	2.76824726148955	1.6570018988355299e-18	No	No
Q9Y2D0	CA5B	1.00205928601282	4.07218529628148e-19	No	No
Q9Y2X9	ZNF281	1.04961738715937	1.43229798538792e-26	No	No
Q9Y4H4	GPSM3	1.5128628457502	0.0008349870626736	No	No
Q9Y6K5	OAS3	1.11888430461148	6.55811329005252e-35	No	No
Q9Y6M1	IGF2BP2	2.30983993341153	9.25961353493894e-42	No	No
A0A087WUL8	NBPF19	-1.56390888972405	9.367576131246281e-19	No	No
A2RU49	HYKK	-1.65017073125071	6.67574802891786e-16	No	No
A2RUS2	DENND3	-1.29251839382572	4.87261183604451e-07	No	No
A4D1S5	RAB19	-1.32627446661789	3.35548624564459e-25	No	No
A6NC05	C5orf63	-1.0213670585587	0.0095142704328936	No	No
A6NKF1	SAC3D1	-1.01717187675749	7.37520570952092e-14	No	No
A8MWL7;Q9NUH8	TMEM14DP;TMEM14B	-1.87933182728703	0.0035285474061691	No	No
H3BPM6	MKRN2OS	-1.57747460777619	0.0061204232506923	No	No
O00526	UPK2	-1.27538439994189	0.0002418916257928	No	No
O00757	FBP2	-1.01282344886203	5.47621957125011e-23	No	No
O14810	CPLX1	-1.57134120610222	0.0002067936109369	No	No
O14967	CLGN	-1.11823110317721	9.51877325723652e-13	No	No
O15021	MAST4	-1.22860629205912	2.66983364190657e-08	No	No
O15068	MCF2L	-1.30915938758426	5.37889171682898e-15	No	No
O15327	INPP4B	-1.51062907412982	5.089264832951479e-34	No	No
O15427	SLC16A3	-1.103502251366	9.82086741622979e-19	No	No
O15488	GYG2	-1.21718365538372	1.63733438454421e-05	No	No
O43556	SGCE	-1.93851122334785	2.6839114497490897e-12	No	No
O60268	KIAA0513	-1.09586388406568	1.85946877730156e-20	No	No
O60343	TBC1D4	-1.53619271375984	2.6997258191482e-30	No	No
O60635	TSPAN1	-1.41276321450511	0.006175478202668	No	No
O60879	DIAPH2	-1.10488142963158	0.0011387555096304	No	No
O75503	CLN5	-1.40760302476871	3.01478776533131e-19	No	No
O95255	ABCC6	-1.40359947017883	2.51486707969144e-14	No	No
O95359	TACC2	-1.07121649554484	2.08660597027993e-25	No	No
O95834	EML2	-1.32131827377965	1.1369645693898298e-22	No	No
O95848	NUDT14	-2.08871125049849	1.98012056983311e-06	No	No
O95995	GAS8	-1.03031118736517	5.20296867910242e-07	No	No
P01920	HLA-DQB1	-1.02469674657374	0.0012533340841433	No	No
P02795	MT2A	-1.04757139411504	0.008516686669436	No	No
P03971	AMH	-1.09221801225518	0.0013787635898479	No	No
P04083	ANXA1	-1.00551574958619	1.3863116560734801e-14	No	No
P04233	CD74	-1.23562905545995	7.47572642878332e-08	No	No
P05091	ALDH2	-2.04696334682744	2.84999145841184e-33	No	No
P07384	CAPN1	-1.15501633205617	3.7299930541072602e-31	No	No
P07476	IVL	-1.4083071489208	8.14627678441611e-27	No	No
P08582	MELTF	-1.48022834653781	2.16569910292435e-06	No	No
P09493	TPM1	-1.16981963930998	2.65786942917714e-24	No	No
P0C024	NUDT7	-1.03481676802715	7.61241602230314e-14	No	No
P0C869	PLA2G4B	-1.04186016788378	1.9307627880149e-07	No	No
P0DMM9;P0DMN0	SULT1A3;SULT1A4	-1.85203254229556	1.7434985187697198e-11	No	No
P0DN79;P35520	CBSL;CBS	-1.06046023142751	1.6838765231032702e-20	No	No
P0DPF2	NBPF20	-2.17997997780998	1.360730511133e-08	No	No
P10589	NR2F1	-1.42965379720948	0.000435880299082	No	No
P10746	UROS	-1.04188279197205	4.07812731166352e-16	No	No
P11137	MAP2	-1.11358266764026	1.02735114043271e-24	No	No
P12429	ANXA3	-2.08237424547887	6.72618067416641e-30	No	No
P14061	HSD17B1	-1.08110226632976	1.30058454845872e-05	No	No
P15559	NQO1	-1.0132747338763	9.79972878168866e-23	No	No
P16070	CD44	-1.56159253202107	1.2104793075385301e-14	No	No
P16083	NQO2	-1.67201901820235	1.82617044471893e-10	No	No
P25815	S100P	-1.12061520448592	2.0492161051778297e-12	No	No
P26992	CNTFR	-1.04093247136809	0.0072650845222338	No	No
P30047	GCHFR	-1.21532104123178	2.9705616159097297e-12	No	No
P31641	SLC6A6	-1.56712431424312	1.14077713492184e-18	No	No
P32004	L1CAM	-1.8133076876639	2.3541466814415202e-35	No	No
P32929	CTH	-1.50922558487594	8.60441203717337e-17	No	No
P34949	MPI	-1.08559901902668	7.412034722088791e-23	No	No
P35408	PTGER4	-1.67858973849282	8.9855419538543e-07	No	No
P35670	ATP7B	-1.17572438221345	2.8443386500292e-25	No	No
P36269	GGT5	-1.62315394894199	2.05577719344678e-06	No	No
P41247	PNPLA4	-1.62061112279347	6.71543158748201e-17	No	No
P43121	MCAM	-2.18014089826391	1.61361976407727e-21	No	No
P43353	ALDH3B1	-2.05697940695348	6.50779420708094e-34	No	No
