Protein_Group	Genes	EV_Blast  _250nM Palbo_vs_EV_Blast  _Non Treated_logFC	EV_Blast  _250nM Palbo_vs_EV_Blast  _Non Treated_pval	Removed?	Contaminant?
A0A087WTH1	TMEM265	1.27589798104992	6.78335564760241e-07	No	No
A0A0G2JMH6;P01903	HLA-DRA	1.27217127199289	2.90882584059477e-05	No	No
A0A1B0GUS4	UBE2L5	2.46463541181996	1.19486610960959e-06	No	No
A1A5D9	BICDL2	1.34019040713767	2.7688110847507e-20	No	No
A1Z1Q3	MACROD2	2.00846593714989	5.83060472752064e-05	No	No
A2A2Y4	FRMD3	1.32980949262314	0.0007499576690967	No	No
A2RUS2	DENND3	1.12942095274291	6.01578992533923e-06	No	No
A4D0S4	LAMB4	1.11078070333892	2.18137642642349e-06	No	No
A6NMD0	IFITM10	1.12657936157749	0.0002845696471912	No	No
C9J069	AJM1	1.00801187678075	1.87447476723911e-13	No	No
O00526	UPK2	1.13450338395683	0.0009235531780821	No	No
O00534	VWA5A	1.64633933140019	1.94278582158408e-10	No	No
O00622	CCN1	1.17760758251573	2.37124032779977e-14	No	No
O15232	MATN3	1.35177889334057	6.905676463466469e-12	No	No
O43374	RASA4	1.13707004946593	0.0014607499390633	No	No
O60259	KLK8	2.31582816981101	0.0002268530334205	No	No
O60299	LZTS3	1.09527517214439	4.9364607144523e-05	No	No
O60443	GSDME	1.09409833251894	2.41043580939541e-10	No	No
O75056	SDC3	1.79303869450738	6.92990231886459e-06	No	No
O75363	BCAS1	1.70421992630987	1.62708033163479e-25	No	No
O95183	VAMP5	1.01876310487505	0.0004016158311441	No	No
O95255	ABCC6	1.21657361028772	2.4083468006198698e-12	No	No
P00747	PLG	1.15545746474928	0.0055285119089989	No	No
P07476	IVL	1.54998757372545	1.410891246548e-28	No	No
P08294	SOD3	1.15992050563905	4.3723508775131703e-20	No	No
P0DPF2	NBPF20	1.02737585392805	0.0021649455714161	No	No
P12273	PIP	1.32608804031201	2.22209368919048e-17	No	No
P12429	ANXA3	1.1163850449927	7.29466806775521e-19	No	No
P14061	HSD17B1	2.66324422997734	9.4379733828519e-16	No	No
P15408	FOSL2	1.00665172499332	0.0002187921565216	No	No
P15884	TCF4	2.00034348204506	1.72223538794296e-21	No	No
P17600	SYN1	1.60047163158578	8.779261367237621e-20	No	No
P21695	GPD1	1.20691028523484	3.23803975568817e-17	No	No
P24385	CCND1	1.08135745851308	4.77351071074587e-25	No	No
P24593	IGFBP5	1.1943648953417	7.60075383084209e-23	No	No
P29034	S100A2	1.35312159381083	0.0016234370667289	No	No
P31512	FMO4	1.16364128062941	3.5880320471398497e-12	No	No
P32455	GBP1	1.35665630785965	1.27633537944624e-05	No	No
P41247	PNPLA4	1.05298727684805	7.502157232353259e-11	No	No
P42330	AKR1C3	1.16851499299491	7.41064494387731e-08	No	No
P42772	CDKN2B	2.02628615923311	6.25764409602611e-17	No	No
P43115	PTGER3	1.01349710962565	2.01679721965909e-10	No	No
P43234	CTSO	1.21455348595589	1.30909223188807e-07	No	No
P46821	MAP1B	1.0432105558966	1.21235065323637e-09	No	No
P49703	ARL4D	1.13389587001344	4.20432417130235e-05	No	No
P51808	DYNLT3	1.07120205741758	3.47794353802006e-05	No	No
P52895	AKR1C2	1.37736551231915	4.06727121717412e-05	No	No
P54868	HMGCS2	1.12977489596167	9.754319380396461e-20	No	No
P56277	CMC4	1.77846507148091	0.0028938325836376	No	No
P61587	RND3	1.55200008343611	2.69502788991478e-15	No	No
P68106	FKBP1B	1.08090782796145	0.0040202651711412	No	No
P78380	OLR1	1.01993801021584	0.000197961762113	No	No
Q00887	PSG9	1.43243734467301	1.23844993582812e-06	No	No
Q00G26	PLIN5	1.05840735114839	7.6437550509299e-06	No	No
Q05682	CALD1	1.50442697083004	7.71976438660388e-28	No	No
Q12794	HYAL1	1.33195965469287	0.008261724932932	No	No
Q12841	FSTL1	1.07791051026455	1.0735941745715e-11	No	No
Q14764	MVP	1.46702749136853	1.1181532646954101e-35	No	No
Q15173	PPP2R5B	1.03517424899644	1.0978959525931101e-15	No	No
Q30154	HLA-DRB5	1.3343759431221	1.06678220038766e-05	No	No
Q3SY77	UGT3A2	1.27457410770334	0.0035000662410209	No	No
Q49AM1	MTERF2	1.24201687103143	8.59940236142923e-10	No	No
Q5H9U9	DDX60L	2.05838063061274	0.0006251027354569	No	No
Q5MY95	ENTPD8	1.42552157486108	3.56536877505391e-05	No	No
Q5VT25	CDC42BPA	1.02269886090585	4.82652226564444e-33	No	No
Q5VUE5	C1orf53	1.29899041097167	0.0001995839226538	No	No
Q5VWT5	FYB2	1.84478252773196	5.86250258626984e-08	No	No
Q60I27	ALS2CL	1.08009324788395	2.21092140348003e-07	No	No
Q6F5E8	CARMIL2	1.41552220108682	5.9862360888316404e-09	No	No
Q6UWH4	GASK1B	1.96419134713507	4.5244432848756e-06	No	No
Q6UWH6	TEX261	3.41898959805886	7.63839170130367e-07	No	No
Q6UXI9	NPNT	1.22456561283523	9.8624494247088e-06	No	No
Q6UXK5	LRRN1	1.73969098795096	7.54437824895187e-08	No	No
Q6ZS11	RINL	3.12425561557487	1.86512579881497e-08	No	No
Q6ZVM7	TOM1L2	1.02584208589244	4.09557200741361e-28	No	No
Q6ZW13	C16orf86	1.67691577356563	0.0051191664108168	No	No
Q71U36	TUBA1A	1.52799964720886	1.14878884539007e-05	No	No
Q7L311	ARMCX2	1.19103940769502	1.5469130033940298e-16	No	No
Q7Z3G6	PRICKLE2	1.32452166844711	6.86215562054934e-06	No	No
Q7Z404	TMC4	1.27706172346011	9.357885152204621e-25	No	No
Q7Z7D3	VTCN1	1.13813053049221	3.00057478835374e-19	No	No
Q86VV4	RANBP3L	1.23074239534539	8.73405519313358e-05	No	No
Q86W10	CYP4Z1	1.03270566660826	0.000197432489555	No	No
Q86WV1	SKAP1	2.02019859352308	0.0028105192893156	No	No
Q8IV31	TMEM139	1.10943257053527	3.23239461675574e-07	No	No
