Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO_Biological_Process_2025__Negative Regulation of Cholesterol Transport (GO:0032375),-0.9238962044926414,-2.6715551263139496,0.0,0.0,0.0,6/6,7.74%,ADIPOQ;APOA2;APOC1;APOE;APOC2;APOC3
prerank,GO_Biological_Process_2025__Oxygen Transport (GO:0015671),-0.9690222652468539,-2.4263028419276624,0.0,0.004449112365614926,0.008,5/5,3.21%,MB;HBG1;HBB;HBD;HBG2
prerank,GO_Biological_Process_2025__Mitochondrial Translation (GO:0032543),-0.2813586660588642,-2.2085863945999584,0.0,0.04597416111135423,0.111,51/56,53.42%,MRPS2;MRPL14;MRPS10;MRPS21;MRPS16;MRPS25;MRPS18B;MRPS11;MRPS35;MRPL13;MRPS26;MRPL4;MRPS9;PTCD3;MRPS34;RARS2;MRPL55;MRPL53;MRPL46;MRPS31;MRPL21;MRPL43;MRPS27;MTIF3;MRPL18;MRPL3;MRPL49;MTIF2;MRPL17;MRPL38;MRPL23;MRPL58;MRPS30;MRPL39;MRPL24;MRPL19;MRPS23;MRPL16;GFM1;MRPL41;MRPL48;MRPS22;MRPL45;LARS2;MRPL11;MRPL40;MRPL44;MRPL37;MRPL50;GFM2;MRPL1
prerank,GO_Biological_Process_2025__RNA Methylation (GO:0001510),-0.8503388189738625,-2.2026526845814893,0.0,0.03698324653917407,0.12,5/5,15.07%,TARBP1;SNRPF;TFB1M;WDR6;SNRPE
prerank,GO_Biological_Process_2025__Formation of Cytoplasmic Translation Initiation Complex (GO:0001732),0.7776191470069193,2.1928060869443953,0.0,0.0019793493031697758,0.002,11/12,15.57%,EIF3I;EIF3D;EIF3F;EIF3B;EIF3J;EIF5;EIF3E;EIF3K;EIF3G;EIF3M;EIF3L
prerank,GO_Biological_Process_2025__Protein Modification by Small Protein Removal (GO:0070646),0.6422821811445667,2.18435017081244,0.0,0.0014845119773773318,0.003,25/34,27.43%,USP9X;COPS5;COPS4;COPS2;USP47;USP15;COPS6;COPS7A;COPS8;PSMD14;USP24;COPS7B;STAMBP;USP5;OTUB1;GPS1;COPS3;UCHL3;USP4;BRCC3;VCPIP1;UCHL5;TOR1A;HINT1;USP7
prerank,GO_Biological_Process_2025__Growth Hormone Receptor Signaling Pathway (GO:0060396),0.7402350208100218,2.115175212753316,0.0,0.007917397212679105,0.022,10/14,14.62%,STAT3;PTPN1;STAT6;PTK2;PIK3R1;STAT5B;STAT5A;LYN;JAK2;JAK3
prerank,GO_Biological_Process_2025__Regulation of Protein Neddylation (GO:2000434),0.7815421693734467,2.1033483178003514,0.0,0.009154490527160213,0.033,9/10,16.69%,COPS5;COPS4;COPS2;COPS6;COPS7A;COPS8;COPS7B;GPS1;COPS3
prerank,GO_Biological_Process_2025__Phospholipid Efflux (GO:0033700),-0.6058903313311373,-2.0482381031375336,0.0,0.10344186250054702,0.344,9/9,39.54%,APOA4;APOA2;APOA1;APOC1;APOE;APOC2;APOC3;ABCA7;APOA5
prerank,GO_Biological_Process_2025__tRNA Wobble Uridine Modification (GO:0002098),-0.8038722168441433,-2.0191703457600663,0.0,0.09374915341831451,0.419,5/5,19.71%,ELP3;KDELR2;ELP2;ELP6;ELP5
