"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0034315","GO:0034315",16,"GO:0051125",1.22637048504477,31,"regulation of Arp2/3 complex-mediated actin nucleation","regulation of actin nucleation",0.892543859649123,0.405,0.983
"GO:0032271","GO:0032271",22,"GO:0032271",1.19506953625354,204,"regulation of protein polymerization","regulation of protein polymerization",0.879280701754386,1,0
"GO:0007040","GO:0007040",21,"GO:0080171",1.19506953625354,109,"lysosome organization","lytic vacuole organization",0.939666666666667,0.5005,0.999
"GO:1902903","GO:1902903",16,"GO:0051125",1.18889399042287,389,"regulation of supramolecular fiber organization","regulation of actin nucleation",0.884991228070175,0.46,0.818
"GO:0031110","GO:0031110",23,"GO:0031110",1.18889399042287,95,"regulation of microtubule polymerization or depolymerization","regulation of microtubule polymerization or depolymerization",0.8845,0.35275,0
"GO:0042307","GO:0042307",9,"GO:1903566",1.16335439748679,40,"positive regulation of protein import into nucleus","positive regulation of protein localization to cilium",0.770868421052632,0.270625,0.617
"GO:0033674","GO:0033674",10,"GO:1904031",1.16335439748679,337,"positive regulation of kinase activity","positive regulation of cyclin-dependent protein kinase activity",0.793061403508772,0.239375,0.783
"GO:0042149","GO:0042149",25,"GO:0042149",1.13772010305427,50,"cellular response to glucose starvation","cellular response to glucose starvation",0.970201754385965,0.514,0
"GO:0043489","GO:0043489",24,"GO:0043489",1.13772010305427,74,"RNA stabilization","RNA stabilization",0.831201754385965,0.449333333333333,0
"GO:0070507","GO:0070507",23,"GO:0031110",1.13772010305427,161,"regulation of microtubule cytoskeleton organization","regulation of microtubule polymerization or depolymerization",0.880526315789474,0.35625,0.955
"GO:0006816","GO:0006816",3,"GO:1901341",1.13772010305427,445,"calcium ion transport","positive regulation of store-operated calcium channel activity",0.860640350877193,0.352666666666667,0.686
"GO:0015914","GO:0015914",19,"GO:0015748",1.12794196469737,103,"phospholipid transport","organophosphate ester transport",0.857684210526316,0.519,0.962
"GO:0006325","GO:0006325",8,"GO:0044725",1.12207910682149,782,"chromatin organization","epigenetic programming in the zygotic pronuclei",0.919280701754386,0.381333333333333,0.672
"GO:0000079","GO:0000079",10,"GO:1904031",1.12207910682149,82,"regulation of cyclin-dependent protein serine/threonine kinase activity","positive regulation of cyclin-dependent protein kinase activity",0.806771929824561,0.274,0.89
"GO:0006368","GO:0006368",26,"GO:0006368",1.11657326081195,116,"transcription elongation by RNA polymerase II","transcription elongation by RNA polymerase II",0.890078947368421,1,0
"GO:0036294","GO:0036294",28,"GO:0036294",1.11107677488509,158,"cellular response to decreased oxygen levels","cellular response to decreased oxygen levels",0.96921052631579,0.503,0
"GO:0071456","GO:0071456",28,"GO:0036294",1.11107677488509,147,"cellular response to hypoxia","cellular response to decreased oxygen levels",0.961657894736842,0.503,0.994
"GO:0050684","GO:0050684",20,"GO:1903311",1.11107677488509,129,"regulation of mRNA processing","regulation of mRNA metabolic process",0.842421052631579,0.437333333333333,0.901
"GO:0055074","GO:0055074",27,"GO:0055074",1.11107677488509,331,"calcium ion homeostasis","calcium ion homeostasis",0.983236842105263,0.363,0
"GO:0042306","GO:0042306",9,"GO:1903566",1.11107677488509,58,"regulation of protein import into nucleus","positive regulation of protein localization to cilium",0.790140350877193,0.310625,0.555
"GO:0071902","GO:0071902",10,"GO:1904031",1.11107677488509,140,"positive regulation of protein serine/threonine kinase activity","positive regulation of cyclin-dependent protein kinase activity",0.794885964912281,0.243125,0.761
"GO:0045787","GO:0045787",29,"GO:0045787",1.09643591373056,334,"positive regulation of cell cycle","positive regulation of cell cycle",0.875728070175439,0.461333333333333,0
"GO:1904377","GO:1904377",9,"GO:1903566",1.09643591373056,73,"positive regulation of protein localization to cell periphery","positive regulation of protein localization to cilium",0.797438596491228,0.390375,0.642
"GO:0046824","GO:0046824",9,"GO:1903566",1.0830756889619,62,"positive regulation of nucleocytoplasmic transport","positive regulation of protein localization to cilium",0.78640350877193,0.35,0.541
"GO:0045786","GO:0045786",29,"GO:0045787",1.07083487859802,407,"negative regulation of cell cycle","positive regulation of cell cycle",0.887798245614035,0.452666666666667,0.766
"GO:0006869","GO:0006869",17,"GO:0032376",1.07083487859802,453,"lipid transport","positive regulation of cholesterol transport",0.845061403508772,0.42425,0.767
"GO:0006402","GO:0006402",24,"GO:0043489",1.0595790006234,310,"mRNA catabolic process","RNA stabilization",0.806605263157895,0.403,0.818
"GO:1904018","GO:1904018",7,"GO:0045765",1.0595790006234,185,"positive regulation of vasculature development","regulation of angiogenesis",0.888105263157895,0.3076,0.938
"GO:0006893","GO:0006893",30,"GO:0006893",1.05445938310659,57,"Golgi to plasma membrane transport","Golgi to plasma membrane transport",0.879763157894737,0.383333333333333,0
"GO:1905477","GO:1905477",9,"GO:1903566",1.05445938310659,104,"positive regulation of protein localization to membrane","positive regulation of protein localization to cilium",0.787157894736842,0.377,0.657
"GO:0031113","GO:0031113",23,"GO:0031110",1.05445938310659,61,"regulation of microtubule polymerization","regulation of microtubule polymerization or depolymerization",0.869780701754386,0.369,0.96
"GO:0051592","GO:0051592",5,"GO:0005513",1.03067351864631,144,"response to calcium ion","detection of calcium ion",0.981377192982456,0.5705,0.859
"GO:0006874","GO:0006874",27,"GO:0055074",1.03067351864631,308,"intracellular calcium ion homeostasis","calcium ion homeostasis",0.983035087719298,0.355333333333333,0.991
"GO:0045860","GO:0045860",10,"GO:1904031",1.03067351864631,282,"positive regulation of protein kinase activity","positive regulation of cyclin-dependent protein kinase activity",0.784087719298246,0.229625,0.8
"GO:0032456","GO:0032456",30,"GO:0006893",1.01945462164379,89,"endocytic recycling","Golgi to plasma membrane transport",0.870622807017544,0.526333333333333,0.894
"GO:0006892","GO:0006892",30,"GO:0006893",1.01945462164379,102,"post-Golgi vesicle-mediated transport","Golgi to plasma membrane transport",0.89609649122807,0.505666666666667,0.956
"GO:0090316","GO:0090316",9,"GO:1903566",1.01945462164379,158,"positive regulation of intracellular protein transport","positive regulation of protein localization to cilium",0.762587719298246,0.28775,0.671
"GO:0045766","GO:0045766",7,"GO:0045765",1.01945462164379,185,"positive regulation of angiogenesis","regulation of angiogenesis",0.881535087719298,0.2576,0.941
"GO:0045859","GO:0045859",10,"GO:1904031",1.01945462164379,503,"regulation of protein kinase activity","positive regulation of cyclin-dependent protein kinase activity",0.804482456140351,0.25675,0.746
"GO:0016070","GO:0016070",31,"GO:0016070",1.01573248594954,5098,"RNA metabolic process","RNA metabolic process",0.852333333333333,0.384833333333333,0
"GO:0006406","GO:0006406",18,"GO:0046831",1.01213267468159,70,"mRNA export from nucleus","regulation of RNA export from nucleus",0.77480701754386,0.417666666666667,0.836
"GO:0006260","GO:0006260",32,"GO:0006260",0.965079705733109,278,"DNA replication","DNA replication",0.899649122807018,1,0
"GO:0006401","GO:0006401",24,"GO:0043489",0.965079705733109,367,"RNA catabolic process","RNA stabilization",0.873605263157895,0.397666666666667,0.834
"GO:1900182","GO:1900182",9,"GO:1903566",0.965079705733109,93,"positive regulation of protein localization to nucleus","positive regulation of protein localization to cilium",0.788456140350877,0.32225,0.648
"GO:0030003","GO:0030003",27,"GO:0055074",0.96258585372946,526,"intracellular monoatomic cation homeostasis","calcium ion homeostasis",0.983657894736842,0.379,0.92
"GO:0022603","GO:0022603",7,"GO:0045765",0.946765545993206,935,"regulation of anatomical structure morphogenesis","regulation of angiogenesis",0.917894736842105,0.413,0.889
"GO:0051225","GO:0051225",23,"GO:0031110",0.944639637166297,133,"spindle assembly","regulation of microtubule polymerization or depolymerization",0.905622807017544,0.4935,0.674
"GO:0001934","GO:0001934",10,"GO:1904031",0.911913902357723,609,"positive regulation of protein phosphorylation","positive regulation of cyclin-dependent protein kinase activity",0.799087719298246,0.287375,0.719
"GO:0016071","GO:0016071",20,"GO:1903311",0.866443847926514,829,"mRNA metabolic process","regulation of mRNA metabolic process",0.869350877192982,0.444333333333333,0.88
"GO:0006629","GO:0006629",33,"GO:0006629",0.850487452709588,1406,"lipid metabolic process","lipid metabolic process",0.919315789473684,1,0
"GO:0009267","GO:0009267",25,"GO:0042149",0.840215413186606,179,"cellular response to starvation","cellular response to glucose starvation",0.967622807017544,0.488,0.896
"GO:0045893","GO:0045893",31,"GO:0016070",0.612271058027104,1687,"positive regulation of DNA-templated transcription","RNA metabolic process",0.771640350877193,0.300833333333333,0.709
"GO:0006338","GO:0006338",8,"GO:0044725",0.551903356536588,638,"chromatin remodeling","epigenetic programming in the zygotic pronuclei",0.919728070175439,0.372166666666667,0.694
"GO:0051726","GO:0051726",29,"GO:0045787",0.547837287822906,1119,"regulation of cell cycle","positive regulation of cell cycle",0.898043859649123,0.424666666666667,0.85
"GO:0010629","GO:0010629",34,"GO:0010629",0.54392911405498,1623,"negative regulation of gene expression","negative regulation of gene expression",0.816728070175439,0.3994,0
"GO:1902679","GO:1902679",34,"GO:0010629",0.498836903124357,1337,"negative regulation of RNA biosynthetic process","negative regulation of gene expression",0.796105263157895,0.3326,0.79
"GO:0008104","GO:0008104",15,"GO:0035372",0.497786255688768,2499,"protein localization","protein localization to microtubule",0.836429824561403,0.601333333333333,0.572
"GO:0048523","GO:0048523",34,"GO:0010629",0.483980533165805,5526,"negative regulation of cellular process","negative regulation of gene expression",0.888859649122807,0.4958,0.68
"GO:0006355","GO:0006355",31,"GO:0016070",0.463574391053182,3456,"regulation of DNA-templated transcription","RNA metabolic process",0.787342105263158,0.315333333333333,0.839
"GO:0006974","GO:0006974",25,"GO:0042149",0.449375090864065,884,"DNA damage response","cellular response to glucose starvation",0.96669298245614,0.599333333333333,0.562
"GO:0006357","GO:0006357",31,"GO:0016070",0.445623395605115,2581,"regulation of transcription by RNA polymerase II","RNA metabolic process",0.79530701754386,0.330166666666667,0.769
"GO:1902680","GO:1902680",31,"GO:0016070",0.435969393387833,1690,"positive regulation of RNA biosynthetic process","RNA metabolic process",0.772201754385965,0.301,0.71
"GO:0000122","GO:0000122",34,"GO:0010629",0.408540809731076,980,"negative regulation of transcription by RNA polymerase II","negative regulation of gene expression",0.802236842105263,0.3612,0.744
"GO:0045944","GO:0045944",31,"GO:0016070",0.31469626894649,1243,"positive regulation of transcription by RNA polymerase II","RNA metabolic process",0.77819298245614,0.3095,0.664
"GO:0045892","GO:0045892",34,"GO:0010629",0.297604105091135,1323,"negative regulation of DNA-templated transcription","negative regulation of gene expression",0.795771929824561,0.3326,0.789
