"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0001522","GO:0001522",13,"GO:0000154",1.15083749176786,18,"pseudouridine synthesis","rRNA modification",0.910856825255669,0.271,0.746
"GO:0000460","GO:0000460",6,"GO:0000470",1.11030564868189,36,"maturation of 5.8S rRNA","maturation of LSU-rRNA",0.859187638950645,0.361105263157895,0.733
"GO:0007026","GO:0007026",24,"GO:0007026",1.10458286886194,26,"negative regulation of microtubule depolymerization","negative regulation of microtubule depolymerization",0.846603823921743,0.2809,0
"GO:0032774","GO:0032774",16,"GO:0006357",1.10458286886194,3599,"RNA biosynthetic process","regulation of transcription by RNA polymerase II",0.87192352156514,0.279666666666667,0.855
"GO:0035279","GO:0035279",8,"GO:0000956",1.08945317749173,66,"miRNA-mediated gene silencing by mRNA destabilization","nuclear-transcribed mRNA catabolic process",0.786212983548244,0.278633333333333,0.788
"GO:0031118","GO:0031118",13,"GO:0000154",1.08945317749173,8,"rRNA pseudouridine synthesis","rRNA modification",0.860809248554913,0.2685,0.903
"GO:0000122","GO:0000122",2,"GO:0045892",1.06743974018768,980,"negative regulation of transcription by RNA polymerase II","negative regulation of DNA-templated transcription",0.811197865718097,0.313888888888889,0.934
"GO:0009299","GO:0009299",4,"GO:0006397",1.05589098179851,50,"mRNA transcription","mRNA processing",0.907879502000889,0.407866666666667,0.684
"GO:2000765","GO:2000765",15,"GO:0002181",0.992792226068968,33,"regulation of cytoplasmic translation","cytoplasmic translation",0.86279324144064,0.316727272727273,0.864
"GO:0031114","GO:0031114",24,"GO:0007026",0.992792226068968,30,"regulation of microtubule depolymerization","negative regulation of microtubule depolymerization",0.870223654957759,0.2763,0.987
"GO:0045944","GO:0045944",18,"GO:0045893",0.952889923128146,1243,"positive regulation of transcription by RNA polymerase II","positive regulation of DNA-templated transcription",0.808205869275233,0.2751,0.93
"GO:0045911","GO:0045911",19,"GO:1905168",0.941790037636496,71,"positive regulation of DNA recombination","positive regulation of double-strand break repair via homologous recombination",0.844712761227212,0.2723,0.949
"GO:1902850","GO:1902850",25,"GO:1902850",0.845658206706474,163,"microtubule cytoskeleton organization involved in mitosis","microtubule cytoskeleton organization involved in mitosis",0.896179190751445,0.301,0
"GO:0000447","GO:0000447",6,"GO:0000470",0.817089986608901,10,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","maturation of LSU-rRNA",0.870821698532681,0.391,0.675
"GO:1902425","GO:1902425",26,"GO:1902425",0.817089986608901,8,"positive regulation of attachment of mitotic spindle microtubules to kinetochore","positive regulation of attachment of mitotic spindle microtubules to kinetochore",0.818282347710093,0.301842105263158,0
"GO:0031167","GO:0031167",13,"GO:0000154",0.807204866565559,27,"rRNA methylation","rRNA modification",0.848012005335705,0.265833333333333,0.98
"GO:1901880","GO:1901880",24,"GO:0007026",0.807204866565559,70,"negative regulation of protein depolymerization","negative regulation of microtubule depolymerization",0.854554913294798,0.24165,0.933
