term,fdr,Odds Ratio,Combined Score,Genes,description
Membrane Trafficking,1.8792330000000002e-27,3.855597,266.3998,ITSN2;ITSN1;FNBP1L;RABGEF1;TFG;AKT2;AKT3;AP1S2;AKT1;AP1S1;VPS36;GABARAPL2;PRKAB2;GAPVD1;PRKAB1;DYNC1LI1;DYNC1LI2;BIN1;VPS25;OPTN;VPS28;SAR1B;COPS7B;COPS7A;GNS;BLOC1S4;BLOC1S6;BLOC1S1;BLOC1S3;MYO6;VTI1A;PIP5K1C;SNAPIN;LNPEP;SNF8;ARF4;ARPC1A;CLTC;CLTB;PRKAG1;STON1;CHM;CLTA;PRKAG2;STON2;CLINT1;TUBA1C;AP3S1;LDLRAP1;DENND2C;EXOC8;EXOC7;COPZ2;EPS15L1;DYNLL1;COPZ1;F5;VAMP8;F8;VAMP7;EXOC4;EXOC3;PLIN3;EXOC6;EXOC5;VAMP4;ARF5;EXOC2;PAFAH1B2;VAMP2;ARF6;EXOC1;PAFAH1B1;VAMP3;NBAS;GPS1;USO1;GGA1;LMAN1;GGA3;LMAN2;AP2S1;STX6;STX5;STX4;LDLR;YKT6;TRAPPC10;TUBB4B;TUBB4A;ARCN1;SNX18;UBAP1;GOLIM4;TUBB6;TUBB1;AP2M1;TPD52;RALGAPA2;TUBA4B;TUBA4A;RAB32;RINT1;RAB30;RAB31;RALGAPB;MADD;RAB35;RAB38;RAB5B;RAB5C;ARL1;KLC1;KLC4;AP4S1;RAB6A;RAB6B;AP1M1;TXNDC5;ANKRD28;TRAPPC3;RAB4A;ANKRD27;TOR1A;TRAPPC1;SEC16A;TRAPPC4;HPS1;TRAPPC5;HPS4;M6PR;ARPC4;TRAPPC8;ARPC5;TRAPPC9;COPS4;COPS3;COPS6;DAB2;COPS5;ARPC2;SYNJ1;ARPC3;COPS2;CPD;AAK1;COPS8;RAB5A;TUBA8;MCFD2;SNAP23;ARRB1;ARRB2;PIK3C2A;BICD2;AP4M1;PPP6C;AP1G2;CAPZB;AP1G1;PPP6R1;PPP6R3;SNAP29;ACTR3;ACTR2;VPS37C;VPS37A;VPS37B;ARFGAP3;SPTB;ARFGAP1;BET1L;ARFGAP2;DNAJC6;SEC22B;RAB1A;SEC23A;SRC;RAB1B;VPS4B;VPS4A;DENND3;RAB21;VPS51;VPS53;FCHO2;VPS52;UBQLN1;VPS54;SEC24B;RAB10;NECAP2;MYO1C;RAB14;RAB12;RAB13;RAB18;VPS45;SEC24D;SEC24C;BET1;APP;GCC2;GCC1;GOLGA2;GOLGA4;GOLGA5;RINL;FTH1;AGFG1;TBC1D10B;COG8;COG7;COG6;COG5;COG4;COG3;AP1B1;COG2;COG1;ANK1;ZW10;PREB;RIN3;LMAN2L;STXBP3;TGOLN2;SCFD1;SNX2;SNX9;SNX5;SPTBN1;SEC31A;SURF4;MYO5A;RAB27A;RAB27B;STAM;GOLGB1;GRB2;MON1B;C2CD5;GDI1;SH3KBP1;GDI2;AP4E1;MIA2;AP2A1;MIA3;AP2A2;ACTR1A;KIF13B;TMED3;TMED2;KIF1B;RAC1;TMED7;SPTAN1;CTSC;RAB8A;RAB8B;SEC13;TMED9;AP3B1;RAB33A;RAB33B;GAK;CTTN;KIF2A;RAB7A;NAPA;DYNC1I2;RABGAP1;STX17;STX16;STX18;NEDD8;NAPG;CUX1;EPS15;DYNC1H1;SORT1;GBF1;AP2B1;RAB11A;RAB11B;SEC23IP;CAPZA1;CAPZA2;TRIP10;RAB3GAP2;RAB9A;TRIP11;COPG2;COPG1;ACTR10;RAB3GAP1;RAB9B;SCARB2;KIF5B;TRAPPC12;TRAPPC11;TRAPPC13;SBF1;SH3GL1;NSF;TRAPPC2L;TSC2;OCRL;TSC1;TBC1D20;HGS;TBC1D24;CHMP4B;TBC1D25;CHMP4A;STAM2;COPB2;COPA;TMED10;TSG101;COPB1;SPTA1;GRK3;GRK2;MAN2A2;KIF3A;PACSIN2;TBC1D13;TBC1D17;TBC1D15;HSPA8;DENND4A;VTA1;DENND4C;ASPSCR1;AP4B1;CHMP2B;CHMP2A;ACBD3;IL7R;COPE;PICALM;YWHAE;YWHAB;USE1;YWHAQ;MAN1A2;YWHAG;POLG;YWHAH;PLA2G4A;YWHAZ;DNM1;EPN1;DNM2;DNM3;TBC1D1;RABEP1;ALS2;TRAPPC6B;GORASP1;CHMP3;MYH9;CHMP6;CHMP7;CHMP5;DCTN6;DCTN5;RALA;DCTN2;TUBAL3;DCTN1;DCTN4;GOSR2;DCTN3;GOSR1;CBL;AGPAT3;CYTH2;BNIP1;REPS2;CYTH1;REPS1;EGF;GALNT2;GALNT1;DTNBP1,Membrane Trafficking
Signal Transduction,9.962627e-14,1.778715,65.45596,ITSN2;ITSN1;ARAF;SPINT2;F11R;MYLK;PSMD8;PSMD6;TBK1;PSMD7;AKT2;PSMD2;AKT3;PSMD3;AKT1;ANKFY1;PSMD1;PRKACA;PRKACB;PRKAB2;CSNK2A2;PRKAB1;BCR;MYL6;PRKAR1B;PRKAR1A;RBCK1;MYL9;OPTN;SHMT2;PDGFB;PDGFA;IQGAP1;IQGAP2;RHOT2;RHOT1;RDH11;PRKAR2B;PDGFD;PRKAR2A;PDGFC;MYO6;RDH14;PIP5K1C;LYN;JAG1;FN1;CILP;FASN;AGO2;STRN;FERMT2;ARHGAP1;PRKAG1;PRKAG2;ARHGAP5;OSBPL11;ARHGAP6;ARHGAP4;IKBKB;TUBA1C;IKBKG;JAK2;JAK3;JAK1;LYPLA1;DUSP3;FGFBP2;SPHK1;EPS15L1;GMIP;DYNLL1;F2;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;PSMA2;RAPGEF2;DLD;PAFAH1B1;ARF6;VAMP3;COL11A2;FSTL1;PSMA7;FSTL3;PSMB6;PSMB7;PSMB4;GGA3;PSMB5;PSMB2;PSMB3;PSMB1;MFN1;SPP1;AP2S1;MFN2;STX5;FLNA;RICTOR;STAT6;YKT6;P2RY12;STAT1;USP9X;STAT3;LETM1;TMEM59;PSMC5;PSMC6;TAOK3;PSMC3;PSMC4;TAOK1;PSMC1;PSMC2;PKN2;GOPC;PKN1;EBAG9;FRK;MSI2;STK10;SLK;FNTA;POFUT1;FNTB;RUVBL1;MAP3K7;AP2M1;FST;TUBA4B;TUBA4A;MAPKAPK3;MFNG;MAPKAPK2;ROR1;SQSTM1;CD274;SHC1;ARL2;SAV1;RAP1A;STK38;EIF4EBP1;THEM4;ARPC4;ARPC5;NFKB1;ARPC2;ARPC3;PTPRA;PIN1;MYD88;ITGB1;BMP10;HSP90AB1;ITGB5;ITGB3;FLT4;SNAP23;PTEN;ECE1;ARRB1;ARRB2;PIK3CB;PIK3CG;CAPZB;NCK2;ITGAV;NCK1;ACTR3;DSP;ACTR2;HSP90AA1;PPP1R12A;KSR1;ITGA2;ARFGAP3;SPTB;ARFGAP2;PPM1A;DSG2;PIK3C3;ITGA5;PRKAA1;ROCK1;ROCK2;SRC;LRP5;FURIN;LRP6;CDC42;PTPRZ1;CCL5;FYN;EIF4E;SH2B3;EIF4B;NTRK2;PPP1R14A;PTPN1;NDUFA5;PCDH7;TXNL1;BAIAP2;STUB1;PTPN6;P4HB;PTPN7;PTPN2;AHCYL1;CRKL;UBE2L3;OPHN1;TNFSF10;ATP6V1E1;TMPO;ATP6V1G1;ACTN2;ACTN1;CDC37;CSNK2B;BTK;TMEM87A;PIK3R4;PIK3R1;KALRN;PIK3R6;APH1B;ATP6V1C1;STAT5A;STAT5B;YES1;PPBP;PTK2;RANBP10;GRB2;RGL2;NRP1;NRP2;AP2A1;PTPRJ;IDE;PTPRK;PCSK6;AP2A2;PCSK5;AKAP12;AKAP13;PPP3CA;PPP3CB;STBD1;RAC2;RAC3;RAC1;SPTAN1;CCR4;CTSD;GIT1;CCT2;SEC13;SYK;CCDC115;GAL;CTTN;KIF2A;ARHGEF3;ARHGEF1;TAX1BP3;ARHGEF2;ARHGEF7;DBN1;ARHGEF6;DYNC1I2;RAMP3;CAB39;GNAI3;XIAP;NEDD8;GNAI1;RELA;GNAI2;PAK1;PGRMC2;SAMM50;OS9;GPC5;CCT7;EPS15;PAK2;PAK4;BCAP31;DYNC1H1;GIT2;VEGFC;GCG;MYO9B;AP2B1;MIB1;PPP1CA;ITCH;KITLG;RIT1;XK;NEDD4;OTULIN;TACC3;ESYT1;PEBP1;IGF1R;KIF5B;CCRL2;RGS6;SH3GL1;PDGFRB;PDGFRA;TMOD3;ADAM10;DOK1;ADAM17;PPID;VCL;GNAZ;PSMD12;VCP;PSMD11;PSMD14;PSMD13;SEL1L;PSEN2;SLC1A5;RASGRP2;RTN4;TOR1AIP1;NCKIPSD;SPTA1;GRK3;GRK2;SHARPIN;GRK5;KIF3A;GRK6;TAC3;PDHA1;INHBA;COL5A1;GNAQ;GNB2;GNB1;COL5A2;GNAS;GNB4;TAB3;TAB2;GNB5;TAB1;MUC20;FBN1;UBE2M;PICALM;YWHAE;GSK3B;GSK3A;YWHAB;ATP2A3;ATP2A2;LAMC1;LMNB1;ADGRE5;YWHAQ;MLST8;YWHAG;YWHAH;ARHGEF10;ARHGEF12;ATP6AP1;NUP133;PDPK1;MMP3;ARHGEF18;PLA2G4A;IRAK4;MMP9;YWHAZ;EPN1;ALS2;GFOD1;VGF;ATP6V1B2;NDUFS3;LAMA5;RALA;RALB;LAMA2;TUBAL3;LAMA1;LAMA4;RAP1GDS1;ADD3;CBL;IL1RL1;ERLEC1;GNG2;GNG5;GNG7;GNG8;PTK2B;NUP43;EGF;LAMB2;LAMB1;MAPK14;S100B;TEC;ABHD17B;CARM1;KRAS;VIM;NCKAP1;VPS29;CYFIP1;ANKLE2;TRIO;WIPF1;SERPINE1;FNBP1L;WDR91;PIP4K2A;VPS35;PIP4K2B;PIP4K2C;PRKCB;PRKCD;PRKCA;SCRIB;DYNC1LI1;DYNC1LI2;DAAM1;WDR81;PARD3;PRKCQ;SEH1L;CTBP1;MAPKAP1;NEDD4L;VPS26A;NCSTN;PPP3R1;PLCG2;NCKAP1L;ST3GAL6;HMOX2;BRAP;NFATC1;CYLD;PPP5C;HNRNPF;GIPC1;HNRNPC;CDC42SE2;CDKN1A;ARPC1B;ARPC1A;CLTC;CLTB;CLTA;RACK1;EMD;NUDC;ANXA1;HSBP1;FCER2;PLCB3;PLCB4;ANGPTL3;GAS1;PLIN3;PLIN1;PLCB2;MGLL;GPS1;ADCY3;ADCY6;FGD3;FGD4;LMAN1;GPNMB;KIDINS220;NDE1;TUBB4B;TUBB4A;DEF6;SEPTIN7;DHRS4;WDR11;KTN1;ABI2;ABI1;LAMTOR2;LAMTOR1;NOTUM;LAMTOR4;LAMTOR3;PF4;LAMTOR5;DGKG;DGKE;DGKD;IRS1;DGKA;CTNND1;ITGA2B;IRS2;PPP1CB;ABHD12;PPP1CC;TUBB6;CDH1;GRAP2;CFL1;TUBB1;GRB10;USP8;MAP2K1;USP7;MAP2K2;TPM4;RALGAPA1;TPM3;USP4;F2R;FAM91A1;TEX2;DGKZ;ARMCX3;CLIP1;MADD;FKBP4;FKBP5;DGKH;NOTCH2;NOTCH3;NOTCH1;CUL5;CUL3;CUL1;ITPR1;ITPR2;PHB;KLC1;KNG1;KLC4;STIP1;DDRGK1;TBXA2R;PSAP;RAB6A;SRGAP2;RAB4A;RAB4B;TNK2;COPS4;NSFL1C;NBEA;CDK5;RHEB;COPS2;CPD;CDK2;NF1;PLXNB1;LAT;BCL2L1;EIF4G1;TUBA8;TRADD;BRK1;PTBP1;EFHD2;LBR;PRKG1;PLEKHG3;TRPC6;CHUK;VWF;TRAF2;SMC1A;RANGAP1;TRAF6;NUMB;EVL;DAGLB;SOS1;CRK;RNF31;HDAC5;PDHB;HDAC6;DNAJB1;P2RY1;CSK;WASF1;WASF2;WASF3;PTPN18;ANGPT1;ADRM1;PTPN11;CDC42BPB;PTPN12;CDC42BPA;MTOR;VAPA;VAPB;TNRC6B;APP;SPARC;RPS6KA3;GOLGA3;PPP2R1A;RPS6KA1;PDK3;GOLGA7;PDK2;PDK1;SKP1;PDHX;RRAGC;ZW10;TLN1;PFN1;TWF1;NLN;SCFD1;ATP6V0A2;FADD;SPTBN1;ATP6V0A1;PDE2A;GDF2;MEMO1;STAM;GNG12;GNG11;CCT6A;CCDC88A;CCDC88C;PDE3A;SH3KBP1;FAF2;CX3CL1;RPTOR;XPO1;HINT2;SH3PXD2A;C1QBP;TMED2;DLAT;TMED5;VAV3;STRADA;PRMT1;RHOG;TYK2;RHOF;VAV1;RHOA;UCHL5;STRAP;MAPRE1;ATP6V0C;RAB7A;WAS;CXCR4;RFNG;PPP2CA;PPP2CB;EMC3;CTNNA1;SHOC2;MTX1;PTGES3;ERBIN;RANBP9;MPP7;AXL;TRIP10;RAB9A;CTNNB1;GHRL;RAB9B;F2RL3;TJP2;STEAP3;SPPL2B;ARHGAP35;DOCK10;DOCK11;ARHGDIA;ARHGDIB;RALBP1;TSC2;OCRL;TSC1;ALDH3A2;HGS;TBL1XR1;ELMO1;STAM2;ATP6V1A;SUCNR1;LTBP4;ARHGAP18;ARHGAP17;LTBP2;LTBP3;NTS;STK4;LTBP1;STK3;ARHGAP21;ATP6V1H;MYH11;RIPK1;ATP6V1D;MARK3;MYH10;ATP6V1F;SMAD2;SMAD4;TGFB1;ARHGAP25;DIAPH1;ARHGAP32;DLG1;FER;DNMBP;DLG4;FES;FGFR4;FGFR3;FGFR2;FGFR1;DOCK5;ABCD3;B4GALT1;DOCK8;DOCK7;YBX1;CASP9;CASP8;PPP2R5E;CASP3;DBT;FLOT1;CASP2;FLOT2;GPSM3;PPP2R5A;PPP2R5D;PPP2R5C;ARAP1;CKAP5;DNM1;DNM2;DNM3;TGFBR3;ARHGAP10;RASA3;COL6A2;RASA1;AKT1S1;RASA2;MYH9;PDE5A;DOCK2;DOCK1;CAMK2B;RGS18;CAMK2D;RGS19;MOSPD2;THBS2;THBS1;UACA;THBS4;THBS3;GNA13;GNA14;GNA11;GNA12;MAPK1;STOM;NCAM1;BUB3;CAMK2G;CLASP1;MAPK3;CLASP2;BAD;LIMK1;HSPE1;RGS10;BAX,Signal Transduction
"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",1.62527e-10,2.320562,67.28921,ITSN2;CYFIP1;NCKAP1;ANKLE2;TRIO;WIPF1;ITSN1;FNBP1L;MYLK;GOLGA3;OPHN1;PPP2R1A;WDR91;ANKFY1;TMPO;PRKCB;ACTN1;PRKCD;PRKCA;SCRIB;BCR;DYNC1LI1;DYNC1LI2;MYL6;DAAM1;WDR81;CDC37;ZW10;BTK;PFN1;MYL9;TMEM87A;SEH1L;SHMT2;PIK3R4;TWF1;IQGAP1;PIK3R1;IQGAP2;KALRN;RHOT2;SCFD1;RHOT1;MYO6;NCKAP1L;HMOX2;SPTBN1;JAG1;STAM;PTK2;CCT6A;CCDC88A;GRB2;HNRNPC;FERMT2;CDC42SE2;ARPC1B;ARPC1A;CLTC;FAF2;ARHGAP1;ARHGAP5;OSBPL11;ARHGAP6;ARHGAP4;AKAP12;TUBA1C;AKAP13;HINT2;XPO1;SH3PXD2A;C1QBP;STBD1;RAC2;RAC3;RAC1;EMD;SPTAN1;GIT1;VAV3;CCT2;NUDC;SEC13;CCDC115;RHOG;RHOF;DYNLL1;GMIP;RHOA;VAV1;CTTN;KIF2A;ARHGEF3;PLIN3;ARHGEF1;TAX1BP3;ARHGEF2;ARHGEF7;MAPRE1;DBN1;PAFAH1B1;VAMP3;ARHGEF6;RAB7A;DYNC1I2;GPS1;WAS;FGD3;PPP2CA;FGD4;LMAN1;PPP2CB;PAK1;PGRMC2;SAMM50;MFN1;CTNNA1;EMC3;FLNA;MFN2;STX5;CCT7;YKT6;PAK2;PAK4;BCAP31;DYNC1H1;GIT2;MTX1;KIDINS220;USP9X;NDE1;ERBIN;MYO9B;TUBB4B;TUBB4A;DEF6;MPP7;KTN1;WDR11;LETM1;TMEM59;ABI2;TAOK3;TAOK1;ABI1;TRIP10;CTNNB1;RAB9A;GOPC;PKN2;LAMTOR1;PKN1;ESYT1;RAB9B;TJP2;STEAP3;MSI2;ARHGAP35;PPP1CB;DOCK10;PPP1CC;STK10;DOCK11;TUBB6;SLK;CDH1;ARHGDIA;KIF5B;CFL1;TUBB1;ARHGDIB;RALBP1;TPM4;RALGAPA1;TPM3;TMOD3;OCRL;FAM91A1;TEX2;TUBA4B;TUBA4A;ARMCX3;ALDH3A2;CLIP1;HGS;STAM2;VCP;CUL3;ARHGAP18;ARHGAP17;SLC1A5;KLC1;TOR1AIP1;NCKIPSD;KLC4;STIP1;ARHGAP21;DDRGK1;STK38;MYH11;SRGAP2;MYH10;ARPC4;ARPC5;ARHGAP25;COPS4;NSFL1C;ARHGAP32;DIAPH1;DNMBP;ARPC2;ARPC3;DLG4;COPS2;CPD;PIN1;PLXNB1;TUBA8;PICALM;ITGB1;YWHAE;DOCK5;HSP90AB1;ABCD3;YWHAB;DOCK8;SNAP23;DOCK7;BRK1;LMNB1;CAPZB;YWHAQ;PPP2R5E;DBT;EFHD2;NCK2;FLOT1;FLOT2;LBR;YWHAG;NCK1;YWHAH;ACTR3;DSP;PLEKHG3;ACTR2;ARHGEF10;HSP90AA1;PPP1R12A;ARHGEF12;ATP6AP1;NUP133;PDPK1;ARHGEF18;PPP2R5A;PPP2R5D;ARAP1;PPP2R5C;ARFGAP3;RANGAP1;CKAP5;YWHAZ;ARFGAP2;ARHGAP10;ALS2;GFOD1;NDUFS3;MYH9;DSG2;EVL;PIK3C3;PDE5A;SOS1;DOCK2;DOCK1;ROCK1;TUBAL3;ROCK2;SRC;RAP1GDS1;MOSPD2;ADD3;UACA;CDC42;GNA13;MAPK1;PTK2B;STOM;CSK;NUP43;BUB3;WASF1;WASF2;WASF3;CLASP1;CLASP2;MAPK3;PPP1R14A;NDUFA5;PCDH7;TXNL1;LIMK1;CDC42BPB;BAIAP2;CDC42BPA;HSPE1;MAPK14;VAPB;VIM,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3"
Signaling by Rho GTPases,5.413028e-10,2.282444,62.78121,ITSN2;CYFIP1;NCKAP1;ANKLE2;TRIO;WIPF1;ITSN1;FNBP1L;MYLK;GOLGA3;OPHN1;PPP2R1A;WDR91;ANKFY1;TMPO;PRKCB;ACTN1;PRKCD;PRKCA;SCRIB;BCR;DYNC1LI1;DYNC1LI2;MYL6;DAAM1;WDR81;CDC37;ZW10;BTK;PFN1;MYL9;TMEM87A;SEH1L;SHMT2;PIK3R4;TWF1;IQGAP1;PIK3R1;IQGAP2;KALRN;SCFD1;MYO6;NCKAP1L;HMOX2;SPTBN1;JAG1;STAM;PTK2;CCT6A;CCDC88A;GRB2;HNRNPC;FERMT2;CDC42SE2;ARPC1B;ARPC1A;CLTC;FAF2;ARHGAP1;ARHGAP5;OSBPL11;ARHGAP6;ARHGAP4;AKAP12;TUBA1C;AKAP13;HINT2;XPO1;SH3PXD2A;C1QBP;STBD1;RAC2;RAC3;RAC1;EMD;SPTAN1;GIT1;VAV3;CCT2;NUDC;SEC13;CCDC115;RHOG;RHOF;DYNLL1;GMIP;RHOA;VAV1;CTTN;KIF2A;ARHGEF3;ARHGEF1;TAX1BP3;ARHGEF2;ARHGEF7;MAPRE1;DBN1;PAFAH1B1;VAMP3;ARHGEF6;RAB7A;DYNC1I2;GPS1;WAS;FGD3;PPP2CA;FGD4;LMAN1;PPP2CB;PAK1;PGRMC2;SAMM50;CTNNA1;EMC3;FLNA;STX5;CCT7;YKT6;PAK2;PAK4;BCAP31;DYNC1H1;GIT2;MTX1;KIDINS220;USP9X;NDE1;ERBIN;MYO9B;TUBB4B;TUBB4A;DEF6;MPP7;KTN1;WDR11;LETM1;TMEM59;ABI2;TAOK3;TAOK1;ABI1;TRIP10;CTNNB1;GOPC;PKN2;LAMTOR1;PKN1;ESYT1;TJP2;STEAP3;MSI2;ARHGAP35;PPP1CB;DOCK10;PPP1CC;STK10;DOCK11;TUBB6;SLK;CDH1;ARHGDIA;KIF5B;CFL1;TUBB1;ARHGDIB;RALBP1;TPM4;RALGAPA1;TPM3;TMOD3;OCRL;FAM91A1;TEX2;TUBA4B;TUBA4A;ARMCX3;ALDH3A2;CLIP1;HGS;STAM2;VCP;CUL3;ARHGAP18;ARHGAP17;SLC1A5;KLC1;TOR1AIP1;NCKIPSD;KLC4;STIP1;ARHGAP21;DDRGK1;STK38;MYH11;SRGAP2;MYH10;ARPC4;ARPC5;ARHGAP25;COPS4;NSFL1C;ARHGAP32;DIAPH1;DNMBP;ARPC2;ARPC3;DLG4;COPS2;CPD;PIN1;PLXNB1;TUBA8;PICALM;ITGB1;YWHAE;DOCK5;HSP90AB1;ABCD3;YWHAB;DOCK8;SNAP23;DOCK7;BRK1;LMNB1;CAPZB;YWHAQ;PPP2R5E;DBT;EFHD2;NCK2;FLOT1;FLOT2;LBR;YWHAG;NCK1;YWHAH;ACTR3;DSP;PLEKHG3;ACTR2;ARHGEF10;HSP90AA1;PPP1R12A;ARHGEF12;ATP6AP1;NUP133;PDPK1;ARHGEF18;PPP2R5A;PPP2R5D;ARAP1;PPP2R5C;ARFGAP3;RANGAP1;CKAP5;YWHAZ;ARFGAP2;ARHGAP10;ALS2;GFOD1;NDUFS3;MYH9;DSG2;EVL;PIK3C3;PDE5A;SOS1;DOCK2;DOCK1;ROCK1;TUBAL3;ROCK2;SRC;MOSPD2;ADD3;UACA;CDC42;GNA13;MAPK1;PTK2B;STOM;CSK;NUP43;BUB3;WASF1;WASF2;WASF3;CLASP1;CLASP2;MAPK3;PPP1R14A;NDUFA5;PCDH7;TXNL1;LIMK1;CDC42BPB;BAIAP2;CDC42BPA;HSPE1;MAPK14;VAPB;VIM,Signaling by Rho GTPases
ER to Golgi Anterograde Transport,7.484411e-10,5.464108,147.3067,GOLGA2;TUBB6;TFG;TUBB1;NSF;COG8;COG7;TRAPPC2L;COG6;COG5;COG4;COG3;COG2;COG1;ANK1;TUBA4B;TUBA4A;DYNC1LI1;DYNC1LI2;TBC1D20;PREB;COPB2;COPA;TMED10;LMAN2L;SAR1B;COPB1;SPTA1;SCFD1;SPTBN1;SEC31A;ANKRD28;TRAPPC3;TRAPPC1;SEC16A;TRAPPC4;TRAPPC5;TRAPPC9;GOLGB1;COPE;TUBA8;ARF4;MCFD2;MIA2;MIA3;PPP6C;TUBA1C;ACTR1A;CAPZB;PPP6R1;PPP6R3;TMED3;TMED2;TMED7;SPTAN1;CTSC;SEC13;TMED9;COPZ2;ARFGAP3;DYNLL1;SPTB;ARFGAP1;BET1L;COPZ1;ARFGAP2;F5;F8;TRAPPC6B;GORASP1;SEC22B;ARF5;DCTN6;NAPA;DCTN5;DYNC1I2;RAB1A;SEC23A;DCTN2;STX17;TUBAL3;DCTN1;DCTN4;GOSR2;RAB1B;DCTN3;GOSR1;USO1;NAPG;LMAN1;LMAN2;STX5;YKT6;DYNC1H1;SEC24B;TRAPPC10;GBF1;TUBB4B;TUBB4A;ARCN1;SEC23IP;CAPZA1;CAPZA2;COPG2;COPG1;SEC24D;ACTR10;SEC24C;BET1,ER to Golgi Anterograde Transport
