,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
66,GO:0001325,formation of extrachromosomal circular DNA,GO:0001325,0.1359293,25.29337,78.86526,DNA2,Formation Of Extrachromosomal Circular DNA (GO:0001325)
67,GO:0051130,positive regulation of cellular component organization,GO:0051130,0.1359293,6.521164,20.68263,TGFB3;NRG1,Positive Regulation Of Cellular Component Organization (GO:0051130)
68,GO:1990253,cellular response to leucine starvation,GO:1990253,0.1359293,25.29337,78.86526,SESN3,Cellular Response To Leucine Starvation (GO:1990253)
69,GO:0035331,negative regulation of hippo signaling,GO:0035331,0.1383647,22.48073,67.78176,VGLL4,Negative Regulation Of Hippo Signaling (GO:0035331)
70,GO:0032965,regulation of collagen biosynthetic process,GO:0032965,0.1383647,22.48073,67.78176,TGFB3,Regulation Of Collagen Biosynthetic Process (GO:0032965)
71,GO:0022607,cellular component assembly,GO:0022607,0.1389716,3.845942,11.55952,NLGN2;REPS2;MDM4,Cellular Component Assembly (GO:0022607)
72,GO:0007200,phospholipase C-activating G protein-coupled receptor signaling pathway,GO:0007200,0.1417078,20.23061,59.11867,PLCE1,Phospholipase C-activating G Protein-Coupled Receptor Signaling Pathway (GO:0007200)
73,GO:0032570,response to progesterone,GO:0032570,0.1417078,20.23061,59.11867,TGFB3,Response To Progesterone (GO:0032570)
74,GO:0035025,positive regulation of Rho protein signal transduction,GO:0035025,0.1528301,16.85544,46.52211,ROBO1,Positive Regulation Of Rho Protein Signal Transduction (GO:0035025)
75,GO:0071705,nitrogen compound transport,GO:0071705,0.1586434,4.939759,13.30827,TXNIP;NRG1,Nitrogen Compound Transport (GO:0071705)
76,GO:0045740,positive regulation of DNA replication,GO:0045740,0.1586434,15.5573,41.82415,DNA2,Positive Regulation Of DNA Replication (GO:0045740)
77,GO:0044772,mitotic cell cycle phase transition,GO:0044772,0.1586434,5.000508,13.57538,ENSA;CDKN3,Mitotic Cell Cycle Phase Transition (GO:0044772)
78,GO:0098901,regulation of cardiac muscle cell action potential,GO:0098901,0.1646971,14.44461,37.8714,DSG2,Regulation Of Cardiac Muscle Cell Action Potential (GO:0098901)
79,GO:0090305,nucleic acid phosphodiester bond hydrolysis,GO:0090305,0.1683503,13.48027,34.50588,DNA2,Nucleic Acid Phosphodiester Bond Hydrolysis (GO:0090305)
80,GO:0071702,organic substance transport,GO:0071702,0.1683503,4.603933,11.85803,TXNIP;NRG1,Organic Substance Transport (GO:0071702)
81,GO:0042176,regulation of protein catabolic process,GO:0042176,0.1683503,4.603933,11.85803,MDM4;VGLL4,Regulation Of Protein Catabolic Process (GO:0042176)
82,GO:0043153,entrainment of circadian clock by photoperiod,GO:0043153,0.1729893,12.63648,31.61065,PER3,Entrainment Of Circadian Clock By Photoperiod (GO:0043153)
83,GO:0048706,embryonic skeletal system development,GO:0048706,0.1740829,11.89196,29.09737,COL1A1,Embryonic Skeletal System Development (GO:0048706)
84,GO:0045747,positive regulation of Notch signaling pathway,GO:0045747,0.1762582,11.23016,26.89816,ROBO1,Positive Regulation Of Notch Signaling Pathway (GO:0045747)
85,GO:0048522,positive regulation of cellular process,GO:0048522,0.1762582,2.496485,6.053392,EFNB2;TGFB3;RTKN2;NRG1,Positive Regulation Of Cellular Process (GO:0048522)
86,GO:0046546,development of primary male sexual characteristics,GO:0046546,0.1762582,11.23016,26.89816,MAMLD1,Development Of Primary Male Sexual Characteristics (GO:0046546)
87,GO:0048545,response to steroid hormone,GO:0048545,0.1788324,10.63802,24.96004,TGFB3,Response To Steroid Hormone (GO:0048545)
88,GO:0034504,protein localization to nucleus,GO:0034504,0.1808951,3.972492,9.26172,COL1A1;PRICKLE1,Protein Localization To Nucleus (GO:0034504)
89,GO:0051248,negative regulation of protein metabolic process,GO:0051248,0.1861659,3.786651,8.533111,ENC1;MDM4,Negative Regulation Of Protein Metabolic Process (GO:0051248)
90,GO:0140238,presynaptic endocytosis,GO:0140238,0.1861659,9.622935,21.70782,NLGN2,Presynaptic Endocytosis (GO:0140238)
91,GO:0014020,primary neural tube formation,GO:0014020,0.1861659,9.622935,21.70782,PRICKLE1,Primary Neural Tube Formation (GO:0014020)
92,GO:0051962,positive regulation of nervous system development,GO:0051962,0.2005275,8.417517,17.97363,NLGN2,Positive Regulation Of Nervous System Development (GO:0051962)
93,GO:0072331,signal transduction by p53 class mediator,GO:0072331,0.2049028,8.08,16.95555,MDM4,Signal Transduction By P53 Class Mediator (GO:0072331)
94,GO:0030838,positive regulation of actin filament polymerization,GO:0030838,0.2049028,8.08,16.95555,CDC42EP3,Positive Regulation Of Actin Filament Polymerization (GO:0030838)
95,GO:0019932,second-messenger-mediated signaling,GO:0019932,0.2062414,7.768446,16.02733,PLCE1,Second-Messenger-Mediated Signaling (GO:0019932)
96,GO:1901224,positive regulation of non-canonical NF-kappaB signal transduction,GO:1901224,0.2106911,7.47997,15.17817,RTKN2,Positive Regulation Of NIK/NF-kappaB Signaling (GO:1901224)
97,GO:0061041,regulation of wound healing,GO:0061041,0.215814,7.212099,14.39891,NRG1,Regulation Of Wound Healing (GO:0061041)
98,GO:0050954,sensory perception of mechanical stimulus,GO:0050954,0.2279131,6.512179,12.40747,COL1A1,Sensory Perception Of Mechanical Stimulus (GO:0050954)
99,GO:0030488,tRNA methylation,GO:0030488,0.2300114,6.308036,11.83956,DALRD3,tRNA Methylation (GO:0030488)
100,GO:0051496,positive regulation of stress fiber assembly,GO:0051496,0.2300114,6.308036,11.83956,TGFB3,Positive Regulation Of Stress Fiber Assembly (GO:0051496)
101,GO:0010466,negative regulation of peptidase activity,GO:0010466,0.2391047,5.765598,10.36127,NRG1,Negative Regulation Of Peptidase Activity (GO:0010466)
102,GO:0048015,phosphatidylinositol-mediated signaling,GO:0048015,0.2475788,5.452841,9.530501,PLCE1,Phosphatidylinositol-Mediated Signaling (GO:0048015)
103,GO:0043524,negative regulation of neuron apoptotic process,GO:0043524,0.2475788,5.452841,9.530501,TGFB3,Negative Regulation Of Neuron Apoptotic Process (GO:0043524)
104,GO:0050821,protein stabilization,GO:0050821,0.2694352,2.510545,4.059565,PER3;MDM4,Protein Stabilization (GO:0050821)
105,GO:1902905,positive regulation of supramolecular fiber organization,GO:1902905,0.3133591,3.471147,4.712659,CDC42EP3,Positive Regulation Of Supramolecular Fiber Organization (GO:1902905)
106,GO:0051170,import into nucleus,GO:0051170,0.3210478,3.354762,4.458581,PRICKLE1,Import Into Nucleus (GO:0051170)
107,GO:0030097,hemopoiesis,GO:0030097,0.3234179,3.299431,4.33914,RTKN2,Hemopoiesis (GO:0030097)
108,GO:0034249,negative regulation of amide metabolic process,GO:0034249,0.3472365,2.831848,3.366949,ENC1,Negative Regulation Of Amide Metabolic Process (GO:0034249)
109,GO:0007010,cytoskeleton organization,GO:0007010,0.3850726,2.390428,2.5173,PLCE1,Cytoskeleton Organization (GO:0007010)
