Protein_Group	Genes	WT_vs_Chr9TERRA_KO_logFC	WT_vs_Chr9TERRA_KO_pval	Removed?	Contaminant?
B2RS76	Cpb1	2.16567661855458	0.0012471377114856	No	No
P02088	Hbb-b1	3.49571507219405	0.0029213180263657	No	No
P17183	Eno2	3.75040861907048	0.0051547162694843	No	No
Q0P5V9	Slc45a4	1.86736703852132	9.75703238733529e-13	No	No
Q3TNL8	Itprip	4.05276784148798	0.0010517223887221	No	No
Q69ZS0	Pdzrn3	2.68724828903234	6.66870816533939e-06	No	No
Q6XZL8	Dot1l	1.85669458105613	0.0004361531411343	No	No
Q80TS8	Sel1l3	3.45170027818083	0.0074932282613753	No	No
Q8VD58	Evi2b	2.42563090433698	0.0075526147174661	No	No
Q9R0B9	Plod2	2.84835475465864	0.0058295542327766	No	No
B2RQC2	Usp42	-1.92376028484621	0.0078294325119958	No	No
P11260	Lire1	-1.32395619107403	0.004329533234873	No	No
P47877	Igfbp2	-2.6820973865895	0.0033018053865204	No	No
Q3U3C9	Gse1	-2.13168679834076	0.0028258972551238	No	No
Q3V132	Slc25a31	-5.2903152853883	8.92794746103779e-07	No	No
Q4VA36	Cenatac	-3.17796575603556	0.0005627801987748	No	No
Q4VAC9	Plekhg3	-2.35709023592364	0.0099860800798305	No	No
Q61554	Fbn1	-5.07673015290725	0.0011803743239683	No	No
Q8BPB5	Efemp1	-1.69188480951118	0.0003029732053935	No	No
Q8BRG6	Klhl24	-6.09045002941294	0.0069813759811379	No	No
Q8CE64	Znf276	-2.47448479294836	0.0052602607617166	No	No
Q9CVI2	Fam133b	-5.24465691006746	0.0099504962025146	No	No
Q9D8Y8	Ing5	-1.86089929107705	0.0008278479209381	No	No
Q9WU03	Spint2	-4.4573090303743	0.0001252923536801	No	No
