term,ES,NES,fdr,Gene %,Genes,description
Reactome_Pathways_2024__APC C-mediated Degradation of Cell Cycle Proteins,0.6753200017519505,2.271233325749199,0.0,29.50%,PSMB3;PSMA7;PSMB1;PSMC2;PSMD11;PSMC6;PSMC1;PSMC3;PSMA2;PSMC5;PSMA5;PSMA4;PSMA1;PSMB4;PSMD13;SKP1;PSMD1;PSMB5;PSMA6;PSMA3;PSMD7;PSMD6;PSMD14;PSMC4;PSMB2;PSMB6;PSMB7;PSMD8,Reactome_Pathways_2024__APC C-mediated Degradation of Cell Cycle Proteins
Reactome_Pathways_2024__APC C Cdc20 Mediated Degradation of Mitotic Proteins,0.6737441206508095,2.2553746204341003,0.0001675557417702,29.50%,PSMB3;PSMA7;PSMB1;PSMC2;PSMD11;PSMC6;PSMC1;PSMC3;PSMA2;PSMC5;PSMA5;PSMA4;PSMA1;PSMB4;PSMD13;PSMD1;PSMB5;PSMA6;PSMA3;PSMD7;PSMD6;PSMD14;PSMC4;PSMB2;PSMB6;PSMB7;PSMD8,Reactome_Pathways_2024__APC C Cdc20 Mediated Degradation of Mitotic Proteins
Reactome_Pathways_2024__Activation of APC C and APC C Cdc20 Mediated Degradation of Mitotic Proteins,0.6737441206508095,2.2553746204341003,0.0001675557417702,29.50%,PSMB3;PSMA7;PSMB1;PSMC2;PSMD11;PSMC6;PSMC1;PSMC3;PSMA2;PSMC5;PSMA5;PSMA4;PSMA1;PSMB4;PSMD13;PSMD1;PSMB5;PSMA6;PSMA3;PSMD7;PSMD6;PSMD14;PSMC4;PSMB2;PSMB6;PSMB7;PSMD8,Reactome_Pathways_2024__Activation of APC C and APC C Cdc20 Mediated Degradation of Mitotic Proteins
Reactome_Pathways_2024__APC Cdc20 Mediated Degradation of Cell Cycle Proteins Prior to Satisfation of the Checkpoint,0.6737441206508095,2.2553746204341003,0.0001675557417702,29.50%,PSMB3;PSMA7;PSMB1;PSMC2;PSMD11;PSMC6;PSMC1;PSMC3;PSMA2;PSMC5;PSMA5;PSMA4;PSMA1;PSMB4;PSMD13;PSMD1;PSMB5;PSMA6;PSMA3;PSMD7;PSMD6;PSMD14;PSMC4;PSMB2;PSMB6;PSMB7;PSMD8,Reactome_Pathways_2024__APC Cdc20 Mediated Degradation of Cell Cycle Proteins Prior to Satisfation of the Checkpoint
Reactome_Pathways_2024__APC C Cdh1 Mediated Degradation of Cdc20 and Other APC C Cdh1 Targets in Late Mitosis Early G1,0.6737441206508095,2.2553746204341003,0.0001675557417702,29.50%,PSMB3;PSMA7;PSMB1;PSMC2;PSMD11;PSMC6;PSMC1;PSMC3;PSMA2;PSMC5;PSMA5;PSMA4;PSMA1;PSMB4;PSMD13;PSMD1;PSMB5;PSMA6;PSMA3;PSMD7;PSMD6;PSMD14;PSMC4;PSMB2;PSMB6;PSMB7;PSMD8,Reactome_Pathways_2024__APC C Cdh1 Mediated Degradation of Cdc20 and Other APC C Cdh1 Targets in Late Mitosis Early G1
Reactome_Pathways_2024__APC C Cdc20 Mediated Degradation of Securin,0.6737441206508095,2.2553746204341003,0.0001675557417702,29.50%,PSMB3;PSMA7;PSMB1;PSMC2;PSMD11;PSMC6;PSMC1;PSMC3;PSMA2;PSMC5;PSMA5;PSMA4;PSMA1;PSMB4;PSMD13;PSMD1;PSMB5;PSMA6;PSMA3;PSMD7;PSMD6;PSMD14;PSMC4;PSMB2;PSMB6;PSMB7;PSMD8,Reactome_Pathways_2024__APC C Cdc20 Mediated Degradation of Securin
Reactome_Pathways_2024__ABC Transporter Disorders,0.6286878700811581,2.148988118913708,0.0015798112795476,29.50%,PSMB3;PSMA7;PSMB1;PSMC2;PSMD11;PSMC6;PSMC1;PSMC3;PSMA2;PSMC5;PSMA5;PSMA4;PSMA1;PSMB4;PSMD13;PSMD1;VCP;PSMB5;PSMA6;PSMA3;PSMD7;PSMD6;PSMD14;PSMC4;PSMB2;PSMB6;PSMB7;PSMD8,Reactome_Pathways_2024__ABC Transporter Disorders
Reactome_Pathways_2024__AUF1 (hnRNP D0) Binds and Destabilizes mRNA,0.632482870715423,2.131159154777888,0.0018850020949148,29.50%,PSMB3;PSMA7;PSMB1;PSMC2;PSMD11;PSMC6;PSMC1;PSMC3;PSMA2;PSMC5;PSMA5;PSMA4;PSMA1;PSMB4;PSMD13;PSMD1;PSMB5;PSMA6;PSMA3;PSMD7;PSMD6;PSMD14;PSMC4;PSMB2;PSMB6;PSMB7;PSMD8,Reactome_Pathways_2024__AUF1 (hnRNP D0) Binds and Destabilizes mRNA
Reactome_Pathways_2024__ABC-family Proteins Mediated Transport,0.5749723471154208,1.989900593299468,0.0235796625691161,27.08%,PSMB3;PSMA7;PSMB1;PSMC2;PSMD11;PSMC6;PSMC1;PSMC3;PSMA2;PSMC5;PSMA5;PSMA4;PSMA1;PSMB4;PSMD13;PSMD1;VCP;PSMB5;PSMA6;PSMA3;PSMD7;PSMD6;PSMD14;PSMC4;PSMB2;PSMB6;PSMB7,Reactome_Pathways_2024__ABC-family Proteins Mediated Transport
Reactome_Pathways_2024__AURKA Activation by TPX2,0.5988430226329386,1.857299467940844,0.1312679554096862,31.59%,MAPRE1;DCTN2;DCTN1;PPP2R1A;TUBB4A;ACTR1A;PRKAR2B;CKAP5;PAFAH1B1;DYNC1H1;TUBA4A;YWHAG;HSP90AA1;YWHAE;DCTN3,Reactome_Pathways_2024__AURKA Activation by TPX2
