term,fdr,Odds Ratio,Combined Score,Genes,description
Interferon Gamma Response,0.1095474,3.12967,18.69226,RNF31;CASP3;TNFAIP2;LYSMD2;TDRD7;PARP12;MYD88;PSMB10;WARS1;PFKP,Interferon Gamma Response
Glycolysis,0.2476193,2.265208,9.61178,GYS1;FUT8;CHPF;COL5A1;IGFBP3;CTH;PGM2;AK4;GUSB;PFKP;GNE,Glycolysis
IL-2/STAT5 Signaling,0.2476193,2.429046,9.858163,RABGAP1L;GPX4;SWAP70;CASP3;NCS1;IL3RA;DENND5A;SLC39A8;ETV4,IL-2/STAT5 Signaling
p53 Pathway,0.37639,2.121678,7.111938,LDHB;PTPRE;CDKN2B;RAD51C;ABHD4;STOM;FOXO3;RCHY1;SERPINB5,p53 Pathway
KRAS Signaling Up,0.7570403,2.033608,4.941873,BTC;RABGAP1L;TMEM158;IGFBP3;ANXA10;ETV4,KRAS Signaling Up
Interferon Alpha Response,0.7653074,2.290516,5.041494,RNF31;TDRD7;PARP12;WARS1,Interferon Alpha Response
Hypoxia,0.7653074,1.625563,3.021235,GYS1;COL5A1;IGFBP3;PGM2;AK4;FOXO3;PFKP,Hypoxia
TNF-alpha Signaling via NF-kB,0.7653074,1.701754,3.153769,DUSP4;PTPRE;TNFAIP2;DENND5A;PLPP3;RELB,TNF-alpha Signaling via NF-kB
KRAS Signaling Dn,0.7653074,2.270798,4.158861,FGGY;CAMK1D;MACROH2A2,KRAS Signaling Dn
Spermatogenesis,0.973624,1.785571,2.475761,HSPA1L;HSPA2;CHFR,Spermatogenesis
Apical Junction,0.973624,1.344735,1.504428,AKT3;FSCN1;NEXN;MYH10;CD99,Apical Junction
Pancreas Beta Cells,0.973624,2.325512,2.324872,AKT3,Pancreas Beta Cells
Epithelial Mesenchymal Transition,0.973624,1.255196,1.138616,COL5A1;WIPF1;IGFBP3;DPYSL3,Epithelial Mesenchymal Transition
Reactive Oxygen Species Pathway,0.973624,1.431235,1.247702,GPX4;PFKP,Reactive Oxygen Species Pathway
IL-6/JAK/STAT3 Signaling,0.973624,1.395292,1.17675,IL3RA;MYD88,IL-6/JAK/STAT3 Signaling
Allograft Rejection,0.973624,1.195672,0.9110822,BCAT1;PSMB10;WARS1,Allograft Rejection
Apoptosis,0.973624,1.138722,0.8512287,GPX1;GPX4;CASP3;CTH,Apoptosis
UV Response Dn,0.973624,1.138722,0.8512287,INPP4B;AKT3;PLPP3;LTBP1,UV Response Dn
Mitotic Spindle,0.973624,1.079044,0.79618,CLIP2;OPHN1;FSCN1;TUBGCP5;ARAP3;ATG4B;MYH10,Mitotic Spindle
Hedgehog Signaling,0.973624,1.549263,1.109223,OPHN1,Hedgehog Signaling
Androgen Response,0.973624,1.146134,0.809502,INPP4B;NGLY1;STK39,Androgen Response
Angiogenesis,0.973624,1.467552,0.998346,THBD,Angiogenesis
Apical Surface,0.973624,1.327477,0.8175657,PCSK9,Apical Surface
heme Metabolism,0.973624,1.02447,0.6247998,ACSL6;FOXO3;UBAC1;HTATIP2;ADD2,heme Metabolism
Myogenesis,0.9991096,0.9383303,0.4435289,SVIL;IGFBP3;MAPK12,Myogenesis
Xenobiotic Metabolism,0.9991096,0.8619344,0.3294271,BCAT1;XDH;PSMB10;PTGES,Xenobiotic Metabolism
UV Response Up,0.9991096,0.8340391,0.2993761,CDKN2B;CASP3;HSPA2,UV Response Up
mTORC1 Signaling,0.9991096,0.82621,0.2695138,CTH;AK4;BCAT1;PSPH;WARS1,mTORC1 Signaling
Coagulation,0.9991096,0.7832449,0.251387,THBD;USP11,Coagulation
TGF-beta Signaling,0.9991096,0.6783487,0.1742531,FNTA,TGF-beta Signaling
DNA Repair,0.9991096,0.6443451,0.1111623,GPX4;USP11;TYMS,DNA Repair
Cholesterol Homeostasis,0.9991096,0.4474893,0.0509101,GUSB,Cholesterol Homeostasis
Complement,0.9991096,0.5175385,0.05665195,CASP3;PCSK9,Complement
Bile Acid Metabolism,0.9991096,0.4017635,0.03518559,PAOX,Bile Acid Metabolism
Inflammatory Response,0.9991096,0.3795718,0.02866365,PTPRE,Inflammatory Response
Estrogen Response Early,0.9991096,0.4607684,0.03415679,SVIL;PTGES,Estrogen Response Early
Adipogenesis,0.9991096,0.5079035,0.03616936,PPP1R15B;GPX4;STOM,Adipogenesis
PI3K/AKT/mTOR  Signaling,0.9991096,0.3550328,0.02230098,MYD88,PI3K/AKT/mTOR  Signaling
Oxidative Phosphorylation,0.9991096,0.4438899,0.01703347,LDHB;MTRR;GPX4,Oxidative Phosphorylation
Estrogen Response Late,0.9991096,0.2418952,0.004114088,PTGES,Estrogen Response Late
Fatty Acid Metabolism,0.9991096,0.227714,0.003009872,PTPRG,Fatty Acid Metabolism
E2F Targets,0.9991096,0.1446208,0.0001657138,RAD51C,E2F Targets
Myc Targets V1,0.9991096,0.1393402,0.0001241192,TYMS,Myc Targets V1
