Protein_Group	Genes	Ctrl_OE_Y+_vs_Ctrl_OE_Y-_logFC	Ctrl_OE_Y+_vs_Ctrl_OE_Y-_pval	Removed?	is_contaminant
Q6EMK4	VASN	-2.56495483	1.84e-05	No	No
Q6PJG9	LRFN4	-3.448763966	3.58e-05	No	No
Q8IZC4	RTKN2	-1.853128468	0.004914024	No	No
Q8N441	FGFRL1	-1.459441235	1.7e-08	No	No
Q8NFH8	REPS2	-2.778315933	0.001679343	No	No
Q8NFZ4	NLGN2	-1.514274885	5.91e-05	No	No
Q92823	NRCAM	-1.380006387	1.27e-06	No	No
Q96BM1	ANKRD9	-2.794188757	0.000368891	No	No
Q96MT3	PRICKLE1	-1.171359548	0.006783599	No	No
Q96SD1	DCLRE1C	-1.113032956	0.008062907	No	No
Q99611	SEPHS2	-1.56919406	0.006107475	No	No
Q9BXI9	C1QTNF6	-2.248621621	0.007145028	No	No
Q9BY66	KDM5D	-2.116966349	1.77e-05	No	No
Q9H3M7	TXNIP	-1.482823267	0.000120758	No	No
Q9NP87	POLM	-4.089729897	0.001967212	No	No
Q9NZ53	PODXL2	-1.375162437	1.02e-13	No	No
Q9P212	PLCE1	-1.810028592	0.008654648	No	No
Q9UIF7	MUTYH	-1.192513407	0.005473307	No	No
Q9UKI2	CDC42EP3	-1.656723305	0.000208125	No	No
Q9UNN8	PROCR	-1.147908774	1.53e-05	No	No
Q9Y6N7	ROBO1	-1.200110141	2.5e-11	No	No
