,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
0,GO:0006357,regulation of transcription by RNA polymerase II,GO:0006357,0.009478437,3.233754,34.58013,KDM6B;EGR1;IL11;ZNF791;FST;LIF;NFATC2;KLF3;KLF2;FSTL3;KLF7;CCND1;BCL6;NFIL3;MYC;MAFF;FOSB;MAFK;ZBED6;ATF3;IER2;NFE2L2,Regulation Of Transcription By RNA Polymerase II (GO:0006357)
1,GO:2000050,regulation of non-canonical Wnt signaling pathway,GO:2000050,0.009478437,68.69444,708.4042,SFRP4;ZNRF3;WNT5B,Regulation Of Non-Canonical Wnt Signaling Pathway (GO:2000050)
2,GO:0090287,regulation of cellular response to growth factor stimulus,GO:0090287,0.009478437,68.69444,708.4042,SFRP4;FST;FSTL3,Regulation Of Cellular Response To Growth Factor Stimulus (GO:0090287)
3,GO:0045604,regulation of epidermal cell differentiation,GO:0045604,0.01381328,51.51042,496.9777,KLF7;SFRP4;MAFF,Regulation Of Epidermal Cell Differentiation (GO:0045604)
4,GO:0000122,negative regulation of transcription by RNA polymerase II,GO:0000122,0.02700071,3.989864,34.93016,KLF7;CCND1;BCL6;NFIL3;MYC;FST;MAFF;FOSB;MAFK;ZBED6;ATF3;KLF2,Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122)
5,GO:2000352,negative regulation of endothelial cell apoptotic process,GO:2000352,0.03149049,29.41667,243.112,IL11;TNFAIP3;NFE2L2,Negative Regulation Of Endothelial Cell Apoptotic Process (GO:2000352)
6,GO:0032926,negative regulation of activin receptor signaling pathway,GO:0032926,0.03922783,90.3653,678.2577,FST;FSTL3,Negative Regulation Of Activin Receptor Signaling Pathway (GO:0032926)
7,GO:0046888,negative regulation of hormone secretion,GO:0046888,0.03922783,90.3653,678.2577,IL11;LIF,Negative Regulation Of Hormone Secretion (GO:0046888)
8,GO:0043410,positive regulation of MAPK cascade,GO:0043410,0.03922783,6.854137,53.26733,IL11;GDF15;LIF;SPRY2;ROR1;CCL26,Positive Regulation Of MAPK Cascade (GO:0043410)
9,GO:2000147,positive regulation of cell motility,GO:2000147,0.03922783,6.533779,49.20647,SERPINB3;F10;WNT5B;SPHK1;SPRY2;CCL26,Positive Regulation Of Cell Motility (GO:2000147)
10,GO:1902533,positive regulation of intracellular signal transduction,GO:1902533,0.04040747,4.217595,31.1936,IL11;NDFIP2;F10;GDF15;SPHK1;LIF;SPRY2;PMAIP1;ROR1,Positive Regulation Of Intracellular Signal Transduction (GO:1902533)
11,GO:0071499,cellular response to laminar fluid shear stress,GO:0071499,0.04200271,67.76712,481.4955,KLF2;NFE2L2,Cellular Response To Laminar Fluid Shear Stress (GO:0071499)
12,GO:0045944,positive regulation of transcription by RNA polymerase II,GO:0045944,0.05065153,3.158251,21.4726,KDM6B;KLF7;EGR1;IL11;MYC;MAFF;LIF;ATF3;IER2;KLF2;FSTL3;NFE2L2,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)
13,GO:0030097,hemopoiesis,GO:0030097,0.05065153,9.558038,64.41471,FST;FUT10;KLF3;FSTL3,Hemopoiesis (GO:0030097)
14,GO:0043618,regulation of transcription from RNA polymerase II promoter in response to stress,GO:0043618,0.05904088,45.16895,293.1805,KLF2;NFE2L2,Regulation Of Transcription From RNA Polymerase II Promoter In Response To Stress (GO:0043618)
15,GO:0030856,regulation of epithelial cell differentiation,GO:0030856,0.06526692,38.71233,241.7319,KLF7;MAFF,Regulation Of Epithelial Cell Differentiation (GO:0030856)
16,GO:0051241,negative regulation of multicellular organismal process,GO:0051241,0.07517717,5.539683,32.18425,KLF7;GDF15;SPRY2;APOC3;ADM,Negative Regulation Of Multicellular Organismal Process (GO:0051241)
17,GO:0044843,cell cycle G1/S phase transition,GO:0044843,0.07517717,11.41435,66.03008,DBF4;CCND1;MYC,Cell Cycle G1/S Phase Transition (GO:0044843)
18,GO:0016525,negative regulation of angiogenesis,GO:0016525,0.07990292,10.8114,60.99391,SPRY2;THBS2;KLF2,Negative Regulation Of Angiogenesis (GO:0016525)
19,GO:0016101,diterpenoid metabolic process,GO:0016101,0.08828279,24.62516,135.2069,RDH10;DHRS3,Diterpenoid Metabolic Process (GO:0016101)
20,GO:0001934,positive regulation of protein phosphorylation,GO:0001934,0.08838219,4.259991,23.26752,IL11;CCND1;GDF15;SPHK1;LIF;SPRY2,Positive Regulation Of Protein Phosphorylation (GO:0001934)
21,GO:0030001,metal ion transport,GO:0030001,0.08838219,10.01728,54.50085,NDFIP2;SGK1;KCNJ2,Metal Ion Transport (GO:0030001)
22,GO:0019221,cytokine-mediated signaling pathway,GO:0019221,0.08853773,6.50406,35.22206,EGR1;IL11;UGCG;CCL26,Cytokine-Mediated Signaling Pathway (GO:0019221)
23,GO:0033138,positive regulation of peptidyl-serine phosphorylation,GO:0033138,0.09114575,9.549419,50.75497,IL11;LIF;SPRY2,Positive Regulation Of Peptidyl-Serine Phosphorylation (GO:0033138)
24,GO:0031396,regulation of protein ubiquitination,GO:0031396,0.09114575,6.28041,33.26996,NDFIP2;SPHK1;SPRY2;TNFAIP3,Regulation Of Protein Ubiquitination (GO:0031396)
25,GO:0023057,negative regulation of signaling,GO:0023057,0.1049833,19.34247,98.15138,IL11;LIF,Negative Regulation Of Signaling (GO:0023057)
26,GO:0051897,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,GO:0051897,0.1049833,8.733156,44.37199,F10;GDF15;SPRY2,Positive Regulation Of Protein Kinase B Signaling (GO:0051897)
27,GO:1901798,positive regulation of signal transduction by p53 class mediator,GO:1901798,0.1049833,19.34247,98.15138,MYC;PMAIP1,Positive Regulation Of Signal Transduction By P53 Class Mediator (GO:1901798)
28,GO:0044058,regulation of digestive system process,GO:0044058,0.117042,inf,inf,SGK1,Regulation Of Digestive System Process (GO:0044058)
29,GO:0048146,positive regulation of fibroblast proliferation,GO:0048146,0.1186069,16.92123,81.91839,MYC;SPHK1,Positive Regulation Of Fibroblast Proliferation (GO:0048146)
30,GO:0062013,positive regulation of small molecule metabolic process,GO:0062013,0.154019,13.53151,60.19575,PMAIP1;ADM,Positive Regulation Of Small Molecule Metabolic Process (GO:0062013)
31,GO:0002831,regulation of response to biotic stimulus,GO:0002831,0.154019,13.53151,60.19575,CD55;NFE2L2,Regulation Of Response To Biotic Stimulus (GO:0002831)
32,GO:0045444,fat cell differentiation,GO:0045444,0.1593046,6.752055,21.80337,IL11;WNT5B,Fat Cell Differentiation (GO:0045444)
33,GO:0090184,positive regulation of kidney development,GO:0090184,0.1593046,44.57207,156.6708,MYC,Positive Regulation Of Kidney Development (GO:0090184)
