Protein_Group,Genes,Protein_Names,Species,TaggedPOI_Treatment1_Avg_Peptide_Count,TaggedPOI_Treatment2_Avg_Peptide_Count,WT_Treatment1_Avg_Peptide_Count,WT_Treatment2_Avg_Peptide_Count,TaggedPOI_Treatment1_quantified_samples,TaggedPOI_Treatment2_quantified_samples,Intensity_Run1,Intensity_Run2,Intensity_Run3,Intensity_Run4,Intensity_Run5,Intensity_Run6,Intensity_Run7,Intensity_Run8,Intensity_Run1_log_transformed,Intensity_Run2_log_transformed,Intensity_Run3_log_transformed,Intensity_Run4_log_transformed,Intensity_Run5_log_transformed,Intensity_Run6_log_transformed,Intensity_Run7_log_transformed,Intensity_Run8_log_transformed,Intensity_Run1_normed,Intensity_Run2_normed,Intensity_Run3_normed,Intensity_Run4_normed,Intensity_Run5_normed,Intensity_Run6_normed,Intensity_Run7_normed,Intensity_Run8_normed,Intensity_Run1_with_imputed,Intensity_Run2_with_imputed,Intensity_Run3_with_imputed,Intensity_Run4_with_imputed,Intensity_Run5_with_imputed,Intensity_Run6_with_imputed,Intensity_Run7_with_imputed,Intensity_Run8_with_imputed,TaggedPOI_Treatment1_vs_TaggedPOI_Treatment2_logFC,TaggedPOI_Treatment1_vs_TaggedPOI_Treatment2_pval
P26309,CDC20,CDC20_YEAST,YEAST,13.5,0.25,6.25,1.75,4,1,1240880.03515625,4966739.99002075,2111323.68359375,6737164.29931641,0.0,63765.18359375,0.0,0.0,20.2429322157747,22.2438677926594,21.0097163421911,22.6837100521018,,15.9604812930846,,,20.1615053790667,22.0381438845257,20.8926655971465,22.4377666470495,,16.0252027283764,,,20.1615053790667,22.0381438845257,20.8926655971465,22.4377666470495,16.3745302201218,16.0252027283764,15.8847999236075,15.2377007079947,5.50196198192197,3.92778758878254e-06
P30620,PSO2,PSO2_YEAST,YEAST,13.0,5.25,6.75,3.25,4,4,1611558.92114258,2346608.52612305,8752088.14007568,12169336.4036865,205433.11328125,1431275.88916016,239075.17578125,172204.76171875,20.620025505898,21.1621457530992,23.0611958365463,23.536747163963,17.6483092194633,20.4488703584815,17.8671048109415,17.3937655103948,20.5370818181019,20.9664262240406,22.9327157509361,23.281554881569,17.7641661613323,20.5317926849072,18.0116176404924,17.5450991300678,20.5370818181019,20.9664262240406,22.9327157509361,23.281554881569,17.7641661613323,20.5317926849072,18.0116176404924,17.5450991300678,3.46627576446197,0.0032790497505197
P32383,PLC1,PLC1_YEAST,YEAST,24.0,8.75,10.75,6.0,4,4,8602559.1953125,11229158.3359375,10546815.5859375,14154907.8935547,1224191.8671875,1005850.921875,833673.03125,1474912.76953125,23.0363344836901,23.420746461044,23.3303041340574,23.7547990258223,20.2233982581937,19.9399850671028,19.6691221402576,20.4921982012996,22.9436712357792,23.2041381113503,23.2003247741968,23.4972425614995,20.3561600455841,20.0208438099904,19.8282100577096,20.6704895854743,22.9436712357792,23.2041381113503,23.2003247741968,23.4972425614995,20.3561600455841,20.0208438099904,19.8282100577096,20.6704895854743,2.99241829601684,1.39214092320249e-06
P32385,RNP1,RNP1_YEAST,YEAST,0.5,1.75,0.0,0.5,2,3,26505.021484375,35052.42578125,0.0,0.0,206074.311523438,0.0,242971.30859375,58990.669921875,14.6939780895768,15.0972266680501,,,17.6528051493888,,17.8904264368548,15.8481991726366,14.6348718226715,14.9575989512752,,,17.7686916059658,,18.0351278965271,15.986085666775,14.6348718226715,14.9575989512752,14.5874516456992,15.3339722901245,17.7686916059658,17.3402859341025,18.0351278965271,15.986085666775,-2.4040740984,0.0005685812536074
P32448,ASF2,ASF2_YEAST,YEAST,19.75,9.75,12.0,10.25,4,4,34227797.5341797,42949902.1699219,29329052.3457031,45224027.7333984,833422.734863281,8358030.35107422,6162529.0880127,4132202.24023438,25.0286651260379,25.3561515094489,24.8058271209783,25.430586151043,19.6686889301614,22.9947315669489,22.5550911205563,21.9784794343314,24.9279877633657,25.121643435926,24.6676272281921,25.1548603135985,19.797809183081,23.0879776291342,22.7375213504732,22.1697021368404,24.9279877633657,25.121643435926,24.6676272281921,25.1548603135985,19.797809183081,23.0879776291342,22.7375213504732,22.1697021368404,3.01977711038836,0.0016298157902351
P32781,AGA2,AGA2_YEAST,YEAST,0.75,0.0,0.0,0.0,3,0,5081212.0,1697774.5,0.0,6223994.0,0.0,0.0,0.0,0.0,22.276741227313,20.6952134208324,,22.5694092388748,,,,,22.1871334298374,20.5038123468699,,22.3247051166003,,,,,22.1871334298374,20.5038123468699,21.0465017722385,22.3247051166003,13.8190592998156,14.4413577923025,13.9950762949916,13.7775967707178,7.50726562692966,7.90597076082366e-08
P32791,FRE1,FRE1_YEAST,YEAST,23.5,1.0,10.5,18.75,4,3,20651847.1264648,24426903.2128906,20141083.0266113,30306531.9008789,0.0,145755.25,548894.75,166551.875,24.2997674880361,24.5419676378209,24.2636379262609,24.8531254323459,,17.1531883236434,19.0661700149058,17.345612070046,24.2020221032173,24.3149895986236,24.1284587143902,24.5836605925563,,17.2227463117611,19.2203811311838,17.4965267330289,24.2020221032173,24.3149895986236,24.1284587143902,24.5836605925563,18.3248400671542,17.2227463117611,19.2203811311838,17.4965267330289,6.24115919141488,3.1752554231582e-07
P34251,YKL107W,YKK7_YEAST,YEAST,2.75,20.5,5.75,11.0,4,4,69549.31640625,443576.036132812,274453.3671875,277124.59375,34336458.074707,19576081.168457,31572053.7553711,30391587.2514648,16.0857487142715,18.7588219015094,18.0662015138583,18.0801752246163,25.0332378922062,24.2225886526115,24.91214477492,24.8571686882004,16.0210440746511,18.5853296748187,17.9655498766404,17.8841446877919,25.1975751299101,24.3208138048041,25.1136393410346,25.0734372880133,16.0210440746511,18.5853296748187,17.9655498766404,17.8841446877919,25.1975751299101,24.3208138048041,25.1136393410346,25.0734372880133,-7.31234931246499,5.07351922467432e-07
P35209,SPT21,SPT21_YEAST,YEAST,4.0,0.0,2.25,0.25,4,0,92352.6938476562,108574.590820312,143925.453125,1505343.62548828,0.0,0.0,0.0,0.0,16.4948664235289,16.7283269902254,17.1349622287803,20.5216614185692,,,,,16.4285161151609,16.5736139323595,17.0394987745135,20.2991595758363,,,,,16.4285161151609,16.5736139323595,17.0394987745135,20.2991595758363,13.8190592998156,14.4413577923025,13.9950762949916,13.7775967707178,3.57692456001067,0.0019818756053059
P35736,YKL050C,YKF0_YEAST,YEAST,0.25,37.25,0.0,9.5,1,4,8148.3408203125,0.0,0.0,0.0,22728538.0395508,20998556.9455566,18425975.7634277,21292868.7734375,12.9922906097734,,,,24.4380015533421,24.3237868511971,24.1352376847142,24.3438670003988,12.94002935065,,,,24.5984312064127,24.4224223727601,24.3304484660135,24.5556696435818,12.94002935065,14.2873215459898,14.068025283217,14.4792964390406,24.5984312064127,24.4224223727601,24.3304484660135,24.5556696435818,-10.5330747674677,7.190358889277401e-10
P36025,YOR062C,YO062_YEAST,YEAST,8.25,0.0,4.0,0.5,4,0,3595392.05664062,5814650.34277344,2969144.93652344,5529769.21875,0.0,0.0,0.0,0.0,21.7777176660893,22.4712610088449,21.501616088415,22.3987878411201,,,,,21.6901171820602,22.2634340392494,21.3818248384132,22.1559336458392,,,,,21.6901171820602,22.2634340392494,21.3818248384132,22.1559336458392,13.8190592998156,14.4413577923025,13.9950762949916,13.7775967707178,7.86455488693361,1.2430112113916801e-09
P36155,YKR075C,YK55_YEAST,YEAST,5.75,0.25,1.5,1.25,4,1,2052026.84375,5140390.4375,2273793.953125,2082557.78515625,56967.61328125,0.0,0.0,0.0,20.9686181731208,22.2934465125668,21.1166700952021,20.9899250962244,15.7978543437809,,,,20.884272277488,22.0872640723057,20.9990234822137,20.7623462020267,15.9015634906234,,,,20.884272277488,22.0872640723057,20.9990234822137,20.7623462020267,15.9015634906234,16.8630787972296,16.4873132235455,16.1457843457222,4.83379154422835,5.6823688638145e-07
P38204,RRN10,RRN10_YEAST,YEAST,5.5,2.0,2.5,2.25,4,4,21649702.078125,18714649.3203125,7384705.32373047,20043280.328125,215614.453125,2222023.828125,157970.34765625,1442008.609375,24.367843836352,24.1576646791293,22.8161089227483,24.2566153067681,17.7180943628838,21.0834428570383,17.2692942524339,20.4596483474019,24.2698246156266,23.9342408917062,22.6889942818397,23.9936180038628,17.8344094275795,21.1689384418858,17.408971866864,20.6376565331394,24.2698246156266,23.9342408917062,22.6889942818397,23.9936180038628,17.8344094275795,21.1689384418858,17.408971866864,20.6376565331394,4.45917538089164,0.0008916171675531
P38280,YSW1,YSW1_YEAST,YEAST,4.75,0.0,1.5,0.75,4,0,520909.303710938,680931.15625,267992.106201172,219661.453125,0.0,0.0,0.0,0.0,18.9906726790389,19.3771494201671,18.0318309806716,17.7449221977959,,,,,18.9142830341629,19.197938549811,17.9313708308804,17.5525265721381,,,,,18.9142830341629,19.197938549811,17.9313708308804,17.5525265721381,13.8190592998156,14.4413577923025,13.9950762949916,13.7775967707178,4.39075720729123,2.73655281440221e-06
P38324,SLX1,SLX1_YEAST,YEAST,4.5,0.5,2.5,1.0,4,2,323273.806396484,341763.581542969,217417.044433594,582219.812011719,33748.73046875,63287.41796875,0.0,0.0,18.3023970907384,18.3826391455099,17.7301055194751,19.1512044073443,15.0425456126496,15.9496310887078,,,18.2287760222396,18.2126260703524,17.6313263628709,18.9435614595207,15.141296337772,16.0143085252762,,,18.2287760222396,18.2126260703524,17.6313263628709,18.9435614595207,15.141296337772,16.0143085252762,16.0528066747172,15.1168173127585,2.67276526611493,5.85689314152037e-05
P38740,YHL026C,YHC6_YEAST,YEAST,2.5,0.25,0.25,0.0,4,1,829741.4140625,2849115.828125,408697.53125,3301849.0,0.0,0.0,0.0,91478.953125,19.6623022702034,21.4420828435885,18.640674003178,21.6548427138236,,,,16.4811522353514,19.5832110071792,21.2437742975107,18.5368218261819,21.4200545887472,,,,16.6245457071483,19.5832110071792,21.2437742975107,18.5368218261819,21.4200545887472,16.5979388861996,16.950455711124,17.9860936610582,16.6245457071483,3.1562069385222,0.0013781314707563
P38994,MSS4,MSS4_YEAST,YEAST,64.75,43.0,40.5,25.75,4,4,150091332.490234,186718412.332031,156131422.151367,199709111.988281,23865672.1855469,30389507.1064453,19552796.5244141,29512587.4091797,27.1612654253686,27.4762889580629,27.2181856745054,27.5733249182223,24.5084336352171,24.8570699398992,24.2208716269039,24.8148270735872,27.0520097157214,27.2221726506764,27.0665458874623,27.2743668816655,24.669325658111,24.9578679806422,24.4167750331932,25.0307272822201,27.0520097157214,27.2221726506764,27.0665458874623,27.2743668816655,24.669325658111,24.9578679806422,24.4167750331932,25.0307272822201,2.38509979533979,2.10014455150815e-06
P39997,NPP2,NPP2_YEAST,YEAST,2.75,0.0,0.75,0.25,4,0,1195584.7265625,1815159.265625,1055804.0390625,233402.03515625,0.0,0.0,0.0,0.0,20.1892849413313,20.7916647079842,20.0099106596008,17.8324576151609,,,,,20.1080738998356,20.599371597802,19.8984300992336,17.6391129049592,,,,,20.1080738998356,20.599371597802,19.8984300992336,17.6391129049592,13.8190592998156,14.4413577923025,13.9950762949916,13.7775967707178,5.55297458600071,1.14493434956547e-05
P40077,DSE1,DSE1_YEAST,YEAST,5.5,0.25,1.75,0.5,4,1,912740.492919922,449626.916259766,183368.723754883,638210.718261719,0.0,0.0,32587.48828125,0.0,19.799845211103,18.7783688774159,17.484388061398,19.2836733122192,,,14.9920305385044,,19.7202006840324,18.6046958692031,17.386977862426,19.0745940978654,,,15.1132891742351,,19.7202006840324,18.6046958692031,17.386977862426,19.0745940978654,16.2583070328737,15.870547834977,15.1132891742351,15.0590582992337,3.12131654305185,0.0002597787924417
P40085,EMP65,TAPT1_YEAST,YEAST,21.5,8.75,12.75,8.25,4,4,12769038.7119141,23282828.1987305,14068954.6679688,21365264.0703125,4856583.94555664,637643.220703125,788840.291748047,653096.025390625,23.6061465833198,24.4727629793502,23.7460118036344,24.3487638127576,22.2115104679996,19.2823898957677,19.5893737168481,19.3169356027627,23.511191276319,24.2464249840937,23.6137164252398,24.0847674088551,22.3573237379912,19.3605820208667,19.7478166126001,19.4850016712634,23.511191276319,24.2464249840937,23.6137164252398,24.0847674088551,22.3573237379912,19.3605820208667,19.7478166126001,19.4850016712634,3.62634401294653,0.0004369971135249
P40167,SLZ1,SLZ1_YEAST,YEAST,0.0,2.75,0.0,0.5,0,4,0.0,0.0,0.0,0.0,7682760.02441406,1436517.61425781,2165143.77539062,878075.75,,,,,22.8731932602455,20.4541442523071,21.0460313989671,19.7439858782468,,,,,23.023350319993,20.5370879649286,21.216256042549,19.9157674771158,14.9029281529669,15.964771843242,15.1754197176142,16.383766099086,23.023350319993,20.5370879649286,21.216256042549,19.9157674771158,-5.56639399791931,2.46986030242511e-05
P40441,HXT12,HXT12_YEAST,YEAST,0.75,0.0,0.0,0.0,3,0,351371.03125,546146.3125,0.0,557820.375,0.0,0.0,0.0,0.0,18.4226357278357,19.0589279751074,,19.0894411057815,,,,,18.3485310015464,18.8826601972,,18.8824678137003,,,,,18.3485310015464,18.8826601972,18.3058829875136,18.8824678137003,13.8190592998156,14.4413577923025,13.9950762949916,13.7775967707178,4.5966129605332,4.80485349869049e-08
P43602,ROG3,ROG3_YEAST,YEAST,5.75,0.25,2.25,1.0,4,1,224532.555908203,134096.350097656,232458.158691406,574334.033691406,1796.45642089844,0.0,0.0,0.0,17.7765651169181,17.0329104442096,17.8266115361168,19.1315305294273,10.8109382229989,,,,17.7050591982313,16.8753804257732,17.7272947187005,18.9241008915303,10.8819094546153,,,,17.7050591982313,16.8753804257732,17.7272947187005,18.9241008915303,10.8819094546153,13.4493982427197,13.3594249647796,10.9388177957219,5.65057119409969,4.5102530252444e-05
P46993,ASG7,ASG7_YEAST,YEAST,5.0,0.0,0.0,0.0,4,0,617000.494384766,1238564.01757812,359147.936035156,905480.111572266,0.0,0.0,0.0,0.0,19.234912119802,20.2402370083207,18.4542186990482,19.7883234278694,,,,,19.1575400260966,20.053043814326,18.3514053143857,19.5737726496701,,,,,19.1575400260966,20.053043814326,18.3514053143857,19.5737726496701,13.8190592998156,14.4413577923025,13.9950762949916,13.7775967707178,5.27566791166271,4.05313761324796e-07
P47043,ZAP1,ZAP1_YEAST,YEAST,3.0,0.5,0.5,0.0,4,2,256122.181640625,2469855.42773438,77012.9453125,89593.55078125,9445.5625,0.0,9674.865234375,0.0,17.9664726783958,21.235995165873,16.2328133522193,16.4511072659531,13.2054209988826,,13.2400258500997,,17.8942028599026,21.0395926355508,16.1423760104627,16.2727395594106,13.2921114389693,,13.3471139104861,,17.8942028599026,21.0395926355508,16.1423760104627,16.2727395594106,13.2921114389693,13.4989616054649,13.3471139104861,13.4044003456436,4.45158094119068,0.0017764424485917
P47180,PGU1,PGLR_YEAST,YEAST,2.0,0.0,0.0,0.0,3,0,158242.954711914,0.0,3545542.48852539,7506925.75244141,0.0,0.0,0.0,0.0,17.2717817438949,,21.7575749543708,22.8397907833569,,,,,17.2023063073956,,21.6363576891162,22.5921551054612,,,,,17.2023063073956,22.2350780653304,21.6363576891162,22.5921551054612,13.8190592998156,14.4413577923025,13.9950762949916,13.7775967707178,6.908201752369,0.0001894196575346
P50091,PEX21,PEX21_YEAST,YEAST,1.5,0.25,1.0,0.0,3,1,489551.6796875,1700580.82861328,0.0,974324.0,0.0,0.0,0.0,2243.32934570312,18.9011016408916,20.6975961483004,,19.8940420778172,,,,11.1314257243161,18.825072293932,20.5061730375226,,19.6783450671592,,,,11.2282741580825,18.825072293932,20.5061730375226,19.2545159885189,19.6783450671592,13.5395180295858,13.7565063324007,13.5984957459993,11.2282741580825,6.53532803026604,4.30615279948153e-06
P53286,BTN2,BTN2_YEAST,YEAST,3.25,0.0,0.75,1.0,4,0,1514850.54541016,4167955.29467773,709104.2421875,694128.04296875,0.0,0.0,0.0,0.0,20.5307440342887,21.9909083727341,19.4356382015241,19.4048422898586,,,,,20.4481594796325,21.787523976818,19.3273570665076,19.1944493260838,,,,,20.4481594796325,21.787523976818,19.3273570665076,19.1944493260838,13.8190592998156,14.4413577923025,13.9950762949916,13.7775967707178,6.1810999228036,2.77940843653178e-06
P53874,UBP10,UBP10_YEAST,YEAST,46.75,34.25,36.25,31.75,4,4,1747559748.33105,1961147848.25635,1551237223.46875,2072408330.92578,29900935.234375,39516707.8398438,30972501.6777344,32135097.8300781,30.7026946355654,30.8690511564239,30.5307721818509,30.9486611422242,24.8336872736146,25.2359594243687,24.8844845797491,24.9376465286431,30.5791935895738,30.5835566595373,30.3606770900148,30.6131067251714,24.9967145090893,25.3382939019397,25.0857554244991,25.1546153220335,30.5791935895738,30.5835566595373,30.3606770900148,30.6131067251714,24.9967145090893,25.3382939019397,25.0857554244991,25.1546153220335,5.39028872668391,9.29023738153807e-10
Q03002,FRK1,FRK1_YEAST,YEAST,43.25,5.75,27.5,15.25,4,4,237730719.655762,258689687.41919,303186872.182129,428862726.033691,1706395.76367188,1682855.453125,808362.6796875,1030143.921875,27.8247531000378,27.9466473016962,28.1756320460915,28.6759406908262,20.7025208584597,20.6824798327327,19.6246431916609,19.9744144803931,27.7128285229574,27.6881808535169,28.018658069414,28.3650277722437,20.8384279714762,20.7663494702196,19.783371354201,20.1482009122247,27.7128285229574,27.6881808535169,28.018658069414,28.3650277722437,20.8384279714762,20.7663494702196,19.783371354201,20.1482009122247,7.56208637750264,4.09983653779712e-09
Q03018,ESP1,ESP1_YEAST,YEAST,20.25,1.75,8.0,2.75,4,3,1519908.3079834,2006835.00268555,1140664.95800781,3293003.01342773,0.0,114334.2109375,44146.3989257812,3882.99072265625,20.5355528616722,20.936490575864,20.1214436673472,21.6509724014686,,16.8028976239649,15.4300081398739,11.9229525449876,20.452948963593,20.7428580338969,20.0093417267842,21.4162262394484,,16.8710351463437,15.5548092287957,12.0266876197616,20.452948963593,20.7428580338969,20.0093417267842,21.4162262394484,14.9701278105078,16.8710351463437,15.5548092287957,12.0266876197616,5.7996787895784,0.0002016719101752
Q04005,ATC1,LIC4_YEAST,YEAST,7.75,0.0,3.25,0.25,4,0,1453424.12841797,835646.418457031,257979.599609375,1345528.15039062,0.0,0.0,0.0,0.0,20.4710243312613,19.6725331078396,17.9768974598294,20.3597411438804,,,,,20.388679998054,19.4905903615709,17.8767433593649,20.1389948880251,,,,,20.388679998054,19.4905903615709,17.8767433593649,20.1389948880251,13.8190592998156,14.4413577923025,13.9950762949916,13.7775967707178,5.46547961229689,4.73268297720112e-06
Q04487,SHH3,SHH3_YEAST,YEAST,1.0,12.0,1.75,2.75,3,4,0.0,290596.4375,270417.0390625,95768.2578125,45063664.8339844,15082629.6953125,38154486.1708984,34371356.6138916,,18.1486574911289,18.0448265335883,16.5472599365039,25.4254613107368,23.8463846523429,25.1853493620576,25.0347034592301,,17.9808084110473,17.9442939820985,16.3678497146434,25.5923734016595,23.9430842576291,25.3890536632329,25.2525166917738,18.0329584854711,17.9808084110473,17.9442939820985,16.3678497146434,25.5923734016595,23.9430842576291,25.3890536632329,25.2525166917738,-7.46277935525878,2.63955990865838e-07
Q05164,HPF1,HPF1_YEAST,YEAST,1.0,0.0,0.25,0.0,3,0,0.0,1139015.25,519652.875,729277.53515625,0.0,0.0,0.0,0.0,,20.1193556323949,18.9871887078001,19.4761084280778,,,,,,19.9332804179399,18.881406004771,19.2649427760321,,,,,19.0463726694089,19.9332804179399,18.881406004771,19.2649427760321,13.8190592998156,14.4413577923025,13.9950762949916,13.7775967707178,5.27322792758109,4.97373242372577e-08
Q06098,ISR1,ISR1_YEAST,YEAST,16.0,0.5,5.5,1.75,4,1,3435817.38427734,4080591.78564453,3282771.89086914,4718181.13183594,0.0,0.0,0.0,26729.5610351562,21.712221927745,21.9603469627717,21.6464830745365,22.169799374291,,,,14.7061485247397,21.6248848991647,21.7572452161122,21.5258847318362,21.929427938802,,,,14.8340986621822,21.6248848991647,21.7572452161122,21.5258847318362,21.929427938802,15.7739325890163,16.9420269643001,15.5778175838525,14.8340986621822,5.92739174664101,3.75481972848091e-07
Q06163,EST2,TERT_YEAST,YEAST,16.75,0.75,0.75,0.25,4,2,2224469.2890625,3747930.06005859,3925881.82373047,3830065.73046875,42347.984375,39855.1689453125,0.0,0.0,21.0850297501831,21.8376626005101,21.9045853150055,21.8689377207975,15.3700056831944,15.2824792236692,,,21.000215591041,21.6356955084308,21.7825490157401,21.6318283151679,15.4709061055986,15.344451289048,,,21.000215591041,21.6356955084308,21.7825490157401,21.6318283151679,15.4709061055986,15.344451289048,15.7881532029903,15.9297651960375,5.87925315917635,6.49018379145169e-09
Q06164,MMS22,MMS22_YEAST,YEAST,4.25,0.0,0.5,0.5,4,0,33504.8894042969,193206.464111328,333799.098632812,803845.415039062,0.0,0.0,0.0,0.0,15.0320840245113,17.5597838376858,18.3486205333922,19.6165585624092,,,,,14.9716177324644,17.397380995215,18.2463954643339,19.403870109014,,,,,14.9716177324644,17.397380995215,18.2463954643339,19.403870109014,13.8190592998156,14.4413577923025,13.9950762949916,13.7775967707178,3.49654353579995,0.0026440061048813
