Protein_Group,Genes,Protein_Names,Species,TaggedPOI_Treatment1_Avg_Peptide_Count,TaggedPOI_Treatment2_Avg_Peptide_Count,WT_Treatment1_Avg_Peptide_Count,WT_Treatment2_Avg_Peptide_Count,TaggedPOI_Treatment1_quantified_samples,TaggedPOI_Treatment2_quantified_samples,Intensity_Run1,Intensity_Run2,Intensity_Run3,Intensity_Run4,Intensity_Run5,Intensity_Run6,Intensity_Run7,Intensity_Run8,Intensity_Run1_log_transformed,Intensity_Run2_log_transformed,Intensity_Run3_log_transformed,Intensity_Run4_log_transformed,Intensity_Run5_log_transformed,Intensity_Run6_log_transformed,Intensity_Run7_log_transformed,Intensity_Run8_log_transformed,Intensity_Run1_normed,Intensity_Run2_normed,Intensity_Run3_normed,Intensity_Run4_normed,Intensity_Run5_normed,Intensity_Run6_normed,Intensity_Run7_normed,Intensity_Run8_normed,Intensity_Run1_with_imputed,Intensity_Run2_with_imputed,Intensity_Run3_with_imputed,Intensity_Run4_with_imputed,Intensity_Run5_with_imputed,Intensity_Run6_with_imputed,Intensity_Run7_with_imputed,Intensity_Run8_with_imputed,TaggedPOI_Treatment1_vs_TaggedPOI_Treatment2_logFC,TaggedPOI_Treatment1_vs_TaggedPOI_Treatment2_pval
CONT_P01044,KNG1,CONT_KNG1_BOVIN,BOVIN,7.75,4.75,6.75,6.0,4,4,63538498.1845703,1883372.53808594,46513189.6052246,74221156.84375,122589.997558594,271244.690917969,128963.573242188,94616.2392578125,25.9211276546835,20.8448869679433,25.4711365391388,26.1453271519047,16.903481744972,18.0492353743487,16.9766040972628,16.5298001982734,25.8168603772789,20.6521016281084,25.3292300297656,25.8618518839183,17.0144490720716,18.1224269277797,17.1139143733383,16.6736169293303,25.8168603772789,20.6521016281084,25.3292300297656,25.8618518839183,17.0144490720716,18.1224269277797,17.1139143733383,16.6736169293303,7.18390915413783,0.000173890846472
D6VTK4,STE2,STE2_YEAST,YEAST,12.0,0.25,0.0,0.0,4,1,47403786.4746094,87524573.84375,46884613.8203125,62200343.3164062,0.0,744042.9375,0.0,0.0,25.4984989661613,26.3831847964151,25.4826112136678,25.890419207582,,19.5050263537417,,,25.3959317051792,26.1391781364257,25.340640775816,25.6097077259277,,19.5841212931635,,,25.3959317051792,26.1391781364257,25.340640775816,25.6097077259277,19.8287460138932,19.5841212931635,19.0080563534622,19.1158210113101,6.23717841787991,1.02723056300913e-08
P07249,ARG80,ARGR1_YEAST,YEAST,3.25,0.25,1.5,1.0,4,1,1243426.58886719,56831.013671875,48694.5673828125,2105599.71289062,0.0,808.066955566406,0.0,0.0,20.2458899035749,15.7943908279379,15.5714732063322,21.0057997667911,,9.65833102787749,,,20.1644511696201,15.6483153415161,15.4847203672858,20.7780487547818,,9.69749657903905,,,20.1644511696201,15.6483153415161,15.4847203672858,20.7780487547818,11.8861244873796,9.69749657903905,11.9678262405016,12.0307173618255,6.62334274111452,0.0008968466872812
P0CD91,AQY1,AQY1_YEAST,YEAST,1.0,2.0,1.0,0.5,4,4,54687.38671875,126585.5078125,49125.9296875,46703.5703125,391800.609375,338617.8125,301090.375,433915.625,15.738920502939,16.9497527211951,15.5841970895742,15.5112452223163,18.5797601158953,18.3692983405513,18.1998370643934,18.7270550119723,15.6756109736626,16.7929917925559,15.4973733623736,15.3430677743673,18.7017318107993,18.4437877830733,18.3470411010502,18.8899888527834,15.6756109736626,16.7929917925559,15.4973733623736,15.3430677743673,18.7017318107993,18.4437877830733,18.3470411010502,18.8899888527834,-2.76837641118669,3.10963904831095e-05
P0CY11,HMRA1,HMRA1_YEAST,YEAST,3.75,1.75,0.0,0.0,4,4,456079.772949219,602298.89453125,706078.943359375,1049233.23925781,207041.25,166754.434082031,162003.833984375,110535.404296875,18.7989266628019,19.2001200854153,19.4294699678851,20.0009039867221,17.659558707097,17.3473655983241,17.3056684307862,16.7541490107741,18.7233083128839,19.0225464827745,19.3212231977468,19.7840483480581,17.7754894991699,17.417710995774,17.4456402470745,16.8999176778764,18.7233083128839,19.0225464827745,19.3212231977468,19.7840483480581,17.7754894991699,17.417710995774,17.4456402470745,16.8999176778764,1.8280919803921,0.0002210780259429
P12630,BAR1,BAR1_YEAST,YEAST,9.5,0.0,0.0,0.25,4,0,8254238.92480469,6477429.40332031,1615386.61279297,25896410.6367188,0.0,0.0,0.0,0.0,22.9767037681055,22.6269899560654,20.62344805784,24.6262488117195,,,,,22.8842803836931,22.417722716822,20.508549316646,24.3592438344689,,,,,22.8842803836931,22.417722716822,20.508549316646,24.3592438344689,13.8190592998156,14.4413577923025,13.9950762949916,13.7775967707178,8.53417652345064,1.52558925268581e-06
P12689,REV1,REV1_YEAST,YEAST,32.75,4.75,15.5,3.5,4,4,30877336.9326172,37173249.8242188,26660242.140625,31488187.6571045,1266503.78637695,768217.204833984,155789.693359375,503365.62109375,24.8800449945448,25.1477614837089,24.6681865479202,24.908307387917,20.2724199595045,19.551154748968,17.2492402660446,18.9412471609968,24.7799654537222,24.9151807193622,24.5307534875539,24.6382442492592,20.405503562675,19.6304367438984,17.3887556796958,19.1060445702916,24.7799654537222,24.9151807193622,24.5307534875539,24.6382442492592,20.405503562675,19.6304367438984,17.3887556796958,19.1060445702916,5.58335083833419,7.99894910339355e-06
P12866,STE6,STE6_YEAST,YEAST,48.25,2.5,0.75,0.0,4,4,60219572.7906494,111489274.887695,85296965.9227295,92900489.6713867,173696.329833984,103210.859375,301545.951171875,328589.30078125,25.8437291375515,26.7323296906745,26.3459910889194,26.4691828651749,17.4062077449719,16.6552352469639,18.202018338839,18.3259259797974,25.7397731943127,26.4850939406356,26.1992105310256,26.1821962590219,17.5204753483888,16.7227739828272,18.3492400180934,18.4853698167702,25.7397731943127,26.4850939406356,26.1992105310256,26.1821962590219,17.5204753483888,16.7227739828272,18.3492400180934,18.4853698167702,8.38210368972901,2.015018425101e-08
P13090,ATR1,ATR1_YEAST,YEAST,3.5,0.0,2.0,0.25,4,0,615244.82421875,1887017.6875,1403792.72558594,1307301.8046875,0.0,0.0,0.0,0.0,19.2308010904191,20.847676515076,20.4208985022282,20.3181608105817,,,,,19.1534455332567,20.6548653759267,20.3071282187443,20.097865380836,,,,,19.1534455332567,20.6548653759267,20.3071282187443,20.097865380836,13.8190592998156,14.4413577923025,13.9950762949916,13.7775967707178,6.04505358773404,7.30441082648852e-08
P24870,CLB3,CG23_YEAST,YEAST,5.5,0.0,2.25,0.25,4,0,504138.640869141,1216705.39233398,776899.156494141,1135454.58984375,0.0,0.0,0.0,0.0,18.9434610117117,20.2145484518607,19.5673678197009,20.1148385789205,,,,,18.8672612749323,20.027592840209,19.4583527837739,19.8967476281539,,,,,18.8672612749323,20.027592840209,19.4583527837739,19.8967476281539,13.8190592998156,14.4413577923025,13.9950762949916,13.7775967707178,5.55421609231041,5.46255857168989e-08
