term,fdr,Odds Ratio,Combined Score,Genes,description
SORAFENIB TOSYLATE,0.41326,3.476471,4.564644,ATXN2,SORAFENIB TOSYLATE
NORTRIPTYLINE,0.4384721,3.159942,3.916441,ATXN2,NORTRIPTYLINE
CI 1040,0.4494554,2.896168,3.396331,MAP3K2,CI 1040
PRAVASTATIN,0.4494554,2.896168,3.396331,MTTP,PRAVASTATIN
DISULFIRAM,0.4494554,2.896168,3.396331,CBX1,DISULFIRAM
INFLIXIMAB,0.452834,2.672974,2.971982,HLA-DQB1,INFLIXIMAB
PREDNISONE,0.452834,2.672974,2.971982,BMP7,PREDNISONE
TRASTUZUMAB,0.452834,2.672974,2.971982,EPCAM,TRASTUZUMAB
MENADIONE,0.452834,2.672974,2.971982,ATXN2,MENADIONE
PREDNISOLONE,0.4726748,2.481665,2.620832,RPS19,PREDNISOLONE
CYTARABINE,0.4851635,2.315865,2.326707,BMP7,CYTARABINE
CAMPTOTHECIN,0.4851635,2.315865,2.326707,ATXN2,CAMPTOTHECIN
IL 2,0.5025076,2.170789,2.077737,NOP2,IL 2
HALOPERIDOL,0.5549604,1.827188,1.522883,UGT2B7,HALOPERIDOL
THALIDOMIDE,0.5549604,1.827188,1.522883,RPL13,THALIDOMIDE
ETOPOSIDE,0.5684387,1.735561,1.384083,SF3B1,ETOPOSIDE
INSULIN,0.581044,1.652661,1.262165,NOP2,INSULIN
SUNITINIB,0.5860081,1.577297,1.154507,EWSR1,SUNITINIB
IRINOTECAN,0.5860081,1.577297,1.154507,RAD50,IRINOTECAN
CLOZAPINE,0.6468676,1.333813,0.829253,CBX1,CLOZAPINE
ERLOTINIB,0.6702385,1.238159,0.7118477,PKN2,ERLOTINIB
PAZOPANIB,0.6773068,1.195279,0.6613008,EWSR1,PAZOPANIB
VINCRISTINE,0.7028371,1.082721,0.5351678,BMP7,VINCRISTINE
ASPIRIN,0.7028371,1.082721,0.5351678,HLA-DQB1,ASPIRIN
DAUNORUBICIN,0.7318431,0.9894576,0.4383581,BMP7,DAUNORUBICIN
SOTRASTAURIN,0.7354454,0.9618241,0.4111061,PKN2,SOTRASTAURIN
ENTRECTINIB,0.751732,0.8874263,0.3411855,PKN2,ENTRECTINIB
DOCETAXEL,0.751732,0.8874263,0.3411855,RPL13,DOCETAXEL
TOZASERTIB,0.7737664,0.8043776,0.2694318,PKN2,TOZASERTIB
DOXORUBICIN,0.7737664,0.8043776,0.2694318,BMP7,DOXORUBICIN
DASATINIB,0.8141088,0.7052275,0.1932186,PKN2,DASATINIB
DOVITINIB,0.8269153,0.6642328,0.1649436,PKN2,DOVITINIB
CISPLATIN,0.8377663,0.6277103,0.1414449,CBX1,CISPLATIN
RG 1530,0.8412529,0.6054977,0.1279594,PKN2,RG 1530
CYC 116,0.8688,0.5386865,0.09122788,PKN2,CYC 116
PF 562271,0.869339,0.5066845,0.07574977,PKN2,PF 562271
ILORASERTIB,0.869339,0.5066845,0.07574977,PKN2,ILORASERTIB
CENISERTIB,0.8762337,0.4782383,0.063186,PKN2,CENISERTIB
