term,fdr,Odds Ratio,Combined Score,Genes,description
Epithelial Mesenchymal Transition,0.2575146,7.322182,24.53562,MAGEE1;FSTL1,Epithelial Mesenchymal Transition
TNF-alpha Signaling via NF-kB,0.2575146,7.125664,23.53314,DUSP1;PLK2,TNF-alpha Signaling via NF-kB
Angiogenesis,0.2644805,18.60256,53.39741,FSTL1,Angiogenesis
Reactive Oxygen Species Pathway,0.3609205,9.748077,22.14627,SELENOS,Reactive Oxygen Species Pathway
Cholesterol Homeostasis,0.3635849,6.078125,11.19024,CXCL16,Cholesterol Homeostasis
Inflammatory Response,0.3635849,5.181026,8.799418,SELENOS,Inflammatory Response
UV Response Dn,0.3635849,3.552929,4.869438,DUSP1,UV Response Dn
UV Response Up,0.3635849,3.336207,4.39514,CYP1A1,UV Response Up
Fatty Acid Metabolism,0.3635849,3.196758,4.09715,CYP1A1,Fatty Acid Metabolism
Xenobiotic Metabolism,0.3635849,3.144153,3.986262,CYP1A1,Xenobiotic Metabolism
Hypoxia,0.3635849,2.996124,3.678873,DUSP1,Hypoxia
p53 Pathway,0.3635849,2.777809,3.238628,PLK2,p53 Pathway
G2-M Checkpoint,0.406422,1.989837,1.79945,FOXN3,G2-M Checkpoint
Mitotic Spindle,0.406422,1.979381,1.782162,MARK4,Mitotic Spindle
