,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
0,GO:0002862,negative regulation of inflammatory response to antigenic stimulus,GO:0002862,0.08987763,90.39111,715.4129,SELENOS;PLK2,Negative Regulation Of Inflammatory Response To Antigenic Stimulus (GO:0002862)
1,GO:0080164,regulation of nitric oxide metabolic process,GO:0080164,0.1048734,78.25385,324.7077,SELENOS,Regulation Of Nitric Oxide Metabolic Process (GO:0080164)
2,GO:0051769,regulation of nitric-oxide synthase biosynthetic process,GO:0051769,0.1048734,97.82692,423.636,SELENOS,Regulation Of Nitric-Oxide Synthase Biosynthetic Process (GO:0051769)
3,GO:0003376,sphingosine-1-phosphate receptor signaling pathway,GO:0003376,0.1048734,130.4487,593.8463,S1PR2,Sphingosine-1-Phosphate Receptor Signaling Pathway (GO:0003376)
4,GO:0032069,regulation of nuclease activity,GO:0032069,0.1048734,130.4487,593.8463,NEIL1,Regulation Of Nuclease Activity (GO:0032069)
5,GO:0090287,regulation of cellular response to growth factor stimulus,GO:0090287,0.1048734,97.82692,423.636,FSTL1,Regulation Of Cellular Response To Growth Factor Stimulus (GO:0090287)
6,GO:2000109,regulation of macrophage apoptotic process,GO:2000109,0.1048734,130.4487,593.8463,SELENOS,Regulation Of Macrophage Apoptotic Process (GO:2000109)
7,GO:2000107,negative regulation of leukocyte apoptotic process,GO:2000107,0.1048734,195.6923,946.9051,SELENOS,Negative Regulation Of Leukocyte Apoptotic Process (GO:2000107)
8,GO:0042359,vitamin D metabolic process,GO:0042359,0.1048734,195.6923,946.9051,CYP1A1,Vitamin D Metabolic Process (GO:0042359)
9,GO:0015949,nucleobase-containing small molecule interconversion,GO:0015949,0.1048734,78.25385,324.7077,AK5,Nucleobase-Containing Small Molecule Interconversion (GO:0015949)
10,GO:0006983,ER overload response,GO:0006983,0.1048734,78.25385,324.7077,SELENOS,ER Overload Response (GO:0006983)
11,GO:1904781,positive regulation of protein localization to centrosome,GO:1904781,0.1048734,78.25385,324.7077,MARK4,Positive Regulation Of Protein Localization To Centrosome (GO:1904781)
12,GO:2000242,negative regulation of reproductive process,GO:2000242,0.1048734,97.82692,423.636,DUSP1,Negative Regulation Of Reproductive Process (GO:2000242)
13,GO:0050805,negative regulation of synaptic transmission,GO:0050805,0.1048734,78.25385,324.7077,PLK2,Negative Regulation Of Synaptic Transmission (GO:0050805)
14,GO:0046325,negative regulation of glucose import,GO:0046325,0.1048734,97.82692,423.636,SELENOS,Negative Regulation Of Glucose Import (GO:0046325)
15,GO:1903753,negative regulation of p38MAPK cascade,GO:1903753,0.1048734,195.6923,946.9051,DUSP1,Negative Regulation Of p38MAPK Cascade (GO:1903753)
16,GO:1903504,regulation of mitotic spindle checkpoint,GO:1903504,0.1048734,130.4487,593.8463,DUSP1,Regulation Of Mitotic Spindle Checkpoint (GO:1903504)
17,GO:0042759,long-chain fatty acid biosynthetic process,GO:0042759,0.1048734,78.25385,324.7077,CYP1A1,Long-Chain Fatty Acid Biosynthetic Process (GO:0042759)
18,GO:0010818,T cell chemotaxis,GO:0010818,0.1048734,195.6923,946.9051,CXCL16,T Cell Chemotaxis (GO:0010818)
19,GO:0003158,endothelium development,GO:0003158,0.1048734,78.25385,324.7077,FSTL1,Endothelium Development (GO:0003158)
20,GO:0070874,negative regulation of glycogen metabolic process,GO:0070874,0.1048734,97.82692,423.636,SELENOS,Negative Regulation Of Glycogen Metabolic Process (GO:0070874)
21,GO:0007492,endoderm development,GO:0007492,0.1051461,65.20513,260.5946,DUSP1,Endoderm Development (GO:0007492)
22,GO:0045008,depyrimidination,GO:0045008,0.1051461,65.20513,260.5946,NEIL1,Depyrimidination (GO:0045008)
23,GO:0051171,regulation of nitrogen compound metabolic process,GO:0051171,0.1094022,48.89423,183.2441,SELENOS,Regulation Of Nitrogen Compound Metabolic Process (GO:0051171)
24,GO:0120036,plasma membrane bounded cell projection organization,GO:0120036,0.1094022,9.499294,36.27125,UNC5A;MARK4,Plasma Membrane Bounded Cell Projection Organization (GO:0120036)
25,GO:0032715,negative regulation of interleukin-6 production,GO:0032715,0.1094022,48.89423,183.2441,SELENOS,Negative Regulation Of Interleukin-6 Production (GO:0032715)
26,GO:0036092,phosphatidylinositol-3-phosphate biosynthetic process,GO:0036092,0.1094022,48.89423,183.2441,PIK3C2B,Phosphatidylinositol-3-Phosphate Biosynthetic Process (GO:0036092)
27,GO:0006470,protein dephosphorylation,GO:0006470,0.1110642,8.967111,33.3038,DUSP1;CTDSP2,Protein Dephosphorylation (GO:0006470)
28,GO:1990868,response to chemokine,GO:1990868,0.1148998,43.45726,158.3441,DUSP1,Response To Chemokine (GO:1990868)
29,GO:1900227,positive regulation of NLRP3 inflammasome complex assembly,GO:1900227,0.1149504,39.10769,138.818,MARK4,Positive Regulation Of NLRP3 Inflammasome Complex Assembly (GO:1900227)
30,GO:1902236,negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway,GO:1902236,0.1149504,35.54895,123.1378,SELENOS,Negative Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902236)
31,GO:0006977,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",GO:0006977,0.1149504,35.54895,123.1378,PLK2,"DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Cell Cycle Arrest (GO:0006977)"
32,GO:0035269,protein O-linked mannosylation,GO:0035269,0.1207666,32.58333,110.2985,CRPPA,Protein O-linked Mannosylation (GO:0035269)
33,GO:1903513,endoplasmic reticulum to cytosol transport,GO:1903513,0.1332016,27.92308,90.59802,SELENOS,Endoplasmic Reticulum To Cytosol Transport (GO:1903513)
34,GO:0009746,response to hexose,GO:0009746,0.1332016,27.92308,90.59802,SELENOS,Response To Hexose (GO:0009746)
