Protein_Group	Genes	Piezo1_KO_YODA1+_vs_Piezo1_KO_YODA1-_logFC	Piezo1_KO_YODA1+_vs_Piezo1_KO_YODA1-_pval
O60765	ZNF354A	1.36992405628885	0.0033828026177247
O75563	SKAP2	1.13760244266299	0.0011105377185266
O75911	DHRS3	0.988877695165431	2.68337691576545e-11
P01106	MYC	0.969039365771835	0.000770570124276
P02656	APOC3	2.31684914149838	5.532420003001609e-12
P03971	AMH	3.85526542323816	0.0059414268051673
P05154	SERPINA5	1.79918036518545	0.0034387128360757
P13500	CCL2	1.22626822187567	0.0009909546440918
P15018	LIF	1.17290265545244	4.65409146543473e-09
P18146	EGR1	1.26690582463404	8.34180080195184e-05
P18847	ATF3	1.9359056473016	1.04739197275896e-06
P21580	TNFAIP3	0.992151601436138	4.11334277832419e-05
P22352	GPX3	2.08654080625448	3.9118416329093697e-11
P34925	RYK	1.35010220451622	0.0070920015441256
P63252	KCNJ2	1.01321141121855	0.0012054700431518
Q01201	RELB	4.33788696738802	0.0040934828380441
Q14586	ZNF267	1.12842969958415	0.0088606621763922
Q7RTY1	SLC16A9	1.18725264348262	8.11617940454668e-05
Q8TAT5	NEIL3	1.4402923180021	0.0001885844832791
Q8WTP8	AEN	0.841161353479023	2.70480697719117e-05
Q96AV8	E2F7	0.915982008567426	0.0003023018528932
Q99075	HBEGF	1.43685003121295	0.0017762082747865
Q99708	RBBP8	0.90383643902268	0.0026696942160917
Q9HCJ5	ZSWIM6	2.58476960150943	0.0045251117168985
Q9HCM7	FBRSL1	1.72832852658465	0.0041675444506289
Q9NR82	KCNQ5	0.874210025312198	0.0088844213244437
Q9NW97	TMEM51	1.93092375796987	1.60475247276585e-05
Q9UHQ7	TCEAL9	1.19490967042006	0.0034576748683375
Q9Y5W3	KLF2	2.28864540885545	0.0007694020130391
O14544	SOCS6	-1.33491143263723	9.34927832637255e-05
O75094	SLIT3	-1.34949932604332	0.0091176532961176
O75592	MYCBP2	-0.905755569504695	0.0006543248844278
P05062	ALDOB	-1.83262945741634	0.0002542637488105
P0CG12	DERPC	-0.930172142116536	0.0038885800023225
Q00604	NDP	-1.07218469712029	0.0041354977976755
Q08999	RBL2	-1.91876792597222	0.0020658779089172
Q15389	ANGPT1	-1.77269209017059	0.0011059183451205
Q2M3G4	SHROOM1	-0.980869584934393	0.0057285442689614
Q5T7B8	KIF24	-3.32793895518148	0.0082429999941816
Q7L0X0	TRIL	-1.91838084426021	0.0077869846699401
Q8IW35	CEP97	-1.21978091853278	0.0017901167774013
Q8N1I0	DOCK4	-0.873994679637423	0.0026733285664165
Q8N441	FGFRL1	-1.01717230450248	4.15116011685836e-06
Q8N584	TTC39C	-2.15244767371676	0.0029000600100675
Q96NU1	SAMD11	-2.83951664502347	0.0002329112011686
Q9BVG3	TRIM62	-3.31725411515783	0.0014574073716314
