Protein_Group	Genes	PTEN_sg_1.1_6_250nM Palbo_vs_PTEN_sg_1.1_6_Non Treated_logFC	PTEN_sg_1.1_6_250nM Palbo_vs_PTEN_sg_1.1_6_Non Treated_pval	Removed?	Contaminant?
A6NMD0	IFITM10	2.3832525720676	1.09347100852487e-10	No	No
O75363	BCAS1	2.73484612299479	2.55388591772001e-34	No	No
P12273	PIP	2.66450048244251	1.43671334068731e-29	No	No
P14061	HSD17B1	2.56218733990802	3.5915982403286905e-15	No	No
P14778	IL1R1	2.54519608326522	3.74287108688063e-06	No	No
P15408	FOSL2	2.0900060998448	1.01982562756808e-10	No	No
P42772	CDKN2B	2.57627427123877	7.35631641615887e-21	No	No
P49703	ARL4D	2.29019411714133	6.896741408966499e-12	No	No
P54868	HMGCS2	2.01151296701734	5.126360874543719e-30	No	No
Q05682	CALD1	2.00350263058263	3.37479717059832e-33	No	No
Q53FZ2	ACSM3	2.22720120238623	1.63627355843463e-09	No	No
Q5VUE5	C1orf53	2.05537116981883	7.53566274510573e-08	No	No
Q6UXK5	LRRN1	2.08088438698833	1.01803273556522e-09	No	No
Q8IXH6	TP53INP2	2.23191540920342	0.0043638737562989	No	No
Q8IY82	DRC7	2.62030912387026	9.1891257779148e-14	No	No
Q8TB45	DEPTOR	2.046461761609	5.11052988802191e-34	No	No
Q92597	NDRG1	2.01377568220374	2.40153811797705e-26	No	No
Q99574	SERPINI1	2.79991715660646	3.5414746124882605e-31	No	No
Q9BW04	SARG	2.88127350419574	1.1080035677024e-15	No	No
Q9Y6N8	CDH10	2.63922993539167	7.02097795297084e-11	No	No
B4DXR9;Q8TB69	ZNF732;ZNF519	-2.28831603143366	6.79869355198147e-06	No	No
O00762	UBE2C	-2.22409742934487	9.927287519073559e-30	No	No
O14757	CHEK1	-2.28780082124348	5.5757165072499e-35	No	No
O14777	NDC80	-2.44137858364044	3.59068209644802e-35	No	No
O14965	AURKA	-2.07697277270099	1.13964662472639e-32	No	No
O15350	TP73	-2.23977309074071	2.36695587697907e-20	No	No
O15360	FANCA	-2.12225175165979	1.93633732615634e-12	No	No
O15392	BIRC5	-2.48494247352798	4.18986519547383e-13	No	No
O43379	WDR62	-2.37925658739935	3.6960194840105904e-25	No	No
O43663	PRC1	-2.55540188336435	4.60444838118922e-34	No	No
O75330	HMMR	-2.2862905514447	1.78528125241704e-24	No	No
O75419	CDC45	-2.71038054174544	2.7847413319165403e-31	No	No
O75496	GMNN	-2.70594015444172	1.0551430765462e-15	No	No
O75764	TCEA3	-2.76425876993368	8.513153693076289e-36	No	No
O95067	CCNB2	-2.30039549447215	2.26275551996384e-22	No	No
O95235	KIF20A	-2.8901352768863	3.36183843061329e-34	No	No
O95239	KIF4A	-2.81493147793069	1.17056567375394e-46	No	No
O95997	PTTG1	-2.36192619657596	1.07670133235703e-16	No	No
O96020	CCNE2	-2.79614851337191	5.06839958439611e-18	No	No
O96028	NSD2	-2.08086038703943	9.398767523645809e-33	No	No
P00374	DHFR	-2.69894230606771	3.7624290030388e-39	No	No
P04183	TK1	-2.50154522948849	2.53402629433562e-32	No	No
P04818	TYMS	-3.18335699312174	1.80501998974234e-24	No	No
P10244	MYBL2	-2.86307198753489	7.73416588428512e-21	No	No
P11388	TOP2A	-2.35067415698239	3.86628844420039e-41	No	No
P14635	CCNB1	-2.60865058613288	8.29702898784762e-28	No	No
P16402	H1-3	-2.1916394244765	9.445339999502812e-31	No	No
P16403	H1-2	-2.22588012247787	4.571514070567399e-19	No	No
P20248	CCNA2	-2.88982046884871	1.9114230308750503e-15	No	No
P28749	RBL1	-2.20395348224139	1.03516981271243e-27	No	No
P30305	CDC25B	-2.91557800982961	6.53355982601785e-18	No	No
