Protein_Group	Genes	EV_Blast  _250nM Palbo_vs_EV_Blast  _Non Treated_logFC	EV_Blast  _250nM Palbo_vs_EV_Blast  _Non Treated_pval	Removed?	Contaminant?
Q96KB5	PBK	-2.68909737575846	7.21744034469565e-37	No	No
Q96QB1	DLC1	-2.20269253357003	6.86903284187098e-14	No	No
Q96R06	SPAG5	-2.13491050450426	3.79708018634316e-36	No	No
Q96T88	UHRF1	-2.52887319265973	2.0801435207425799e-41	No	No
Q99618	CDCA3	-2.73054969694174	9.141390088428e-22	No	No
Q99661	KIF2C	-2.47476762905158	3.1845957614795296e-30	No	No
Q99741	CDC6	-2.18817209345048	6.87947572234999e-16	No	No
Q9BW19	KIFC1	-2.74114429580691	1.2951879781341e-38	No	No
Q9BWT6	MND1	-2.73199059525649	1.74540517108444e-10	No	No
Q9BXS6	NUSAP1	-2.89881845477523	9.00059848579085e-35	No	No
Q9BZD4	NUF2	-2.56558981946529	1.4691283006703101e-31	No	No
Q9H0H5	RACGAP1	-2.39358441165746	2.4974058301282e-39	No	No
Q9H4H8	FAM83D	-2.3051353053491	1.0868246971899299e-29	No	No
Q9H967	WDR76	-2.83637970428171	7.93344106135231e-35	No	No
Q9HBM1	SPC25	-2.9036866840092	6.1873008381220496e-30	No	No
Q9NPD8	UBE2T	-2.47616584561848	4.41952798466254e-33	No	No
Q9NQS7	INCENP	-3.0147219869063	9.78723448969422e-37	No	No
Q9NQW6	ANLN	-2.19510844419998	1.84100735402362e-40	No	No
Q9NRZ9	HELLS	-2.46675714183971	1.1981596914081398e-36	No	No
Q9NVI1	FANCI	-2.18567365633769	1.7369432086451897e-42	No	No
Q9NYZ3	GTSE1	-2.35325540950987	2.42303046287495e-19	No	No
Q9P2W1	PSMC3IP	-3.20021818118432	1.2085531390071301e-17	No	No
Q9UKT4	FBXO5	-2.49561371422402	1.08410581013998e-16	No	No
Q9ULW0	TPX2	-2.68597025535233	3.53065363579812e-42	No	No
Q9Y448	KNSTRN	-2.58858441802931	6.30155410436105e-29	No	No
Q9Y6A5	TACC3	-2.14575009526409	3.39494091108519e-33	No	No
