Protein_Group	Genes	TP53_sg_1.2_3_Non Treated_vs_EV_Blast  _Non Treated_logFC	TP53_sg_1.2_3_Non Treated_vs_EV_Blast  _Non Treated_pval	Removed?	Contaminant?
Q96L08	SUSD3	2.50506456183217	1.45686006503042e-09	No	No
Q9C002	NMES1	2.41980527023601	7.45447404111927e-23	No	No
Q9H898	ZMAT4	2.33514042128408	1.76506590667459e-08	No	No
Q9H8L6	MMRN2	2.27393230219138	9.219480731974741e-14	No	No
Q9HCY8	S100A14	2.92985122737033	1.40680260191658e-08	No	No
Q9P212	PLCE1	3.37771283187233	1.32095313226355e-28	No	No
Q9UPQ0	LIMCH1	2.18231255432257	4.90150545744924e-35	No	No
Q9Y6U3	SCIN	2.31763419977142	4.78532781472113e-36	No	No
A6NDB9	PALM3	-2.11556786912008	4.07204113551314e-17	No	No
O00526	UPK2	-2.13920720192905	2.85151227722895e-08	No	No
O14798	TNFRSF10C	-3.30201425199457	1.44752531226147e-14	No	No
O15440	ABCC5	-2.18444356196687	1.4713040770675399e-33	No	No
O15481	MAGEB4	-4.20851794892852	5.1648762656084496e-36	No	No
O60443	GSDME	-2.41476392315608	3.61346576000372e-22	No	No
O95154	AKR7A3	-2.83630456818718	5.91451300870469e-38	No	No
O95294	RASAL1	-2.51701536222901	8.3205675823831e-15	No	No
O95340	PAPSS2	-3.05931038912911	5.22372570527974e-44	No	No
O95528	SLC2A10	-2.17791183307534	4.70974607879663e-13	No	No
P01920	HLA-DQB1	-4.45761404152187	3.39441120894115e-19	No	No
P04233	CD74	-2.19968216386458	6.23949216074666e-15	No	No
P04637	TP53	-5.07233231019136	1.47277260428773e-48	No	No
P06276	BCHE	-3.21629349692544	2.6425873791734296e-11	No	No
P07948	LYN	-2.3904471607772	4.37920071440857e-29	No	No
P08648	ITGA5	-2.13981834718704	1.5949344213801498e-30	No	No
P09668	CTSH	-2.71939629192239	8.58475449724875e-40	No	No
P12273	PIP	-2.58987934614187	4.8450264693077597e-29	No	No
P15514	AREG	-2.38970288619734	2.64453136046668e-07	No	No
P16885	PLCG2	-2.16510863161814	1.57603028078422e-30	No	No
P21741	MDK	-3.78269997706749	1.67149753359065e-19	No	No
P25815	S100P	-2.36540303530614	2.79216967942832e-24	No	No
P25942	CD40	-2.57011633231021	1.68202948788748e-17	No	No
P43355	MAGEA1	-4.60373299622378	6.07590138536467e-21	No	No
P47712	PLA2G4A	-2.14768112733781	7.18854272571449e-19	No	No
P49326	FMO5	-2.92367765571684	1.7992926920967502e-19	No	No
P49753	ACOT2	-2.13345450574677	0.0019294195896847	No	No
P52566	ARHGDIB	-2.31000330608023	1.3300984170350399e-30	No	No
P61764	STXBP1	-2.57372425531533	2.02342565402956e-31	No	No
Q00978	IRF9	-2.02220916524367	1.32605743996173e-16	No	No
Q07954	LRP1	-2.26410412849876	1.67807512068503e-37	No	No
Q08AF3	SLFN5	-2.93155350498094	1.64287121327789e-44	No	No
Q13115	DUSP4	-2.67443167577801	8.3487130987576e-17	No	No
Q16678	CYP1B1	-2.16481150501303	3.51506928696591e-21	No	No
Q30154	HLA-DRB5	-2.05293535201343	1.18082003438503e-09	No	No
Q53FA7	TP53I3	-5.03448239825591	3.67903562562382e-61	No	No
Q53GG5	PDLIM3	-2.87607714752074	5.5579718924422094e-11	No	No
Q5U649	C12orf60	-2.13047880673514	4.15507100190701e-06	No	No
Q5VUG0	SFMBT2	-2.07795896899604	2.6038655244885598e-12	No	No
Q6ZVX7	NCCRP1	-2.21913605903088	0.0017545815651232	No	No
Q7L266	ASRGL1	-2.44233415242877	1.66442085541549e-09	No	No
Q8IU85	CAMK1D	-2.63881304598335	1.5241855186750101e-25	No	No
Q8IXK2	GALNT12	-2.67349124687933	4.2915819047486e-06	No	No
Q8N283	ANKRD35	-2.96771010902662	2.15304128609832e-06	No	No
Q8WVV4	POF1B	-2.46171073167821	1.64939772515041e-22	No	No
Q96NY7	CLIC6	-2.10777656622349	9.32671726149762e-20	No	No
Q96QE2	SLC2A13	-2.91317570072965	1.00608488211275e-14	No	No
Q9BRK3	MXRA8	-2.7437977552709	3.11699451520493e-28	No	No
Q9BXD5	NPL	-2.12139992513517	7.51543164833076e-06	No	No
Q9BY67	CADM1	-2.33562918893199	3.99510816298346e-40	No	No
Q9BZD2	SLC29A3	-2.11750288453203	2.36728098938527e-09	No	No
Q9H3G5	CPVL	-4.59108763796125	2.25408876718451e-41	No	No
Q9H4G4	GLIPR2	-2.60721435651236	2.34344518052486e-23	No	No
Q9H902	REEP1	-4.08541759976727	1.8961248045283e-12	No	No
Q9NR34	MAN1C1	-2.86237399190141	6.47894156284316e-10	No	No
Q9P291	ARMCX1	-2.11750822394984	3.92055740857981e-18	No	No
Q9UHW9	SLC12A6	-2.2371567181182	3.40564301910967e-16	No	No
Q9UJC5	SH3BGRL2	-2.86211235937232	1.80460566724958e-16	No	No
Q9UMW8	USP18	-2.24461622815495	3.41010143597584e-10	No	No
Q9UNN8	PROCR	-4.66083521090609	5.60848004493404e-37	No	No
Q9Y2J2	EPB41L3	-2.00184319637321	3.0603452151057797e-12	No	No
Q9Y3E1	HDGFL3	-2.55754904190114	1.5566778715197801e-32	No	No
Q9Y617	PSAT1	-5.62990437622319	2.47608507198681e-45	No	No
