Protein_Group	Genes	NF1_sg_1.1_2_Non Treated_vs_EV_Blast  _Non Treated_logFC	NF1_sg_1.1_2_Non Treated_vs_EV_Blast  _Non Treated_pval	Removed?	Contaminant?
Q6ZNL6	FGD5	-8.96691158331737	2.8696937429112296e-40	No	No
Q86UK0	ABCA12	-2.47309903074487	6.346822177805619e-28	No	No
Q86VV4	RANBP3L	-2.64953978004895	4.73999380284465e-12	No	No
Q8IWY4	SCUBE1	-2.04472748988133	4.81335726624275e-05	No	No
Q8N1Y9		-2.50896442144114	2.4299852401835403e-09	No	No
Q8TE58	ADAMTS15	-2.21076283965616	8.49696368374384e-21	No	No
Q92478	CLEC2B	-2.38533511864721	5.86460526391243e-05	No	No
Q96FZ5	CMTM7	-2.42604422251738	0.002188653869103	No	No
Q96PD5	PGLYRP2	-2.86255053939985	1.12411771165459e-18	No	No
Q99704	DOK1	-2.4946679707848	0.0001525919646813	No	No
Q9C0D0	PHACTR1	-2.69753197640036	6.48304201131727e-46	No	No
Q9H3G5	CPVL	-2.8346712424806	4.0227137847721203e-32	No	No
Q9HCK4	ROBO2	-3.57220730913823	6.17831627687367e-43	No	No
Q9NP59	SLC40A1	-2.44386788103242	1.81034301383858e-26	No	No
Q9NQ36	SCUBE2	-2.01085325718365	1.5748862850639002e-22	No	No
Q9P273	TENM3	-3.70231230933809	1.21322538317084e-53	No	No
Q9UJY1	HSPB8	-2.3067782678613	2.107512371491e-26	No	No
Q9UPQ7	PDZRN3	-2.35612889540033	4.0780671086662205e-21	No	No
Q9Y2J2	EPB41L3	-3.04606447942863	1.8368303681552697e-18	No	No
Q9Y342	PLLP	-3.36210420826946	2.67588635806573e-17	No	No
Q9Y4D7	PLXND1	-2.06811056177442	4.13415910260741e-21	No	No
